GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
biological_process (GO:0008150)	16969	903	6.31e+02	+	1.43e+00	7.59e-41	3.65e-37
UNCLASSIFIED 	26690	720	9.92e+02	-	7.26e-01	7.59e-41	1.83e-37
cellular catabolic process (GO:0044248)	1314	132	4.88e+01	+	2.70e+00	1.12e-22	1.80e-19
cellular process (GO:0009987)	12532	651	4.66e+02	+	1.40e+00	5.04e-22	6.06e-19
catabolic process (GO:0009056)	1575	144	5.85e+01	+	2.46e+00	5.48e-21	5.27e-18
metabolic process (GO:0008152)	10010	533	3.72e+02	+	1.43e+00	4.39e-19	3.52e-16
organic substance metabolic process (GO:0071704)	9130	490	3.39e+02	+	1.44e+00	7.81e-18	5.37e-15
primary metabolic process (GO:0044238)	8591	465	3.19e+02	+	1.46e+00	2.25e-17	1.35e-14
organic substance catabolic process (GO:1901575)	1369	122	5.09e+01	+	2.40e+00	3.28e-17	1.75e-14
biological regulation (GO:0065007)	4754	289	1.77e+02	+	1.64e+00	4.25e-16	2.05e-13
protein modification by small protein conjugation or removal (GO:0070647)	900	88	3.35e+01	+	2.63e+00	7.47e-15	3.27e-12
organonitrogen compound catabolic process (GO:1901565)	758	79	2.82e+01	+	2.80e+00	8.34e-15	3.34e-12
cellular metabolic process (GO:0044237)	8644	450	3.21e+02	+	1.40e+00	4.85e-14	1.79e-11
protein ubiquitination (GO:0016567)	743	76	2.76e+01	+	2.75e+00	6.51e-14	2.24e-11
organonitrogen compound metabolic process (GO:1901564)	5535	313	2.06e+02	+	1.52e+00	1.96e-13	6.30e-11
protein modification by small protein conjugation (GO:0032446)	781	77	2.90e+01	+	2.65e+00	2.67e-13	8.02e-11
regulation of biological process (GO:0050789)	4183	250	1.56e+02	+	1.61e+00	4.64e-13	1.31e-10
cellular macromolecule catabolic process (GO:0044265)	774	75	2.88e+01	+	2.61e+00	1.13e-12	3.03e-10
regulation of cellular process (GO:0050794)	3799	226	1.41e+02	+	1.60e+00	1.11e-11	2.81e-09
process utilizing autophagic mechanism (GO:0061919)	58	19	2.16e+00	+	8.81e+00	2.16e-11	5.19e-09
autophagy (GO:0006914)	58	19	2.16e+00	+	8.81e+00	2.16e-11	4.94e-09
localization (GO:0051179)	2616	168	9.72e+01	+	1.73e+00	3.42e-11	7.48e-09
regulation of metabolic process (GO:0019222)	2912	182	1.08e+02	+	1.68e+00	3.90e-11	8.15e-09
protein modification process (GO:0036211)	3158	193	1.17e+02	+	1.64e+00	5.45e-11	1.09e-08
cellular protein modification process (GO:0006464)	3158	193	1.17e+02	+	1.64e+00	5.45e-11	1.05e-08
nitrogen compound metabolic process (GO:0006807)	7241	374	2.69e+02	+	1.39e+00	5.95e-11	1.10e-08
transport (GO:0006810)	2477	159	9.21e+01	+	1.73e+00	1.35e-10	2.41e-08
proteolysis (GO:0006508)	1199	94	4.46e+01	+	2.11e+00	1.46e-10	2.50e-08
organelle disassembly (GO:1903008)	30	14	1.12e+00	+	1.26e+01	2.29e-10	3.80e-08
macromolecule catabolic process (GO:0009057)	912	77	3.39e+01	+	2.27e+00	3.39e-10	5.43e-08
establishment of localization (GO:0051234)	2510	159	9.33e+01	+	1.70e+00	3.51e-10	5.45e-08
protein metabolic process (GO:0019538)	4554	252	1.69e+02	+	1.49e+00	6.28e-10	9.43e-08
organic substance transport (GO:0071702)	1214	91	4.51e+01	+	2.02e+00	2.23e-09	3.24e-07
macroautophagy (GO:0016236)	39	14	1.45e+00	+	9.66e+00	3.54e-09	5.01e-07
protein catabolic process (GO:0030163)	604	56	2.25e+01	+	2.49e+00	4.20e-09	5.78e-07
mitochondrion disassembly (GO:0061726)	20	11	7.43e-01	+	1.48e+01	5.30e-09	7.08e-07
autophagy of mitochondrion (GO:0000422)	20	11	7.43e-01	+	1.48e+01	5.30e-09	6.89e-07
proteolysis involved in cellular protein catabolic process (GO:0051603)	593	55	2.20e+01	+	2.49e+00	5.85e-09	7.40e-07
cellular protein catabolic process (GO:0044257)	594	55	2.21e+01	+	2.49e+00	6.07e-09	7.48e-07
regulation of cellular metabolic process (GO:0031323)	2688	162	9.99e+01	+	1.62e+00	6.22e-09	7.48e-07
macromolecule modification (GO:0043412)	3466	197	1.29e+02	+	1.53e+00	1.01e-08	1.18e-06
carboxylic acid catabolic process (GO:0046395)	113	21	4.20e+00	+	5.00e+00	1.41e-08	1.62e-06
autophagy of nucleus (GO:0044804)	17	10	6.32e-01	+	1.58e+01	1.64e-08	1.84e-06
regulation of primary metabolic process (GO:0080090)	2647	158	9.84e+01	+	1.61e+00	1.72e-08	1.88e-06
nitrogen compound transport (GO:0071705)	1005	77	3.74e+01	+	2.06e+00	1.75e-08	1.87e-06
