GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
biological_process (GO:0008150)	16969	1285	8.16e+02	+	1.57e+00	3.77e-90	1.81e-86
UNCLASSIFIED 	26690	815	1.28e+03	-	6.35e-01	3.77e-90	9.06e-87
cellular process (GO:0009987)	12532	997	6.03e+02	+	1.65e+00	5.21e-70	8.35e-67
cell cycle (GO:0007049)	411	132	1.98e+01	+	6.68e+00	1.44e-57	1.73e-54
cell cycle process (GO:0022402)	329	103	1.58e+01	+	6.51e+00	2.89e-44	2.78e-41
mitotic cell cycle (GO:0000278)	219	81	1.05e+01	+	7.69e+00	2.55e-39	2.04e-36
cellular component organization (GO:0016043)	2018	246	9.71e+01	+	2.53e+00	9.26e-37	6.36e-34
microtubule-based process (GO:0007017)	193	71	9.28e+00	+	7.65e+00	1.67e-34	1.01e-31
cellular component organization or biogenesis (GO:0071840)	2333	260	1.12e+02	+	2.32e+00	4.49e-33	2.40e-30
cell wall organization or biogenesis (GO:0071554)	417	96	2.01e+01	+	4.79e+00	3.92e-32	1.88e-29
mitotic cell cycle process (GO:1903047)	183	63	8.80e+00	+	7.16e+00	1.90e-29	8.31e-27
cell wall organization (GO:0071555)	316	77	1.52e+01	+	5.07e+00	2.30e-27	9.22e-25
metabolic process (GO:0008152)	10010	703	4.81e+02	+	1.46e+00	8.52e-27	3.15e-24
cytoskeleton organization (GO:0007010)	214	63	1.03e+01	+	6.12e+00	2.41e-26	8.29e-24
external encapsulating structure organization (GO:0045229)	342	77	1.65e+01	+	4.68e+00	1.69e-25	5.41e-23
cellular response to stimulus (GO:0051716)	1835	202	8.83e+01	+	2.29e+00	4.11e-25	1.24e-22
organelle organization (GO:0006996)	1306	159	6.28e+01	+	2.53e+00	7.86e-24	2.22e-21
microtubule cytoskeleton organization (GO:0000226)	127	46	6.11e+00	+	7.53e+00	1.26e-22	3.38e-20
DNA metabolic process (GO:0006259)	444	82	2.14e+01	+	3.84e+00	3.27e-22	8.27e-20
carbohydrate metabolic process (GO:0005975)	1036	133	4.98e+01	+	2.67e+00	7.08e-22	1.70e-19
cell division (GO:0051301)	198	54	9.52e+00	+	5.67e+00	1.71e-21	3.91e-19
organic substance metabolic process (GO:0071704)	9130	629	4.39e+02	+	1.43e+00	2.55e-21	5.58e-19
DNA-dependent DNA replication (GO:0006261)	99	40	4.76e+00	+	8.40e+00	3.05e-21	6.37e-19
primary metabolic process (GO:0044238)	8591	591	4.13e+02	+	1.43e+00	1.12e-19	2.24e-17
DNA replication (GO:0006260)	130	42	6.25e+00	+	6.72e+00	2.85e-19	5.49e-17
plant-type cell wall organization or biogenesis (GO:0071669)	156	45	7.50e+00	+	6.00e+00	6.09e-19	1.13e-16
nuclear division (GO:0000280)	117	39	5.63e+00	+	6.93e+00	2.20e-18	3.93e-16
