GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
cellular process (GO:0009987)	12532	71	3.16e+01	+	2.25e+00	1.03e-14	4.97e-11
gene expression (GO:0010467)	1710	27	4.31e+00	+	6.27e+00	1.83e-14	4.41e-11
nitrogen compound metabolic process (GO:0006807)	7241	53	1.82e+01	+	2.91e+00	1.84e-14	2.95e-11
cellular nitrogen compound metabolic process (GO:0034641)	3077	32	7.75e+00	+	4.13e+00	3.31e-12	3.98e-09
cellular metabolic process (GO:0044237)	8644	54	2.18e+01	+	2.48e+00	6.25e-12	6.01e-09
macromolecule metabolic process (GO:0043170)	6639	46	1.67e+01	+	2.75e+00	1.99e-11	1.60e-08
organic substance metabolic process (GO:0071704)	9130	55	2.30e+01	+	2.39e+00	2.03e-11	1.39e-08
primary metabolic process (GO:0044238)	8591	52	2.16e+01	+	2.40e+00	1.01e-10	6.09e-08
metabolic process (GO:0008152)	10010	56	2.52e+01	+	2.22e+00	1.80e-10	9.59e-08
biological_process (GO:0008150)	16969	76	4.28e+01	+	1.78e+00	1.95e-10	9.40e-08
UNCLASSIFIED 	26690	34	6.72e+01	-	5.06e-01	1.95e-10	8.54e-08
RNA metabolic process (GO:0016070)	1422	19	3.58e+00	+	5.30e+00	3.40e-09	1.36e-06
nucleobase-containing compound metabolic process (GO:0006139)	2249	23	5.67e+00	+	4.06e+00	9.27e-09	3.43e-06
heterocycle metabolic process (GO:0046483)	2467	24	6.22e+00	+	3.86e+00	1.08e-08	3.70e-06
organonitrogen compound metabolic process (GO:1901564)	5535	37	1.39e+01	+	2.65e+00	1.23e-08	3.96e-06
cellular component organization or biogenesis (GO:0071840)	2333	23	5.88e+00	+	3.91e+00	1.81e-08	5.45e-06
nuclear transport (GO:0051169)	110	7	2.77e-01	+	2.53e+01	2.06e-08	5.83e-06
nucleocytoplasmic transport (GO:0006913)	110	7	2.77e-01	+	2.53e+01	2.06e-08	5.51e-06
ribonucleoprotein complex biogenesis (GO:0022613)	443	11	1.12e+00	+	9.86e+00	2.25e-08	5.69e-06
cellular aromatic compound metabolic process (GO:0006725)	2592	24	6.53e+00	+	3.67e+00	2.74e-08	6.58e-06
nuclear export (GO:0051168)	71	6	1.79e-01	+	3.35e+01	4.50e-08	1.03e-05
organic cyclic compound metabolic process (GO:1901360)	2670	24	6.73e+00	+	3.57e+00	4.76e-08	1.04e-05
nucleic acid metabolic process (GO:0090304)	1869	20	4.71e+00	+	4.25e+00	4.84e-08	1.01e-05
cellular component biogenesis (GO:0044085)	1079	15	2.72e+00	+	5.52e+00	1.09e-07	2.18e-05
RNA processing (GO:0006396)	789	13	1.99e+00	+	6.54e+00	1.24e-07	2.38e-05
cellular macromolecule metabolic process (GO:0044260)	5163	33	1.30e+01	+	2.54e+00	2.95e-07	5.45e-05
ribonucleoprotein complex export from nucleus (GO:0071426)	52	5	1.31e-01	+	3.82e+01	3.45e-07	6.15e-05
ribonucleoprotein complex localization (GO:0071166)	52	5	1.31e-01	+	3.82e+01	3.45e-07	5.93e-05
protein-containing complex localization (GO:0031503)	56	5	1.41e-01	+	3.54e+01	4.86e-07	8.07e-05
mRNA splicing, via spliceosome (GO:0000398)	192	7	4.84e-01	+	1.45e+01	7.74e-07	1.24e-04
cellular nitrogen compound biosynthetic process (GO:0044271)	1294	15	3.26e+00	+	4.60e+00	1.04e-06	1.62e-04
cellular amide metabolic process (GO:0043603)	821	12	2.07e+00	+	5.80e+00	1.34e-06	2.01e-04
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	212	7	5.34e-01	+	1.31e+01	1.47e-06	2.14e-04
RNA splicing, via transesterification reactions (GO:0000375)	212	7	5.34e-01	+	1.31e+01	1.47e-06	2.07e-04
histone modification (GO:0016570)	141	6	3.55e-01	+	1.69e+01	2.08e-06	2.86e-04
covalent chromatin modification (GO:0016569)	141	6	3.55e-01	+	1.69e+01	2.08e-06	2.78e-04
cellular protein metabolic process (GO:0044267)	4052	27	1.02e+01	+	2.64e+00	2.26e-06	2.93e-04
mRNA processing (GO:0006397)	338	8	8.52e-01	+	9.39e+00	2.86e-06	3.62e-04
mRNA metabolic process (GO:0016071)	469	9	1.18e+00	+	7.62e+00	3.59e-06	4.43e-04
RNA splicing (GO:0008380)	255	7	6.42e-01	+	1.09e+01	4.78e-06	5.75e-04
protein export from nucleus (GO:0006611)	12	3	3.02e-02	+	9.92e+01	6.87e-06	8.06e-04
amide biosynthetic process (GO:0043604)	660	10	1.66e+00	+	6.01e+00	7.85e-06	8.99e-04
cellular macromolecule biosynthetic process (GO:0034645)	1360	14	3.43e+00	+	4.09e+00	9.37e-06	1.05e-03
organonitrogen compound biosynthetic process (GO:1901566)	1378	14	3.47e+00	+	4.03e+00	1.08e-05	1.18e-03
protein import (GO:0017038)	111	5	2.80e-01	+	1.79e+01	1.18e-05	1.26e-03
cellular component organization (GO:0016043)	2018	17	5.08e+00	+	3.34e+00	1.31e-05	1.37e-03
macromolecule biosynthetic process (GO:0009059)	1414	14	3.56e+00	+	3.93e+00	1.44e-05	1.47e-03
establishment of localization in cell (GO:0051649)	712	10	1.79e+00	+	5.57e+00	1.49e-05	1.50e-03
peptide metabolic process (GO:0006518)	715	10	1.80e+00	+	5.55e+00	1.55e-05	1.52e-03
translation (GO:0006412)	586	9	1.48e+00	+	6.10e+00	2.05e-05	1.97e-03
chromosome organization (GO:0051276)	447	8	1.13e+00	+	7.10e+00	2.08e-05	1.96e-03
peptide biosynthetic process (GO:0043043)	598	9	1.51e+00	+	5.97e+00	2.40e-05	2.22e-03
protein metabolic process (GO:0019538)	4554	27	1.15e+01	+	2.35e+00	2.44e-05	2.21e-03
cellular biosynthetic process (GO:0044249)	2585	19	6.51e+00	+	2.92e+00	2.55e-05	2.27e-03
ribosomal subunit export from nucleus (GO:0000054)	20	3	5.04e-02	+	5.95e+01	2.64e-05	2.31e-03
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	20	3	5.04e-02	+	5.95e+01	2.64e-05	2.26e-03
