GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
biological_process (GO:0008150)	16969	478	3.25e+02	+	1.47e+00	4.61e-26	2.22e-22
UNCLASSIFIED 	26690	358	5.11e+02	-	7.00e-01	4.61e-26	1.11e-22
phosphorus metabolic process (GO:0006793)	2599	123	4.98e+01	+	2.47e+00	1.70e-19	2.72e-16
phosphate-containing compound metabolic process (GO:0006796)	2563	121	4.91e+01	+	2.47e+00	4.17e-19	5.01e-16
phosphorylation (GO:0016310)	1822	97	3.49e+01	+	2.78e+00	1.28e-18	1.23e-15
cellular process (GO:0009987)	12532	352	2.40e+02	+	1.47e+00	2.88e-16	2.31e-13
protein phosphorylation (GO:0006468)	1507	75	2.89e+01	+	2.60e+00	3.98e-13	2.74e-10
protein modification process (GO:0036211)	3158	117	6.05e+01	+	1.93e+00	2.01e-11	1.21e-08
cellular protein modification process (GO:0006464)	3158	117	6.05e+01	+	1.93e+00	2.01e-11	1.07e-08
regulation of cellular process (GO:0050794)	3799	131	7.27e+01	+	1.80e+00	1.47e-10	7.07e-08
regulation of biological process (GO:0050789)	4183	140	8.01e+01	+	1.75e+00	1.88e-10	8.22e-08
biological regulation (GO:0065007)	4754	154	9.10e+01	+	1.69e+00	2.09e-10	8.37e-08
organonitrogen compound metabolic process (GO:1901564)	5535	171	1.06e+02	+	1.61e+00	5.35e-10	1.98e-07
cellular metabolic process (GO:0044237)	8644	240	1.66e+02	+	1.45e+00	1.05e-09	3.62e-07
macromolecule modification (GO:0043412)	3466	119	6.64e+01	+	1.79e+00	1.64e-09	5.25e-07
response to stimulus (GO:0050896)	3478	115	6.66e+01	+	1.73e+00	1.91e-08	5.75e-06
metabolic process (GO:0008152)	10010	262	1.92e+02	+	1.37e+00	3.22e-08	9.12e-06
cellular protein metabolic process (GO:0044267)	4052	128	7.76e+01	+	1.65e+00	4.07e-08	1.09e-05
protein metabolic process (GO:0019538)	4554	136	8.72e+01	+	1.56e+00	3.56e-07	9.01e-05
organic substance metabolic process (GO:0071704)	9130	237	1.75e+02	+	1.36e+00	4.97e-07	1.20e-04
regulation of RNA biosynthetic process (GO:2001141)	2028	73	3.88e+01	+	1.88e+00	5.78e-07	1.32e-04
regulation of transcription, DNA-templated (GO:0006355)	2028	73	3.88e+01	+	1.88e+00	5.78e-07	1.26e-04
regulation of nucleic acid-templated transcription (GO:1903506)	2028	73	3.88e+01	+	1.88e+00	5.78e-07	1.21e-04
cell communication (GO:0007154)	1228	51	2.35e+01	+	2.17e+00	6.00e-07	1.20e-04
