Global and overview maps		
1100	Metabolic pathways	
1110	Biosynthesis of secondary metabolites	
1200	Carbon metabolism	
1210	2-Oxocarboxylic acid metabolism	
1212	Fatty acid metabolism	
1230	Biosynthesis of amino acids	
Carbohydrate metabolism		
10	Glycolysis / Gluconeogenesis	
20	Citrate cycle (TCA cycle)	
30	Pentose phosphate pathway	
40	Pentose and glucuronate interconversions	
51	Fructose and mannose metabolism	
52	Galactose metabolism	
53	Ascorbate and aldarate metabolism	
500	Starch and sucrose metabolism	
520	Amino sugar and nucleotide sugar metabolism	
620	Pyruvate metabolism	
630	Glyoxylate and dicarboxylate metabolism	
640	Propanoate metabolism	
650	Butanoate metabolism	
660	C5-Branched dibasic acid metabolism	
562	Inositol phosphate metabolism	
Energy metabolism		
190	Oxidative phosphorylation	
195	Photosynthesis	
196	Photosynthesis - antenna proteins	
710	Carbon fixation in photosynthetic organisms	
910	Nitrogen metabolism	
920	Sulfur metabolism	
Lipid metabolism		
61	Fatty acid biosynthesis	
62	Fatty acid elongation	
71	Fatty acid degradation	
72	Synthesis and degradation of ketone bodies	
73	Cutin, suberine and wax biosynthesis	-
100	Steroid biosynthesis	
561	Glycerolipid metabolism	
564	Glycerophospholipid metabolism	
565	Ether lipid metabolism	
600	Sphingolipid metabolism	
590	Arachidonic acid metabolism	
591	Linoleic acid metabolism	
592	alpha-Linolenic acid metabolism	
1040	Biosynthesis of unsaturated fatty acids	
Nucleotide metabolism		
230	Purine metabolism	
240	Pyrimidine metabolism	
Amino acid metabolism		
250	Alanine, aspartate and glutamate metabolism	-
260	Glycine, serine and threonine metabolism	-
270	Cysteine and methionine metabolism	
280	Valine, leucine and isoleucine degradation	-
290	Valine, leucine and isoleucine biosynthesis	-
300	Lysine biosynthesis	
310	Lysine degradation	
220	Arginine biosynthesis	
330	Arginine and proline metabolism	
340	Histidine metabolism	
350	Tyrosine metabolism	
360	Phenylalanine metabolism	
380	Tryptophan metabolism	
400	Phenylalanine, tyrosine and tryptophan biosynthesis	-
Metabolism of other amino acids		
410	beta-Alanine metabolism	
430	Taurine and hypotaurine metabolism	
440	Phosphonate and phosphinate metabolism	
450	Selenocompound metabolism	
460	Cyanoamino acid metabolism	
480	Glutathione metabolism	
Glycan biosynthesis and metabolism		
510	N-Glycan biosynthesis	
513	Various types of N-glycan biosynthesis	
514	Other types of O-glycan biosynthesis	
531	Glycosaminoglycan degradation	
563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	
601	Glycosphingolipid biosynthesis - lacto and neolacto series	
603	Glycosphingolipid biosynthesis - globo and isoglobo series	
604	Glycosphingolipid biosynthesis - ganglio series	
511	Other glycan degradation	
Metabolism of cofactors and vitamins		
730	Thiamine metabolism	
740	Riboflavin metabolism	
750	Vitamin B6 metabolism	
760	Nicotinate and nicotinamide metabolism	
770	Pantothenate and CoA biosynthesis	
780	Biotin metabolism	
785	Lipoic acid metabolism	
790	Folate biosynthesis	
670	One carbon pool by folate	
860	Porphyrin and chlorophyll metabolism	
130	Ubiquinone and other terpenoid-quinone biosynthesis	
Metabolism of terpenoids and polyketides		
900	Terpenoid backbone biosynthesis	
902	Monoterpenoid biosynthesis	
909	Sesquiterpenoid and triterpenoid biosynthesis	
904	Diterpenoid biosynthesis	
906	Carotenoid biosynthesis	
905	Brassinosteroid biosynthesis	
908	Zeatin biosynthesis	
903	Limonene and pinene degradation	
523	Polyketide sugar unit biosynthesis	
Biosynthesis of other secondary metabolites		
940	Phenylpropanoid biosynthesis	
945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	
941	Flavonoid biosynthesis	
944	Flavone and flavonol biosynthesis	
942	Anthocyanin biosynthesis	
950	Isoquinoline alkaloid biosynthesis	
960	Tropane, piperidine and pyridine alkaloid biosynthesis	-
232	Caffeine metabolism	
965	Betalain biosynthesis	
966	Glucosinolate biosynthesis	
402	Benzoxazinoid biosynthesis	
261	Monobactam biosynthesis	
998	Biosynthesis of various secondary metabolites - part 2	
Transcription		
3020	RNA polymerase	
3022	Basal transcription factors	
3040	Spliceosome	
Translation		
3010	Ribosome	
970	Aminoacyl-tRNA biosynthesis	
3013	RNA transport	
3015	mRNA surveillance pathway	
3008	Ribosome biogenesis in eukaryotes	
Folding, sorting and degradation		
3060	Protein export	
4141	Protein processing in endoplasmic reticulum	
4130	SNARE interactions in vesicular transport	
4120	Ubiquitin mediated proteolysis	
4122	Sulfur relay system	
3050	Proteasome	
3018	RNA degradation	
Replication and repair		
3030	DNA replication	
3410	Base excision repair	
3420	Nucleotide excision repair	
3430	Mismatch repair	
3440	Homologous recombination	
3450	Non-homologous end-joining	
Membrane transport		
2010	ABC transporters	
Signal transduction		
4016	MAPK signaling pathway - plant	
4070	Phosphatidylinositol signaling system	
4075	Plant hormone signal transduction	
Transport and catabolism		
4144	Endocytosis	
4145	Phagosome	
4146	Peroxisome	
4136	Autophagy - other	
Environmental adaptation		
4712	Circadian rhythm - plant	
4626	Plant-pathogen interaction	
