path,gene
path:dosa00010,Os01g0118000
path:dosa00010,Os01g0147900
path:dosa00010,Os01g0160100
path:dosa00010,Os01g0190400
path:dosa00010,Os01g0191700
path:dosa00010,Os01g0276700
path:dosa00010,Os01g0328700
path:dosa00010,Os01g0337900
path:dosa00010,Os01g0658700
path:dosa00010,Os01g0660300
path:dosa00010,Os01g0722700
path:dosa00010,Os01g0742500
path:dosa00010,Os01g0800266
path:dosa00010,Os01g0817700
path:dosa00010,Os01g0841600
path:dosa00010,Os01g0847600
path:dosa00010,Os01g0847700
path:dosa00010,Os01g0866400
path:dosa00010,Os01g0905800
path:dosa00010,Os01g0940100
path:dosa00010,Os02g0105200
path:dosa00010,Os02g0105400
path:dosa00010,Os02g0169300
path:dosa00010,Os02g0171100
path:dosa00010,Os02g0176900
path:dosa00010,Os02g0525900
path:dosa00010,Os02g0575800
path:dosa00010,Os02g0601300
path:dosa00010,Os02g0637700
path:dosa00010,Os02g0646500
path:dosa00010,Os02g0647900
path:dosa00010,Os02g0714200
path:dosa00010,Os02g0739600
path:dosa00010,Os02g0751800
path:dosa00010,Os02g0815500
path:dosa00010,Os03g0189400
path:dosa00010,Os03g0189600
path:dosa00010,Os03g0248600
path:dosa00010,Os03g0255500
path:dosa00010,Os03g0266200
path:dosa00010,Os03g0267300
path:dosa00010,Os03g0293500
path:dosa00010,Os03g0305000
path:dosa00010,Os03g0305100
path:dosa00010,Os03g0325000
path:dosa00010,Os03g0330200
path:dosa00010,Os03g0381000
path:dosa00010,Os03g0645100
path:dosa00010,Os03g0672300
path:dosa00010,Os03g0712700
path:dosa00010,Os03g0776000
path:dosa00010,Os03g0818100
path:dosa00010,Os04g0119400
path:dosa00010,Os04g0404800
path:dosa00010,Os04g0458300
path:dosa00010,Os04g0458600
path:dosa00010,Os04g0469500
path:dosa00010,Os04g0486600
path:dosa00010,Os04g0540600
path:dosa00010,Os04g0603000
path:dosa00010,Os04g0677500
path:dosa00010,Os05g0156700
path:dosa00010,Os05g0187100
path:dosa00010,Os05g0194900
path:dosa00010,Os05g0375100
path:dosa00010,Os05g0402700
path:dosa00010,Os05g0405000
path:dosa00010,Os05g0456200
path:dosa00010,Os05g0456300
path:dosa00010,Os05g0469600
path:dosa00010,Os05g0469800
path:dosa00010,Os05g0474600
path:dosa00010,Os05g0482700
path:dosa00010,Os05g0496200
path:dosa00010,Os05g0522500
path:dosa00010,Os05g0524400
path:dosa00010,Os06g0104900
path:dosa00010,Os06g0105400
path:dosa00010,Os06g0136600
path:dosa00010,Os06g0223200
path:dosa00010,Os06g0246500
path:dosa00010,Os06g0247500
path:dosa00010,Os06g0256500
path:dosa00010,Os06g0270900
path:dosa00010,Os06g0326400
path:dosa00010,Os06g0499900
path:dosa00010,Os06g0608700
path:dosa00010,Os06g0664200
path:dosa00010,Os06g0666600
path:dosa00010,Os06g0668200
path:dosa00010,Os07g0181000
path:dosa00010,Os07g0410100
path:dosa00010,Os07g0446800
path:dosa00010,Os07g0621800
path:dosa00010,Os07g0693100
path:dosa00010,Os08g0120600
path:dosa00010,Os08g0126300
path:dosa00010,Os08g0241600
path:dosa00010,Os08g0345700
path:dosa00010,Os08g0431300
path:dosa00010,Os08g0439000
path:dosa00010,Os08g0440800
path:dosa00010,Os08g0476400
path:dosa00010,Os08g0478800
path:dosa00010,Os08g0536000
path:dosa00010,Os09g0298100
path:dosa00010,Os09g0327400
path:dosa00010,Os09g0375000
path:dosa00010,Os09g0408600
path:dosa00010,Os09g0415800
path:dosa00010,Os09g0440300
path:dosa00010,Os09g0465600
path:dosa00010,Os09g0479800
path:dosa00010,Os09g0509200
path:dosa00010,Os10g0155500
path:dosa00010,Os10g0159800
path:dosa00010,Os10g0163340
path:dosa00010,Os10g0167300
path:dosa00010,Os10g0189100
path:dosa00010,Os10g0204400
path:dosa00010,Os10g0405600
path:dosa00010,Os10g0442100
path:dosa00010,Os10g0571200
path:dosa00010,Os11g0138600
path:dosa00010,Os11g0148500
path:dosa00010,Os11g0171300
path:dosa00010,Os11g0186200
path:dosa00010,Os11g0210300
path:dosa00010,Os11g0210500
path:dosa00010,Os11g0210600
path:dosa00010,Os11g0216000
path:dosa00010,Os12g0135051
path:dosa00010,Os12g0145700
path:dosa00010,Os12g0169600
path:dosa00010,Os12g0178000
path:dosa00010,Os12g0182200
path:dosa00010,Os12g0616900
path:dosa00020,Os01g0248400
path:dosa00020,Os01g0276100
path:dosa00020,Os01g0300200
path:dosa00020,Os01g0328700
path:dosa00020,Os01g0337900
path:dosa00020,Os01g0649100
path:dosa00020,Os01g0654500
path:dosa00020,Os01g0829800
path:dosa00020,Os02g0105200
path:dosa00020,Os02g0121800
path:dosa00020,Os02g0194100
path:dosa00020,Os02g0232400
path:dosa00020,Os02g0514700
path:dosa00020,Os02g0595500
path:dosa00020,Os02g0621700
path:dosa00020,Os02g0739600
path:dosa00020,Os03g0136900
path:dosa00020,Os03g0255500
path:dosa00020,Os03g0337900
path:dosa00020,Os03g0645100
path:dosa00020,Os03g0773800
path:dosa00020,Os04g0119400
path:dosa00020,Os04g0390000
path:dosa00020,Os04g0394200
path:dosa00020,Os04g0479200
path:dosa00020,Os04g0508200
path:dosa00020,Os04g0551200
path:dosa00020,Os05g0156700
path:dosa00020,Os05g0573200
path:dosa00020,Os05g0574400
path:dosa00020,Os06g0105400
path:dosa00020,Os06g0246500
path:dosa00020,Os06g0303400
path:dosa00020,Os06g0499900
path:dosa00020,Os07g0134800
path:dosa00020,Os07g0410100
path:dosa00020,Os07g0521000
path:dosa00020,Os07g0577700
path:dosa00020,Os07g0630800
path:dosa00020,Os07g0695800
path:dosa00020,Os08g0120000
path:dosa00020,Os08g0431300
path:dosa00020,Os08g0434300
path:dosa00020,Os08g0536000
path:dosa00020,Os09g0370300
path:dosa00020,Os09g0408600
path:dosa00020,Os09g0509200
path:dosa00020,Os10g0204400
path:dosa00020,Os10g0478200
path:dosa00020,Os11g0538900
path:dosa00020,Os11g0693800
path:dosa00020,Os11g0696200
path:dosa00020,Os12g0182200
path:dosa00020,Os12g0566300
path:dosa00020,Os12g0616900
path:dosa00020,Os12g0632700
path:dosa00030,Os01g0118000
path:dosa00030,Os01g0191700
path:dosa00030,Os01g0665400
path:dosa00030,Os01g0866400
path:dosa00030,Os01g0905800
path:dosa00030,Os01g0926300
path:dosa00030,Os02g0127700
path:dosa00030,Os02g0600400
path:dosa00030,Os02g0714200
path:dosa00030,Os03g0100040
path:dosa00030,Os03g0169100
path:dosa00030,Os03g0267300
path:dosa00030,Os03g0318500
