GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
nucleic acid metabolic process (GO:0090304)	1869	133	2.05e+01	+	6.47e+00	3.95e-66	1.90e-62
heterocycle metabolic process (GO:0046483)	2467	149	2.71e+01	+	5.49e+00	7.04e-66	1.69e-62
nucleobase-containing compound metabolic process (GO:0006139)	2249	143	2.47e+01	+	5.78e+00	1.24e-65	1.98e-62
ncRNA metabolic process (GO:0034660)	468	78	5.15e+00	+	1.52e+01	1.21e-62	1.45e-59
organic cyclic compound metabolic process (GO:1901360)	2670	150	2.94e+01	+	5.11e+00	1.98e-62	1.90e-59
cellular aromatic compound metabolic process (GO:0006725)	2592	147	2.85e+01	+	5.16e+00	1.52e-61	1.22e-58
cellular nitrogen compound metabolic process (GO:0034641)	3077	158	3.38e+01	+	4.67e+00	4.62e-61	3.18e-58
gene expression (GO:0010467)	1710	121	1.88e+01	+	6.44e+00	1.76e-59	1.06e-56
RNA metabolic process (GO:0016070)	1422	111	1.56e+01	+	7.10e+00	2.77e-58	1.48e-55
RNA processing (GO:0006396)	789	88	8.67e+00	+	1.01e+01	1.76e-57	8.48e-55
ncRNA processing (GO:0034470)	385	69	4.23e+00	+	1.63e+01	3.10e-57	1.36e-54
ribonucleoprotein complex biogenesis (GO:0022613)	443	64	4.87e+00	+	1.31e+01	7.07e-48	2.83e-45
ribosome biogenesis (GO:0042254)	350	56	3.85e+00	+	1.46e+01	4.51e-44	1.67e-41
rRNA processing (GO:0006364)	250	49	2.75e+00	+	1.78e+01	2.30e-42	7.90e-40
rRNA metabolic process (GO:0016072)	261	49	2.87e+00	+	1.71e+01	1.42e-41	4.55e-39
nitrogen compound metabolic process (GO:0006807)	7241	200	7.96e+01	+	2.51e+00	5.25e-38	1.58e-35
cellular component organization or biogenesis (GO:0071840)	2333	103	2.56e+01	+	4.02e+00	5.01e-33	1.42e-30
cellular component biogenesis (GO:0044085)	1079	71	1.19e+01	+	5.99e+00	2.03e-32	5.43e-30
macromolecule metabolic process (GO:0043170)	6639	179	7.30e+01	+	2.45e+00	1.00e-31	2.54e-29
cellular process (GO:0009987)	12532	261	1.38e+02	+	1.89e+00	2.11e-31	5.08e-29
organic substance metabolic process (GO:0071704)	9130	212	1.00e+02	+	2.11e+00	1.03e-29	2.36e-27
cellular metabolic process (GO:0044237)	8644	204	9.50e+01	+	2.15e+00	2.33e-29	5.10e-27
primary metabolic process (GO:0044238)	8591	200	9.45e+01	+	2.12e+00	9.94e-28	2.08e-25
metabolic process (GO:0008152)	10010	215	1.10e+02	+	1.95e+00	1.03e-25	2.07e-23
UNCLASSIFIED 	26690	181	2.93e+02	-	6.17e-01	1.11e-24	2.13e-22
biological_process (GO:0008150)	16969	299	1.87e+02	+	1.60e+00	1.11e-24	2.05e-22
tRNA metabolic process (GO:0006399)	207	30	2.28e+00	+	1.32e+01	6.14e-23	1.09e-20
RNA modification (GO:0009451)	291	32	3.20e+00	+	1.00e+01	4.39e-21	7.55e-19
tRNA processing (GO:0008033)	129	20	1.42e+00	+	1.41e+01	3.13e-16	5.18e-14
macromolecule methylation (GO:0043414)	171	21	1.88e+00	+	1.12e+01	3.81e-15	6.11e-13
maturation of SSU-rRNA (GO:0030490)	46	13	5.06e-01	+	2.57e+01	6.50e-14	1.01e-11
RNA methylation (GO:0001510)	76	15	8.36e-01	+	1.80e+01	7.29e-14	1.10e-11
organelle organization (GO:0006996)	1306	48	1.44e+01	+	3.34e+00	1.07e-12	1.55e-10
tRNA modification (GO:0006400)	94	15	1.03e+00	+	1.45e+01	1.13e-12	1.60e-10
ribosomal small subunit biogenesis (GO:0042274)	77	14	8.47e-01	+	1.65e+01	1.33e-12	1.83e-10
methylation (GO:0032259)	329	24	3.62e+00	+	6.64e+00	1.60e-12	2.13e-10
ribosomal large subunit biogenesis (GO:0042273)	97	14	1.07e+00	+	1.31e+01	2.16e-11	2.80e-09
maturation of 5.8S rRNA (GO:0000460)	43	10	4.73e-01	+	2.12e+01	2.71e-10	3.42e-08
cellular component organization (GO:0016043)	2018	56	2.22e+01	+	2.52e+00	5.70e-10	7.02e-08
organic substance biosynthetic process (GO:1901576)	2696	67	2.96e+01	+	2.26e+00	9.05e-10	1.09e-07
cellular nitrogen compound biosynthetic process (GO:0044271)	1294	42	1.42e+01	+	2.95e+00	1.13e-09	1.33e-07
protein import (GO:0017038)	111	13	1.22e+00	+	1.07e+01	1.16e-09	1.33e-07
biosynthetic process (GO:0009058)	2832	69	3.11e+01	+	2.22e+00	1.23e-09	1.38e-07
cellular biosynthetic process (GO:0044249)	2585	65	2.84e+01	+	2.29e+00	1.43e-09	1.57e-07
organonitrogen compound biosynthetic process (GO:1901566)	1378	43	1.52e+01	+	2.84e+00	2.22e-09	2.37e-07
maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000466)	30	8	3.30e-01	+	2.43e+01	6.78e-09	7.09e-07
ribonucleoprotein complex assembly (GO:0022618)	157	14	1.73e+00	+	8.11e+00	6.88e-09	7.04e-07
maturation of LSU-rRNA (GO:0000470)	47	9	5.17e-01	+	1.74e+01	9.51e-09	9.53e-07
cellular amino acid metabolic process (GO:0006520)	400	21	4.40e+00	+	4.78e+00	1.05e-08	1.03e-06
ribonucleoprotein complex subunit organization (GO:0071826)	163	14	1.79e+00	+	7.81e+00	1.07e-08	1.03e-06
DNA repair (GO:0006281)	327	19	3.60e+00	+	5.28e+00	1.15e-08	1.08e-06
DNA metabolic process (GO:0006259)	444	22	4.88e+00	+	4.51e+00	1.26e-08	1.17e-06
