GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
biological_process (GO:0008150)	16969	391	2.36e+02	+	1.66e+00	2.45e-36	1.18e-32
UNCLASSIFIED 	26690	216	3.71e+02	-	5.82e-01	2.45e-36	5.88e-33
cellular process (GO:0009987)	12532	288	1.74e+02	+	1.65e+00	5.00e-22	8.02e-19
phosphate-containing compound metabolic process (GO:0006796)	2563	99	3.56e+01	+	2.78e+00	1.47e-19	1.77e-16
phosphorus metabolic process (GO:0006793)	2599	99	3.61e+01	+	2.74e+00	3.69e-19	3.55e-16
metabolic process (GO:0008152)	10010	238	1.39e+02	+	1.71e+00	6.03e-19	4.83e-16
phosphorylation (GO:0016310)	1822	77	2.53e+01	+	3.04e+00	2.54e-17	1.75e-14
cellular metabolic process (GO:0044237)	8644	207	1.20e+02	+	1.72e+00	2.88e-16	1.73e-13
organic substance metabolic process (GO:0071704)	9130	214	1.27e+02	+	1.69e+00	7.55e-16	4.04e-13
primary metabolic process (GO:0044238)	8591	201	1.19e+02	+	1.68e+00	1.15e-14	5.55e-12
small molecule metabolic process (GO:0044281)	1403	60	1.95e+01	+	3.08e+00	6.89e-14	3.01e-11
response to stimulus (GO:0050896)	3478	104	4.84e+01	+	2.15e+00	3.36e-13	1.35e-10
protein phosphorylation (GO:0006468)	1507	61	2.10e+01	+	2.91e+00	4.07e-13	1.51e-10
lipid metabolic process (GO:0006629)	951	46	1.32e+01	+	3.48e+00	1.26e-12	4.34e-10
response to stress (GO:0006950)	2116	72	2.94e+01	+	2.45e+00	9.19e-12	2.95e-09
response to chemical (GO:0042221)	1139	48	1.58e+01	+	3.03e+00	4.03e-11	1.21e-08
cellular lipid metabolic process (GO:0044255)	676	35	9.40e+00	+	3.72e+00	1.19e-10	3.36e-08
organic acid metabolic process (GO:0006082)	860	38	1.20e+01	+	3.18e+00	1.35e-09	3.60e-07
cellular response to chemical stimulus (GO:0070887)	727	34	1.01e+01	+	3.36e+00	2.62e-09	6.63e-07
organonitrogen compound metabolic process (GO:1901564)	5535	130	7.70e+01	+	1.69e+00	3.04e-09	7.31e-07
lipid biosynthetic process (GO:0008610)	549	29	7.63e+00	+	3.80e+00	3.09e-09	7.07e-07
detoxification (GO:0098754)	269	19	3.74e+00	+	5.08e+00	2.41e-08	5.26e-06
response to toxic substance (GO:0009636)	277	19	3.85e+00	+	4.93e+00	3.73e-08	7.79e-06
carboxylic acid metabolic process (GO:0019752)	818	34	1.14e+01	+	2.99e+00	4.15e-08	8.31e-06
