GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
cellular process (GO:0009987)	12532	861	5.62e+02	+	1.53e+00	1.08e-44	5.18e-41
UNCLASSIFIED 	26690	883	1.20e+03	-	7.38e-01	2.07e-44	4.99e-41
biological_process (GO:0008150)	16969	1074	7.61e+02	+	1.41e+00	2.07e-44	3.32e-41
metabolic process (GO:0008152)	10010	709	4.49e+02	+	1.58e+00	2.47e-38	2.97e-35
cellular metabolic process (GO:0044237)	8644	633	3.87e+02	+	1.63e+00	3.15e-37	3.03e-34
organic substance biosynthetic process (GO:1901576)	2696	262	1.21e+02	+	2.17e+00	1.55e-29	1.24e-26
biosynthetic process (GO:0009058)	2832	270	1.27e+02	+	2.13e+00	3.25e-29	2.23e-26
cellular biosynthetic process (GO:0044249)	2585	252	1.16e+02	+	2.17e+00	1.62e-28	9.72e-26
organic substance metabolic process (GO:0071704)	9130	619	4.09e+02	+	1.51e+00	3.19e-27	1.71e-24
photosynthesis (GO:0015979)	187	56	8.38e+00	+	6.68e+00	2.75e-25	1.32e-22
small molecule metabolic process (GO:0044281)	1403	150	6.29e+01	+	2.39e+00	1.87e-20	8.19e-18
primary metabolic process (GO:0044238)	8591	556	3.85e+02	+	1.44e+00	1.49e-19	5.99e-17
organonitrogen compound biosynthetic process (GO:1901566)	1378	146	6.18e+01	+	2.36e+00	1.69e-19	6.26e-17
cellular nitrogen compound metabolic process (GO:0034641)	3077	246	1.38e+02	+	1.78e+00	3.20e-17	1.10e-14
nitrogen compound metabolic process (GO:0006807)	7241	473	3.25e+02	+	1.46e+00	6.31e-17	2.02e-14
cellular nitrogen compound biosynthetic process (GO:0044271)	1294	128	5.80e+01	+	2.21e+00	3.71e-15	1.11e-12
heterocycle metabolic process (GO:0046483)	2467	202	1.11e+02	+	1.83e+00	3.88e-15	1.10e-12
organic cyclic compound metabolic process (GO:1901360)	2670	212	1.20e+02	+	1.77e+00	1.22e-14	3.25e-12
cellular aromatic compound metabolic process (GO:0006725)	2592	207	1.16e+02	+	1.78e+00	1.62e-14	4.11e-12
oxoacid metabolic process (GO:0043436)	828	90	3.71e+01	+	2.42e+00	4.27e-13	1.03e-10
carboxylic acid metabolic process (GO:0019752)	818	89	3.67e+01	+	2.43e+00	5.58e-13	1.28e-10
organonitrogen compound metabolic process (GO:1901564)	5535	363	2.48e+02	+	1.46e+00	6.37e-13	1.39e-10
small molecule biosynthetic process (GO:0044283)	571	70	2.56e+01	+	2.73e+00	1.72e-12	3.59e-10
organic acid metabolic process (GO:0006082)	860	90	3.85e+01	+	2.33e+00	3.41e-12	6.84e-10
photosynthesis, light reaction (GO:0019684)	84	25	3.77e+00	+	6.64e+00	4.81e-12	9.24e-10
gene expression (GO:0010467)	1710	143	7.67e+01	+	1.87e+00	1.53e-11	2.82e-09
cellular amino acid metabolic process (GO:0006520)	400	52	1.79e+01	+	2.90e+00	1.45e-10	2.58e-08
tetrapyrrole metabolic process (GO:0033013)	62	20	2.78e+00	+	7.20e+00	1.96e-10	3.37e-08
tetrapyrrole biosynthetic process (GO:0033014)	45	17	2.02e+00	+	8.43e+00	6.20e-10	1.03e-07
cellular macromolecule biosynthetic process (GO:0034645)	1360	115	6.10e+01	+	1.89e+00	8.29e-10	1.33e-07
generation of precursor metabolites and energy (GO:0006091)	444	54	1.99e+01	+	2.71e+00	8.64e-10	1.34e-07
cellular amide metabolic process (GO:0043603)	821	80	3.68e+01	+	2.17e+00	1.16e-09	1.74e-07
amide biosynthetic process (GO:0043604)	660	69	2.96e+01	+	2.33e+00	1.55e-09	2.26e-07
macromolecule biosynthetic process (GO:0009059)	1414	117	6.34e+01	+	1.85e+00	1.77e-09	2.51e-07
translation (GO:0006412)	586	63	2.63e+01	+	2.40e+00	2.12e-09	2.91e-07
plastid organization (GO:0009657)	159	29	7.13e+00	+	4.07e+00	2.49e-09	3.32e-07
peptide biosynthetic process (GO:0043043)	598	64	2.68e+01	+	2.39e+00	2.71e-09	3.52e-07
porphyrin-containing compound metabolic process (GO:0006778)	60	18	2.69e+00	+	6.69e+00	4.09e-09	5.17e-07
chlorophyll metabolic process (GO:0015994)	46	16	2.06e+00	+	7.76e+00	5.21e-09	6.42e-07
heterocycle biosynthetic process (GO:0018130)	691	69	3.10e+01	+	2.23e+00	6.64e-09	7.98e-07
organic cyclic compound biosynthetic process (GO:1901362)	847	79	3.80e+01	+	2.08e+00	9.30e-09	1.09e-06
pigment biosynthetic process (GO:0046148)	73	19	3.27e+00	+	5.81e+00	1.09e-08	1.25e-06
peptide metabolic process (GO:0006518)	715	70	3.20e+01	+	2.18e+00	1.16e-08	1.30e-06
porphyrin-containing compound biosynthetic process (GO:0006779)	42	15	1.88e+00	+	7.97e+00	1.17e-08	1.28e-06
chlorophyll biosynthetic process (GO:0015995)	31	13	1.39e+00	+	9.36e+00	2.39e-08	2.56e-06
aromatic compound biosynthetic process (GO:0019438)	761	71	3.41e+01	+	2.08e+00	5.33e-08	5.58e-06
alpha-amino acid metabolic process (GO:1901605)	247	34	1.11e+01	+	3.07e+00	6.16e-08	6.31e-06
pigment metabolic process (GO:0042440)	88	19	3.94e+00	+	4.82e+00	1.40e-07	1.41e-05
serine family amino acid metabolic process (GO:0009069)	61	16	2.73e+00	+	5.85e+00	1.42e-07	1.39e-05
carboxylic acid biosynthetic process (GO:0046394)	402	45	1.80e+01	+	2.50e+00	1.94e-07	1.87e-05
lipid metabolic process (GO:0006629)	951	81	4.26e+01	+	1.90e+00	2.18e-07	2.05e-05
nucleobase-containing compound metabolic process (GO:0006139)	2249	156	1.01e+02	+	1.55e+00	2.75e-07	2.55e-05
macromolecule metabolic process (GO:0043170)	6639	381	2.98e+02	+	1.28e+00	6.72e-07	6.10e-05
transmembrane transport (GO:0055085)	1369	104	6.14e+01	+	1.69e+00	7.97e-07	7.10e-05
organic acid biosynthetic process (GO:0016053)	425	45	1.91e+01	+	2.36e+00	8.06e-07	7.05e-05
organophosphate metabolic process (GO:0019637)	614	57	2.75e+01	+	2.07e+00	1.16e-06	9.95e-05
cellular lipid metabolic process (GO:0044255)	676	61	3.03e+01	+	2.01e+00	1.33e-06	1.12e-04
carbohydrate biosynthetic process (GO:0016051)	277	33	1.24e+01	+	2.66e+00	1.80e-06	1.49e-04
response to light stimulus (GO:0009416)	214	28	9.59e+00	+	2.92e+00	2.12e-06	1.73e-04
chloroplast organization (GO:0009658)	130	21	5.83e+00	+	3.60e+00	2.14e-06	1.72e-04
photosynthetic electron transport chain (GO:0009767)	35	11	1.57e+00	+	7.01e+00	2.93e-06	2.31e-04
photosynthetic electron transport in photosystem I (GO:0009773)	15	8	6.72e-01	+	1.19e+01	3.11e-06	2.41e-04
response to radiation (GO:0009314)	223	28	1.00e+01	+	2.80e+00	4.32e-06	3.30e-04
heme biosynthetic process (GO:0006783)	17	8	7.62e-01	+	1.05e+01	6.36e-06	4.78e-04
response to abiotic stimulus (GO:0009628)	527	49	2.36e+01	+	2.07e+00	6.38e-06	4.72e-04
phosphorus metabolic process (GO:0006793)	2599	167	1.16e+02	+	1.43e+00	8.02e-06	5.84e-04
regulation of photosynthesis (GO:0010109)	26	9	1.17e+00	+	7.72e+00	1.24e-05	8.89e-04
response to toxic substance (GO:0009636)	277	31	1.24e+01	+	2.50e+00	1.27e-05	8.95e-04
photosystem II repair (GO:0010206)	8	6	3.59e-01	+	1.67e+01	1.38e-05	9.62e-04
chloroplast rRNA processing (GO:1901259)	20	8	8.96e-01	+	8.92e+00	1.63e-05	1.12e-03
glycogen metabolic process (GO:0005977)	20	8	8.96e-01	+	8.92e+00	1.63e-05	1.10e-03
energy reserve metabolic process (GO:0006112)	20	8	8.96e-01	+	8.92e+00	1.63e-05	1.09e-03
heme metabolic process (GO:0042168)	20	8	8.96e-01	+	8.92e+00	1.63e-05	1.07e-03
alpha-amino acid biosynthetic process (GO:1901607)	164	22	7.35e+00	+	2.99e+00	1.78e-05	1.15e-03
glycine metabolic process (GO:0006544)	14	7	6.28e-01	+	1.12e+01	1.81e-05	1.16e-03
detoxification (GO:0098754)	269	30	1.21e+01	+	2.49e+00	1.85e-05	1.17e-03
cellular macromolecule metabolic process (GO:0044260)	5163	296	2.31e+02	+	1.28e+00	1.90e-05	1.19e-03
phosphate-containing compound metabolic process (GO:0006796)	2563	163	1.15e+02	+	1.42e+00	2.10e-05	1.30e-03
lipid biosynthetic process (GO:0008610)	549	49	2.46e+01	+	1.99e+00	2.38e-05	1.45e-03
protein repair (GO:0030091)	15	7	6.72e-01	+	1.04e+01	2.56e-05	1.54e-03
protoporphyrinogen IX biosynthetic process (GO:0006782)	10	6	4.48e-01	+	1.34e+01	3.42e-05	2.03e-03
