GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
cellular nitrogen compound metabolic process (GO:0034641)	3077	651	1.33e+02	+	4.89e+00	1.49e-244	7.15e-241
gene expression (GO:0010467)	1710	495	7.40e+01	+	6.69e+00	3.46e-230	8.32e-227
nitrogen compound metabolic process (GO:0006807)	7241	806	3.13e+02	+	2.57e+00	2.05e-148	3.28e-145
nucleobase-containing compound metabolic process (GO:0006139)	2249	435	9.73e+01	+	4.47e+00	1.25e-142	1.50e-139
nucleic acid metabolic process (GO:0090304)	1869	395	8.09e+01	+	4.88e+00	1.39e-139	1.34e-136
heterocycle metabolic process (GO:0046483)	2467	444	1.07e+02	+	4.16e+00	1.06e-135	8.51e-133
macromolecule metabolic process (GO:0043170)	6639	743	2.87e+02	+	2.59e+00	9.35e-135	6.43e-132
organic cyclic compound metabolic process (GO:1901360)	2670	448	1.16e+02	+	3.88e+00	3.55e-127	2.13e-124
cellular aromatic compound metabolic process (GO:0006725)	2592	441	1.12e+02	+	3.93e+00	6.83e-127	3.65e-124
primary metabolic process (GO:0044238)	8591	842	3.72e+02	+	2.27e+00	6.37e-126	3.06e-123
ribonucleoprotein complex biogenesis (GO:0022613)	443	209	1.92e+01	+	1.09e+01	1.03e-125	4.48e-123
cellular process (GO:0009987)	12532	1051	5.42e+02	+	1.94e+00	1.30e-125	5.22e-123
organic substance metabolic process (GO:0071704)	9130	870	3.95e+02	+	2.20e+00	9.21e-125	3.41e-122
cellular metabolic process (GO:0044237)	8644	842	3.74e+02	+	2.25e+00	2.51e-124	8.63e-122
translation (GO:0006412)	586	228	2.54e+01	+	8.99e+00	3.29e-123	1.05e-120
cellular nitrogen compound biosynthetic process (GO:0044271)	1294	314	5.60e+01	+	5.61e+00	3.59e-123	1.08e-120
peptide biosynthetic process (GO:0043043)	598	229	2.59e+01	+	8.85e+00	1.39e-122	3.95e-120
RNA metabolic process (GO:0016070)	1422	325	6.15e+01	+	5.28e+00	1.94e-121	5.17e-119
amide biosynthetic process (GO:0043604)	660	233	2.86e+01	+	8.16e+00	1.29e-118	3.26e-116
peptide metabolic process (GO:0006518)	715	236	3.09e+01	+	7.63e+00	5.11e-115	1.23e-112
metabolic process (GO:0008152)	10010	894	4.33e+02	+	2.06e+00	2.10e-113	4.81e-111
cellular macromolecule biosynthetic process (GO:0034645)	1360	305	5.88e+01	+	5.18e+00	1.03e-111	2.25e-109
ribosome biogenesis (GO:0042254)	350	176	1.51e+01	+	1.16e+01	3.55e-109	7.43e-107
cellular amide metabolic process (GO:0043603)	821	242	3.55e+01	+	6.81e+00	4.09e-109	8.20e-107
macromolecule biosynthetic process (GO:0009059)	1414	306	6.12e+01	+	5.00e+00	1.32e-108	2.54e-106
ncRNA metabolic process (GO:0034660)	468	193	2.02e+01	+	9.53e+00	1.40e-107	2.60e-105
ncRNA processing (GO:0034470)	385	176	1.67e+01	+	1.06e+01	8.11e-104	1.44e-101
RNA processing (GO:0006396)	789	229	3.41e+01	+	6.71e+00	6.09e-102	1.05e-99
organonitrogen compound biosynthetic process (GO:1901566)	1378	290	5.96e+01	+	4.86e+00	4.52e-100	7.50e-98
cellular biosynthetic process (GO:0044249)	2585	386	1.12e+02	+	3.45e+00	2.87e-94	4.60e-92
cellular component organization or biogenesis (GO:0071840)	2333	363	1.01e+02	+	3.60e+00	1.10e-92	1.71e-90
organic substance biosynthetic process (GO:1901576)	2696	391	1.17e+02	+	3.35e+00	3.48e-92	5.24e-90
biological_process (GO:0008150)	16969	1178	7.34e+02	+	1.60e+00	2.78e-90	4.05e-88
UNCLASSIFIED 	26690	711	1.15e+03	-	6.16e-01	2.78e-90	3.93e-88
biosynthetic process (GO:0009058)	2832	395	1.23e+02	+	3.22e+00	1.22e-88	1.68e-86
cellular component biogenesis (GO:0044085)	1079	243	4.67e+01	+	5.21e+00	1.74e-88	2.33e-86
cellular macromolecule metabolic process (GO:0044260)	5163	530	2.23e+02	+	2.37e+00	9.87e-77	1.28e-74
rRNA metabolic process (GO:0016072)	261	124	1.13e+01	+	1.10e+01	1.35e-74	1.70e-72
rRNA processing (GO:0006364)	250	121	1.08e+01	+	1.12e+01	1.62e-73	2.00e-71
RNA modification (GO:0009451)	291	102	1.26e+01	+	8.10e+00	1.62e-51	1.95e-49
ribosomal large subunit biogenesis (GO:0042273)	97	64	4.20e+00	+	1.52e+01	1.52e-45	1.78e-43
ribonucleoprotein complex assembly (GO:0022618)	157	69	6.79e+00	+	1.02e+01	3.21e-40	3.68e-38
organonitrogen compound metabolic process (GO:1901564)	5535	457	2.39e+02	+	1.91e+00	3.46e-40	3.87e-38
ribonucleoprotein complex subunit organization (GO:0071826)	163	69	7.05e+00	+	9.78e+00	2.16e-39	2.36e-37
