GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
plant-type cell wall biogenesis (GO:0009832)	109	22	1.20e+00	+	1.84e+01	6.86e-20	3.30e-16
plant-type cell wall organization or biogenesis (GO:0071669)	156	23	1.72e+00	+	1.34e+01	4.93e-18	1.19e-14
microtubule-based process (GO:0007017)	193	24	2.12e+00	+	1.13e+01	3.13e-17	5.02e-14
cell wall biogenesis (GO:0042546)	173	23	1.90e+00	+	1.21e+01	3.83e-17	4.61e-14
cell wall organization or biogenesis (GO:0071554)	417	31	4.58e+00	+	6.76e+00	5.22e-16	5.02e-13
plant-type secondary cell wall biogenesis (GO:0009834)	56	15	6.16e-01	+	2.44e+01	1.48e-15	1.19e-12
cytoskeleton organization (GO:0007010)	214	22	2.35e+00	+	9.35e+00	2.39e-14	1.64e-11
microtubule cytoskeleton organization (GO:0000226)	127	18	1.40e+00	+	1.29e+01	3.87e-14	2.33e-11
cellulose metabolic process (GO:0030243)	73	14	8.03e-01	+	1.74e+01	7.03e-13	3.76e-10
cellular polysaccharide metabolic process (GO:0044264)	259	22	2.85e+00	+	7.73e+00	8.37e-13	4.03e-10
carbohydrate metabolic process (GO:0005975)	1036	42	1.14e+01	+	3.69e+00	1.53e-12	6.67e-10
beta-glucan metabolic process (GO:0051273)	84	14	9.24e-01	+	1.52e+01	3.80e-12	1.52e-09
polysaccharide biosynthetic process (GO:0000271)	178	18	1.96e+00	+	9.20e+00	7.10e-12	2.63e-09
cellular polysaccharide biosynthetic process (GO:0033692)	160	17	1.76e+00	+	9.66e+00	1.33e-11	4.57e-09
polysaccharide metabolic process (GO:0005976)	377	24	4.14e+00	+	5.79e+00	2.33e-11	7.46e-09
cellulose biosynthetic process (GO:0030244)	46	11	5.06e-01	+	2.18e+01	2.64e-11	7.94e-09
beta-glucan biosynthetic process (GO:0051274)	57	11	6.27e-01	+	1.76e+01	1.97e-10	5.57e-08
cell wall organization (GO:0071555)	316	21	3.47e+00	+	6.04e+00	2.00e-10	5.33e-08
secondary metabolic process (GO:0019748)	148	15	1.63e+00	+	9.22e+00	3.91e-10	9.89e-08
cellular carbohydrate biosynthetic process (GO:0034637)	206	17	2.26e+00	+	7.51e+00	5.06e-10	1.22e-07
cellular carbohydrate metabolic process (GO:0044262)	411	23	4.52e+00	+	5.09e+00	6.58e-10	1.51e-07
external encapsulating structure organization (GO:0045229)	342	21	3.76e+00	+	5.59e+00	7.68e-10	1.68e-07
carbohydrate biosynthetic process (GO:0016051)	277	18	3.05e+00	+	5.91e+00	5.49e-09	1.15e-06
biological_process (GO:0008150)	16969	250	1.87e+02	+	1.34e+00	5.99e-09	1.20e-06
UNCLASSIFIED 	26690	230	2.93e+02	-	7.84e-01	5.99e-09	1.15e-06
phenylpropanoid metabolic process (GO:0009698)	84	11	9.24e-01	+	1.19e+01	7.71e-09	1.43e-06
cellular component organization or biogenesis (GO:0071840)	2333	58	2.56e+01	+	2.26e+00	1.23e-08	2.20e-06
cellular glucan metabolic process (GO:0006073)	195	15	2.14e+00	+	7.00e+00	1.28e-08	2.20e-06
plant-type primary cell wall biogenesis (GO:0009833)	33	8	3.63e-01	+	2.21e+01	1.29e-08	2.13e-06
glucan metabolic process (GO:0044042)	201	15	2.21e+00	+	6.79e+00	1.87e-08	2.99e-06
mitotic cytokinesis (GO:0000281)	35	8	3.85e-01	+	2.08e+01	1.92e-08	2.97e-06
cytoskeleton-dependent cytokinesis (GO:0061640)	38	8	4.18e-01	+	1.91e+01	3.35e-08	5.04e-06
glucan biosynthetic process (GO:0009250)	116	11	1.28e+00	+	8.63e+00	1.61e-07	2.34e-05
mitotic cell cycle (GO:0000278)	219	14	2.41e+00	+	5.81e+00	3.30e-07	4.66e-05
cellular component organization (GO:0016043)	2018	49	2.22e+01	+	2.21e+00	5.64e-07	7.75e-05
cytokinesis (GO:0000910)	58	8	6.38e-01	+	1.25e+01	6.10e-07	8.15e-05
lignin metabolic process (GO:0009808)	54	7	5.94e-01	+	1.18e+01	4.53e-06	5.88e-04
xylan biosynthetic process (GO:0045492)	39	6	4.29e-01	+	1.40e+01	9.12e-06	1.15e-03
metabolic process (GO:0008152)	10010	153	1.10e+02	+	1.39e+00	9.21e-06	1.14e-03
cell wall macromolecule metabolic process (GO:0044036)	150	10	1.65e+00	+	6.06e+00	1.12e-05	1.35e-03
xylan metabolic process (GO:0045491)	63	7	6.93e-01	+	1.01e+01	1.14e-05	1.34e-03
gene expression (GO:0010467)	1710	3	1.88e+01	-	1.60e-01	1.35e-05	1.54e-03
cell wall polysaccharide metabolic process (GO:0010383)	125	9	1.37e+00	+	6.55e+00	1.73e-05	1.94e-03
nucleic acid metabolic process (GO:0090304)	1869	4	2.05e+01	-	1.95e-01	1.81e-05	1.98e-03
