GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
UNCLASSIFIED 	26690	154	2.31e+02	-	6.66e-01	1.93e-15	9.29e-12
biological_process (GO:0008150)	16969	224	1.47e+02	+	1.52e+00	1.93e-15	4.64e-12
cellular process (GO:0009987)	12532	177	1.09e+02	+	1.63e+00	1.39e-13	2.23e-10
lipid metabolic process (GO:0006629)	951	34	8.23e+00	+	4.13e+00	9.37e-12	1.13e-08
metabolic process (GO:0008152)	10010	145	8.67e+01	+	1.67e+00	2.09e-11	2.01e-08
small molecule metabolic process (GO:0044281)	1403	39	1.21e+01	+	3.21e+00	3.59e-10	2.88e-07
cellular lipid metabolic process (GO:0044255)	676	26	5.85e+00	+	4.44e+00	6.53e-10	4.49e-07
cellular metabolic process (GO:0044237)	8644	126	7.48e+01	+	1.68e+00	7.76e-10	4.66e-07
organic substance metabolic process (GO:0071704)	9130	131	7.90e+01	+	1.66e+00	7.77e-10	4.15e-07
lipid biosynthetic process (GO:0008610)	549	21	4.75e+00	+	4.42e+00	3.25e-08	1.56e-05
carotenoid metabolic process (GO:0016116)	18	6	1.56e-01	+	3.85e+01	4.54e-08	1.99e-05
tetraterpenoid metabolic process (GO:0016108)	18	6	1.56e-01	+	3.85e+01	4.54e-08	1.82e-05
carotene biosynthetic process (GO:0016120)	8	5	6.93e-02	+	7.22e+01	5.52e-08	2.04e-05
biosynthetic process (GO:0009058)	2832	54	2.45e+01	+	2.20e+00	8.73e-08	3.00e-05
primary metabolic process (GO:0044238)	8591	117	7.44e+01	+	1.57e+00	2.38e-07	7.64e-05
phosphate-containing compound metabolic process (GO:0006796)	2563	49	2.22e+01	+	2.21e+00	2.85e-07	8.57e-05
organic substance biosynthetic process (GO:1901576)	2696	50	2.33e+01	+	2.14e+00	5.40e-07	1.53e-04
phosphorus metabolic process (GO:0006793)	2599	49	2.25e+01	+	2.18e+00	5.49e-07	1.47e-04
carotenoid biosynthetic process (GO:0016117)	15	5	1.30e-01	+	3.85e+01	6.33e-07	1.60e-04
tetraterpenoid biosynthetic process (GO:0016109)	15	5	1.30e-01	+	3.85e+01	6.33e-07	1.52e-04
cellular biosynthetic process (GO:0044249)	2585	48	2.24e+01	+	2.14e+00	9.68e-07	2.22e-04
terpene biosynthetic process (GO:0046246)	17	5	1.47e-01	+	3.40e+01	1.06e-06	2.32e-04
