GO biological process complete	Oryza sativa - REFLIST (43659)	Gene-List	Gene-List (expected)	Over/Under Representation	Fold Enrichment	raw P-value	FDR
UNCLASSIFIED 	26690	1316	1.87e+03	-	7.06e-01	1.45e-83	6.96e-80
biological_process (GO:0008150)	16969	1735	1.19e+03	+	1.46e+00	1.45e-83	3.48e-80
cellular process (GO:0009987)	12532	1304	8.76e+02	+	1.49e+00	5.86e-57	9.40e-54
organic substance metabolic process (GO:0071704)	9130	931	6.38e+02	+	1.46e+00	3.87e-33	4.65e-30
metabolic process (GO:0008152)	10010	1000	7.00e+02	+	1.43e+00	5.37e-33	5.17e-30
primary metabolic process (GO:0044238)	8591	884	6.00e+02	+	1.47e+00	2.39e-32	1.92e-29
catabolic process (GO:0009056)	1575	257	1.10e+02	+	2.33e+00	1.33e-31	9.16e-29
organonitrogen compound metabolic process (GO:1901564)	5535	621	3.87e+02	+	1.61e+00	3.20e-30	1.93e-27
cellular catabolic process (GO:0044248)	1314	223	9.18e+01	+	2.43e+00	1.39e-29	7.42e-27
organic substance catabolic process (GO:1901575)	1369	229	9.57e+01	+	2.39e+00	1.46e-29	7.00e-27
cellular metabolic process (GO:0044237)	8644	874	6.04e+02	+	1.45e+00	1.70e-29	7.45e-27
biological regulation (GO:0065007)	4754	541	3.32e+02	+	1.63e+00	2.68e-27	1.08e-24
regulation of biological process (GO:0050789)	4183	478	2.92e+02	+	1.64e+00	3.04e-24	1.12e-21
localization (GO:0051179)	2616	334	1.83e+02	+	1.83e+00	1.64e-23	5.64e-21
transport (GO:0006810)	2477	317	1.73e+02	+	1.83e+00	1.59e-22	5.10e-20
nitrogen compound metabolic process (GO:0006807)	7241	723	5.06e+02	+	1.43e+00	3.15e-22	9.46e-20
establishment of localization (GO:0051234)	2510	318	1.75e+02	+	1.81e+00	5.95e-22	1.68e-19
regulation of cellular process (GO:0050794)	3799	431	2.65e+02	+	1.62e+00	3.19e-21	8.51e-19
organonitrogen compound catabolic process (GO:1901565)	758	137	5.30e+01	+	2.59e+00	1.43e-20	3.61e-18
cellular macromolecule catabolic process (GO:0044265)	774	137	5.41e+01	+	2.53e+00	6.96e-20	1.67e-17
protein metabolic process (GO:0019538)	4554	482	3.18e+02	+	1.51e+00	1.90e-18	4.34e-16
regulation of metabolic process (GO:0019222)	2912	340	2.03e+02	+	1.67e+00	2.28e-18	4.98e-16
macromolecule catabolic process (GO:0009057)	912	146	6.37e+01	+	2.29e+00	1.25e-17	2.61e-15
regulation of macromolecule metabolic process (GO:0060255)	2827	328	1.98e+02	+	1.66e+00	2.12e-17	4.25e-15
protein catabolic process (GO:0030163)	604	109	4.22e+01	+	2.58e+00	1.37e-16	2.63e-14
regulation of cellular metabolic process (GO:0031323)	2688	312	1.88e+02	+	1.66e+00	1.40e-16	2.58e-14
regulation of nitrogen compound metabolic process (GO:0051171)	2620	306	1.83e+02	+	1.67e+00	1.60e-16	2.86e-14
regulation of primary metabolic process (GO:0080090)	2647	308	1.85e+02	+	1.67e+00	1.64e-16	2.81e-14
proteolysis (GO:0006508)	1199	172	8.38e+01	+	2.05e+00	2.05e-16	3.39e-14
cellular protein catabolic process (GO:0044257)	594	107	4.15e+01	+	2.58e+00	2.91e-16	4.67e-14
proteolysis involved in cellular protein catabolic process (GO:0051603)	593	106	4.14e+01	+	2.56e+00	5.91e-16	9.16e-14
cellular protein metabolic process (GO:0044267)	4052	426	2.83e+02	+	1.50e+00	8.38e-16	1.26e-13
organic substance transport (GO:0071702)	1214	169	8.48e+01	+	1.99e+00	4.63e-15	6.75e-13
small molecule metabolic process (GO:0044281)	1403	187	9.80e+01	+	1.91e+00	4.94e-15	6.99e-13
cellular macromolecule metabolic process (GO:0044260)	5163	508	3.61e+02	+	1.41e+00	3.98e-14	5.47e-12
proteasomal protein catabolic process (GO:0010498)	262	61	1.83e+01	+	3.33e+00	6.11e-14	8.16e-12
organophosphate metabolic process (GO:0019637)	614	102	4.29e+01	+	2.38e+00	1.30e-13	1.69e-11
modification-dependent protein catabolic process (GO:0019941)	518	91	3.62e+01	+	2.51e+00	1.65e-13	2.09e-11
regulation of gene expression (GO:0010468)	2466	278	1.72e+02	+	1.61e+00	1.75e-13	2.15e-11
modification-dependent macromolecule catabolic process (GO:0043632)	528	92	3.69e+01	+	2.49e+00	2.49e-13	2.99e-11
ubiquitin-dependent protein catabolic process (GO:0006511)	494	88	3.45e+01	+	2.55e+00	2.74e-13	3.21e-11
response to stimulus (GO:0050896)	3478	362	2.43e+02	+	1.49e+00	6.65e-13	7.62e-11
protein modification process (GO:0036211)	3158	335	2.21e+02	+	1.52e+00	6.67e-13	7.46e-11
cellular protein modification process (GO:0006464)	3158	335	2.21e+02	+	1.52e+00	6.67e-13	7.29e-11
phosphorus metabolic process (GO:0006793)	2599	286	1.82e+02	+	1.57e+00	1.11e-12	1.19e-10
phosphate-containing compound metabolic process (GO:0006796)	2563	282	1.79e+02	+	1.57e+00	1.43e-12	1.50e-10
nitrogen compound transport (GO:0071705)	1005	139	7.02e+01	+	1.98e+00	1.75e-12	1.79e-10
regulation of cellular biosynthetic process (GO:0031326)	2291	258	1.60e+02	+	1.61e+00	1.81e-12	1.81e-10
macromolecule metabolic process (GO:0043170)	6639	614	4.64e+02	+	1.32e+00	2.22e-12	2.17e-10
regulation of biosynthetic process (GO:0009889)	2298	258	1.61e+02	+	1.61e+00	2.61e-12	2.51e-10
response to organic substance (GO:0010033)	723	110	5.05e+01	+	2.18e+00	2.80e-12	2.64e-10
regulation of macromolecule biosynthetic process (GO:0010556)	2272	255	1.59e+02	+	1.61e+00	3.61e-12	3.34e-10
regulation of cellular macromolecule biosynthetic process (GO:2000112)	2268	254	1.58e+02	+	1.60e+00	4.64e-12	4.21e-10
macromolecule localization (GO:0033036)	959	133	6.70e+01	+	1.98e+00	5.00e-12	4.45e-10
regulation of nucleobase-containing compound metabolic process (GO:0019219)	2166	242	1.51e+02	+	1.60e+00	1.75e-11	1.53e-09
regulation of RNA metabolic process (GO:0051252)	2130	238	1.49e+02	+	1.60e+00	2.89e-11	2.48e-09
process utilizing autophagic mechanism (GO:0061919)	58	25	4.05e+00	+	6.17e+00	5.67e-11	4.78e-09
autophagy (GO:0006914)	58	25	4.05e+00	+	6.17e+00	5.67e-11	4.70e-09
regulation of RNA biosynthetic process (GO:2001141)	2028	226	1.42e+02	+	1.59e+00	1.08e-10	8.81e-09
regulation of transcription, DNA-templated (GO:0006355)	2028	226	1.42e+02	+	1.59e+00	1.08e-10	8.66e-09
regulation of nucleic acid-templated transcription (GO:1903506)	2028	226	1.42e+02	+	1.59e+00	1.08e-10	8.52e-09
carboxylic acid metabolic process (GO:0019752)	818	114	5.72e+01	+	1.99e+00	1.19e-10	9.27e-09
response to chemical (GO:0042221)	1139	144	7.96e+01	+	1.81e+00	2.15e-10	1.64e-08
protein modification by small protein conjugation or removal (GO:0070647)	900	121	6.29e+01	+	1.92e+00	2.30e-10	1.73e-08
oxoacid metabolic process (GO:0043436)	828	114	5.79e+01	+	1.97e+00	2.34e-10	1.73e-08
macroautophagy (GO:0016236)	39	20	2.73e+00	+	7.34e+00	4.40e-10	3.21e-08
organic acid metabolic process (GO:0006082)	860	116	6.01e+01	+	1.93e+00	4.89e-10	3.51e-08
nucleobase-containing small molecule metabolic process (GO:0055086)	388	67	2.71e+01	+	2.47e+00	6.68e-10	4.72e-08
macromolecule modification (GO:0043412)	3466	342	2.42e+02	+	1.41e+00	1.02e-09	7.10e-08
cellular response to stimulus (GO:0051716)	1835	204	1.28e+02	+	1.59e+00	1.20e-09	8.22e-08
carbohydrate derivative metabolic process (GO:1901135)	623	90	4.35e+01	+	2.07e+00	2.42e-09	1.64e-07
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	232	46	1.62e+01	+	2.84e+00	6.03e-09	4.03e-07
transmembrane transport (GO:0055085)	1369	159	9.57e+01	+	1.66e+00	7.69e-09	5.07e-07
