Gene,WGCNA_Modules, IntraModular Connectivity,
Os01g0685900,Turquoise,134.839495241752,
Os06g0671800,Turquoise,128.825408124685,
Os03g0302900,Turquoise,128.472574284099,
Os07g0604800,Turquoise,124.852880741567,
Os01g0176500,Turquoise,123.313778293647,
Os08g0512600,Turquoise,123.06798572482,
Os01g0513900,Turquoise,122.955128665772,
Os08g0558400,Turquoise,121.537448214068,
Os03g0165400,Turquoise,120.257307481457,
Os06g0726800,Turquoise,119.919623469593,
Os01g0191800,Turquoise,119.462869826797,
Os07g0616200,Turquoise,118.569330439615,
Os07g0507200,Turquoise,117.961999773217,
Os03g0587200,Turquoise,117.935031397481,
Os10g0104900,Turquoise,117.849699108596,
Os05g0476200,Turquoise,116.614376458529,
Os02g0193600,Turquoise,116.022210202221,
Os02g0258200,Turquoise,115.914640883082,
Os03g0162200,Turquoise,113.948640930899,
Os02g0264800,Turquoise,112.095738331452,
Os03g0128300,Turquoise,112.010946675498,
Os03g0780800,Turquoise,111.629705397391,
Os03g0659800,Turquoise,111.361411765898,
Os03g0114000,Turquoise,111.139833002684,
Os02g0714200,Turquoise,110.70681719845,
Os05g0555100,Turquoise,110.059103735112,
Os02g0258250,Turquoise,109.724306551076,
Os04g0563700,Turquoise,109.33726806424,
Os01g0605500,Turquoise,108.697556506893,
Os09g0497700,Turquoise,108.524658156447,
Os12g0590500,Turquoise,107.528038222319,
Os04g0467901,Turquoise,107.19382235637,
Os07g0529700,Turquoise,106.69743718426,
Os05g0535900,Turquoise,105.832688333149,
Os09g0560000,Turquoise,105.785539242377,
Os09g0556800,Turquoise,105.615404672686,
Os03g0736500,Turquoise,105.241047133644,
Os03g0174200,Turquoise,104.930890156544,
Os03g0301800,Turquoise,104.673142066342,
Os10g0498900,Turquoise,104.130098383899,
Os04g0375900,Turquoise,104.058733430304,
Os03g0212600,Turquoise,103.969355090903,
Os12g0616000,Turquoise,103.893269914355,
Os04g0640700,Turquoise,103.316099931775,
Os01g0896300,Turquoise,103.043076755708,
Os07g0408500,Turquoise,103.026327583775,
Os01g0805600,Turquoise,103.016789443614,
Os11g0580000,Turquoise,102.823870345945,
Os06g0104300,Turquoise,102.819052001123,
Os02g0829100,Turquoise,101.940433143755,
Os10g0418000,Turquoise,101.141344575678,
Os08g0421800,Turquoise,100.835360168023,
Os10g0563700,Turquoise,99.6981025719784,
Os02g0739700,Turquoise,99.551622117959,
Os09g0442700,Turquoise,99.4545258945208,
Os12g0621700,Turquoise,99.4444576662422,
Os02g0699433,Turquoise,99.0582590200647,
Os12g0263100,Turquoise,98.9654428880781,
Os02g0700100,Turquoise,98.6447266861563,
Os01g0259400,Turquoise,98.5480793611747,
Os04g0228100,Turquoise,98.2901119717965,
Os05g0235800,Turquoise,98.2644370635255,
Os02g0810200,Turquoise,97.8986871465897,
Os01g0756900,Turquoise,97.7860198484704,
Os10g0169200,Turquoise,97.4950846078041,
Os07g0600700,Turquoise,97.0452798994897,
Os07g0501800,Turquoise,96.4625425335522,
Os01g0273100,Turquoise,96.0190835271174,
Os01g0544450,Turquoise,95.7396404639927,
Os11g0169800,Turquoise,95.5334111166289,
Os01g0108800,Turquoise,95.3801933345421,
Os10g0504600,Turquoise,95.1648711346736,
Os02g0699466,Turquoise,94.9805980475082,
Os03g0770900,Turquoise,94.1442345507333,
Os03g0672400,Turquoise,93.8985208670403,
Os07g0645000,Turquoise,93.8507560418818,
Os01g0514600,Turquoise,93.8164250477796,
Os02g0109100,Turquoise,93.5109292615067,
Os03g0138500,Turquoise,93.0472590797057,
Os11g0302500,Turquoise,92.9984287700426,
Os05g0406800,Turquoise,92.9080724403456,
Os09g0533900,Turquoise,92.7607474192341,
Os03g0214100,Turquoise,92.5301573458987,
Os06g0308300,Turquoise,92.3984559076105,
Os04g0350300,Turquoise,92.1165216582095,
Os01g0226300,Turquoise,91.8027248637221,
Os01g0931200,Turquoise,91.1169173623708,
Os11g0104400,Turquoise,90.95104635443,
Os03g0339700,Turquoise,90.917342951104,
Os08g0327400,Turquoise,90.7149640773961,
Os04g0433800,Turquoise,90.532160299391,
Os04g0576900,Turquoise,89.9489178454263,
Os03g0703100,Turquoise,89.7460781385547,
Os12g0628400,Turquoise,89.0802693973189,
Os06g0127800,Turquoise,88.936999396271,
Os01g0904400,Turquoise,88.8081046954248,
Os06g0187000,Turquoise,88.750889244627,
Os02g0797400,Turquoise,87.9465732261538,
Os06g0178900,Turquoise,87.1410216225296,
Os03g0651950,Turquoise,86.8838193898583,
Os12g0555600,Turquoise,86.8431872943979,
Os02g0699500,Turquoise,86.8193432424808,
Os03g0758500,Turquoise,86.7321162378028,
Os03g0857500,Turquoise,86.5773198981032,
Os08g0420600,Turquoise,86.3572083729106,
Os09g0338500,Turquoise,86.080937368048,
Os03g0221500,Turquoise,85.4526836081048,
Os05g0556400,Turquoise,85.2400214450091,
Os09g0548200,Turquoise,84.9254455695949,
Os11g0484300,Turquoise,84.8514178352086,
Os03g0691500,Turquoise,84.5182378937846,
Os07g0105000,Turquoise,84.3856817202923,
Os04g0649700,Turquoise,84.3351032807128,
