Source,Target,k,pcc
32,55,51,0.835546658276764
32,5,76,0.841783310553151
32,94,63,0.825775493967254
32,48,27,0.85367025736063
32,77,33,0.846903205394397
32,76,38,0.848591805176965
32,67,33,0.838099586793937
32,2,14,0.897740510158951
32,17,100,0.816683798443604
32,33,23,0.869434355762468
32,62,70,0.845755978432529
32,16,84,0.825169086183687
32,59,8,0.884104520761184
32,90,73,0.80932758784901
32,41,21,0.879474482346112
32,88,22,0.867272729597366
32,81,39,0.831479825400632
32,21,2,0.932455921891979
32,71,50,0.835889098286376
32,86,49,0.843669198698466
32,42,4,0.918935756118092
32,9,54,0.856244699463378
32,3,27,0.875090155713407
32,51,8,0.900559415018562
32,83,57,0.847126942113172
32,45,77,0.8063926050596
32,0,17,0.892047463488461
32,11,1,0.941587499292083
32,44,58,0.837701740047342
32,26,46,0.840651526293496
32,14,55,0.843995732796684
32,82,66,0.795202063000784
32,53,1,0.937970703959065
32,46,28,0.873990516724048
32,12,29,0.868017340789339
32,36,88,0.821754641997196
32,66,19,0.881304455289959
32,20,33,0.869372917824866
32,54,26,0.877112504774686
32,40,73,0.834315874266189
32,35,50,0.860444079610186
32,93,3,0.909558879297096
32,69,6,0.909324620311734
32,63,24,0.874073399115308
32,22,7,0.907554629242215
32,91,94,0.802724266994363
32,34,32,0.855860531907968
32,38,46,0.855575323587419
32,39,12,0.900990613684367
32,49,22,0.857689254810672
32,28,12,0.898037095831634
32,56,86,0.814558194251256
32,72,98,0.790766535496008
32,92,11,0.864358196700527
68,5,12,0.882603013800631
68,13,3,0.917401830265432
68,67,75,0.802260830452901
68,23,22,0.860661773035942
68,15,28,0.851919089945301
68,2,61,0.81550123721571
68,75,11,0.866083751612444
68,65,68,0.809917588323528
68,17,5,0.899380342080594
68,33,31,0.846025890121764
68,7,2,0.921624682007944
68,95,51,0.803760423149613
68,27,3,0.916669117444357
68,16,15,0.879330051981515
68,6,18,0.865452367689608
68,4,15,0.879184278533868
68,37,45,0.831074663399947
68,71,42,0.833167184294844
68,9,10,0.887745395499522
68,3,28,0.852313627281329
68,45,68,0.810322543399446
68,0,24,0.857407251788122
68,44,61,0.816417781333641
68,14,45,0.831396450433145
68,82,12,0.854835364171315
68,30,1,0.927027984470947
68,12,82,0.796396375238211
68,36,39,0.837119560617438
68,85,32,0.845366457423546
68,29,61,0.816322118621965
68,20,82,0.796219671871636
68,25,11,0.883534087750365
68,40,48,0.82816786690816
68,35,21,0.86200047111017
68,99,78,0.792188262569077
68,84,42,0.833186223037878
68,22,55,0.821236210148876
68,1,9,0.889192444571757
68,91,71,0.808857980767257
68,34,79,0.799130903908242
68,39,50,0.824500807077924
68,24,19,0.863829883456909
68,31,6,0.890733509342237
68,50,36,0.841128415317882
68,97,86,0.783077558479528
68,47,96,0.787244696660117
68,96,27,0.832606478376693
68,58,66,0.810882982364217
68,18,41,0.834516167485093
68,72,58,0.817477632692741
68,8,52,0.823470303066975
55,5,20,0.871869219006968
55,94,92,0.807903292669243
55,48,73,0.810286105130999
55,77,46,0.838800457469216
55,23,23,0.865281862495585
55,15,88,0.817092926314295
55,2,14,0.882571318160643
55,33,48,0.836877342956822
55,7,89,0.814671726940843
55,95,26,0.832208089951317
55,62,92,0.81417597289681
55,87,41,0.833409898072479
55,59,50,0.827573751579485
55,4,39,0.849030716171321
55,90,50,0.821556183273374
55,81,1,0.906630536907012
55,21,9,0.892204202290585
55,10,5,0.897120942678457
55,42,82,0.820597564677593
55,9,99,0.810627389542439
55,3,7,0.893652434444452
55,51,72,0.827387909011053
55,83,21,0.870885575417156
55,0,2,0.910278902888964
55,11,17,0.874169841378889
55,89,18,0.872615294435434
55,14,89,0.814522037555884
55,53,69,0.825006122299756
55,73,25,0.859206741596193
55,60,42,0.845890260745811
55,12,1,0.919345084539823
55,78,37,0.849903180618909
55,36,66,0.82991974296521
55,66,35,0.85194228040052
55,29,44,0.839926278210806
55,54,10,0.891132269595157
55,40,12,0.875572932141229
55,99,75,0.793703839263859
55,93,93,0.813034809934378
55,63,48,0.837091049063141
55,1,54,0.835302546869059
55,34,44,0.840483732781145
55,38,39,0.849123182116035
55,19,18,0.872732000361003
55,24,70,0.819919172737094
55,28,76,0.824444253780455
55,96,59,0.804645041282571
55,56,63,0.823603508931979
55,18,67,0.829384994378182
55,72,49,0.824058197557721
55,8,86,0.819235696952841
55,92,66,0.810808761958269
5,94,37,0.844862003918925
5,48,34,0.848839562492808
5,13,11,0.910315011164989
5,77,47,0.839179954484006
5,67,16,0.874322604994381
5,23,7,0.921613699364669
5,15,30,0.868486887230169
5,43,76,0.828926913591516
5,2,2,0.935955265704184
5,75,36,0.837724196744255
5,65,61,0.838383712654657
5,17,13,0.906178978803564
5,33,12,0.881602634018119
5,7,1,0.944944601252617
5,95,4,0.871975543581241
5,62,89,0.829771085604567
5,27,15,0.898097789400239
5,16,19,0.889265776728263
5,6,23,0.886682627631102
5,59,18,0.867669200221866
5,4,14,0.903695667484172
5,57,91,0.816691609205707
5,37,43,0.851819914314632
5,41,51,0.847551710496908
5,88,86,0.811527327552357
5,52,89,0.820211900439896
5,81,7,0.875197821404241
5,21,33,0.876283519738638
5,71,8,0.887314020157942
