Source,Target,k,pcc
27,88,16,0.856273739747201
27,0,56,0.832953549287621
27,23,71,0.81838108606248
27,72,34,0.834476393035274
27,17,62,0.827971744902986
27,10,5,0.905563593401835
27,55,18,0.863448075246225
27,90,31,0.817355011907637
27,48,24,0.843044831425159
27,83,25,0.83455019261488
27,24,1,0.924060843270449
27,67,10,0.846810451171375
27,94,27,0.819499133728562
27,65,42,0.8219089528185
27,60,22,0.862720091374691
27,14,18,0.865327034688248
27,7,43,0.840946439917268
27,77,35,0.807065704956302
27,57,15,0.852065150309774
27,74,27,0.825868196382452
27,20,54,0.826265349644256
27,32,7,0.89808450771126
27,37,14,0.865133293940811
27,64,78,0.791363099696033
27,21,44,0.836371292946222
27,3,2,0.919725591331931
27,40,37,0.843528742888172
27,87,17,0.841766309025385
27,36,12,0.871164789156665
27,11,98,0.804879762367986
27,82,34,0.811109013729544
27,86,36,0.800322263698456
27,35,97,0.788886894208483
27,43,8,0.880924628588621
27,95,12,0.876719372870075
27,12,3,0.912551682063241
27,18,8,0.895956579073873
27,42,34,0.823542943764996
27,71,4,0.899473398458984
27,78,38,0.808996902253036
27,97,16,0.842029764874063
27,50,62,0.796877342621764
27,15,14,0.871105440474555
27,91,65,0.794177716058933
27,25,11,0.873293645676368
27,49,68,0.804555303087449
27,6,8,0.888497650370512
27,51,23,0.830484610294241
99,0,1,0.896846230539658
99,63,74,0.783491547105245
99,17,99,0.769343913451261
99,10,63,0.786712082524504
99,24,74,0.782604041576108
99,22,45,0.799786248628533
99,26,35,0.809092578866499
99,98,82,0.776501750657708
99,16,5,0.84857678840138
99,94,61,0.78469165908099
99,33,95,0.771239103003921
99,30,42,0.803499734866235
99,13,20,0.83394311131088
99,8,35,0.809177750083872
99,14,10,0.845740100278721
99,7,84,0.77615371670785
99,81,84,0.77649956438342
99,4,18,0.838195418412156
99,20,51,0.793159476459747
99,56,29,0.813859303024297
99,64,46,0.799100224719441
99,9,21,0.832672111594281
99,2,12,0.84195064726519
99,79,92,0.771776368765897
99,11,14,0.839515707324719
99,62,24,0.823689187590339
99,86,1,0.879381964398001
99,35,25,0.817819696468962
99,5,12,0.841884399598384
99,12,90,0.772559045016083
