Source,Target,k,pcc
54,82,9,0.902678972659632
54,45,40,0.872646732478577
54,0,5,0.91903130799138
54,52,40,0.872570734735553
54,36,35,0.8780301298345
54,2,5,0.919318986457357
54,22,76,0.858596548275225
54,25,7,0.917620510491493
54,61,56,0.866929037280744
54,6,1,0.936965076237893
54,60,53,0.866000451012133
54,59,19,0.884142157813758
54,96,16,0.892434468543968
54,62,64,0.863695027264266
54,15,44,0.871551355425972
54,38,75,0.859544531553498
54,71,72,0.861219565262963
54,31,56,0.86710020944994
54,26,23,0.887196694001201
54,85,46,0.870583416597037
54,1,4,0.927812131237725
54,24,10,0.907158982288516
54,7,78,0.857979748701029
54,40,72,0.860563935183395
54,55,9,0.909420427435468
54,58,72,0.861300141729209
54,78,83,0.855240220627051
54,3,52,0.868859110225187
54,98,13,0.896219179677132
54,13,82,0.855527528954532
54,28,28,0.88321867366804
54,73,53,0.867697056367153
54,67,18,0.890318335163582
54,65,25,0.886359267799567
54,16,64,0.864479823482043
54,63,67,0.862539716821583
54,33,88,0.853592038602241
54,20,7,0.918361595439903
54,29,3,0.928775496810463
54,8,19,0.888874583764632
54,50,22,0.888199053279813
54,76,49,0.867620509594058
54,21,1,0.936889688718106
54,87,15,0.893145958119118
54,11,32,0.881843455884701
54,4,28,0.883440883855013
54,12,16,0.892189434932499
54,5,49,0.869913820125443
54,89,40,0.873149779443335
82,45,20,0.891349037152321
82,0,6,0.911709988182936
82,52,95,0.843505239138241
82,36,7,0.906040772599565
82,2,37,0.877106605905731
82,22,75,0.855706312106095
82,25,61,0.863562429896915
82,61,47,0.872054655104911
82,6,3,0.919836707738013
82,60,12,0.899872954916287
82,59,26,0.880640665101479
82,96,28,0.881331094046654
82,37,84,0.849752102083813
82,74,87,0.849107636511613
82,15,99,0.842851325755878
82,97,81,0.852219488018598
82,38,2,0.920771391950066
82,71,56,0.86695235749893
82,70,28,0.88104937875498
82,31,93,0.846586503576823
82,34,58,0.865889039834829
82,42,77,0.854090422006823
82,26,51,0.869505005913724
82,85,23,0.88545327281771
82,1,11,0.902437977844215
82,24,37,0.877434214027077
82,7,33,0.879497051213556
82,40,68,0.859117435506379
82,14,25,0.883203604821426
82,94,17,0.895434106572256
82,78,35,0.878404133860564
82,39,47,0.872389836999815
82,95,13,0.897383689097291
82,93,95,0.843457389561494
82,28,16,0.895815196761719
82,73,4,0.916825649774976
82,16,43,0.873084641654695
82,33,99,0.842978710287391
82,20,9,0.902986898118468
82,48,77,0.853858099950716
82,29,25,0.882966673444376
82,8,39,0.8755858187607
82,50,53,0.86768683239431
82,21,14,0.898748161402809
82,87,1,0.923556187372386
82,11,7,0.905747654568903
82,56,90,0.848195268316997
82,51,53,0.867762533649693
82,4,71,0.858062330745343
82,12,56,0.866973028773719
82,88,66,0.86048812884329
82,53,84,0.850197395710226
82,5,12,0.899585803189411
45,0,2,0.934955886375209
45,52,55,0.869557799123605
45,36,10,0.910569586416377
45,2,5,0.922149214384281
45,22,16,0.902319462099751
45,19,57,0.876095621742823
45,25,67,0.871122963367856
45,6,29,0.893335781599523
45,60,18,0.897630429736152
45,59,34,0.877705202730483
45,96,69,0.867869263625113
45,37,63,0.873110708856755
45,68,59,0.875210443917516
45,15,91,0.859821421073853
45,38,43,0.883801372482603
45,71,29,0.884847326393346
45,31,35,0.888106539317973
45,34,15,0.906432258074484
45,18,100,0.855957082003147
45,9,30,0.892388494610571
45,42,36,0.885724622091073
45,26,48,0.878795261833479
45,66,38,0.886511299851694
45,85,26,0.888468039789925
45,1,35,0.888220858498557
45,72,51,0.873514395686175
45,24,6,0.92034061549617
45,7,46,0.8818958497708
45,40,16,0.900973622050379
45,32,45,0.875055311151111
45,55,67,0.871001740969373
45,58,25,0.895334334271923
45,94,45,0.870398406614647
45,3,10,0.910654759371055
45,39,85,0.862114542549604
45,95,1,0.935912674998374
45,98,19,0.900318591142091
45,93,16,0.892124715129007
45,13,47,0.880969781199534
45,28,19,0.90013357912155
45,73,3,0.929099434414979
45,67,93,0.854370091131647
45,10,100,0.855543351105609
45,99,58,0.866416232224635
45,65,43,0.883725580635979
45,16,8,0.913734984370834
45,63,89,0.858371983307963
45,33,27,0.89603328388617
45,48,21,0.899214187098183
45,29,52,0.877384752119721
45,8,38,0.887358999486247
45,47,58,0.870896449609235
45,50,79,0.863776384013449
45,49,8,0.912367922052703
45,21,13,0.909215152460561
45,87,94,0.841012475237873
45,57,58,0.870169330022167
45,56,30,0.892119598632406
45,4,14,0.907812555461396
45,12,43,0.884408876348148
45,5,87,0.861604594048326
45,89,12,0.897570856083367
0,44,38,0.891848881734278
0,46,37,0.8930833190319
0,52,80,0.860334202211001
0,36,39,0.88177269738379
0,2,1,0.95366768951624
0,22,1,0.926693794925702
0,64,24,0.891823674892188
0,19,5,0.931493693529748
0,30,37,0.893599537774877
0,25,3,0.923037070401437
0,61,73,0.859327657301327
0,6,16,0.912626470310194
0,60,1,0.930756698129502
0,59,1,0.938111889433789
0,96,10,0.926605401140682
0,37,1,0.947387351300718
0,62,43,0.879131080841799
0,68,32,0.89794873169667
0,15,13,0.932110706098183
0,84,59,0.861085871472157
0,97,36,0.886919159215782
0,38,4,0.933321686051698
0,41,32,0.891450948850093
0,91,12,0.908731360389056
0,71,6,0.912394560774213
0,70,34,0.891158484059083
0,31,40,0.890246027982015
0,34,36,0.892944079471401
0,18,53,0.88197140063409
0,9,12,0.913959489899286
0,42,61,0.867290963655599
0,26,5,0.933196571541001
0,66,7,0.929769228607411
0,85,9,0.90981488471542
0,1,1,0.952634232535473
0,72,18,0.894371320314273
0,90,19,0.896884800936409
0,24,6,0.932408933575174
0,7,41,0.890944931288819
0,40,17,0.898637153769055
0,32,7,0.907616042708731
0,55,65,0.877754051748029
0,58,23,0.896534825923232
0,14,20,0.911072663397912
0,94,40,0.873620670112326
0,78,47,0.876194419941834
0,3,3,0.92681398330399
0,39,14,0.912293461870474
0,95,2,0.927114721481903
0,98,50,0.880158302412995
0,93,3,0.91317708354128
0,13,13,0.923154001376059
0,28,68,0.871481537081682
0,81,100,0.85241332192276
0,80,7,0.917076084303595
0,27,27,0.906177517709523
0,73,6,0.919843158487664
0,67,82,0.857612772994992
0,10,14,0.923911987100619
0,99,30,0.884361980001477
0,65,18,0.904006983729127
0,16,1,0.948139470980291
0,63,20,0.902438802441271
0,79,90,0.865649441176117
0,33,8,0.937673272880088
0,20,28,0.900463861504366
0,48,13,0.910431699365305
0,29,32,0.892594451578236
0,8,3,0.94805454422043
0,77,27,0.882613803656143
0,47,92,0.859935706219063
0,23,34,0.903860145517953
0,50,4,0.941985546879115
0,49,3,0.932245692386053
0,76,17,0.892752591012874
0,21,17,0.910839990274003
0,87,1,0.924573487585042
0,35,16,0.90450607320121
0,57,23,0.901149797178487
0,11,34,0.891631736808494
0,56,3,0.938908192816533
0,51,54,0.880758804463178
0,4,15,0.917955282931501
