Source,Target,k,pcc
9,4,1,0.924932359984775
9,89,49,0.81570403210762
9,64,47,0.829910429148101
9,75,42,0.843260696734071
9,49,17,0.849326622931564
9,13,16,0.870497605697462
9,83,3,0.894532829638705
9,23,14,0.874561872163468
9,72,16,0.851759248628793
9,71,31,0.832869918501919
9,6,60,0.831660025022365
9,14,29,0.852983136464207
9,65,46,0.825130477721602
9,20,6,0.896124601067697
9,96,50,0.797247559986618
9,37,10,0.86982122692793
9,82,61,0.810255624117293
9,54,90,0.793584610956925
9,55,25,0.859394786739231
9,42,14,0.862549067513897
9,61,73,0.811801683415887
9,11,86,0.809339396326596
9,38,18,0.85442261515485
9,77,24,0.846614393907964
9,28,27,0.853549607064391
9,12,2,0.90519031998743
9,32,36,0.828547360346906
9,48,78,0.802796743625353
9,97,1,0.885842665473015
9,88,79,0.797080936698448
9,50,61,0.812545840216847
9,59,49,0.80456052823344
9,1,2,0.914205244421249
9,24,48,0.833868275572215
9,8,3,0.898039505603831
9,52,35,0.833344047551211
9,7,90,0.815534598789028
9,18,3,0.912843931328861
9,62,62,0.812053030709768
9,53,18,0.845058379989537
9,86,62,0.801267434146552
9,30,12,0.884089757903487
9,2,46,0.840783154791409
9,87,32,0.830190287160785
9,43,18,0.84353459160369
9,45,61,0.83055576573609
9,5,2,0.910002072616905
9,0,9,0.890993578637362
9,57,30,0.844459600329352
9,35,24,0.846553952095584
9,31,68,0.82768510057497
9,15,19,0.863265685415595
9,58,39,0.833284505651722
9,99,47,0.798965516747529
9,17,17,0.863058303197344
9,44,39,0.826026813186734
9,16,3,0.89065685561537
9,66,45,0.835072879016379
73,39,5,0.899523968676403
73,51,1,0.943722808566488
73,49,58,0.807434549242512
73,67,1,0.944555424299824
73,76,1,0.939963942544584
73,54,8,0.882227799951241
73,12,94,0.786699134281395
73,10,58,0.806746674362567
73,59,42,0.814797479574917
73,8,81,0.796002789103128
73,69,5,0.891918432255008
73,34,30,0.84104000760243
73,5,74,0.799982973993641
73,90,12,0.869594391950877
73,58,89,0.790419648259389
39,51,15,0.871603496389763
39,67,20,0.85856376518423
39,76,2,0.914303795051424
39,54,48,0.816840294794267
39,95,2,0.90026705339091
39,12,60,0.823823522169858
39,48,43,0.824130233589131
39,40,90,0.795777741841456
39,10,2,0.90145548608689
39,59,38,0.817083337015828
39,24,98,0.805059071648334
39,8,92,0.80912914126109
39,7,89,0.813159367221353
39,62,69,0.807990849312128
39,69,45,0.82562152419145
39,68,30,0.844602635387985
39,43,37,0.825765163865398
39,34,3,0.910591125873546
39,90,5,0.886981726516273
39,99,83,0.779249311322311
39,44,6,0.866868480036575
39,29,97,0.805679843660982
4,89,4,0.86562369719043
4,64,36,0.834339140551063
4,75,39,0.850178007473802
4,49,4,0.884461272862015
4,13,27,0.855850204100179
4,83,25,0.843217435450294
4,23,62,0.829233188773888
4,72,9,0.866406275741079
4,71,60,0.811007993431911
4,6,91,0.816801315271318
4,14,27,0.863103591819273
4,65,42,0.830381005993883
4,20,22,0.853747093425788
4,96,5,0.845296206214044
4,37,9,0.873197530834141
4,82,89,0.785750186358816
4,54,44,0.821599238109729
4,55,5,0.897221026778203
4,42,25,0.840712146256078
4,61,70,0.813406828486518
4,11,38,0.843937387027849
4,38,36,0.834683242240108
4,77,9,0.869647190890408
4,28,9,0.880619632725999
4,12,1,0.912566010369021
4,32,17,0.848249946000026
4,48,86,0.801068191400379
4,40,70,0.804560485635367
4,97,3,0.864567324509916
4,88,21,0.84489285940539
4,59,36,0.819111538526282
4,1,3,0.903052191164462
4,24,85,0.812073524476174
4,8,12,0.871789679363183
4,52,24,0.850072739112128
4,18,24,0.86452955597157
4,53,22,0.842701715022642
4,69,76,0.800018780223197
4,79,79,0.796008161183234
4,86,78,0.789507872430116
4,30,19,0.869448344356255
4,2,53,0.842039284255161
4,87,6,0.875979899253441
4,43,44,0.819458848382905
4,5,4,0.898456854651729
4,0,16,0.871630399763481
4,19,42,0.844188094917888
4,98,27,0.825145031492709
4,57,50,0.828571367202446
4,35,6,0.880177420442085
4,31,92,0.822331243000511
4,15,19,0.868790703884083
4,58,27,0.845714864863923
4,99,40,0.803346775832446
4,56,65,0.808959867055625
4,17,21,0.854889702102579
4,44,13,0.852226803725887
4,16,21,0.858031783857091
4,66,6,0.874671289941019
51,49,22,0.84354094815964
51,67,2,0.93795988304076
51,76,2,0.927116969220142
51,96,15,0.824100572016317
51,54,1,0.912688771840168
51,95,94,0.788608560708344
51,12,71,0.802809018017228
51,32,32,0.830552944509393
51,40,50,0.818931328107522
51,10,57,0.813178253730529
51,59,6,0.873262347205026
51,8,47,0.822329126813502
51,69,9,0.881243753602466
51,43,61,0.805451547965858
51,34,35,0.83400169636193
51,5,42,0.826862170905817
51,90,10,0.878114663497086
51,58,57,0.812817022047894
51,44,56,0.815440148745898
60,89,99,0.787134731743069
60,64,3,0.892020007965644
60,75,86,0.816233151444119
60,13,35,0.850255715125612
60,91,13,0.868885721393341
60,23,40,0.843580287816565
60,72,35,0.834556248634919
60,84,47,0.838666615530743
60,6,93,0.815386234319498
60,14,1,0.925327644476548
60,65,23,0.846338670022321
60,20,69,0.82094231713601
60,37,23,0.851214046173878
60,55,18,0.867183084381003
60,28,38,0.838745429184993
60,46,31,0.851699483116757
60,88,40,0.824111220624617
60,50,44,0.824737334197606
60,1,21,0.864326340495399
60,52,15,0.867158039955586
60,18,9,0.888460110752514
60,79,79,0.79566584213307
60,81,21,0.860415374829081
60,30,16,0.868106994510903
60,87,39,0.827090104597372
60,45,14,0.868554314140463
60,0,3,0.902245550087586
60,57,44,0.83607986552139
60,35,54,0.830830086009531
60,31,4,0.895507439993316
60,15,5,0.893690078114498
60,17,71,0.823479849696224
60,16,55,0.832687281851535
60,66,70,0.820796452072894
89,75,12,0.855340758626627
89,49,17,0.846115659386166
89,13,44,0.81757468554728
89,72,3,0.868148764640598
89,14,31,0.832433876377605
89,37,1,0.87865955979586
89,70,56,0.808064669697014
89,55,37,0.822767550295366
89,27,83,0.79222794946657
89,21,43,0.819285242428561
89,28,54,0.812192853448296
89,12,46,0.817444972676775
89,32,22,0.840732765084878
89,46,2,0.872801545642257
89,97,16,0.842661225302643
89,88,38,0.821676106197392
89,1,6,0.863767952862029
89,8,64,0.801249154915103
89,52,83,0.792438283905598
89,7,62,0.802540413128311
89,18,83,0.792003703677923
89,53,29,0.832678867288977
89,3,83,0.791865457643984
89,2,12,0.854659619840833
89,25,71,0.797074701519842
89,45,83,0.792359206663877
89,5,60,0.805385630183077
89,0,15,0.848392518758487
89,19,14,0.850760186673469
89,57,66,0.799747476671653
89,35,8,0.858671372097562
89,31,49,0.815927381822903
89,17,95,0.788873427172628
89,44,36,0.82471569406858
89,16,27,0.835550680190232
89,66,17,0.845678420635262
74,47,12,0.87127947023516
74,26,4,0.894049674272184
74,71,44,0.82445923674502
74,6,39,0.845099675515117
74,95,48,0.83027647679116
74,21,5,0.884642689544343
74,41,35,0.844564488847459
74,48,10,0.864369884212473
74,40,96,0.793928481613878
74,10,33,0.847255762653496
74,24,47,0.833713852622848
74,63,1,0.910068925975133
74,22,17,0.867388080313728
74,7,31,0.848221127015929
74,62,20,0.848762839511331
74,3,83,0.81581326229666
74,78,10,0.873037706339393
74,33,1,0.905239808154602
74,2,33,0.846791278413311
74,92,51,0.815769086257219
74,68,13,0.858154539493888
74,43,92,0.790431287589409
74,34,44,0.836815336312345
74,85,1,0.91633026335288
74,19,44,0.836764256513746
74,29,8,0.877280355377798
74,80,27,0.848648250027237
64,75,65,0.813439879293413
64,13,31,0.836955162855267
64,91,96,0.789195738772439
64,23,41,0.831649141116373
64,72,36,0.833553972470058
64,84,77,0.808249936344432
64,6,65,0.813369322557681
64,14,8,0.870634858776107
64,65,15,0.854865024347915
64,20,25,0.843701573804014
64,55,6,0.874587693491488
64,42,68,0.810369514776295
64,61,92,0.798405425015532
64,27,96,0.796245671833485
64,11,18,0.854168656985675
64,38,13,0.858166134099571
64,28,15,0.855124112632039
64,46,92,0.797541138932162
64,97,52,0.811098430354296
64,50,23,0.838800858486031
64,1,23,0.84592671561725
64,52,40,0.830683189447942
64,18,8,0.871492259730612
64,79,32,0.821503108233425
64,81,38,0.833084529762818
64,30,4,0.891188192136312
64,87,7,0.874358084570375
64,5,28,0.842127934065226
64,0,2,0.893142405403731
64,98,23,0.832592046237985
64,57,31,0.836890358450261
64,35,17,0.854074453076288
64,31,8,0.87078008550287
64,15,1,0.91342708843345
64,17,90,0.799126556949317
64,16,58,0.819795941275649
47,26,2,0.919272433587793
47,95,51,0.828017264113411
47,11,81,0.814764601665521
47,93,34,0.832260717580995
47,48,36,0.832841962123336
47,10,24,0.863288199072414
47,24,17,0.870064280866828
47,63,40,0.837607256449258
47,22,1,0.927027152866341
47,7,23,0.863740451963244
47,62,40,0.831203324795328
47,3,61,0.837450827343592
47,36,2,0.884724721199301
47,78,19,0.850913846413823
47,33,85,0.821411042107589
47,86,34,0.819247560905986
47,68,39,0.836045841916013
47,34,24,0.86472779215307
47,56,75,0.803602564163652
47,29,4,0.900026133522321
47,80,27,0.85901433106972
75,49,35,0.831550480146464
75,13,29,0.853115150820965
75,83,73,0.803687927974134
75,23,33,0.853647516292241
75,72,46,0.827641280311637
75,84,67,0.821702463658048
75,14,8,0.88738879164695
75,65,46,0.824682706951344
75,37,38,0.842277689493642
75,55,32,0.858881960212206
