Source,Target,k,pcc
8,70,16,0.848599617879587
8,76,41,0.79932259839368
8,84,33,0.80781063228911
8,91,31,0.813817290398433
8,69,18,0.871122364771983
8,36,3,0.910059442182955
8,43,85,0.813701556807332
8,2,3,0.939350410304705
8,73,48,0.798821723481727
8,1,1,0.947844664211306
8,34,26,0.862249475586125
8,12,25,0.871693690427191
8,56,3,0.874767637935707
8,59,25,0.828018915696745
8,7,2,0.939761471622936
8,99,31,0.81479087077804
8,72,26,0.814502571646073
8,44,37,0.830443886501412
8,63,45,0.817375098308727
8,71,32,0.816818378688993
8,26,7,0.907852965981085
8,88,24,0.813001563481141
8,96,50,0.802332134271578
8,87,51,0.777284617852718
8,42,26,0.848915254896299
8,17,68,0.809324670010683
8,66,6,0.868407757900809
8,92,53,0.79439370619501
8,95,63,0.75427482560401
8,16,18,0.884513256876069
8,58,20,0.843866962351401
8,3,7,0.913436143203798
8,23,14,0.898685876081833
8,27,54,0.818640097352021
8,90,46,0.84933961596143
8,40,14,0.856513164536785
8,24,31,0.871717267027628
8,48,23,0.853743678093665
8,10,4,0.932391366641505
8,45,9,0.881770480713583
8,93,29,0.807547280074416
8,51,77,0.756895564015157
8,9,34,0.868681379184102
8,55,60,0.784823825867209
8,67,7,0.853859805562664
8,22,56,0.838995819608376
8,50,8,0.879286626699852
8,54,7,0.905772494189259
8,6,57,0.834267814490905
8,35,11,0.873913505790706
8,30,11,0.881953864357941
8,31,8,0.881491399080086
8,21,45,0.843405581529966
8,38,40,0.8285659184348
8,98,18,0.815495527182948
8,37,22,0.866790404351448
8,25,56,0.822581730614138
8,18,36,0.851156636653913
8,79,19,0.844706923836094
8,11,7,0.913332182535721
8,29,12,0.880795295301963
8,20,35,0.857317767867001
8,83,52,0.792799695403698
8,19,47,0.840591811154386
8,41,13,0.878334238417596
8,13,9,0.903930117460939
8,62,30,0.819491389825999
8,94,68,0.759765981746581
8,52,17,0.86866784361787
8,60,42,0.836085777489193
8,57,39,0.823698298317277
8,68,57,0.784467099118463
8,5,9,0.912004383100207
8,28,2,0.920115812203382
8,53,10,0.884210863714241
8,47,14,0.862042677558521
8,4,16,0.890227129484496
8,61,29,0.829865684920082
8,78,1,0.896425444423408
8,14,55,0.830035313336112
8,80,24,0.839187297026565
8,15,18,0.883093989853315
8,0,5,0.928703092032078
8,89,41,0.805265747554033
8,33,15,0.889956616701597
8,46,22,0.852069474268294
8,65,35,0.827657247275943
8,82,70,0.777062585659298
70,76,62,0.773542782539119
70,84,3,0.872586823284566
70,91,86,0.753128737029261
70,36,44,0.810265422607249
70,2,70,0.784814287949243
70,1,38,0.817171541403779
70,12,62,0.795223013266735
70,56,54,0.801309254886193
70,59,37,0.810092034419446
70,7,97,0.770835204505884
70,99,4,0.864847302805945
70,72,7,0.851181706826135
70,44,88,0.773601365928287
70,26,57,0.799851065577337
70,88,2,0.884835698188372
70,87,70,0.743491195876846
70,42,48,0.808935918006033
70,95,79,0.723230991237587
70,58,35,0.819626324729663
70,3,88,0.775137167483448
70,40,22,0.837519509398516
70,10,26,0.829979149053413
70,45,97,0.768052448954272
70,93,85,0.750233007260586
70,67,2,0.883359450720381
70,50,95,0.766773027782182
70,54,100,0.768885836964953
70,35,66,0.790079000300847
70,30,40,0.813526918066993
70,31,94,0.771682372725053
70,18,72,0.7844316611827
70,11,68,0.787003732938399
70,83,3,0.878552988262228
70,19,79,0.780381156907492
70,13,100,0.769004065221947
70,62,19,0.83510861195153
70,57,35,0.82031572953033
70,5,2,0.885893760385464
70,28,1,0.891493831042987
70,4,25,0.832716046238199
70,78,90,0.756494832156437
70,80,37,0.818848722362848
70,15,43,0.81100891752402
70,0,57,0.800381767063619
70,46,44,0.810082270439312
76,39,9,0.86493293882402
76,36,75,0.767006125190491
76,43,80,0.762074140083162
76,2,14,0.850373705713228
76,1,54,0.784390153208144
76,34,80,0.762457984530395
76,12,38,0.800483283330475
76,56,97,0.753762139964837
76,7,71,0.767512698507293
76,99,93,0.755567225020499
76,72,20,0.821827860750981
76,44,1,0.911943569884826
76,63,26,0.827872840520611
76,88,80,0.761668506759253
76,96,44,0.793810529727199
76,42,50,0.789315985909098
76,17,32,0.813440482210946
76,92,84,0.760465997797316
76,74,15,0.848726420637143
76,95,89,0.712908699287236
76,16,8,0.867944211408088
76,3,21,0.836882556031518
76,32,58,0.774948862781037
76,27,93,0.756027143627509
76,90,85,0.759259490255723
76,40,49,0.791264263894889
76,10,11,0.861082518247007
76,45,32,0.813420593161446
76,81,31,0.816555763200227
76,51,46,0.792768543856959
76,9,41,0.79893857207612
76,55,17,0.842776516279535
76,50,12,0.858603426656807
76,6,17,0.843014670143609
76,35,90,0.75719816808563
76,64,38,0.800048296995032
76,21,5,0.877139832186723
76,38,17,0.842825618909011
76,25,86,0.758204675706873
76,18,2,0.908290301197181
76,11,97,0.754397204321739
76,29,35,0.806437031231162
76,20,6,0.873869271917089
76,49,54,0.783959466066853
76,19,3,0.903059668129375
76,13,58,0.775059821254237
76,60,16,0.847331041207032
76,57,24,0.832268368047978
76,68,10,0.864309625564952
76,5,13,0.852537850474391
76,28,25,0.82854186891964
76,4,28,0.821573102323989
76,77,86,0.757954588438514
76,85,54,0.784483805569961
76,78,78,0.763120715102694
76,14,22,0.835721473862681
76,15,4,0.887847542533773
76,0,30,0.820505066888019
76,65,58,0.774821853587688
76,82,46,0.793420197157518
84,91,18,0.820464410385011
84,97,2,0.859565376051769
84,36,56,0.784803415259452
84,1,31,0.808979637799742
84,34,45,0.793632911163985
84,12,22,0.814782429110026
84,59,11,0.838479818577538
84,7,82,0.767154999508851
84,99,94,0.759523825302657
84,72,36,0.803607999681692
84,88,30,0.807342705642258
84,87,63,0.754229901723064
84,42,40,0.798893064117877
84,95,96,0.708708412626017
84,58,12,0.831937682908962
84,3,72,0.770188906306859
84,40,36,0.804368887644603
84,93,22,0.812390255869692
84,67,1,0.88774747637078
84,6,50,0.787847640389834
84,35,62,0.782599923666038
84,30,19,0.819289875365178
84,31,15,0.823047111707313
84,98,19,0.813770063681621
84,86,78,0.769231598540911
84,83,9,0.847556804664281
84,19,86,0.764727212472196
84,13,98,0.757494709250041
84,62,8,0.849561439826737
84,57,24,0.814423382867926
84,5,56,0.78477945272215
84,28,54,0.785978003902553
84,4,59,0.783576048393034
84,61,94,0.753165788481136
84,80,72,0.769671769953684
84,15,98,0.757291110944497
84,0,84,0.765632341780368
84,46,40,0.799198384376314
91,97,89,0.74949158294115
91,36,68,0.76864603479828
91,2,49,0.78911948985627
91,73,5,0.873446746619597
91,1,10,0.858373339960478
91,34,4,0.873990278378366
91,12,18,0.826342528684975
91,7,28,0.819351299860715
91,71,14,0.830102261641297
91,26,100,0.733325472472481
91,87,13,0.830898327128124
91,17,81,0.75637150677688
91,66,42,0.797481231323698
91,95,35,0.796515401300337
91,58,18,0.825767268122024
91,3,67,0.771609305002503
91,23,52,0.78304127306535
91,27,3,0.876214406181007
91,24,40,0.79765525016221
91,48,20,0.823200887602611
91,10,68,0.768660799425919
91,45,48,0.79096925363558
91,93,33,0.80487348742617
91,9,54,0.781361166828392
91,67,30,0.816300349575935
91,22,15,0.82689509209022
91,54,81,0.755567878944698
91,6,40,0.797970461892557
91,35,12,0.831801279341609
91,30,9,0.859599896777453
91,31,39,0.799247391524243
91,98,68,0.767223175292831
91,37,1,0.896209778243619
91,25,51,0.784917451207818
91,79,75,0.763250586046776
91,11,29,0.817420516591793
91,29,81,0.756185924645572
91,19,87,0.750257615727314
91,41,97,0.734884086806588
91,13,15,0.827082882062822
91,62,89,0.749497391196173
91,52,22,0.821341697214372
91,5,58,0.778382849446946
91,28,36,0.805306566573314
91,53,55,0.77950559943156
91,47,77,0.760842275353297
91,4,35,0.808074339601596
91,61,2,0.878535218992907
91,80,8,0.864565560030767
91,0,15,0.827285176322802
91,89,24,0.81959796850248
91,33,55,0.779985428948447
97,75,30,0.809341265764402
97,36,62,0.780336205108299
97,43,59,0.78272337777372
97,2,65,0.777937810087866
97,1,69,0.774923584112049
97,34,79,0.765520371768982
97,12,61,0.780869006326646
97,59,34,0.807201782936534
97,7,39,0.803641664824918
97,63,47,0.792401978722598
97,42,27,0.810267544644126
97,92,100,0.755861564552648
97,58,78,0.766660686489038
97,3,79,0.766410083140872
97,32,56,0.784618819754405
97,40,5,0.849829915655386
97,93,71,0.763302603654977
97,81,97,0.756836105761727
97,9,94,0.758009065867236
97,67,30,0.809233095386876
97,22,40,0.802619647308669
97,6,22,0.819921268493758
97,30,75,0.767648244093103
97,31,21,0.824470534898701
97,98,9,0.834076414591945
97,86,5,0.849783860002445
97,83,93,0.759606634251709
97,49,1,0.869535154772799
97,19,79,0.765555827617819
97,13,94,0.758076579438845
97,62,44,0.799970157272265
97,57,15,0.830757658397678
97,47,97,0.757088977539821
97,77,7,0.847207073567464
