Source,Target,k,pcc
27,79,29,0.897487784584399
27,52,10,0.913060447197835
27,9,73,0.880628679302188
27,4,32,0.900385240588557
27,39,35,0.897211385504286
27,99,39,0.883635479165735
27,95,6,0.90801588957431
27,69,69,0.876268042007848
27,68,58,0.883372397053525
27,84,22,0.900216593324128
27,0,3,0.941936069062114
27,67,53,0.885808805916065
27,7,10,0.927416996771655
27,5,1,0.957306558604649
27,40,82,0.87225680469201
27,44,72,0.877676520457244
27,76,25,0.890589766840772
27,91,71,0.873915844672928
27,10,8,0.929134512728938
27,33,7,0.930557500233636
27,22,4,0.940635163824496
27,20,66,0.882668240435513
27,65,58,0.872305027074066
27,57,15,0.910373220955325
27,8,5,0.938984416142736
27,98,63,0.871242801096978
27,72,22,0.893455789237127
27,81,10,0.910071588042813
27,25,51,0.892487656289527
27,85,50,0.875323650442087
27,23,38,0.897496313237027
27,17,100,0.8717954784317
27,77,52,0.887773427389689
27,78,31,0.894656300598917
27,32,22,0.909653683146194
27,2,20,0.913394284577957
27,45,13,0.915556646440483
27,19,9,0.92751971393267
27,96,55,0.879711815333344
27,75,29,0.89563391029894
27,59,64,0.878163736227929
27,54,80,0.875232501544912
27,58,45,0.894440883109754
27,16,66,0.882858208111337
27,88,48,0.877135466800844
27,97,7,0.917939572533847
27,86,34,0.881871239258754
27,13,84,0.877339179555766
27,80,40,0.888877986993949
27,63,30,0.901291006593366
27,1,2,0.951304468075834
27,64,86,0.867880182923438
27,53,50,0.884078022045238
27,93,33,0.872712822474436
27,82,74,0.875713523854507
27,71,37,0.890616306407687
27,87,40,0.872659691236762
27,31,48,0.893073544449761
27,43,73,0.878116403006432
27,83,22,0.90278716126182
27,34,100,0.871847158969498
27,41,25,0.899436791388792
27,47,27,0.905116872614145
27,11,6,0.93150078893933
27,15,45,0.893513483111925
27,50,30,0.898764690921659
27,37,79,0.879145365193637
27,35,29,0.901814222122545
27,36,30,0.901181089858241
27,66,92,0.86095052113247
27,3,45,0.89369815632443
27,70,53,0.890055495431328
27,24,36,0.898234148824953
27,21,14,0.918150920435478
27,42,57,0.888831693897199
27,90,33,0.867326210206735
27,92,37,0.890297717781506
27,94,85,0.851301892663926
