Source,Target,k,pcc
39,78,98,0.798491580810301
39,54,20,0.850462110447329
39,32,20,0.846994479058504
39,5,10,0.88308999538113
39,45,22,0.858226401079493
39,52,56,0.784980365682842
39,69,60,0.811845334139241
39,9,4,0.898799724410365
39,84,50,0.811526295414581
39,17,39,0.84190729388603
39,58,52,0.803641678282702
39,28,57,0.815965025406186
39,11,65,0.821102658991415
39,3,61,0.823987366108179
39,1,14,0.872631455936963
39,42,66,0.796911520610717
39,14,20,0.859680747501361
39,81,23,0.835484455692173
39,26,41,0.838089896429665
39,66,52,0.783742618836135
39,65,30,0.831925625625853
39,51,10,0.872948577337009
39,7,6,0.887712931690052
39,13,52,0.81826991692542
39,31,22,0.844306801100613
39,86,26,0.852656828854289
39,8,30,0.847393005812131
39,55,99,0.762752277452743
39,57,19,0.854440925003539
39,22,18,0.845026628340797
39,63,4,0.885477219809103
39,12,71,0.812404334062296
39,75,27,0.822236295363071
39,60,96,0.789474822621586
39,37,26,0.833764038541856
39,71,21,0.834803654465586
39,2,17,0.86565045551536
39,47,45,0.830975900223331
39,90,84,0.762216405820153
39,97,57,0.768424262003487
39,89,70,0.769354791186386
39,21,1,0.919103177902319
39,91,86,0.804674609477931
39,94,86,0.768722769588909
39,23,30,0.847191321393704
39,0,94,0.80062602783079
39,30,89,0.784167924748018
39,70,50,0.811358856293511
39,79,16,0.822101854779925
39,64,73,0.812952508301341
39,6,86,0.804799222937461
39,34,63,0.811194272120613
39,48,19,0.864500480235392
39,56,47,0.827743557353785
39,50,26,0.845917932072285
39,15,98,0.793564814406802
39,73,100,0.750005237228805
39,4,16,0.870548782336377
39,19,33,0.845607660538697
39,59,47,0.835034914913963
39,95,48,0.819567970220385
39,16,38,0.836949351909703
39,74,88,0.760444030869787
39,77,99,0.7521639826722
39,10,13,0.874151698749848
39,49,17,0.843575618156808
78,45,29,0.841250470527837
78,69,58,0.813174463393151
78,9,15,0.853368183199649
78,17,84,0.810918589722507
78,58,91,0.779884612617183
78,3,57,0.825734274466574
78,1,69,0.818296080278539
78,42,47,0.815680259320975
78,14,94,0.806127094561532
78,26,7,0.876639919754011
78,65,39,0.827791302531898
78,31,44,0.823495657854721
78,86,14,0.854973269965057
78,55,91,0.77012725285826
78,63,3,0.885558667134511
78,12,90,0.796718569827898
78,37,76,0.793203293153588
78,71,76,0.787650286855246
78,2,5,0.886686994056931
78,35,33,0.837796319581124
78,21,91,0.806800711552047
78,68,78,0.784120012437675
78,85,15,0.830719023340572
78,29,60,0.815143930275596
78,91,1,0.899973394580192
78,6,59,0.825198754377121
78,48,75,0.814783679701319
78,56,12,0.859919567795568
78,50,3,0.889578281584162
78,40,33,0.838198553700016
78,15,44,0.833097688982789
78,4,27,0.843981753499734
78,19,29,0.840885902956264
78,59,23,0.84819521586258
78,16,95,0.791253664485882
78,10,38,0.837258437506701
78,18,61,0.822359410582266
54,32,21,0.846486382472325
54,5,4,0.8928836341372
54,45,42,0.821658673601212
54,52,42,0.802238482331481
54,9,61,0.805229015516029
54,17,85,0.793319606806517
54,11,96,0.786353372250368
54,1,16,0.856675308972515
54,14,95,0.786854427583459
54,81,83,0.779572560849891
54,72,52,0.804390200070551
54,51,96,0.777172637310155
54,88,95,0.754043109965721
54,7,69,0.800193699358322
54,13,6,0.88611302709645
54,8,12,0.860478079136631
54,27,30,0.83578253109862
54,57,1,0.960773171412252
54,22,41,0.823236716540346
54,75,8,0.865930939256898
54,60,42,0.822025773782874
54,71,55,0.804700023596839
54,2,58,0.809925789617564
54,47,5,0.892475608351568
54,90,76,0.766826868545286
54,97,7,0.840141431798699
54,89,10,0.857220569972635
54,21,46,0.820310628584548
54,43,7,0.858560810980822
54,46,50,0.818489640812843
54,23,2,0.907187376115146
54,70,84,0.789458544587737
54,79,88,0.751668635891988
54,6,60,0.808176278478181
54,48,9,0.868128774398419
54,95,93,0.78774192385802
54,16,36,0.830254114438441
54,74,78,0.765857131396217
54,77,32,0.798864707459761
54,41,43,0.813459969825416
32,5,13,0.854404625340931
32,52,56,0.785029526315095
32,9,60,0.804065213170021
32,28,49,0.817713151318938
32,11,38,0.826233670095856
32,3,48,0.820456810546976
32,1,23,0.843191223990134
32,42,89,0.780643350371132
32,14,35,0.828168474425402
32,62,3,0.886219656960837
32,20,34,0.829591681831106
32,81,30,0.826662497408515
32,98,76,0.750992364406568
32,66,4,0.85908634241861
32,72,51,0.806118479249759
32,51,25,0.841384489138338
32,24,39,0.823236554258265
32,7,1,0.915711968879973
32,13,19,0.849644963927471
32,8,12,0.856411697204797
32,27,76,0.789453341391976
32,55,69,0.782517573257238
32,57,38,0.825795413736401
32,22,3,0.892032591132435
32,44,70,0.796488552409278
32,12,66,0.797959460512307
32,37,22,0.841960460658777
32,99,4,0.867524755530627
32,71,90,0.777244841796292
32,25,67,0.797210017460173
32,47,67,0.797143865840392
32,90,54,0.783555348513595
32,97,48,0.780968111432487
32,82,65,0.785797156767867
32,21,17,0.851493438270524
32,68,100,0.772594793462215
32,43,63,0.793471520510396
32,29,94,0.777457286233167
32,76,96,0.768511672582549
32,94,83,0.769610797302668
32,23,2,0.896427306544515
32,0,23,0.842757022260028
32,30,79,0.785697609753558
32,70,34,0.821135234005463
32,79,16,0.822136891416175
32,6,79,0.786372309593596
32,34,34,0.828439806378792
32,67,85,0.76756482856829
32,15,93,0.779025981575243
32,93,95,0.755513917624075
32,4,28,0.839196229136297
32,19,97,0.775714618642046
32,16,9,0.866921529726142
32,74,41,0.795467464842272
32,77,7,0.851904703295227
32,10,30,0.836791798128546
32,41,14,0.85320664218226
32,49,29,0.831501409673746
87,5,35,0.806782633398745
87,45,93,0.764447149812163
87,69,78,0.773870897318932
87,9,18,0.830361262411175
87,17,5,0.865373481155517
87,58,12,0.853844813301199
87,11,46,0.794715437239465
87,3,15,0.847548370703641
87,1,2,0.872991283841103
87,42,21,0.823948616647852
87,14,28,0.809854272511935
87,26,17,0.833726078787834
87,33,16,0.839110589347419
87,66,95,0.75302015704471
87,65,7,0.859639014140299
87,72,88,0.766135932936328
87,7,79,0.772498693989215
87,8,66,0.781921310953288
87,27,40,0.804502643355114
87,55,11,0.857562915616773
87,22,61,0.784516755416386
87,12,3,0.865689328361003
87,37,3,0.86599267518557
87,2,19,0.829429806920062
87,47,59,0.787034958159932
87,90,59,0.777301539038845
87,35,56,0.787642124409807
87,21,25,0.814903843095151
87,68,14,0.850888629184438
87,85,88,0.764459414527755
87,29,26,0.814037720000348
87,46,76,0.775584697019854
87,91,79,0.772159459669596
87,94,83,0.76820933019331
87,23,42,0.802141844059332
87,0,35,0.807310167531351
87,30,23,0.817802056506698
87,64,21,0.823535658552606
87,6,28,0.810426974647748
87,34,20,0.825872588185873
87,48,33,0.80805880472141
87,40,87,0.767149983392517
87,15,44,0.797532275940991
87,4,6,0.861113986263163
87,19,1,0.898231062483535
87,61,13,0.852593077391596
87,59,35,0.80721408707724
87,95,56,0.787995992410861
87,16,83,0.768031163411375
87,10,66,0.781812979688784
87,96,60,0.777744914779016
87,18,97,0.761666314245686
83,52,67,0.778648083020786
83,62,97,0.746905356484668
83,20,2,0.888775371372955
83,38,52,0.793603182275778
83,98,26,0.809523370605049
83,33,47,0.796870961931094
83,66,39,0.802615950884597
83,72,97,0.76709308498856
83,88,30,0.805425853039935
83,44,43,0.801779572566761
83,80,13,0.846422120340471
83,25,3,0.877624657847528
83,35,45,0.800338433726662
83,36,6,0.864867832296977
83,0,47,0.796902264073828
83,6,94,0.770480501413911
83,67,73,0.781066344521939
83,40,34,0.814247947623561
83,15,85,0.775977794010243
83,93,58,0.782691490321579
83,92,9,0.845327677885192
83,53,12,0.849196547615973
83,41,92,0.771172997235231
83,96,18,0.818751048742681
83,18,19,0.837772338361279
5,45,1,0.935673745341755
