Source,Target,k,pcc
0,2,3,0.90286142542716
0,16,1,0.885403118035254
0,49,11,0.81461676298546
0,51,75,0.745642309639881
0,53,70,0.728360088864946
0,17,28,0.807112792576171
0,64,3,0.854716701170557
0,19,11,0.831801832529399
0,58,96,0.70914877809252
0,39,11,0.860925588387123
0,80,70,0.728101575071766
0,42,91,0.711565090591779
0,5,35,0.820963250061304
0,70,50,0.716833422786936
0,74,6,0.827539157744872
0,37,34,0.780522584311168
0,85,5,0.803035665741067
0,41,85,0.765510026272453
0,34,24,0.799585410071373
0,72,9,0.821554686201006
0,62,3,0.846170551221262
0,45,9,0.820318183141698
0,69,33,0.752808287967247
0,52,5,0.87476860783611
0,98,54,0.73517006329254
0,68,13,0.781086389076554
0,28,64,0.784256342646665
0,21,41,0.76875199583779
0,35,14,0.843516713660573
0,88,40,0.742584144009836
0,75,69,0.738734329586481
0,24,74,0.786297049073439
0,78,54,0.7513233004589
0,76,10,0.798445821142208
0,4,8,0.877230356251292
0,61,70,0.739361855574754
0,43,68,0.744431857013569
0,77,3,0.878731794238383
0,7,24,0.826881341926086
0,81,54,0.746236589671523
0,8,10,0.861614922010486
0,55,4,0.863162749305355
0,27,4,0.860891902452141
0,20,7,0.848853139253233
0,9,3,0.890692764879114
0,32,41,0.787109883735207
0,63,20,0.777391888710955
0,96,97,0.694361202216706
0,84,12,0.794036976277158
0,65,24,0.787676543747297
0,6,7,0.878319384847032
0,22,98,0.761958426518216
0,3,1,0.919047414467491
0,56,1,0.858160794066167
0,97,44,0.740921646271189
0,44,19,0.806016297915823
0,31,11,0.841227920290019
0,48,88,0.777286953785552
0,12,25,0.823813155068183
0,26,14,0.830049899479366
0,18,9,0.851091533584604
0,38,3,0.872064530961618
0,23,69,0.788781333466697
0,15,6,0.872367301050966
0,1,2,0.905227206618256
0,59,53,0.751147808948771
0,57,66,0.729067976565329
0,90,10,0.782061905208076
0,25,30,0.812677831526636
0,10,5,0.87720302011358
0,95,11,0.802149167216968
0,46,19,0.788380834323947
0,40,61,0.796634530661202
0,89,12,0.785893540549028
0,14,27,0.814487317472815
2,91,63,0.740213548799204
2,16,3,0.880571215276416
2,49,1,0.902762234595146
2,17,18,0.8255995299854
2,64,43,0.724880626195897
2,19,6,0.856818172784548
2,39,1,0.910420228731193
2,42,57,0.741757705725097
2,5,54,0.780795028802605
2,70,43,0.720909942381778
2,74,2,0.849359332475085
2,36,66,0.775716512635616
2,37,75,0.739080361081887
2,85,27,0.746248096922795
2,34,38,0.776168514834171
2,72,12,0.813256669811136
2,62,7,0.8223015988764
2,45,30,0.776719837376065
2,69,25,0.76257444565941
2,52,13,0.841122907194583
2,98,33,0.75246578132915
2,68,90,0.691562606635802
2,21,48,0.757867004290666
2,35,7,0.859513745418532
2,88,18,0.768778220642885
2,75,82,0.731182750725743
2,83,49,0.766830398228275
2,78,33,0.776995430062142
2,76,59,0.731336020278101
2,4,12,0.85848423429173
2,61,67,0.740833243006574
2,77,33,0.72572158652956
2,7,14,0.839382465086959
2,81,36,0.760294807382886
2,8,2,0.905888374594731
2,55,9,0.844284373769677
2,27,2,0.869416883782714
2,20,8,0.847380134793495
2,9,18,0.825141889516205
2,63,70,0.720951578108062
2,84,14,0.791705432514749
2,6,8,0.87607517395445
2,3,5,0.893380522986269
2,56,4,0.836754076509141
2,97,92,0.704433082346426
2,44,50,0.775058552583782
2,31,94,0.758145879808383
2,48,53,0.781699767491877
2,12,17,0.830499652091252
2,26,22,0.809819743889647
2,18,14,0.829801031721507
2,38,20,0.786693002708179
2,23,72,0.773755638809882
2,15,2,0.896649550930964
2,1,34,0.816096966594219
2,59,93,0.72174448569584
2,90,31,0.752232660360891
2,25,8,0.856642613115343
2,10,10,0.867551501816211
2,46,2,0.859555195433246
2,40,56,0.779332424323067
2,89,24,0.768969284927584
2,14,92,0.752426815646298
91,47,80,0.726884702435148
91,51,33,0.778905849124712
91,58,44,0.760264486094878
91,80,78,0.721447333379049
91,42,25,0.78942507756577
91,36,90,0.724927003603839
91,34,1,0.909762892980029
91,21,12,0.837573870444797
91,88,13,0.790430570992213
91,83,4,0.864823076717389
91,27,21,0.806862804114895
91,20,95,0.721310264757069
91,56,86,0.726366127155597
91,79,5,0.840231353662902
91,13,75,0.734368993999109
91,48,5,0.855431923193671
91,12,58,0.747463191874304
91,26,6,0.850720131539442
91,57,100,0.700860339981699
91,25,2,0.876842025815388
91,46,83,0.722529784698216
91,40,65,0.738287479135186
47,51,9,0.84152637123158
47,80,43,0.752051057913957
47,42,63,0.732225202251278
47,71,50,0.760216659244851
47,85,17,0.76193531669002
47,41,48,0.783541253804296
47,34,8,0.835782207102742
47,69,74,0.709555717409059
47,68,30,0.750867540408326
47,28,84,0.756881873749298
47,21,9,0.85024118188275
47,75,4,0.823415402336386
47,24,73,0.76409310374804
47,83,51,0.764888780663398
47,43,16,0.799465847696983
47,77,86,0.681892018647239
47,9,24,0.814119496287582
47,32,53,0.774370353484062
47,60,96,0.715271300790595
47,22,48,0.784357947777502
47,79,52,0.759271386706575
47,44,24,0.797207641317339
47,13,22,0.814684356577406
47,48,3,0.859622631402197
47,12,41,0.791032116604714
47,26,1,0.867436710438654
47,38,24,0.780310180481617
47,11,29,0.806536973698294
47,1,41,0.791230299622463
47,33,34,0.802626646858578
47,57,37,0.763389806778528
47,82,33,0.789685094868502
47,90,8,0.784650629073242
47,14,38,0.796437294405572
16,49,4,0.852759213063669
16,53,51,0.743206733640728
16,17,26,0.808156018636776
16,64,23,0.758534775110043
16,19,25,0.794990546625937
16,39,15,0.82431467782993
16,5,31,0.803074669009691
16,70,17,0.76253222802149
16,74,34,0.773214733534296
16,85,3,0.810977746638411
16,72,24,0.777606876373549
16,62,9,0.808679745857355
16,69,96,0.692668127964005
16,52,41,0.78340334437046
16,68,58,0.715055067350651
16,35,79,0.758245311321358
16,76,6,0.816772574284286
16,4,9,0.847683945811602
16,77,69,0.693331419128243
16,7,21,0.811745080678712
16,81,24,0.778005402556989
16,8,17,0.81928594279234
16,55,5,0.859412058223632
16,27,54,0.768290643965891
16,20,11,0.835267565716612
16,9,57,0.769596504096281
16,32,72,0.760567198332491
16,63,22,0.776317081233707
16,65,30,0.776159328051449
16,6,53,0.773559843233209
16,22,85,0.755431565933765
16,3,5,0.864234837653716
16,56,3,0.841281058296022
16,44,54,0.769865622898035
16,31,22,0.811439797431047
16,93,42,0.777668394096885
16,12,59,0.771629504948195
16,18,2,0.881707263892515
16,38,72,0.729573637561916
16,23,22,0.811346262591984
16,15,4,0.873138220970415
16,1,75,0.758867548441365
16,59,17,0.793622791510199
16,10,68,0.763360454122568
16,95,50,0.756440174608368
16,46,3,0.844277478757067
16,89,81,0.69969588694664
49,17,27,0.770554913355251
49,64,52,0.708709267272193
49,19,51,0.751878296800997
49,39,2,0.863622724661084
49,5,76,0.731057956924154
49,70,32,0.737729774651971
49,74,8,0.827049679333554
49,62,43,0.746942043049892
49,45,27,0.771474958072435
49,52,60,0.740274517273666
49,98,20,0.770437907245094
49,87,89,0.721463397628929
49,4,25,0.782416615335347
49,77,77,0.687435278291461
49,7,12,0.814328266251834
49,81,60,0.739921896809452
49,8,21,0.789555602706334
49,55,5,0.847750147213989
49,27,22,0.788698397023028
49,20,26,0.77240219703996
49,9,81,0.724660471595791
49,63,63,0.729162897668858
49,84,64,0.737861421427205
49,6,36,0.761753731753193
49,3,15,0.803931161842958
49,56,74,0.731982030669302
49,31,35,0.764111976488732
49,18,15,0.803927642055043
49,38,36,0.760835891443774
49,23,66,0.735785582728439
49,15,5,0.847803580575668
49,1,92,0.720416634686314
49,25,52,0.750867717725673
49,10,43,0.757544266488994
49,46,1,0.861021971731907
49,89,38,0.741198154352678
51,58,48,0.755354096964058
51,80,3,0.844536400712147
51,36,14,0.831142722286801
51,34,20,0.800006781935427
51,28,72,0.750185854246025
51,21,9,0.84166648933145
51,88,40,0.743364019231796
51,83,35,0.780893821845559
51,9,63,0.754567761362417
51,96,23,0.760794330752659
51,60,41,0.773526236403196
51,97,84,0.708367833491417
51,79,1,0.862550669224089
51,13,5,0.854196052721204
51,48,7,0.846191980396455
51,12,24,0.789115672886908
51,26,13,0.833280241278048
51,38,93,0.714870275464848
51,1,60,0.759170767741793
51,57,62,0.735735690614433
51,90,23,0.764351263362378
51,25,28,0.786026458420648
51,40,11,0.840165121472979
51,14,3,0.856073761276838
53,17,21,0.782116196608499
53,64,61,0.698668906163242
53,19,99,0.713775010407579
