Source,Target,k,pcc
1,72,31,0.812811968121982
1,65,1,0.882572809025098
1,60,10,0.862414952605636
1,58,12,0.843995217979239
1,70,6,0.840846138104028
1,24,9,0.903772855673117
1,77,20,0.812806897093137
1,39,51,0.856656558876564
1,93,19,0.782250227856401
1,28,29,0.875668101511892
1,89,64,0.757088232571845
1,16,16,0.893476802857741
1,86,47,0.768947322033921
1,45,1,0.897896560203583
1,64,85,0.745257866008726
1,87,13,0.813480597787444
1,63,28,0.840542207866508
1,92,14,0.808825161481798
1,85,30,0.81969226051212
1,52,5,0.870513021564121
1,94,9,0.81838877746013
1,20,2,0.935407319717285
1,18,18,0.887760598241708
1,73,43,0.794024954060299
1,84,29,0.799481743842973
1,57,13,0.84377141161007
1,49,40,0.800341451184652
1,6,3,0.941713846257345
1,14,5,0.92018123167497
1,83,7,0.852063977410756
1,74,3,0.849903888055126
1,37,36,0.819616271426735
1,13,6,0.920925152359972
1,75,18,0.822447877683261
1,50,37,0.81084072241163
1,99,16,0.790973327074925
1,3,2,0.949167086641874
1,31,26,0.858828680919661
1,61,6,0.861013279507921
1,90,76,0.816054260281188
1,71,8,0.848345426095566
1,15,16,0.900234707684918
1,62,28,0.829806353849822
1,21,14,0.895847219432832
1,26,4,0.926201722183204
1,0,1,0.955681484782987
1,42,22,0.864444409207351
1,68,21,0.830346708408353
1,23,15,0.894792067631459
1,29,2,0.911628550029044
1,59,17,0.841058752764762
1,34,59,0.833615518103983
1,55,13,0.83977995649103
1,82,36,0.81911411012453
1,4,3,0.940346095123318
1,38,19,0.84504415842871
1,69,21,0.809397500718703
1,78,7,0.839610958844539
1,80,19,0.809709877986843
1,66,20,0.834564225988167
1,54,6,0.87163788002819
1,10,22,0.893026308460068
1,17,5,0.907987615493797
1,25,10,0.89843875034162
1,7,7,0.93241466311189
1,44,13,0.867753506997005
1,2,4,0.934775885205633
1,96,22,0.810392552963475
1,8,9,0.927430056699756
1,43,19,0.848204354366872
1,5,6,0.934769803857012
1,40,23,0.865292175544706
1,12,4,0.928084699620783
1,22,2,0.938009403781477
1,9,10,0.910278879101364
1,48,26,0.864476910598529
1,32,2,0.910459009252252
1,67,53,0.816176829229192
1,47,38,0.795223787062972
1,88,52,0.75292003108446
1,11,13,0.910825042829111
1,19,10,0.897336196536549
1,33,19,0.863204366285534
1,81,24,0.794340347855505
1,41,14,0.859451297623385
1,35,17,0.859793403361277
1,53,53,0.769346290277763
1,30,2,0.914281424679106
1,46,6,0.866144436977966
1,56,64,0.766567133576663
1,95,28,0.773305262020242
1,27,9,0.896202226956878
1,36,15,0.875412840887029
97,72,98,0.771843501018266
97,28,4,0.88417779762011
97,16,89,0.798195128814239
97,92,46,0.771824342210915
97,85,1,0.888925777427016
97,99,100,0.70782175365674
97,42,86,0.797968335293447
97,23,62,0.823620992012634
97,34,1,0.89204360261965
97,44,51,0.830193916296634
97,43,37,0.824207969625161
97,12,44,0.834018541692798
97,9,93,0.811566279681833
97,67,12,0.850778536693006
97,27,62,0.821319274143162
72,24,33,0.809605532062185
72,39,37,0.808531685664521
72,28,39,0.808147497537773
72,16,45,0.800326274286635
72,92,14,0.808964954539127
72,85,67,0.788293708603984
72,20,33,0.809884681976114
72,83,4,0.860791912014676
72,99,3,0.840712258395924
72,3,23,0.820889868070829
72,31,15,0.835093843291664
72,90,19,0.822189273680863
72,71,23,0.820601171392322
72,15,98,0.772097219751825
72,62,3,0.892863965402404
72,0,56,0.792009033568765
72,42,2,0.899890721579006
72,68,19,0.822338178224114
72,82,61,0.79137620682307
72,66,98,0.772329539328273
72,10,77,0.779693645645466
72,17,67,0.788272159423519
72,96,18,0.820954027454372
72,8,41,0.802254869403653
72,43,67,0.788184152830716
72,5,28,0.817952711628991
72,40,56,0.792014574816576
72,12,6,0.871609659600276
72,9,12,0.841221825275551
72,67,83,0.777486773332559
72,11,83,0.777170177848636
72,30,3,0.893433630193858
72,46,5,0.867494581832935
72,27,5,0.880425641436142
72,36,1,0.925083977313623
65,58,36,0.802951361220026
65,24,19,0.834181936486577
65,39,51,0.801064049081174
65,93,49,0.750727613252336
65,45,5,0.86084018770695
65,87,9,0.8202644873798
65,63,67,0.790299167434262
65,52,45,0.79662092918893
65,94,68,0.719258367309626
65,20,11,0.850322015774303
65,73,73,0.748665124342714
65,84,51,0.770374088927376
65,57,31,0.804262704434601
65,6,6,0.859837977678193
65,14,37,0.814091420617288
65,83,27,0.810345636585791
65,74,63,0.744674511981768
65,75,80,0.767484623806043
65,3,9,0.855311107630059
65,61,14,0.841828036824878
65,71,34,0.816986854877361
65,21,39,0.812013113131469
65,26,40,0.810548920479284
65,0,8,0.858103550483113
65,23,81,0.775475943839431
65,29,20,0.833216099861831
65,59,62,0.772047358329138
65,55,92,0.736464280093919
65,4,23,0.831260592805664
65,69,79,0.739733605264777
65,78,83,0.76055879877968
65,80,35,0.774386595597246
65,54,73,0.766217681876274
65,17,13,0.847157191063943
65,25,18,0.83541910724357
65,7,56,0.798382122787911
65,44,61,0.795448240827695
65,2,63,0.794407224901729
65,96,35,0.791786038900934
65,8,25,0.830492339081815
65,5,75,0.777873373332403
65,40,44,0.805703078365225
65,12,64,0.792707489834062
65,22,2,0.881284771544289
65,9,58,0.796249988824008
65,48,10,0.85381098038114
65,32,3,0.875223557415811
65,11,84,0.771792466350012
65,19,35,0.815801985412496
65,33,53,0.79998717512381
65,81,76,0.731690374664171
65,41,27,0.826382791995231
65,30,37,0.81378263786938
65,46,91,0.755886980570962
65,95,91,0.697772414459969
65,27,77,0.775723783551078
65,36,71,0.785236770044989
60,58,66,0.761834007052944
60,24,50,0.808495235044105
60,28,64,0.790680284002208
60,16,59,0.795668484446947
60,45,68,0.788262026530365
60,92,35,0.782048115463455
60,85,20,0.82705780004716
60,79,94,0.729481138504939
60,20,46,0.811362580418767
60,73,37,0.799384772570481
60,6,23,0.839725297113516
60,14,51,0.803665517372188
60,74,74,0.73396996055787
60,13,34,0.821671113374236
60,3,49,0.808866847944829
60,61,30,0.825038932876891
60,71,76,0.778721836674964
60,15,44,0.814670123907617
60,21,2,0.883800982643902
60,26,13,0.852817258369312
60,0,22,0.840608096233585
60,68,30,0.824724254971631
60,23,7,0.864947261664754
60,29,28,0.831542368271443
60,59,54,0.780163750555579
60,34,11,0.861004436632988
60,4,25,0.83529842190798
60,69,97,0.717394931455457
60,54,66,0.772171708932974
60,10,66,0.789576166877581
60,25,27,0.833414067027948
60,7,1,0.886318424614173
60,44,13,0.853108451262587
60,2,36,0.82115559411468
60,8,4,0.878923027912517
60,43,9,0.864060040151583
60,5,2,0.883788489412835
60,12,39,0.818002925540746
60,22,20,0.842369591001843
60,9,15,0.847603137574873
60,48,34,0.821862574000761
60,32,26,0.83440578006315
60,47,63,0.759829719318339
60,11,39,0.817993331536165
60,19,70,0.784164683972649
60,41,54,0.798656739114878
60,35,7,0.865358514808579
60,53,85,0.747383029920659
60,30,84,0.774506264429497
60,46,31,0.817888811464194
60,56,68,0.763084888511245
60,27,45,0.812260771308936
58,70,79,0.746421310213802
58,24,25,0.815493221593338
58,77,80,0.745337828859311
58,93,54,0.744111758699435
58,89,100,0.724581933888477
58,16,54,0.77169533837842
58,45,34,0.804126773859295
58,64,51,0.782902334694122
58,63,70,0.756389611827756
58,52,56,0.768719518961172
58,94,72,0.711884777469247
58,20,19,0.834920775775758
58,18,76,0.748896430464312
58,73,37,0.799395683545683
58,84,21,0.812463423025629
58,57,60,0.768086679434655
58,49,21,0.830181348983913
58,6,13,0.84307166541802
58,98,76,0.725394386355428
58,14,17,0.837873637704045
58,74,23,0.799723745471295
58,37,56,0.76940321722594
58,13,10,0.849703179548085
58,75,72,0.75461671364812
58,3,15,0.842374973699146
58,61,55,0.770105463359868
58,15,73,0.754463880346734
58,21,8,0.853111090563585
58,26,74,0.750099754754855
58,0,23,0.825807831073215
58,29,39,0.800707633842851
58,59,5,0.857844068997099
58,55,17,0.836487524455572
58,4,9,0.852226243878348
58,38,56,0.769142676461409
58,69,8,0.842541558796928
58,78,60,0.76776999736708
58,80,43,0.763907614801116
58,54,70,0.755521288384762
58,10,47,0.791356922742457
58,17,7,0.856477494966895
58,25,2,0.88950751459604
58,7,48,0.788746848584422
58,44,45,0.791988590011213
58,2,6,0.857137915164185
58,96,83,0.7401525367772
58,8,16,0.840232123702109
58,43,44,0.793010309317397
58,5,33,0.80621834305712
58,12,52,0.775067509998232
58,22,37,0.80216675077329
58,9,43,0.79409148953579
58,48,68,0.760015456516564
58,32,30,0.807490807696095
58,47,4,0.858671826518317
58,88,69,0.72727753611705
58,11,22,0.82709363164277
58,19,40,0.799799030299839
58,33,1,0.895891758103449
58,81,5,0.834452411735952
58,41,3,0.888455081245
58,35,45,0.792483407009988
58,53,24,0.823904321509885
58,30,98,0.726146155406718
58,46,30,0.80682187616002
58,56,77,0.748222331837684
58,95,12,0.808273687913549
58,27,86,0.737560659197246
58,36,98,0.725770667074649
70,51,8,0.836116327377982
70,77,10,0.827976796132822
70,28,70,0.759374927575338
70,89,1,0.898683813573246
70,16,47,0.77396956558408
70,86,41,0.773384401148862
70,64,16,0.812893848060654
70,92,72,0.742419275720307
70,85,85,0.747672396032147
70,79,55,0.764034424054965
70,20,9,0.832248353450491
70,18,3,0.852727203088155
70,57,42,0.780710995754941
70,49,99,0.719258621196916
70,6,12,0.826589618017012
70,14,18,0.809952238813095
70,74,49,0.760761245506095
70,37,38,0.784515871065889
70,13,4,0.850415061195735
70,50,59,0.764225929875925
70,91,44,0.779398670632032
70,3,35,0.792542486589247
70,31,31,0.796403423480337
70,15,25,0.800478163849889
70,21,65,0.761455728006971
70,26,40,0.784482162619779
70,0,9,0.832417398233579
70,42,99,0.735011494619101
70,23,54,0.767985667302757
70,76,95,0.738597085737431
70,59,78,0.750680219818128
70,34,51,0.77134276616516
70,55,84,0.747398351935729
70,4,59,0.763688510240387
70,38,7,0.837238067254633
70,78,19,0.808345740167459
70,80,43,0.763756177642575
70,54,54,0.76791352013419
70,10,5,0.847938142709774
70,17,31,0.796441108801416
70,25,68,0.760403874269385
70,7,38,0.785337995666215
70,44,90,0.743367756722659
70,2,2,0.869996213097515
70,43,78,0.75100682465951
70,5,14,0.82523384802015
70,12,33,0.794483834108417
70,22,80,0.750167483342935
70,9,15,0.818138509479739
70,32,46,0.774528498658331
70,47,82,0.734302525811964
70,88,32,0.7726335300417
70,11,12,0.826589026181812
70,19,29,0.796938646938098
70,33,94,0.739983520026629
70,35,73,0.755113849593193
70,53,94,0.737378838397402
70,30,74,0.752933967761707
70,46,63,0.763143200773045
70,56,45,0.775635938913483
70,27,22,0.801441031236148
24,77,91,0.740291217605371
24,39,37,0.850521256635018
24,93,13,0.79181416942534
24,28,42,0.846654458583816
24,16,20,0.883571333595481
24,45,32,0.830388715254135
24,87,57,0.75780390407479
24,63,74,0.795704986029671
24,92,83,0.735259725136549
24,52,56,0.782441233428852
24,94,31,0.767762264798738
24,20,14,0.881834876639332
24,18,71,0.80086442782833
24,73,67,0.756553255624699
24,84,31,0.796791129318073
24,57,84,0.747452349331885
24,49,26,0.824851447910561
24,6,23,0.876350103698224
24,14,48,0.841089175054052
24,83,26,0.811297287862535
24,74,58,0.750096247127409
24,37,51,0.799085033209054
24,13,57,0.825896673143177
24,75,20,0.818847134037919
24,50,67,0.778366928691237
24,99,45,0.751109722810841
24,3,8,0.905795309072676
24,31,35,0.842956384105365
24,61,51,0.80624139132759
24,90,31,0.838801735833995
24,71,11,0.845239931489436
24,15,32,0.857880594367454
24,62,27,0.831197623873571
24,21,3,0.920082281297895
24,26,38,0.848817593987201
24,0,9,0.904045076743687
24,42,31,0.843384443252608
24,68,3,0.883128337139206
24,23,28,0.869126546630964
24,29,11,0.886454865774418
24,59,70,0.764413115103072
24,34,44,0.845075341123009
24,55,45,0.795937507182055
24,82,10,0.86951669436501
24,4,6,0.910796501991757
24,38,98,0.747420399544653
24,69,42,0.77662434021484
24,78,39,0.785565504511021
24,66,17,0.837665241838142
24,54,46,0.794036603252614
24,10,37,0.851091040119475
24,17,35,0.855394054186668
24,25,12,0.89261779300136
24,7,13,0.900486592735544
24,44,74,0.815464100489159
24,2,36,0.853546926722912
24,96,14,0.836915787447561
24,8,1,0.959513225880174
24,43,8,0.867964931629537
24,5,16,0.889817943079453
24,40,3,0.906787462054866
24,12,17,0.888633224910124
24,22,12,0.900446770328362
24,9,3,0.919632797992739
24,48,4,0.916819546521097
24,32,21,0.871609681811046
24,47,57,0.766765704239495
24,11,32,0.857751015945993
24,19,27,0.868496309095932
24,33,2,0.904070681819313
24,81,38,0.769302072092783
24,41,2,0.921692755859312
24,35,58,0.797979855407862
24,30,14,0.88485095526192
24,46,22,0.834956836458791
24,95,51,0.734753165989473
24,27,51,0.833177395011516
24,36,24,0.862802807861461
51,77,91,0.739671650688732
51,93,85,0.704825960594843
51,28,60,0.796654826358853
51,89,5,0.874280246278269
51,16,90,0.770565452184857
51,86,2,0.886351335563035
51,64,1,0.902646100621602
51,92,55,0.762543887718667
51,52,77,0.761332336191783
51,79,8,0.868350604849573
51,94,100,0.690397119260476
51,20,55,0.800875457252556
51,18,3,0.89476317695415
51,73,83,0.737583646107222
51,57,24,0.812188291812058
51,49,32,0.81728846394926
51,6,31,0.82901177946469
51,14,15,0.859103596531107
51,74,52,0.754797453459678
51,37,7,0.884775200894286
51,13,34,0.826013072113924
51,50,93,0.760309417457252
51,91,14,0.85168941615991
51,99,79,0.715818949909411
51,31,99,0.768252618478033
51,21,78,0.779824744167074
51,0,44,0.815807647898559
51,76,15,0.840435901877445
51,59,85,0.743956670455486
51,34,53,0.803544417877143
51,55,78,0.753546131460442
51,4,74,0.78433097702002
51,38,2,0.898113205996039
51,69,40,0.780050851236261
51,80,52,0.753367696835819
51,54,55,0.78372363343378
51,10,3,0.894876861254774
51,17,42,0.81742193243689
51,25,88,0.771093667048178
51,2,5,0.887593686946981
51,5,94,0.770484161050744
51,9,76,0.782938857725155
51,47,22,0.837701713424038
51,88,18,0.797078987716942
51,11,21,0.846247636789979
51,19,19,0.849507357589954
51,33,90,0.760154000471566
51,81,84,0.726568419118297
51,35,38,0.82159766295196
51,53,28,0.825380668578903
51,56,14,0.853927161986716
51,95,55,0.733182016998549
51,27,49,0.81112933952102
77,39,61,0.763064261339482
77,93,39,0.764404939557989
77,28,65,0.757603311480816
77,89,18,0.815693808836177
77,16,33,0.794904700434291
77,87,42,0.773902918585504
77,94,77,0.706640658868394
77,20,66,0.756656206368528
77,18,10,0.828327905711549
77,57,52,0.767902465089684
77,49,28,0.800078827653029
77,6,40,0.7817644409842
77,14,88,0.742820524868032
77,74,71,0.736952984258853
77,37,17,0.817671282224209
77,13,4,0.848650836927566
77,75,13,0.823625148834049
77,50,22,0.809152013730207
77,99,78,0.717137450944795
77,3,15,0.819884733333288
77,31,5,0.844029637731138
77,15,1,0.859574571221223
77,62,69,0.754986477154036
77,0,13,0.824113431357066
77,42,66,0.75711857959939
77,55,23,0.807831161688163
77,82,99,0.736420934999064
77,4,56,0.764678346211559
77,38,52,0.768102324757833
77,78,6,0.837751014350998
77,80,71,0.726054340124245
77,10,15,0.819885670570589
77,17,8,0.83409072605083
77,25,50,0.769429646777302
77,7,54,0.765996172507714
77,2,2,0.855796152674181
77,8,61,0.762580093815336
77,5,9,0.833067211587711
77,40,83,0.746406081766124
77,12,30,0.796674915944843
77,9,33,0.794979206724896
77,47,93,0.711931449567436
77,88,6,0.838132828803323
77,11,2,0.855777624508684
77,19,49,0.770115642997997
77,33,46,0.773066941657353
77,81,14,0.811958432144644
77,30,37,0.793121492841107
77,46,48,0.77061575689113
77,95,68,0.726138491648401
77,27,75,0.750392848600978
77,36,32,0.795683397340561
39,93,68,0.725379141718033
39,28,55,0.851953940845647
39,16,26,0.876085200376837
39,45,2,0.893954027697819
39,87,24,0.788639265608415
39,52,74,0.762629279171089
39,94,82,0.70541263779391
39,18,93,0.773954933291278
39,84,76,0.745447335669126
39,83,70,0.783398686189537
39,74,68,0.7383692250527
39,13,59,0.823912365493734
39,75,11,0.831116899079306
39,50,28,0.824874740037407
39,3,5,0.901797654375114
39,31,39,0.838927349530348
39,90,31,0.839006334751893
39,71,31,0.824479366562324
39,15,13,0.893092697710767
39,62,8,0.882201626718437
39,26,60,0.815966482992304
39,0,22,0.887618981335292
39,42,14,0.87073221368919
39,68,23,0.82683254083621
39,23,8,0.898899585049306
39,29,68,0.822236457766814
39,34,91,0.813995606577905
