Source,Target,k,pcc
13,98,66,0.767133156150898
13,15,6,0.891873050508422
13,55,14,0.860271347594973
13,58,65,0.784861101617052
13,79,9,0.836389159711178
13,66,5,0.86388331288966
13,28,27,0.886861794593243
13,69,54,0.830846841090144
13,63,30,0.845727192312594
13,72,46,0.805217751323842
13,9,44,0.85679147552592
13,39,3,0.913316505337444
13,96,18,0.810287755468203
13,7,69,0.840184107455948
13,49,12,0.875474536195892
13,65,52,0.802987186639323
13,27,3,0.894656036751986
13,54,60,0.779348774040183
13,67,24,0.843280496409892
13,18,22,0.868417736147446
13,1,15,0.895124562580722
13,5,1,0.956005651803668
13,44,9,0.86924302464378
13,84,6,0.849048614588257
13,41,81,0.810311244707645
13,38,69,0.825071241734114
13,17,36,0.855365241815066
13,31,8,0.864374522802698
13,37,70,0.829001492494485
13,21,26,0.874198264278262
13,14,8,0.885091678304916
13,3,12,0.892816497251963
13,26,62,0.841433614569233
13,76,11,0.869302271403702
13,91,11,0.846008881547605
13,52,17,0.833732715866905
13,0,41,0.868826005096608
13,89,84,0.763754810190072
13,36,4,0.889241282084181
13,32,53,0.836191105325502
13,56,41,0.834158349800531
13,24,30,0.850873950464386
13,34,38,0.841350947699386
13,11,5,0.914113790332038
13,8,8,0.909539681364005
13,35,74,0.829897661475016
13,81,51,0.776246086046804
13,64,43,0.830178529502111
13,48,1,0.919703686184108
13,10,6,0.912769642077058
13,93,22,0.823596949024624
13,47,20,0.851890754327499
13,25,3,0.912864150482454
13,60,64,0.78141794683506
13,95,85,0.778217901994273
13,12,8,0.884298835769445
98,15,42,0.789150747797456
98,87,7,0.832354670506379
98,55,27,0.810586273536106
98,79,6,0.841357422658492
98,72,89,0.756426862148101
98,39,48,0.778554914293431
98,96,7,0.832567022362764
98,7,13,0.825164618666964
98,59,1,0.890265794834885
98,27,75,0.764417396551635
98,45,57,0.772278238078435
98,40,61,0.769657277177708
98,29,35,0.802481103119093
98,5,13,0.824814077903578
98,50,68,0.765840772668669
98,30,48,0.779330415390294
98,84,72,0.764792823386179
98,14,82,0.760000183620279
98,68,67,0.753347646194544
98,86,57,0.772158249476091
98,3,8,0.833028178882274
98,61,35,0.801680498047113
98,91,17,0.818992811686691
98,32,92,0.753579321373131
98,11,80,0.76160329150577
98,94,55,0.773818133567527
98,81,12,0.825597393269872
98,99,33,0.770630013620567
98,6,32,0.808189944283901
98,20,86,0.758634103572949
98,16,64,0.767910783686148
98,60,17,0.818264492029912
98,12,17,0.818768515330438
15,87,18,0.803874983487476
15,55,87,0.799288299578378
15,58,31,0.811816739239648
15,79,45,0.800947509001951
15,97,74,0.757204043085928
15,66,33,0.827830867160294
15,51,19,0.835971368687607
15,42,29,0.827553003094793
15,72,55,0.801165687902743
15,9,66,0.811512896870606
15,39,24,0.851313639613907
15,96,9,0.826388409811281
15,7,10,0.871888701425094
15,65,23,0.836579365696075
15,59,40,0.819281125615932
15,4,23,0.851856117643828
15,27,18,0.855612463710421
15,88,39,0.799096913739692
15,54,5,0.863275868072988
15,45,60,0.785309318129872
15,67,13,0.852635170537022
15,82,22,0.798610801397214
15,40,55,0.817592671095706
15,18,51,0.820710753187549
15,92,58,0.783676636631832
15,1,20,0.854924279148351
15,29,70,0.801428577620558
15,5,2,0.922989681535594
15,50,23,0.828767663587577
15,22,25,0.847418104937811
15,30,14,0.862730332111065
15,43,88,0.799631944260612
15,44,6,0.878478132438066
15,84,10,0.834359313031505
15,41,9,0.873542532182094
15,38,39,0.830271802184736
15,17,39,0.830288372676737
15,33,25,0.847163459863132
15,31,1,0.893999809318972
15,2,21,0.854221397006635
15,21,64,0.813125657291695
15,14,38,0.831402853552866
15,68,58,0.7594294796337
15,86,33,0.79961334082111
15,3,3,0.915044821592243
15,62,70,0.777878319001192
15,61,65,0.785424581177097
15,76,85,0.802347665419138
15,91,55,0.796736142188186
15,52,50,0.799270921575437
15,0,4,0.901946450730235
15,89,35,0.798609944601878
15,36,46,0.821923572169451
15,32,11,0.868839089195407
15,56,55,0.818337978426172
15,24,94,0.79785988028217
15,23,27,0.845125751474456
15,11,18,0.857287816825528
15,8,66,0.811593883088645
15,94,15,0.826767131495732
15,46,84,0.78270792868955
15,81,11,0.829306121237079
15,99,80,0.721531734948779
15,6,7,0.885594140340041
15,20,33,0.835793249696635
15,85,92,0.764786467627472
15,48,30,0.839486535493353
15,10,58,0.816919696075914
15,47,81,0.803786189939565
15,25,29,0.841966143735337
15,80,54,0.812408682403977
15,16,72,0.809256769009727
15,60,17,0.817891666963048
15,12,1,0.95371278769226
87,55,32,0.782182557145344
87,58,65,0.745324849087884
87,79,83,0.72968451383781
87,77,74,0.738964493927659
87,72,54,0.754593645855246
87,39,91,0.726967629027593
87,96,9,0.824380789461369
87,7,20,0.7985662436953
87,59,10,0.821595998771792
87,4,57,0.754238696449307
87,27,15,0.813702104862703
87,88,89,0.728133720190367
87,54,50,0.758121468960624
87,45,10,0.822134437742397
87,67,99,0.7168326112499
87,57,92,0.725601662257061
87,40,4,0.84862460459773
87,29,6,0.840413229568521
87,5,34,0.780567176491594
87,50,27,0.789650352790104
87,22,72,0.740247090639877
87,30,1,0.875052282890058
87,84,46,0.7633775663875
87,19,54,0.75528568612848
87,33,65,0.744511624225388
87,31,45,0.764680627475354
87,2,44,0.766942830239222
87,14,76,0.734977701802243
87,68,2,0.852542985504538
87,86,67,0.74373264730304
87,3,5,0.843853684678228
87,62,34,0.780948997767741
87,61,17,0.805692083393358
87,91,27,0.789503538555539
87,0,39,0.773001455668786
87,74,16,0.8076173652585
87,32,47,0.760308317728077
87,23,58,0.751554768017938
87,94,27,0.790426162912645
87,46,83,0.730231188771006
87,81,31,0.783211213271481
87,90,31,0.772112124379673
87,99,28,0.777047938854876
87,6,3,0.852400961649638
87,20,25,0.79301347696219
87,85,98,0.717594736861008
87,16,7,0.831590826654335
87,60,23,0.797451199302974
87,12,13,0.814940567024819
55,58,56,0.789999395110266
55,79,11,0.833953014256882
55,97,91,0.746047058663908
55,66,23,0.835800726397043
55,28,13,0.862918570225258
55,63,26,0.838983113877171
55,72,60,0.797826442568394
55,9,12,0.866275174638406
55,39,46,0.821481490369608
55,96,26,0.795529494595139
55,7,21,0.844162704165391
55,49,97,0.794384713267003
55,59,90,0.790037720403535
55,27,1,0.905281470853063
55,54,77,0.769054129937164
55,67,86,0.78194187990973
55,18,71,0.807172477079136
55,1,6,0.879694162589157
55,5,16,0.855262463068864
55,78,24,0.830788018254899
55,84,1,0.889116703114907
55,38,41,0.8226887146914
55,17,41,0.822666038202734
55,31,81,0.777899815643684
55,14,57,0.815444759712645
55,3,34,0.831004177488204
55,26,60,0.814346237483649
55,73,66,0.795916169090149
55,76,60,0.814089617294322
55,91,3,0.883996182344757
55,52,53,0.796725573082278
55,0,51,0.820484330252379
55,36,14,0.852787941794713
55,24,46,0.820998294059496
55,34,97,0.794449029634268
55,11,60,0.814455608796866
55,8,28,0.836862448692215
55,35,53,0.817667024617987
55,46,76,0.790113839088327
55,75,87,0.778800935738312
55,81,86,0.752730716548557
55,48,21,0.843736302654437
55,10,30,0.834100796140926
55,47,2,0.898753065565157
55,60,70,0.778703246061653
58,79,61,0.786864251209185
58,97,50,0.773039361466758
58,66,99,0.755838814884938
58,51,25,0.823026497466685
58,42,69,0.783045967922139
58,63,72,0.779030292776143
58,72,67,0.783513640235915
58,9,3,0.864699097761109
58,96,28,0.793678773188135
58,7,5,0.856904340145358
58,49,85,0.77007847345748
58,4,25,0.822724292939554
58,27,24,0.823825428481344
58,54,32,0.803960856404415
58,40,63,0.785705758053073
58,18,9,0.838504477790898
58,83,90,0.752728353023667
58,1,3,0.865372733339923
58,29,52,0.794411011541986
58,5,15,0.829909142780111
58,50,48,0.795708144833572
58,22,22,0.825920899709036
58,30,31,0.811651426449233
58,43,55,0.791057856249262
58,44,49,0.795097295711922
58,19,16,0.828114894508842
58,41,83,0.7706220422548
58,38,46,0.796562452246212
58,17,33,0.811221147794051
58,33,65,0.785393613711994
58,31,16,0.827539488226663
58,37,49,0.795404806354266
58,2,25,0.822878948503128
58,21,11,0.83402665577941
58,14,7,0.851701338699712
58,3,12,0.833087911986639
58,62,12,0.832884286334285
58,26,41,0.802272233059929
58,76,93,0.762647029793661
58,52,90,0.764514684048016
58,0,1,0.876688345457913
58,32,75,0.776869052226103
58,56,56,0.790328582780666
58,24,14,0.832301901410649
58,23,5,0.856562868131438
58,34,16,0.828335794371713
58,11,22,0.826416782352451
58,8,30,0.817787083877229
58,35,79,0.772622783354767
58,46,2,0.871852239436447
58,53,36,0.809271923159171
58,81,75,0.757703034040896
58,90,70,0.734642842671148
58,6,16,0.82826696520935
58,20,8,0.843980580149732
58,10,29,0.818601058645652
58,47,63,0.786495526739553
58,25,45,0.797537358409168
58,16,49,0.795400048089747
58,60,32,0.805296721273984
58,95,67,0.783991931535705
58,12,39,0.80417493308784
79,63,8,0.837501329867551
79,72,24,0.816125732051891
79,9,19,0.82715635124054
79,39,48,0.798474098710585
79,96,10,0.82477598889593
79,7,16,0.828067624301988
79,59,32,0.812943339752991
79,27,84,0.777107322038814
79,88,25,0.809789048464336
79,54,62,0.776118206227158
79,40,72,0.783184253735168
79,1,63,0.788602493009474
79,29,64,0.787932624107956
79,5,2,0.851859443662741
79,50,75,0.771566530622912
79,84,19,0.822263545782753
79,21,77,0.780735160974353
79,14,24,0.815833594432027
79,3,11,0.833575309024383
79,91,70,0.784025208967926
79,0,43,0.802307766801262
79,36,72,0.783305706066126
79,24,29,0.814158944779076
79,11,4,0.849308938189008
79,94,87,0.76863605111083
79,81,50,0.7787069352362
79,85,68,0.77749717711015
79,10,23,0.818379963180961
79,25,26,0.814831093385356
79,60,3,0.851230351121152
79,12,80,0.780406071390932
97,51,57,0.769054781017301
97,42,8,0.827984839051147
97,63,95,0.744293027920266
97,9,11,0.823774770137739
97,7,19,0.808067709251027
97,4,22,0.805216414207681
97,27,40,0.784344788102165
97,57,77,0.754834875421199
97,40,75,0.756000319932845
97,18,31,0.795119909602356
97,83,4,0.850519442648687
97,1,41,0.783034116229983
97,29,77,0.754809608073029
97,22,10,0.827236675665614
97,44,87,0.748981618042767
97,19,28,0.795949402654288
97,17,3,0.858907587010491
97,31,44,0.779535211836846
97,37,66,0.760960839711772
97,2,31,0.795254447115098
97,21,64,0.762688160271211
97,14,17,0.809278329141577
97,73,50,0.773346280743775
97,52,1,0.876491235398409
97,0,28,0.795977418019244
97,36,27,0.801430366482868
97,24,2,0.872013724144381
97,23,8,0.827862443205465
97,34,42,0.781520432558614
97,8,82,0.750863832663247
97,35,59,0.767886056500465
97,46,16,0.811181325268883
97,53,35,0.790765049614953
97,6,62,0.763640211104801
97,10,39,0.785176153361955
97,25,42,0.781921591144972
97,16,89,0.747086074614305
97,60,47,0.777593604338595
66,28,5,0.864175248772469
66,63,31,0.82940524487624
66,9,64,0.809576453670089
66,39,64,0.810100985892326
66,96,98,0.737403686766243
66,27,48,0.81805465944895
66,67,82,0.785513914881816
66,18,25,0.835221620607245
66,83,53,0.779668355864669
66,1,1,0.88274955762801
66,5,2,0.874187325072196
66,78,59,0.802596742943816
66,22,97,0.795599309927784
66,44,42,0.809594404975824
66,84,58,0.783376532388329
66,41,11,0.852377598833114
66,38,83,0.802408214625162
66,17,62,0.811302124952317
66,31,99,0.768442584254752
66,37,89,0.798610502408382
66,2,79,0.802661759968879
66,21,4,0.864579396356398
66,14,21,0.837423038813477
66,70,19,0.838996968524745
66,3,8,0.856952137365135
66,26,9,0.854406593282513
66,91,91,0.776107932141637
66,52,51,0.798392221244036
66,0,18,0.84419232041086
66,36,16,0.84847294919545
66,56,33,0.827606617987887
66,23,14,0.850083482415248
66,11,61,0.812262394950566
66,8,25,0.835242727637581
66,35,44,0.821517151168181
66,6,92,0.795697012451918
66,64,79,0.802797338703541
66,48,56,0.816867250739379
66,10,45,0.82105113811441
66,93,18,0.826407843184319
66,47,17,0.845201356773406
66,25,28,0.832378937342602
66,12,36,0.826151675552142
51,42,13,0.845622276863332
51,72,19,0.828507276785432
51,9,26,0.825660315912905
51,7,6,0.858194029892499
51,4,39,0.813850058037238
51,45,69,0.779879830483361
51,67,90,0.779031653204167
51,57,66,0.797942561849717
51,82,91,0.745396091857577
51,40,20,0.835212875620277
51,18,28,0.822873597035248
51,83,71,0.766198999520095
51,1,21,0.830057840636234
51,29,50,0.804822357269792
51,5,48,0.805659645485728
51,50,45,0.79899779574187
51,22,2,0.879531165004951
51,30,100,0.767663616019904
51,43,7,0.856379212313293
51,44,4,0.862335191168047
51,19,9,0.854110281013979
51,41,37,0.818052041026086
51,17,1,0.884873116033591
51,33,60,0.802403240078581
51,31,11,0.852812840432534
51,37,64,0.798806925125854
51,2,34,0.819448763115541
51,21,17,0.840733058374534
51,14,17,0.840561088034957
51,3,52,0.804391087282954
51,52,59,0.79539290598028
51,0,32,0.820343728787598
51,89,20,0.818526650775473
51,56,16,0.84432632111423
51,24,71,0.793571636473951
51,23,12,0.847653623786134
51,34,68,0.795192383967392
51,11,22,0.8285807813467
51,94,73,0.776519997811998
51,46,43,0.808750681836391
51,75,48,0.80335489139389
51,6,41,0.813365008901406
51,20,39,0.813864363760125
51,85,33,0.802855660369847
51,47,50,0.804758217498316
51,25,22,0.829460350418372
51,16,80,0.785293243646374
51,60,79,0.771634700415404
51,12,14,0.845313466989704
42,9,72,0.798675963533959
42,7,47,0.815707288356349
42,65,18,0.843332744616799
42,4,1,0.890188665949092
42,27,96,0.787936010056884
42,88,55,0.787506903753295
42,54,59,0.780048633671134
42,57,44,0.817637518236539
42,82,75,0.752975570173352
42,18,39,0.820820815176201
42,92,47,0.792073753114868
42,83,31,0.803521422403107
42,1,74,0.797251797870678
42,50,40,0.803287757412411
42,22,17,0.845511685489848
42,43,11,0.862293215057648
42,44,9,0.867038241607954
42,19,16,0.850160919989708
42,41,53,0.81211581007174
42,17,17,0.846046639975404
42,33,62,0.805186836334609
42,31,16,0.844416829730346
42,37,82,0.794722975570276
42,2,6,0.872240659627876
42,21,26,0.829067472063056
42,14,39,0.820524706891565
42,70,90,0.791955358444865
42,3,58,0.807270856429364
42,62,84,0.770195256729836
42,52,36,0.814153254124992
42,0,2,0.884008183537016
42,89,6,0.868383760444446
42,36,23,0.834481477745104
42,56,56,0.808811730295289
42,24,32,0.826798592719328
42,23,38,0.822177192321097
42,34,59,0.806423221050961
42,11,26,0.828793651934699
42,8,79,0.795641879211574
42,46,25,0.830280280171218
42,53,12,0.860480035714724
42,6,34,0.826182719749406
42,20,62,0.805011393690836
42,71,47,0.810344404958669
42,10,22,0.835378291355337
42,25,14,0.853185134870335
42,16,70,0.801204613852278
42,12,70,0.801202009443334
77,7,51,0.793676874042748
77,4,49,0.794856191723863
77,45,6,0.869834512942679
77,57,3,0.893674462004334
77,82,12,0.814794457898365
77,40,41,0.811939172851545
77,29,61,0.787419531918285
77,50,63,0.783185596765429
77,43,88,0.770764992962632
77,19,3,0.894419236716595
77,41,92,0.769180705646549
77,33,2,0.915424860391256
77,2,41,0.812412483156006
77,68,26,0.808584983613717
77,62,84,0.769512022070809
77,61,1,0.919224137592725
77,74,11,0.844584804798372
77,94,24,0.815510398764309
77,90,28,0.790059318100368
77,99,25,0.78853461634945
77,6,10,0.856807167554812
77,20,16,0.846371369794508
77,85,87,0.769429138558631
77,71,31,0.82357378107383
77,16,5,0.871292484463421
77,12,82,0.772978330204548
28,69,26,0.863076657712926
28,63,4,0.894342049106596
28,72,60,0.797893552541239
28,9,14,0.892615929483319
28,7,63,0.842651731921183
28,49,4,0.892691274373128
28,4,74,0.831280109884168
28,27,27,0.840902285153945
28,18,8,0.904316206037687
28,83,88,0.753715175813545
28,1,18,0.888517339003899
28,5,81,0.849431772848512
28,78,9,0.855321848100355
28,84,35,0.802629019511837
28,38,75,0.820831698254933
28,17,47,0.845493078298968
28,31,91,0.772816554941103
28,37,12,0.886923471438804
28,2,70,0.834330697286942
28,21,44,0.859742322439455
28,14,83,0.810170555394689
28,26,3,0.932145312801214
28,73,43,0.816989634934196
28,52,60,0.793531437552975
28,0,76,0.84329652490433
28,36,1,0.91005424009844
28,56,14,0.860404486589359
28,24,47,0.840276893843348
28,23,57,0.821754095055391
28,34,12,0.875812742961009
28,11,37,0.879754781858421
28,8,1,0.948160517262836
28,35,3,0.918834764954818
28,75,98,0.772732515169525
28,64,41,0.83240353851642
28,48,46,0.845699265507962
28,10,2,0.937618867746789
28,93,49,0.797047269380972
28,47,14,0.862491834620671
28,25,54,0.83662634895163
28,95,32,0.805945695280804
69,63,40,0.837671282935122
69,9,86,0.815449194314816
69,49,69,0.821059419989297
69,18,4,0.90640167248297
69,83,22,0.821204081913354
69,1,15,0.873751665786108
69,17,27,0.858104476909248
69,37,67,0.821589373348498
69,21,79,0.816554079541483
69,14,55,0.830314010686019
69,26,9,0.88561986176901
69,73,7,0.872306604925037
69,52,23,0.83105944865658
69,36,75,0.804552905284302
69,24,20,0.866349254940741
69,34,9,0.880113202097703
69,8,2,0.910109624228023
69,35,2,0.910056762359821
69,46,74,0.791048079094772
69,64,13,0.875151710470888
