Source,Target,k,pcc
26,0,51,0.788481852064852
26,12,66,0.768852061450161
26,48,10,0.83165885844988
26,88,50,0.755738988232903
26,28,41,0.799526032417337
26,72,44,0.761646084389893
26,46,11,0.839625232522724
26,22,22,0.826580172712442
26,95,86,0.72348713950952
26,10,28,0.818436945310633
26,6,14,0.840021416388133
26,79,26,0.795016740165656
26,20,6,0.868042284480101
26,30,31,0.815269387784931
26,4,7,0.866253326856433
26,51,97,0.740135168631545
26,32,6,0.860043372869202
26,78,86,0.732933066984295
26,1,19,0.830817119375099
26,73,37,0.784737126806149
26,9,16,0.838698350024223
26,24,73,0.756923623913767
26,11,3,0.88790146830294
26,19,65,0.770201829906977
26,47,78,0.750505447395645
26,59,1,0.887966776927905
26,45,6,0.848941517372163
26,35,85,0.750241230819201
26,14,20,0.830454514557111
26,97,72,0.735751369955956
26,7,29,0.817371822023494
26,84,48,0.763201928207563
26,91,6,0.842821289377915
26,38,42,0.79588820186706
26,81,16,0.812518041830549
26,15,2,0.897844285931558
26,27,92,0.747074605894947
26,62,7,0.827716681978822
26,74,22,0.803336989052698
26,57,59,0.778587652383788
26,41,93,0.745150376614904
26,94,4,0.838978417732609
26,93,16,0.808747886550455
26,65,71,0.749132955427779
26,5,5,0.887341885235986
26,54,63,0.773466799257155
26,64,87,0.74852561296621
26,96,3,0.818754413987516
26,16,35,0.810407477777835
26,66,59,0.747527968437929
26,3,1,0.921477677387085
26,75,11,0.820638410306387
26,29,25,0.821945578597075
26,17,11,0.84749798292462
26,33,7,0.866425963645002
26,18,23,0.824634314480814
26,52,74,0.756262321388114
26,13,41,0.800170872881487
26,43,20,0.806120881528377
26,82,26,0.788829648779515
26,71,34,0.783185087023522
26,69,83,0.735143545734766
26,63,37,0.780875805226154
26,8,48,0.792412953014083
26,2,12,0.843297396673432
26,56,11,0.814136850098794
83,0,59,0.768087907407662
83,76,94,0.729821377607304
83,12,61,0.763211701699376
83,48,27,0.79133217692629
83,40,49,0.772396623362631
83,77,14,0.815100461799841
83,90,93,0.733712453320748
83,88,16,0.805354192261355
83,25,4,0.840789677281041
83,44,6,0.837373599060601
83,72,23,0.796374524392277
