Source,Target,k,pcc
70,76,94,0.772489523677498
70,96,22,0.844449092978664
70,29,16,0.849224748984425
70,7,78,0.805713968096657
70,64,56,0.814662900090375
70,87,8,0.860188240487993
70,32,42,0.822320826601056
70,51,52,0.823457899519852
70,82,41,0.825347594620802
70,80,16,0.849083537002084
70,2,2,0.883501293897641
70,73,88,0.790949483551331
70,6,11,0.855691464905822
70,8,54,0.821190653836058
70,63,74,0.797332224517187
70,13,9,0.858630985334273
70,99,63,0.803819549059074
70,77,5,0.864147754969833
70,91,96,0.754958394620563
70,37,46,0.82710148645142
70,92,54,0.821494714882051
70,1,33,0.835473236261764
70,49,80,0.798941495391491
70,36,63,0.81230848541114
70,54,70,0.804241589013255
70,55,15,0.85134161931418
70,38,1,0.896772886605241
70,17,82,0.801445040478154
70,20,65,0.813647406532459
70,5,11,0.85621244797411
70,0,27,0.842360606281509
70,95,17,0.844029862463708
70,35,85,0.791359108193796
43,60,45,0.812643377868711
43,97,43,0.818536072150692
43,29,28,0.846568135346581
43,72,7,0.851607625905629
43,90,2,0.886712462235638
43,7,21,0.853939206750068
43,22,30,0.841984010995953
43,58,43,0.818858161983617
43,32,29,0.830069770520663
43,48,90,0.782940369148133
43,51,11,0.877533409686803
43,2,32,0.839532867512478
43,41,47,0.818137759210284
43,18,96,0.779713215628218
43,73,97,0.778954671715705
43,98,24,0.813629594420069
43,6,17,0.858936111485614
43,62,75,0.793417451171095
43,33,70,0.796364354131175
43,83,98,0.778010138226377
43,88,19,0.831598468025872
43,63,77,0.789405091180746
43,78,74,0.786196889565234
43,9,72,0.793776846084218
43,13,63,0.801040959325986
43,19,7,0.883286352490923
43,99,20,0.837513777076826
43,45,1,0.919299254564062
43,91,68,0.782087358433197
43,75,1,0.913676914049824
43,74,4,0.87809681784338
43,10,49,0.816427873576272
43,3,72,0.793510042134082
43,1,14,0.86380691209247
43,94,29,0.810110499116018
43,47,4,0.88163020351225
43,49,60,0.80283690822828
43,14,9,0.879060194210737
43,40,82,0.786909911859279
43,4,13,0.868304090960571
43,68,25,0.824600073559491
43,17,4,0.900728998767609
43,5,50,0.814874893321553
43,31,20,0.851777491801282
43,12,23,0.851501960130462
43,0,20,0.855028836710882
43,44,35,0.835643152130196
43,35,19,0.85575325808761
60,97,4,0.865015532340873
60,23,35,0.82462929807672
60,72,17,0.827719467871409
60,7,23,0.830790987117828
60,22,7,0.852693071678382
60,58,15,0.83770549382555
60,42,44,0.814218464355257
60,48,8,0.851787524025049
60,51,65,0.8023164140742
60,2,40,0.819848538950046
60,41,83,0.787688598853362
60,18,22,0.834148403950093
60,73,83,0.787997286874138
60,84,36,0.809716592304347
60,98,14,0.837333242663913
60,6,58,0.804322912183404
60,30,89,0.784989036834732
60,62,58,0.803686214572533
60,33,6,0.85674961252463
60,83,58,0.804355476041998
60,81,83,0.778325007784589
60,24,36,0.822963926474986
60,78,39,0.809918328281878
60,15,72,0.793510999628023
60,19,15,0.837880856680076
60,45,60,0.793739622204772
60,69,46,0.793430494592915
60,11,34,0.826002484437491
60,75,58,0.792751399905258
60,37,89,0.785177881669443
60,74,26,0.830325670069632
60,10,19,0.836175866134482
60,3,20,0.834648435006939
60,1,55,0.807492850471053
60,94,66,0.774172611949462
60,47,71,0.790247065358535
60,27,58,0.80361869277889
60,49,27,0.829189125420171
60,14,43,0.814888777484012
60,40,13,0.84202598767562
60,4,2,0.878275088447654
60,39,57,0.804606875434389
60,68,73,0.765103139740985
60,50,87,0.768216876211082
60,17,13,0.842436419112345
60,67,27,0.829436805889224
60,5,11,0.847301021281322
60,31,52,0.807664833611719
60,12,51,0.808541003688301
60,0,5,0.860986891263313
60,26,60,0.800963054283306
60,44,1,0.879304888727258
60,35,9,0.849809512296652
76,7,83,0.778614876799861
76,64,27,0.83534202052975
76,87,60,0.796262624701868
76,65,2,0.913721593961498
76,32,8,0.866131085708295
76,80,51,0.801077310726312
76,2,42,0.813110755933495
76,16,68,0.790552581728909
76,24,78,0.783496009933746
76,8,7,0.877999438102081
76,63,83,0.779008162062968
76,86,26,0.832103165044062
76,13,51,0.800942340969795
76,77,35,0.822004854392307
76,91,13,0.853398880210751
76,92,32,0.82563421309157
76,61,18,0.840744279605737
76,28,55,0.80023654292756
76,66,17,0.850655262470731
76,36,22,0.844557121538286
