Source,Target,k,pcc
50,24,25,0.843523404617762
50,66,17,0.840791935567378
50,82,48,0.811209483292752
50,27,62,0.817730028202054
50,99,54,0.788238637459272
50,15,87,0.792474664339718
50,36,71,0.792818042479193
50,4,10,0.894038485606368
50,57,28,0.825914601819789
50,22,23,0.869164589510227
50,42,35,0.833620506459246
50,21,7,0.887189728560516
50,86,40,0.854238321502943
50,58,27,0.853725963362455
50,28,21,0.882148515835501
50,34,97,0.790494434817026
50,39,66,0.807005286983679
50,47,24,0.844569118184042
50,0,51,0.846928307876529
50,59,26,0.827078019996351
50,88,54,0.811846618982487
50,41,14,0.847376569960294
50,68,41,0.81512419045448
50,37,27,0.843815257680751
50,70,53,0.839490887348314
50,73,24,0.869649173730439
50,11,13,0.885905212331393
50,79,43,0.797024696682545
50,46,60,0.829701120944591
50,98,11,0.835520665927539
50,40,44,0.825285982204748
50,64,97,0.804233175411726
50,33,95,0.799706564123054
50,32,13,0.884643246672083
50,62,15,0.843519610737952
50,19,18,0.882635747652241
50,8,35,0.860653412412286
50,16,82,0.797220747549542
50,9,65,0.825714748729214
50,54,55,0.81847624403786
50,3,18,0.882653296760198
50,49,2,0.892197626571495
50,29,34,0.832893108957985
24,84,92,0.76399647629661
24,27,96,0.794192032540726
24,2,93,0.796041979848131
24,6,73,0.804524893189097
24,99,23,0.826398495293247
24,96,20,0.83601363657235
24,15,28,0.833285536820666
24,36,16,0.838347457824758
24,43,38,0.814907427063312
24,4,3,0.886509353024564
24,57,18,0.841650163880149
24,45,43,0.812551191746953
24,22,40,0.830208870706966
24,21,56,0.816567326510561
24,86,53,0.820928542135186
24,63,45,0.793969812503549
24,34,6,0.865101961970256
24,39,74,0.801696002074253
24,47,32,0.835981922307388
24,0,49,0.8240581883183
24,59,6,0.858827920170428
24,88,34,0.824897023184269
24,41,88,0.785937648900867
24,68,32,0.823468810220616
24,7,61,0.812034140764798
24,65,75,0.804047727343401
24,37,14,0.860641837749428
24,73,63,0.811031579293774
24,56,51,0.810322305176049
24,14,5,0.881490233751115
24,11,1,0.911346728183145
24,72,30,0.803602585984031
24,81,6,0.842189661791565
24,79,33,0.805179198153091
24,98,65,0.785606966432775
24,93,68,0.782828301526526
24,33,45,0.826299871680197
24,35,9,0.853670566377659
24,32,73,0.804833099911162
24,62,9,0.856572208514357
24,5,29,0.839181121248238
24,95,7,0.853271415995681
24,13,38,0.828978714107068
24,9,8,0.867752610466994
24,3,93,0.796367058909768
24,49,1,0.897646019639593
66,74,38,0.822060577730723
66,27,32,0.826634939383115
66,2,2,0.882806827317044
66,83,94,0.7814624102766
66,85,47,0.786604106057849
66,15,47,0.815353098924917
66,36,93,0.77751079781233
66,17,52,0.813970972953531
66,87,45,0.815382620630239
66,4,93,0.793826207552566
66,45,92,0.772204957360521
66,22,62,0.808470664199042
66,1,79,0.801506465974971
66,92,30,0.815023418331773
66,42,19,0.839065612933739
66,21,35,0.824157840381476
66,63,76,0.777075106280393
66,30,77,0.795648937223931
66,28,98,0.791770197679828
66,52,82,0.797099828907815
66,39,36,0.822097331551428
66,47,14,0.848133121297947
66,0,23,0.83328519412955
66,77,3,0.865423894903156
66,59,22,0.831323571123006
66,41,29,0.828661376951787
66,68,16,0.837508159202167
66,37,23,0.832538928510845
66,20,38,0.821778681347646
66,70,10,0.855088623626747
66,73,54,0.813234886780128
66,72,61,0.783262243399087
66,79,9,0.848622809642067
66,46,96,0.792901495158607
66,98,28,0.809567762821427
66,40,12,0.851334348515701
66,51,50,0.802595265510215
66,93,3,0.854640899752133
66,64,18,0.839686615166366
66,33,16,0.842387739494434
66,35,20,0.837591133907485
66,32,1,0.889410007386587
66,75,93,0.771083223726965
66,19,30,0.829312543707844
66,8,3,0.865075332324764
66,55,83,0.791943598907392
66,5,6,0.86341763262617
66,13,72,0.800834064219797
66,9,26,0.832463363236456
66,3,47,0.815208801909871
66,49,77,0.788195210607566
66,29,91,0.793366477043484
44,60,32,0.836520353039147
44,61,4,0.87610568397895
44,74,80,0.803061301243501
44,97,48,0.82445125019612
44,89,19,0.826445537318149
44,84,10,0.841251531111252
44,2,26,0.845107138763212
44,6,3,0.9075611089594
44,99,50,0.790683034369119
44,76,43,0.805521030763043
44,87,20,0.83948106872753
44,67,14,0.846407959722035
44,48,72,0.785077911244946
44,31,1,0.925825260388574
44,12,5,0.883167400178325
44,10,11,0.872113142889395
44,45,44,0.810576123963873
44,92,22,0.820043346512149
44,63,88,0.771492895163293
44,25,4,0.880365347540784
44,34,79,0.804194780485758
44,26,6,0.874801796000342
44,20,55,0.811007903547751
44,94,6,0.87700803832186
44,56,13,0.863848620396466
44,14,40,0.830955969927453
44,53,60,0.789441886082365
44,80,2,0.885080855552792
44,23,2,0.922535430615042
44,33,59,0.818171149036124
44,75,59,0.796004116443906
44,5,13,0.866766904941896
44,13,12,0.871141912883728
44,9,62,0.814541490451184
44,29,41,0.829382781357425
60,61,3,0.877379391910173
