Source,Target,k,pcc
84,87,56,0.814809638193373
84,27,28,0.85196780472691
84,36,49,0.823497337841398
84,60,1,0.964701197310768
84,1,77,0.791796495380214
84,3,21,0.859365462515413
84,24,67,0.802624894381211
84,81,95,0.776438477706947
84,56,16,0.869482525367913
84,52,78,0.791479226010867
84,21,91,0.781136795184393
84,0,39,0.834561387564194
84,95,31,0.841813452322211
84,49,4,0.890000001104919
84,90,91,0.770925339707191
84,69,94,0.780207992244555
84,33,94,0.779951974185417
84,5,16,0.868710520681103
84,99,65,0.803641671495857
84,17,13,0.871330022453186
84,18,81,0.789340776968313
84,23,76,0.793356484799011
84,37,91,0.781306470092406
84,68,42,0.832164319123596
84,6,89,0.782161286948537
84,65,21,0.859260190025499
84,22,3,0.931166616748776
84,48,62,0.806950549974425
84,16,10,0.877061193223878
84,7,25,0.85390049036449
84,70,51,0.818482861159966
84,47,84,0.786533482211357
84,29,42,0.83212140229291
84,85,11,0.874746606534207
84,46,99,0.776121294902811
84,15,56,0.816296849619224
84,77,19,0.857400331164425
84,50,69,0.801529924072696
84,8,63,0.804887702626746
84,72,5,0.884453591390368
84,63,29,0.850646846669015
84,43,25,0.854282967745957
84,20,54,0.816590064785809
84,13,44,0.828688025157408
84,12,9,0.878087850811605
84,32,51,0.818347034403765
84,2,31,0.847650805325286
55,45,59,0.82850746359696
55,42,1,0.930037728475645
55,36,68,0.816451736029987
55,89,13,0.875472114287931
55,1,67,0.822519078198121
55,3,90,0.814369068578846
55,81,58,0.798636134379083
55,74,3,0.895760590625667
55,52,58,0.819441053712174
55,21,25,0.859751896365414
55,0,40,0.845049398589347
55,59,84,0.815942549847051
55,69,60,0.822090641863384
55,86,48,0.841264935697759
55,75,31,0.83878001653296
55,98,15,0.873073899907852
55,35,27,0.848061260332298
55,19,2,0.909596134068562
55,37,70,0.820560583596003
55,6,8,0.8849123301411
55,31,4,0.893510874953924
55,54,10,0.877364865249717
55,53,13,0.870465039915548
55,25,53,0.834612759881947
55,7,64,0.825102936398361
55,58,7,0.886849893683013
55,51,64,0.816204580198491
55,14,31,0.853529834575217
55,96,86,0.776905519774907
55,88,78,0.812448464638326
55,26,29,0.855090975698405
55,4,4,0.894131951027866
55,67,14,0.861552793874516
55,39,6,0.893038664114566
55,79,16,0.871960979524825
55,78,58,0.83014145563391
55,66,84,0.805100357161948
55,2,84,0.816463376911853
55,94,8,0.865886532837137
87,27,18,0.849516152818639
87,10,16,0.85636474219011
87,60,95,0.784289726389877
87,1,22,0.848555964488598
87,30,17,0.855392801831253
87,38,34,0.837569509481345
87,3,1,0.908686821215834
87,24,10,0.872975392958483
87,81,17,0.849515015336616
87,56,76,0.80224661224288
87,52,96,0.790909484617666
87,21,100,0.789812424530962
87,0,44,0.82829470356742
87,59,34,0.83789026570902
87,49,96,0.790925489730809
87,44,57,0.814471535403228
87,76,65,0.808597953474581
87,90,28,0.840815118067375
87,62,74,0.803182098745019
87,75,70,0.79674609448876
87,5,31,0.839719266390569
87,41,90,0.795782397891039
87,61,66,0.808115177667532
87,99,34,0.837867431682719
87,17,41,0.830048322953489
87,18,32,0.83918048009208
87,19,41,0.829638143389025
87,37,14,0.863964889457275
87,68,76,0.801956973866479
87,6,70,0.806442621038308
87,65,99,0.769186614762363
87,22,14,0.864453744119204
87,48,12,0.866740188904714
87,16,84,0.79809863838727
87,31,72,0.804893896427756
87,53,96,0.790686028108782
87,7,6,0.882970551390487
87,47,3,0.883704394372772
87,85,10,0.872741146523695
87,15,60,0.813221767091409
87,77,80,0.781123864338967
87,50,18,0.849593818093963
87,8,8,0.88064230069528
87,26,7,0.881664451596688
87,63,59,0.807529447140171
87,43,29,0.842185594851577
87,20,53,0.815763059616779
87,9,9,0.877633746277271
87,12,2,0.886247847229967
87,32,57,0.814414718959311
87,2,26,0.843968367782974
87,57,81,0.79936074122708
87,94,100,0.787948142982751
97,40,85,0.795820669747627
97,10,2,0.894654451047752
97,30,34,0.839599140318107
97,59,59,0.817742514079314
97,34,53,0.821878444323211
97,82,67,0.795955240781452
97,76,54,0.820578841986105
97,62,82,0.804245835922269
97,33,26,0.848854538937051
97,41,40,0.834720968259415
97,61,79,0.810079899922848
97,35,82,0.809313099623298
97,18,78,0.811410013218439
97,23,49,0.826532203078999
97,80,63,0.797483277940852
97,28,39,0.836256842417568
97,64,8,0.860518334098332
97,51,99,0.787802695078928
97,73,19,0.854774949686215
97,47,89,0.793100525843116
97,14,9,0.883527541444923
97,8,79,0.809704321186167
97,4,20,0.853848483167599
97,71,15,0.860171561055709
97,83,23,0.852959054693709
97,20,83,0.808106027624083
97,13,57,0.81883776901684
97,9,18,0.856618996326096
97,32,85,0.795720183825835
45,42,99,0.831492604250248
45,89,26,0.868120066123082
45,1,16,0.888050580676906
45,74,45,0.860501372051322
45,52,79,0.804205954772368
45,21,60,0.846666730660908
45,0,35,0.868797311300992
45,93,8,0.885088117424673
45,95,56,0.814219126483305
45,34,13,0.88932648184979
45,44,34,0.853781457030479
45,98,61,0.825955575706477
45,35,7,0.878638443288982
45,19,91,0.821445471319991
45,37,44,0.843763557011414
45,6,26,0.877631397332322
45,54,17,0.887304396328456
45,25,29,0.865190136289154
45,64,46,0.821346857208105
45,58,14,0.880862599229709
45,46,11,0.878323672888336
45,15,49,0.84697056510166
45,14,1,0.919106098541351
45,50,69,0.814065045593176
45,88,36,0.839049985675022
45,4,2,0.916500223744365
45,71,49,0.850777791042411
45,83,10,0.891301185262103
45,39,92,0.802344478960364
45,78,9,0.889849495173779
45,11,5,0.904941949919936
45,66,18,0.867765194913807
45,2,55,0.850193713779612
45,94,72,0.798692151522162
42,89,4,0.904529623945774
42,1,88,0.836761921208783
42,74,1,0.935875483272791
42,21,22,0.881405657400777
42,0,81,0.850021832618041
42,69,67,0.818677618890381
42,86,10,0.896252639421594
42,75,35,0.82932305439159
42,98,1,0.922084688135525
42,35,86,0.811485917911203
42,99,75,0.819553726698959
42,19,4,0.910761003199526
42,37,97,0.80435504864959
42,6,33,0.876459502859238
42,31,27,0.857656139680906
42,54,6,0.90997473334565
42,53,99,0.798565883654474
42,25,32,0.863100471372053
42,58,12,0.887238355627333
42,14,69,0.851025047466519
42,88,15,0.871590961095797
42,26,19,0.869934714645793
42,67,31,0.843028208480848
42,39,52,0.832349632730921
42,79,1,0.922203430588419
42,78,75,0.831260129675287
