Source,Target,k,pcc
27,41,11,0.876317103101995
27,3,3,0.919423170971999
27,94,23,0.816901636783831
27,42,38,0.836688650323609
27,36,51,0.822549773783123
27,32,61,0.806249666290882
27,91,10,0.855599876776951
27,16,7,0.896657003369688
27,44,45,0.835704874841058
27,66,16,0.852855138656407
27,11,11,0.883427219704692
27,80,77,0.779506876660975
27,71,47,0.801695240509417
27,37,73,0.79619659399106
27,15,9,0.891387363475662
27,77,39,0.801926153101355
27,31,94,0.76969365604609
27,53,95,0.773625967206061
27,22,90,0.798964248539065
27,13,1,0.928726415552544
27,75,34,0.800709752431526
27,59,57,0.807851422434179
27,96,26,0.820108992493092
27,1,10,0.887399825042223
27,55,26,0.833552273697999
27,6,1,0.929075938846291
27,48,24,0.833444757125817
27,8,57,0.832872230999879
27,98,70,0.770058930089283
27,85,64,0.774300531080207
27,73,48,0.810202005931912
27,63,52,0.819619204414259
27,24,46,0.833913524013814
27,23,66,0.823323384834528
27,12,65,0.824444167366116
27,78,19,0.839534768146076
27,62,42,0.829015367389246
27,9,53,0.836116964456882
27,52,38,0.839410354835947
27,4,39,0.84777566467056
27,88,19,0.849467833014564
27,29,81,0.809349062146928
27,92,7,0.880483497381443
27,58,80,0.790293320978526
27,56,8,0.879611092427675
27,50,89,0.796337569659243
27,39,69,0.796569008997593
27,35,15,0.877703370706489
27,45,18,0.857731047566626
27,40,3,0.898796136480138
27,30,20,0.874929554015334
27,34,8,0.877616938668152
27,21,64,0.825907618711228
27,64,16,0.852814870774898
27,5,8,0.892642143161211
27,19,19,0.872013201135362
27,10,39,0.848110514313886
27,95,45,0.772257276397819
27,65,9,0.857502555004621
27,26,4,0.903983335021241
27,67,44,0.817168499884293
27,61,69,0.820990302824888
27,54,31,0.820743270616148
27,20,5,0.901612798092473
27,69,58,0.790533357918369
27,74,24,0.857186219784979
27,84,28,0.802970997263573
27,7,37,0.850167013849114
27,28,11,0.882690994191042
27,51,13,0.882082672156593
27,14,62,0.820056422302611
27,47,12,0.862778732126113
27,17,48,0.832771938186598
27,46,93,0.787070305123647
27,68,59,0.799905167270932
27,87,100,0.769570262585784
27,57,37,0.807949493924334
27,25,56,0.820456574616295
27,0,33,0.852890207345687
27,38,13,0.873757006003476
27,2,18,0.87591691243689
27,18,21,0.867585101585024
27,82,81,0.778953998276501
81,3,79,0.780409384637156
81,83,38,0.785036269476147
81,72,32,0.810713040555082
81,60,9,0.850970991800557
81,79,7,0.854040153388639
81,44,21,0.82308697063863
81,49,16,0.837734030736235
81,37,23,0.82161396138823
81,15,67,0.786301494138791
81,77,87,0.75157995376098
81,31,38,0.806105369566064
81,76,4,0.866502532445806
81,53,74,0.781826491302263
81,22,18,0.82875861235311
81,13,51,0.798455097390152
81,75,70,0.76731199859216
81,1,14,0.840386701542605
81,55,76,0.779849271802489
81,6,74,0.781986907735628
81,8,83,0.775096421865263
81,86,94,0.758413459553594
81,85,43,0.79917771463907
81,43,1,0.899555456104642
81,24,12,0.842767194389901
81,23,10,0.848738922923306
81,12,13,0.841732737148925
81,9,17,0.830042036633572
81,52,67,0.786058242387023
81,4,73,0.782814070514227
81,29,7,0.857086322677881
81,50,3,0.870670927577235
81,39,60,0.793206631355825
81,45,23,0.821779238783687
81,21,2,0.876743775158322
81,64,94,0.76381145181437
81,5,6,0.861055967813593
81,99,19,0.828282689459448
81,19,11,0.844393519117029
81,33,27,0.820918489668009
81,10,29,0.816896225591802
81,67,47,0.79910297901635
81,7,40,0.804173823496678
81,28,37,0.807035755368447
81,93,21,0.823127876428776
81,17,58,0.794063661647066
81,46,20,0.827307865687949
81,68,52,0.796912764816634
81,25,28,0.818979019249931
81,0,52,0.797073855675265
81,2,34,0.811428561516538
81,82,31,0.813210312986762
41,3,3,0.911389857695915
41,83,53,0.771213172238942
41,94,33,0.806796711682464
41,42,59,0.812809975308001
41,36,2,0.9104571289516
41,91,26,0.825661083113152
41,16,6,0.897397572074346
41,44,37,0.832408543010677
41,11,5,0.908099347466956
41,80,28,0.829331926924111
41,15,50,0.824198753905952
41,77,43,0.795057500689692
41,31,76,0.789930380448711
41,53,100,0.769200504624158
41,13,39,0.828280641732967
41,96,85,0.779368229261901
41,1,62,0.809822197092255
41,55,15,0.846548654382815
41,6,12,0.874292681921532
41,8,66,0.807362676606318
41,85,22,0.826072864062567
41,97,27,0.79223977843677
41,73,31,0.824830885000571
41,63,43,0.826360288785275
41,24,78,0.799862458122346
41,78,7,0.880596646832086
41,62,47,0.818901408222275
41,9,24,0.853198116968131
41,52,57,0.815358483167628
41,4,35,0.833978807719775
41,88,56,0.800737339125398
41,92,35,0.827080617071124
41,58,43,0.823630179296392
41,56,80,0.796956756583801
41,39,26,0.836839035551485
41,35,21,0.854564324060336
41,45,34,0.834021432369992
41,40,33,0.8363658791893
41,30,84,0.794124974522677
41,34,31,0.836089722574445
41,64,57,0.806844561259284
41,5,9,0.882637951234652
41,19,40,0.826900590528343
41,33,88,0.772156589540802
41,10,29,0.837537909438397
41,65,6,0.86683297048015
41,26,66,0.807105704045554
41,70,57,0.789383357941104
41,67,91,0.781981721428762
41,61,46,0.825477977374865
41,54,20,0.840676596313011
41,20,2,0.920498000309394
41,69,89,0.761976389878291
41,74,15,0.865440687390427
41,84,41,0.786510680993597
41,28,7,0.887889105141567
41,51,66,0.806556092067441
41,14,92,0.79100059175747
41,47,6,0.885853690037574
41,17,64,0.808895824897451
41,57,59,0.788525887285963
41,25,56,0.816249903987304
41,0,14,0.868260685361748
41,38,1,0.924509607357718
41,2,28,0.83917638488811
41,18,13,0.868990481508815
41,82,69,0.786290550860558
3,83,41,0.78109377830023
3,94,18,0.821232959795971
3,42,36,0.840657697748949
3,36,10,0.883672383728459
3,32,23,0.849829374808264
3,72,76,0.780475834325781
3,60,59,0.819641154187853
3,91,15,0.8512858518785
3,79,31,0.812642707037083
3,16,1,0.927977637971176
3,44,15,0.879722747741933
3,66,34,0.831973469739454
3,11,8,0.906963725866724
3,49,71,0.797974658068404
3,80,35,0.818891046549862
3,71,38,0.813611378800531
3,37,14,0.866303298203961
3,15,7,0.904789144166177
3,77,31,0.813885453273367
3,31,23,0.852949811200381
3,76,76,0.779413739566455
3,53,27,0.839062578930924
3,22,41,0.838712202166273
3,13,6,0.911626787366402
3,75,35,0.799636649127347
3,59,50,0.816485269342446
3,96,62,0.789440435182389
3,1,6,0.915978274936375
3,55,1,0.918027627364124
3,6,1,0.941539778635034
3,48,5,0.875426787617366
3,8,22,0.876207716077386
3,98,54,0.781515308044495
3,85,6,0.858966901125152
3,43,40,0.842669917964277
3,97,36,0.779671062714535
3,73,29,0.82589473624788
3,63,42,0.826649694598775
3,24,20,0.866887342700035
3,89,32,0.796377413506558
3,23,47,0.840832428240566
3,12,35,0.863231633536674
3,78,9,0.869528917937098
3,62,24,0.848155330892633
3,9,5,0.914503959453227
3,52,9,0.875129217413652
3,4,24,0.886206946669639
3,88,29,0.828805203711417
3,29,41,0.839561175255554
3,92,10,0.866886229892862
3,58,36,0.831811272541944
3,56,53,0.832587275818932
3,50,17,0.8518808875383
3,39,8,0.885887941699902
3,35,23,0.874439496904399
3,45,2,0.899300110785971
3,40,7,0.887042261296569
3,30,12,0.886916212860935
3,34,1,0.892846900557765
3,21,43,0.850335897675152
3,64,17,0.852181688732362
3,5,2,0.93596600283137
3,19,12,0.882069507078266
3,33,36,0.835103339097079
3,10,11,0.889907994760037
3,95,12,0.819622080458612
3,65,2,0.894368836353866
3,26,14,0.888541958987462
3,70,47,0.793673901250795
3,67,13,0.851447039921143
3,61,69,0.823997262564801
3,54,14,0.84942851549529
3,20,5,0.914798505752352
3,69,21,0.830781879664073
3,74,31,0.850817600599607
3,84,6,0.842568381450796
3,7,24,0.87984063563906
3,28,16,0.88535426830308
3,51,82,0.829335759050762
3,14,32,0.8532576653642
3,47,1,0.905645153468424
3,17,10,0.880984820536825
3,46,25,0.842010869238189
3,68,37,0.821949038527055
3,87,53,0.797746186434911
3,57,12,0.867248109598473
3,25,22,0.867681437664438
3,0,15,0.899769408860175
3,38,9,0.877102166666173
3,2,14,0.904039401198567
3,18,5,0.89370930678505
3,82,4,0.846628928091446
83,94,85,0.743155711501614
83,42,39,0.784429396132238
83,36,9,0.846973815714355
83,32,65,0.761126858255375
83,79,66,0.758834934397458
83,16,46,0.77554786768151
83,11,23,0.816989212224025
83,49,27,0.806493222762409
83,80,22,0.818341734057354
83,37,36,0.787573881806405
83,77,82,0.747190784875752
83,31,3,0.866935348664007
83,53,16,0.830952134271704
83,22,75,0.750773848139535
83,75,98,0.735451372632723
83,1,39,0.783882922295083
83,55,66,0.759227983374449
83,48,85,0.743237268714227
83,8,11,0.842354518158738
83,85,84,0.744284435885535
83,97,8,0.850105460155352
83,73,78,0.747863334058569
83,63,42,0.779130101482842
83,24,15,0.836444795844459
83,89,46,0.776172008063855
83,23,59,0.765951518294123
83,12,42,0.779264831999777
83,62,63,0.762428375231333
83,9,6,0.856992254118162
83,52,46,0.77574864956784
83,4,7,0.852887170958408
83,29,31,0.79273580884361
83,58,20,0.821637609821002
83,50,99,0.733634330652763
83,39,14,0.840141585538313
83,21,72,0.754683976517038
83,5,45,0.777202152457192
83,19,21,0.82045272229895
83,33,5,0.861957333751475
83,10,4,0.863437555275723
83,70,2,0.881560824124551
83,61,59,0.766231540733256
83,54,19,0.823898203300729
83,20,99,0.734139763239339
83,69,94,0.73846995992233
83,7,42,0.778799440635698
83,28,78,0.748333121206252
83,14,18,0.82628606062043
83,47,90,0.739764770747309
83,17,30,0.795127868535801
83,46,96,0.737244324316709
83,68,69,0.757231739033303
83,57,33,0.78978160742109
83,25,9,0.847317853731221
83,0,1,0.893800707771015
83,38,55,0.770028019995383
83,2,25,0.811108136854815
83,18,29,0.801749602307886
83,82,96,0.736957012807714
94,42,37,0.804261423802535
94,36,12,0.839557677934004
94,91,23,0.817161281408867
94,16,2,0.882277300416069
94,11,20,0.818099307069712
94,80,63,0.775880843209413
94,37,85,0.758302364618689
94,15,57,0.781295481923161
94,31,75,0.766473563189111
94,53,17,0.832011173930293
94,13,61,0.777133463648719
94,1,51,0.788423068853807
94,55,91,0.757034498981267
94,6,14,0.837002480932536
94,85,59,0.780462855796282
94,97,41,0.773317419032371
94,63,10,0.841469429668789
94,24,72,0.766996973041319
94,62,6,0.860651600297187
94,9,16,0.83307043335017
94,4,34,0.806386847537901
94,88,65,0.774054521698865
94,29,61,0.777261780737931
94,58,40,0.801433582258509
94,56,99,0.752635150343429
94,39,30,0.810764631846617
94,45,26,0.815741105541869
94,40,7,0.85601481665438
94,34,83,0.760608356217905
94,5,32,0.809389398987601
94,19,20,0.818261399609966
94,10,35,0.804551318051007
94,95,81,0.74898033792761
94,26,63,0.77592713875119
94,70,47,0.792890396540277
94,61,4,0.865159022350112
94,20,85,0.757580960759563
94,84,77,0.764857181322749
94,7,68,0.770393680051447
94,28,54,0.787016704351408
94,14,75,0.766263449131161
94,46,67,0.772375284895486
94,25,8,0.854134137605751
94,0,48,0.791742825163925
94,38,3,0.867996458428568
94,2,85,0.757812373037038
94,18,80,0.762563932232187
42,36,8,0.882905846396582
42,32,14,0.872658551481595
42,16,28,0.851213672948833
42,66,84,0.795955835354823
42,11,5,0.898215189121255
42,80,26,0.833457438005251
42,71,85,0.772198404766602
42,77,29,0.817114189453656
42,31,82,0.784556134058904
42,53,62,0.80355229359578
42,22,81,0.798050016903897
42,13,44,0.83053175137143
42,75,61,0.770691081618472
42,59,26,0.843413813430483
42,96,18,0.831283696961586
42,1,13,0.873996608661641
42,55,73,0.785587078265361
42,6,49,0.82489766414108
42,48,63,0.799102028052952
42,8,12,0.877292054849797
42,98,92,0.755981944859952
42,97,29,0.78837252451984
42,73,38,0.817868338399426
42,63,8,0.883213605244744
42,24,55,0.819691076793362
42,89,18,0.832658860474641
42,12,53,0.820804386458473
42,62,13,0.865707230435496
42,9,18,0.866059972127502
42,4,3,0.912881337603081
42,88,10,0.862283008565182
42,29,50,0.824430431474216
42,58,7,0.887280181209189
42,56,20,0.856972618414303
42,39,80,0.783692852386655
42,35,84,0.796454066543865
42,40,35,0.834741989689046
42,5,81,0.797970904621845
42,19,61,0.816323068571595
42,33,66,0.796216377532957
42,10,11,0.882441242923547
42,95,93,0.740690897034383
42,65,42,0.813143090470143
42,26,52,0.823366359757299
42,70,12,0.863595717279154
42,61,1,0.919627528865306
42,54,49,0.808082899919805
42,20,34,0.841820917457145
42,69,6,0.882561873884201
42,84,28,0.803305110360204
42,7,6,0.893126716232058
42,28,84,0.796302967047624
42,51,34,0.841660579856473
42,14,4,0.910472248035014
42,47,59,0.811538242360069
42,17,75,0.801112200472352
42,46,83,0.79052836354409
42,68,52,0.806969865920643
42,87,95,0.770941974919682
42,57,66,0.784753033578199
42,25,15,0.870183233827556
42,0,2,0.915417891494582
42,38,22,0.854487040244597
42,2,17,0.866936033183598
42,18,23,0.860012199061518
36,32,74,0.799023095314969
36,91,97,0.773417733607614
36,16,4,0.901159434401117
36,11,13,0.88085630239396
36,80,1,0.895606868938197
36,37,61,0.808036194051965
36,77,32,0.811995043141856
36,31,25,0.847570699719777
36,53,16,0.853757995374246
36,13,90,0.787244310228253
36,75,93,0.749728783008174
36,1,46,0.830725476555017
36,55,22,0.83808540159173
36,6,69,0.802112968343643
36,8,27,0.854085533620237
36,85,51,0.789321076946126
36,97,7,0.86408786413171
36,73,75,0.794595193467243
36,63,6,0.887409499541585
36,24,53,0.8205348151174
36,89,38,0.789020177475459
36,62,20,0.853863533049138
36,9,1,0.913711448984606
36,4,13,0.881380707897354
36,88,61,0.799302919099049
36,58,14,0.873122413391896
36,39,9,0.883530012237141
36,45,60,0.815462806802418
36,40,27,0.842230297770354
36,34,71,0.801046426475876
36,5,45,0.836491805573614
36,19,35,0.846243026574061
36,33,16,0.872828238659361
36,10,19,0.866818130993353
36,95,23,0.799880893731948
36,65,38,0.816678596354798
36,70,1,0.905771167488779
36,61,15,0.877631075707598
36,54,16,0.845521660067288
36,20,39,0.840015817807625
36,69,66,0.784159719675025
36,84,34,0.794180425949409
36,7,58,0.815830139511702
36,28,71,0.800931748155988
36,14,24,0.858354112670065
36,47,19,0.847519909204109
36,17,66,0.804147305859817
36,46,77,0.796106456746488
36,57,15,0.853099051390432
36,25,16,0.873046821940124
36,0,6,0.891533353737407
36,38,5,0.888917607482361
36,2,51,0.822726502308468
36,18,22,0.859756128120771
32,72,6,0.880262699989298
32,16,94,0.789117097893794
32,66,87,0.793040540829192
32,11,10,0.880085133440943
32,49,17,0.850129849250645
32,80,58,0.797860671022152
32,71,24,0.81971178396072
32,37,77,0.794117067041695
32,15,84,0.793881792667569
32,77,24,0.823332103896974
32,31,95,0.769340535415855
32,53,23,0.843169649999296
32,22,5,0.903518144906294
32,13,18,0.853648190887508
32,75,21,0.819150575212651
32,59,18,0.853742387169633
32,96,99,0.775326205257277
32,1,2,0.934914776893957
32,55,71,0.79022148527542
32,6,56,0.811842027214877
32,48,17,0.845242423975265
32,8,8,0.884313954357662
32,86,10,0.835827221607844
32,98,22,0.810551897715606
32,73,80,0.793286069235439
32,63,38,0.831339955507915
32,24,32,0.841187852472751
32,89,12,0.841553174673117
32,23,17,0.854744829048674
32,12,15,0.859014041212875
32,62,33,0.839453372091368
32,9,21,0.851424638183373
32,52,72,0.80021369604175
32,4,9,0.883178675529496
32,88,82,0.786482405479172
32,29,15,0.859404906482783
32,58,21,0.850671026497453
32,56,65,0.805383720789906
32,30,33,0.840005573383165
32,34,61,0.805668039740979
32,21,25,0.849134198622503
32,64,60,0.803663349341663
32,5,54,0.812919615572188
32,99,58,0.785627294990346
32,19,40,0.828031928125379
32,33,62,0.798606623442579
32,10,25,0.848911277185629
32,95,32,0.781759429099096
32,65,36,0.818845314582061
32,26,39,0.829742629354813
32,90,28,0.808161957744026
32,70,49,0.793398190572254
32,67,24,0.837618711933968
32,61,53,0.813925171077703
32,54,66,0.792462895714662
32,20,65,0.804524677016485
32,69,5,0.88645362996864
32,84,64,0.774081548706031
32,7,1,0.946625948977343
32,51,79,0.796850738958684
32,14,4,0.922544068822415
32,47,93,0.781034504995568
32,17,28,0.848245814062257
32,46,39,0.825269681138057
32,68,57,0.801474815031129
32,87,21,0.824379728699914
32,57,92,0.760795711700896
32,25,50,0.818052000482323
32,0,6,0.887949545292471
32,2,3,0.92660431782199
32,18,10,0.879593340921459
72,60,74,0.782307011637646
72,11,97,0.768318862328336
72,49,11,0.86303503976754
72,71,81,0.773717900606215
72,77,80,0.759549114999076
72,76,42,0.805227146314619
72,53,27,0.817479189102959
72,22,1,0.91344458144369
72,13,52,0.79490751626684
72,75,25,0.815889385934329
72,1,3,0.902052889862672
72,48,23,0.82915656808528
72,8,40,0.806042726440179
72,86,1,0.88611607511952
72,43,60,0.789839353503755
72,24,12,0.861276476745608
72,89,27,0.809716858043534
72,23,8,0.870330494142848
72,12,15,0.855587927178432
72,9,81,0.775945741415264
72,4,57,0.791878095378395
72,29,6,0.879711183989857
72,50,58,0.790940836480603
72,45,97,0.768287678636464
72,30,35,0.809788859437144
72,34,79,0.779351998732866
72,21,4,0.893536118413785
72,5,93,0.771710521479074
72,99,6,0.853657653241944
72,19,32,0.810819012469928
72,10,97,0.76778330462467
72,26,71,0.784832720024054
72,67,70,0.785888162939004
72,69,58,0.791017095829819
72,7,2,0.905847072106598
72,93,38,0.809299929356156
72,14,22,0.834552744044836
72,17,19,0.844998446809474
72,46,32,0.811100569787575
72,0,44,0.803607581567829
72,2,14,0.859658970329969
72,18,75,0.780985646527073
60,79,6,0.863880347310825
60,44,6,0.880972460918223
60,49,60,0.809784411207068
60,37,33,0.830466628742859
60,15,27,0.843808611103271
60,77,75,0.762515938234062
60,31,42,0.82695700548605
60,76,21,0.842189860002454
60,22,67,0.815593740586583
60,13,62,0.819092787802622
60,75,91,0.750660644001409
60,1,72,0.812749609687179
60,55,67,0.792840739784059
60,6,83,0.802513566296488
60,48,75,0.789377304259778
60,8,67,0.81626514759822
60,86,85,0.76585055839455
60,85,26,0.823090145316846
60,43,5,0.882136715109903
60,24,27,0.844103227820223
60,23,66,0.816850098895905
