id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os09g0109600,,,29.4287667638077,2049,Tan,16.396999165305,"Small peptide, Drought tolerance",
1,Os08g0335600,,,17.1768570291044,4020,Tan,14.6335502391175,"Protein of unknown function DUF568, DOMON-like domain containing protein.",
2,Os08g0467500,,,21.9271043335771,3064,Tan,14.4957722596448,"TB2/DP1 and HVA22 related protein family protein., Abscisic acid and stress inducible (A22) gene.",
3,Os07g0599600,,,17.6245292809625,3908,Tan,14.1810328029412,Hypothetical protein.,
4,Os06g0246500,,"Glycolysis / Gluconeogenesis, Citrate cycle (TCA cycle), Pyruvate metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism",29.4335374130258,2047,Tan,13.8859476822957,Similar to Pyruvate dehydrogenase E1 alpha subunit (EC 1.2.4.1).,"Biological Process: glycolysis (GO:0006096), Biological Process: metabolic process (GO:0008152), Biological Process: oxidation-reduction process (GO:0055114), Cellular Component: intracellular membrane-bounded organelle (GO:0043231), Molecular Function: pyruvate dehydrogenase (acetyl-transferring) activity (GO:0004739), Molecular Function: oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor (GO:0016624)"
5,Os01g0636400,,,17.2546059541993,4009,Tan,13.8273322667456,Alpha/beta hydrolase family protein.,Molecular Function: catalytic activity (GO:0003824)
6,Os10g0548100,,,27.7993517192581,2238,Tan,13.7602664230756,Similar to DM280 protein.,
7,Os03g0286900,,,35.7861154104611,1518,Tan,12.9104337133676,"RCI2 (rare cold-inducible 2) family protein, Drought resistance",Cellular Component: integral component of membrane (GO:0016021)
8,Os07g0668300,,,16.1307766094384,4321,Tan,12.7307476914829,"Lipase, GDSL domain containing protein.","Biological Process: lipid metabolic process (GO:0006629), Molecular Function: hydrolase activity, acting on ester bonds (GO:0016788)"
9,Os03g0377600,,,23.725897312983,2791,Tan,12.6918751030748,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)"
10,Os07g0118300,,,24.9658221501192,2610,Tan,12.6369281338563,Similar to predicted protein.,
11,Os09g0441000,,,17.5248937414462,3933,Tan,12.3974819491952,"Peptidase S8, subtilisin-related domain containing protein.","Biological Process: proteolysis (GO:0006508), Biological Process: negative regulation of catalytic activity (GO:0043086), Molecular Function: serine-type endopeptidase activity (GO:0004252), Molecular Function: identical protein binding (GO:0042802)"
