Source,Target,k,pcc
33,91,50,0.754970153895873
33,49,5,0.885388397818883
33,10,20,0.857709553587473
33,4,5,0.899492371125695
33,92,95,0.714492877637695
33,63,28,0.810969701271734
33,44,25,0.841132468933409
33,90,66,0.781309344173634
33,64,6,0.869156086485476
33,41,17,0.846130501220599
33,12,8,0.895525878465777
33,62,1,0.90638737175767
33,61,13,0.833715034949719
33,35,45,0.821207514080245
33,40,10,0.866713340705163
33,77,9,0.84286158565736
33,72,26,0.813717587923842
33,55,20,0.812721521739173
33,13,33,0.836703429255112
33,53,39,0.812126549711688
33,22,39,0.83146960457013
33,19,24,0.853246118474651
33,74,32,0.80766753205647
33,96,14,0.819963586311549
33,30,38,0.831517234318944
33,59,25,0.827202049088102
33,95,1,0.873676098370802
33,7,7,0.897100026578667
33,2,2,0.906026935481808
33,43,56,0.799174278174256
33,82,71,0.736910121451273
33,48,94,0.747019119448718
33,28,41,0.828393718386953
33,42,4,0.900200828131155
33,0,12,0.882258588363163
33,6,1,0.909789859624768
33,9,18,0.86070643142381
33,80,53,0.742601788620046
33,37,53,0.813263570476418
33,86,1,0.898376612464665
33,8,89,0.754754356133375
33,18,41,0.829157476152704
33,11,20,0.857503003788077
33,16,85,0.734218646285379
33,15,13,0.876991191942976
33,94,19,0.819041885819198
33,32,14,0.854582049785207
33,51,3,0.887051343740618
33,73,8,0.830135118405467
91,49,35,0.764195465146924
91,70,12,0.810271766185762
91,47,63,0.717770927809858
91,10,15,0.801788978960843
91,4,1,0.850825326063995
91,92,97,0.711334034536815
91,52,11,0.813104937109398
91,44,27,0.780307530885049
91,90,26,0.784348380372263
91,89,91,0.71360729193249
91,27,32,0.767526131905612
91,41,18,0.794520348478896
91,12,6,0.823831069772364
91,62,55,0.750937354255348
91,69,54,0.698132956271607
91,1,47,0.756137629347863
91,40,46,0.756961190398131
91,84,8,0.818199678747671
91,56,21,0.793394376794682
91,72,72,0.729105658641373
91,5,34,0.765890338931472
91,55,17,0.798380286900574
91,13,22,0.788956020684434
91,93,53,0.752783503672417
91,17,35,0.764095037845789
91,53,42,0.760829353751347
91,22,38,0.762529005542633
91,19,47,0.756424678104874
91,74,35,0.763770370652249
91,30,3,0.834729092159374
91,29,97,0.695655509344244
91,59,53,0.752686200953714
91,21,78,0.723306790877897
91,23,64,0.740033123577079
91,34,86,0.675940663736372
91,3,33,0.766519113449589
91,88,68,0.733492381838603
91,7,5,0.82610254125283
91,2,18,0.794711325959351
91,43,25,0.786151214645727
91,76,13,0.806200176677401
91,79,30,0.770932968829794
91,28,2,0.838812268069475
91,42,60,0.745945259296149
91,57,60,0.744640045951044
91,0,9,0.815910558100896
91,25,71,0.730104620081099
91,26,97,0.710997185013769
91,6,42,0.761322212433283
91,9,18,0.794845435687931
91,80,39,0.754067027118593
91,37,24,0.787963437441985
91,8,44,0.758250725598695
91,18,58,0.746960905673862
91,11,41,0.762159706152761
91,16,70,0.730995326626921
91,15,7,0.822144919483422
91,94,96,0.712031685129568
91,32,62,0.745290537323111
91,54,9,0.815701701601311
91,46,22,0.788807908007313
91,98,88,0.594164523551743
91,14,60,0.745854790755456
91,73,29,0.772751950179889
49,70,76,0.757231843364717
49,10,32,0.831953629032549
49,4,1,0.901937997998909
49,92,92,0.715976666677873
49,63,41,0.803054263022542
49,44,34,0.828792302331963
49,90,32,0.813781454875114
49,67,93,0.762079045371157
49,64,45,0.792474383251452
49,41,20,0.839818908319132
49,12,6,0.875850757587775
49,62,11,0.845521820259329
49,61,48,0.782348947070781
49,35,13,0.861496341410574
49,40,15,0.856986673224748
49,84,95,0.723940988434157
49,56,86,0.766714279683708
49,77,52,0.758426034978798
49,72,23,0.822675657938762
49,55,50,0.782172962400588
49,13,49,0.810219897710344
49,93,74,0.765007583933626
49,53,46,0.803617645854758
49,22,45,0.816581639770219
49,19,15,0.857427334798108
49,74,36,0.804856793606309
49,96,33,0.783637670249483
49,30,31,0.833867346717813
49,59,20,0.836456240663722
49,95,20,0.802573464843273
49,7,3,0.895331046026033
49,2,6,0.875527463636086
49,43,39,0.823078736839398
49,82,71,0.73704980140987
49,79,100,0.734130374092262
49,28,25,0.84058129378078
49,42,15,0.847576586437511
49,0,4,0.894042469288789
49,6,2,0.895632180003973
49,9,17,0.85290195789973
49,37,28,0.837682421195395
49,86,11,0.852019975673873
49,18,24,0.843014293765737
49,11,39,0.827192360845013
49,15,18,0.851937149905905
49,94,12,0.83190963753341
49,32,40,0.805729199531907
49,54,93,0.761746619212077
49,51,24,0.829908222092615
49,73,1,0.864534925958812
70,78,69,0.761045169106832
70,10,6,0.853025375686383
70,4,11,0.836858643942228
70,92,14,0.813355030612859
70,52,1,0.890670771174012
70,44,71,0.759644872825255
70,90,86,0.748152278744813
70,83,37,0.8025667763767
70,89,100,0.735312726094512
70,27,82,0.749379502269781
70,41,71,0.759682564802158
70,12,21,0.816141413428185
70,35,53,0.781368600355212
70,40,82,0.749116407511946
70,84,3,0.861190172288926
70,56,5,0.85504493485985
70,77,97,0.719962234582837
70,5,99,0.741824987321144
70,55,24,0.807489454050621
70,13,23,0.814891805976915
70,17,68,0.745659631098642
70,71,64,0.763462089508768
70,53,59,0.768059150145711
70,22,52,0.782472283715297
70,19,4,0.858428507546443
70,30,1,0.890942874391132
70,59,63,0.764377072893205
70,21,91,0.737437785891746
70,7,13,0.836201022443415
70,2,29,0.809434966631111
70,76,11,0.836915858143341
70,28,53,0.781287271520317
70,87,59,0.737745016749391
70,42,64,0.762503064999743
70,57,89,0.71889629171624
70,0,6,0.852556548023904
70,38,90,0.6673381990623
70,6,35,0.806465554787239
70,9,25,0.811852849820743
70,80,69,0.726848895423869
70,37,13,0.836195746213154
70,18,16,0.830160091052823
70,11,39,0.800169437955849
70,15,33,0.807277999532607
70,94,25,0.81087269043646
70,32,40,0.798000539263727
70,54,29,0.808747251985243
70,46,8,0.849668959963326
70,98,85,0.595526480401979
70,73,95,0.734067872683221
47,65,26,0.802334747076977
47,45,9,0.884632511525525
47,27,14,0.865695088197691
47,20,4,0.895192555144127
47,69,22,0.81525665359143
47,36,25,0.818958264025132
47,1,2,0.910076965378772
47,50,23,0.805500305434419
47,66,26,0.771454592577707
47,5,12,0.878299871967876
47,55,62,0.7199040541974
47,13,93,0.680679209465154
47,17,13,0.868701685792421
47,85,34,0.763537309866177
47,29,6,0.891911208261629
47,21,17,0.850963452663449
47,23,9,0.885345143518108
47,34,15,0.864495517754079
47,3,3,0.90078616834584
47,31,21,0.839224879134387
47,2,57,0.72767996913405
47,60,22,0.798476741254588
47,82,89,0.687686516502971
47,48,53,0.74288455890649
47,79,93,0.68119680534835
47,28,44,0.75667261445656
47,87,43,0.75842932488162
47,57,13,0.842871673214321
47,25,18,0.845856665629489
47,26,5,0.893631589651389
47,38,24,0.821566265016648
47,80,56,0.730933094763501
47,8,6,0.891866419794183
47,11,39,0.766352927972218
47,16,9,0.885278839706503
47,32,71,0.708234273786539
47,24,1,0.91942470611481
47,46,22,0.825219757909804
47,39,16,0.854304143735601
47,81,29,0.776291369638775
47,98,26,0.760969447694995
47,14,8,0.886998921874246
47,58,25,0.810093806585433
47,97,5,0.84563506146329
78,10,21,0.834814940503917
78,4,44,0.810194518522708
78,92,17,0.806657475148092
78,52,59,0.782994191018138
78,63,62,0.780349212050097
78,44,50,0.803239035828557
78,83,66,0.79011740014345
78,89,24,0.800011886567431
78,12,49,0.803657063569253
78,35,27,0.827589523394113
78,72,72,0.762959024685912
78,5,96,0.762137618345466
78,13,89,0.774366365118579
78,93,2,0.875171295916379
78,71,65,0.79076635171812
78,22,10,0.848245044706017
78,19,3,0.872714808354996
78,74,10,0.84021261329286
78,88,6,0.832926414458726
78,7,4,0.863676086714617
78,2,66,0.790471883184579
78,43,77,0.778954243861651
78,76,56,0.777784662078139
78,82,75,0.735447064690043
78,79,61,0.759264243456559
78,0,12,0.845396892872442
78,6,24,0.831457275560019
78,9,54,0.799637093994737
78,80,62,0.734299641446316
78,11,13,0.844492780583951
78,15,82,0.778383191081046
78,54,91,0.773315173548221
78,46,85,0.738199007970131
78,73,25,0.802769569299162
10,4,13,0.90101848913486
10,92,2,0.851597044576466
10,52,15,0.84959985577862
10,63,26,0.812475190532343
10,44,35,0.828060781709309
10,83,6,0.862358778169887
10,64,15,0.832375332529467
10,89,22,0.801008002746043
10,27,40,0.796243709157151
10,41,19,0.840502563300918
10,12,16,0.88307138811421
