Source,Target,k,pcc
93,53,24,0.900243459559344
93,2,16,0.905973785415268
93,42,71,0.884617451089401
93,71,26,0.898726079912518
93,1,49,0.89098008348085
93,3,9,0.909816208707974
93,54,46,0.893082649712231
93,18,67,0.885837513133864
93,88,54,0.889111919091018
93,90,88,0.879300016703133
93,6,36,0.896203306341448
93,66,40,0.894514321196778
93,65,6,0.91290449126258
93,19,14,0.906588822317924
93,48,56,0.888481327691623
93,26,60,0.887069868528776
93,15,23,0.900594372283224
93,55,76,0.882435120042125
93,49,83,0.881080527477084
93,33,10,0.909160057324726
93,57,30,0.898497831865688
93,44,32,0.896858824474444
93,45,48,0.892339354891994
93,25,3,0.919961974013274
93,11,7,0.911001808004877
93,31,12,0.908406087465972
93,29,88,0.879454909721128
93,24,12,0.908301245088059
93,10,52,0.890277426118773
93,14,36,0.896134709641757
93,62,76,0.882487129119261
93,43,60,0.886910303413665
93,22,4,0.919433482025546
93,61,76,0.882382697379467
93,21,16,0.905942925710347
93,12,88,0.879471039272471
93,13,88,0.879030906393502
93,7,49,0.89075041813141
93,5,83,0.880967838304385
93,9,67,0.886449984023575
93,59,87,0.880106775396044
93,30,60,0.887364169322635
93,76,14,0.907424951461398
93,8,1,0.930871737616338
93,95,93,0.878041078572746
93,23,30,0.897921233129679
93,0,42,0.893767032749022
93,92,36,0.895954109881298
93,34,26,0.899066165070469
93,17,67,0.886321005240415
93,79,5,0.91734819121878
93,38,56,0.887516618447179
93,27,42,0.894217950619649
93,84,56,0.887906592235947
93,4,56,0.888260318392761
93,64,54,0.888630968552932
53,2,10,0.930380184244749
53,42,37,0.913233232040182
53,1,25,0.918424784077704
53,3,67,0.897619827740373
53,50,16,0.924924561827469
53,54,28,0.917107148382384
53,87,68,0.88945455454083
53,18,20,0.920823128924142
53,88,56,0.901146186098124
53,91,23,0.913705755279746
53,90,92,0.889112363838115
53,6,32,0.914818448410109
53,46,65,0.899128319864258
53,36,56,0.902219980280853
53,66,80,0.892119956484794
53,20,53,0.902644904110142
53,65,25,0.906775166027933
53,19,10,0.929712162437517
53,97,55,0.900963150755305
53,26,22,0.919696532829305
53,15,2,0.947631387894249
53,55,69,0.896831474148389
53,49,10,0.930243089940948
53,74,22,0.919771655112268
53,33,69,0.896968382093088
53,57,18,0.9242669946448
53,44,5,0.93820568124687
53,39,46,0.907236586536714
53,40,69,0.896851125939008
53,45,50,0.904604672086751
53,25,39,0.911042141574938
53,11,95,0.887800902189415
53,31,16,0.925194528962356
53,29,78,0.893724997008402
53,24,13,0.928327887763618
53,73,93,0.887608740363105
53,82,3,0.941495134434308
53,28,22,0.919920067034843
53,10,30,0.915644106396991
53,14,1,0.959049476137057
53,62,100,0.886099508491152
53,43,90,0.891386369286614
53,22,4,0.938813782671015
53,47,28,0.916918388195461
53,61,30,0.916137239758338
53,37,83,0.892198312384842
53,12,20,0.920685277255186
53,86,56,0.902031243351951
53,13,76,0.895009389572426
53,68,35,0.913174436147911
53,7,6,0.936377593810881
53,60,14,0.92651277902744
53,5,32,0.915009160949112
53,9,53,0.903139543131169
53,30,35,0.914025700182829
53,8,8,0.930664658401046
53,95,100,0.883603597085149
53,23,14,0.927090169036858
53,16,39,0.911058824405933
53,52,67,0.897987868888483
53,0,6,0.935510106049048
53,92,69,0.89269792838324
53,85,74,0.886392063312806
53,34,25,0.918323629399931
53,51,46,0.907041420583519
53,35,74,0.895557167833541
