id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO
0,Os08g0116500,,Ribosome,95.2173696035957,135,Yellow,73.2058121952429,"Similar to 60S acidic ribosomal protein P1 (L12)., Non-protein coding transcript.","Biological Process: translational elongation (GO:0006414), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735),"
1,Os09g0485900,,Ribosome,94.4475616802364,140,Yellow,73.0595798621232,Similar to 60S ribosomal protein L9 (Gibberellin-regulated protein GA).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735), Molecular Function: rRNA binding (GO:0019843)"
2,Os02g0717800,,,108.696488146289,87,Yellow,71.4328851393044,Similar to 60S ribosomal protein l31 (Fragment).,
3,Os03g0756000,,Ribosome,90.3067639606193,160,Yellow,68.8589185096455,Similar to 60S ribosomal protein L13a-4.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Cellular Component: large ribosomal subunit (GO:0015934), Molecular Function: structural constituent of ribosome (GO:0003735)"
4,Os08g0117300,,Ribosome,104.675649319328,96,Yellow,67.8004736261122,Similar to 40S ribosomal protein S13.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
5,Os04g0598200,,Ribosome,103.171267339746,101,Yellow,67.1902841646599,Similar to 60S ribosomal protein L12.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
6,Os09g0507800,,Ribosome,95.8559113674879,131,Yellow,66.0017767393247,60S ribosomal protein L7a.,"Biological Process: ribosome biogenesis (GO:0042254), Cellular Component: ribonucleoprotein complex (GO:0030529)"
7,Os04g0473400,,Ribosome,94.6537044907088,139,Yellow,65.4615864234383,Similar to 60S ribosomal protein L6-B (L17) (YL16) (RP18).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
8,Os03g0424800,,Ribosome,114.972683122992,60,Yellow,64.7014791393506,Similar to 40S ribosomal protein S19-3.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
9,Os03g0851000,,,118.373410239924,46,Yellow,63.5981550565166,Similar to Transcription factor homolog BTF3-like protein.,
10,Os05g0552300,,,89.4653672349758,165,Yellow,63.0149259307672,Similar to Guanine nucleotide-binding protein beta subunit-like protein (GPB-LR) (RWD).,
11,Os06g0562600,,,81.5166517875568,206,Yellow,62.5361203991577,"Similar to T-complex protein 1, epsilon subunit (TCP-1-epsilon) (CCT-epsilon) (TCP-K36).","Biological Process: protein folding (GO:0006457), Biological Process: cellular protein metabolic process (GO:0044267), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)"
12,Os06g0181566,,Ribosome,79.545754790574,224,Yellow,62.3246193697035,Similar to 60S ribosomal protein L39.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
13,Os07g0546700,,Ribosome,79.5618767443315,223,Yellow,62.2376989023214,Similar to 60S ribosomal protein L38.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
14,Os05g0541900,,Ribosome,104.988175521073,95,Yellow,61.8853219359145,Similar to 60S ribosomal protein l28.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
15,Os07g0622100,,Ribosome,96.8660236865734,122,Yellow,59.3799570523544,Similar to Ribosomal protein s6 RPS6-2.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
16,Os02g0534800,,Ribosome,94.4075736452656,142,Yellow,59.3570077003402,Similar to 40S ribosomal protein S14 (Clone MCH2).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
17,Os06g0274200,,Ribosome biogenesis in eukaryotes,81.6031172668122,203,Yellow,59.0944139971297,Similar to H/ACA ribonucleoprotein complex subunit 2 (H/ACA snoRNP protein NHP2) (High mobility group-like nuclear protein 2).,"Cellular Component: nucleolus (GO:0005730), Molecular Function: RNA binding (GO:0003723)"
18,Os03g0139100,,Ribosome,66.7906643694442,383,Yellow,58.189067785352,Similar to Ribosomal Pr 117 (Fragment).,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
19,Os05g0477300,,Ribosome,81.8636212208955,201,Yellow,58.1745018958934,Ribosomal protein S26e domain containing protein.,
20,Os07g0184300,,,70.3783114807998,321,Yellow,57.6590911888636,Non-protein coding transcript.,
21,Os05g0556900,,Ribosome,75.3558113141486,271,Yellow,56.8107854599687,"Ribosomal protein L35Ae family protein., Similar to 60S ribosomal protein l33-b (Fragment).","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
22,Os07g0139600,,,70.2739036744107,323,Yellow,56.5189482556853,Non-protein coding transcript.,
23,Os04g0501000,,Ribosome,92.015853872753,150,Yellow,55.1073241762303,"Nucleotide-binding, alpha-beta plait domain containing protein.","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)"
24,Os01g0191100,,Ribosome,136.648285615532,9,Yellow,55.0136849125991,Similar to Acidic ribosomal protein P2a-4 (Fragment).,"Biological Process: translational elongation (GO:0006414), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
25,Os12g0508300,,Ribosome,73.4755038604159,290,Yellow,54.1806354884069,40S ribosomal protein S29.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
26,Os07g0415200,,Ribosome,67.6792749638097,365,Yellow,54.1655950583526,Ribosomal protein L25/L23 domain containing protein.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: nucleotide binding (GO:0000166), Molecular Function: structural constituent of ribosome (GO:0003735)"
27,Os03g0577000,,Ribosome,65.529420448701,414,Yellow,53.7464659147407,Similar to Ribosomal protein S3 (Fragment).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Cellular Component: small ribosomal subunit (GO:0015935), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)"
28,Os07g0180900,,Ribosome,64.7360338520739,430,Yellow,53.7309860578169,Similar to 60S ribosomal protein L4.,"Biological Process: translation (GO:0006412), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
29,Os03g0200500,,Ribosome,76.7690766560111,250,Yellow,53.6116749817656,"40S ribosomal protein S3a (CYC07 protein)., Similar to 40S ribosomal protein S3a.","Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
30,Os03g0807800,,Ribosome,63.8638418443197,444,Yellow,53.5766965565804,Similar to 40S ribosomal protein S2 (Fragment).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Cellular Component: small ribosomal subunit (GO:0015935), Molecular Function: RNA binding (GO:0003723), Molecular Function: structural constituent of ribosome (GO:0003735)"
31,Os06g0115500,,Ribosome,69.6432083819965,329,Yellow,53.5522414509425,Similar to 60S ribosomal protein L13 (BBC1 protein homolog).,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
32,Os05g0274900,,Ribosome,68.5764396998848,344,Yellow,53.0950087353021,Similar to 60S ribosomal protein L15-1.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
33,Os08g0359600,,Ribosome,75.9614265843476,265,Yellow,52.8803236817483,Similar to 30S ribosomal protein S17.,"Biological Process: translation (GO:0006412), Cellular Component: intracellular (GO:0005622), Cellular Component: ribosome (GO:0005840), Molecular Function: structural constituent of ribosome (GO:0003735)"
