Source,Target,k,pcc
84,31,19,0.894471277017865
84,49,93,0.849756432328549
84,80,83,0.853749556622991
84,53,60,0.864781426072932
84,15,86,0.852567735980433
84,4,40,0.878218613604529
84,90,60,0.865063728949098
84,20,17,0.895811645784861
84,0,5,0.918551478804481
84,93,72,0.859282558771251
84,47,37,0.879660957535216
84,33,3,0.928239906533083
84,64,22,0.892329474559328
84,26,9,0.909231381868166
84,14,86,0.852950338107272
84,76,8,0.910557053239485
84,19,70,0.86074512011549
84,61,11,0.901384525631213
84,52,52,0.869871843702886
84,36,48,0.873265785216056
84,5,93,0.84982375575272
84,30,57,0.866788827922707
84,22,21,0.892528612914029
84,96,15,0.893518233682558
84,10,10,0.906708486927438
84,12,1,0.942861525548076
84,37,52,0.870490810881235
84,68,35,0.882461084927196
84,34,15,0.899400344361717
84,18,39,0.879112909912409
84,28,11,0.901231090909357
84,17,72,0.858641521327608
84,94,98,0.846972253450456
84,6,60,0.865486299155714
84,71,7,0.912941029060569
84,74,65,0.864020259134843
84,13,49,0.872046149913781
84,2,80,0.854533052749995
84,8,86,0.853291431203569
84,56,30,0.885924048024765
84,82,2,0.929304785851279
84,45,32,0.885056074103486
84,3,22,0.89204812674311
84,51,60,0.8647254799228
84,54,60,0.864667059596537
84,11,86,0.853027373879413
84,7,40,0.877968355893154
84,1,6,0.913909711121559
84,27,96,0.849445562412764
31,49,68,0.883490252703973
31,53,78,0.876333253745008
31,95,25,0.901987949514976
31,15,16,0.910228991315011
31,4,25,0.904635714024668
31,46,31,0.894307650499804
31,20,48,0.890398339009489
31,63,67,0.882195611827312
31,0,3,0.9370396992898
31,93,75,0.859753503875578
31,16,95,0.870999921823637
31,47,53,0.888730139784041
31,33,33,0.894491425900502
31,98,88,0.854630076261123
31,64,63,0.881269318992819
31,26,24,0.900242866422452
31,14,43,0.892001622858048
31,76,33,0.887122796111218
31,86,45,0.890517767454215
31,19,9,0.919475845436088
31,61,32,0.886298645903191
31,52,94,0.858474950685138
31,85,74,0.865322660072549
31,36,42,0.89312426120133
31,70,59,0.87808103435124
