Gene,kTotal,Rank
Os01g0685900,150.530003149445,1
Os06g0671800,147.825956232621,2
Os08g0512600,146.493532848557,3
Os07g0616200,145.713069089688,4
Os07g0604800,141.815126703837,5
Os03g0302900,140.142800054085,6
Os01g0176500,138.548358394347,7
Os09g0497700,137.153364717503,8
Os01g0191100,136.648285615532,9
Os01g0513900,136.075520826341,10
Os03g0165400,133.162726716412,11
Os03g0587200,133.050580875931,12
Os08g0558400,133.026935006383,13
Os06g0726800,131.261267774042,14
Os01g0191800,131.047971615103,15
Os10g0104900,129.4347083886,16
Os02g0258200,129.243755266564,17
Os02g0193600,128.809749154327,18
Os07g0507200,128.749668304729,19
Os01g0962600,128.391821631504,20
Os03g0128300,127.711172158344,21
Os05g0476200,127.698350108636,22
Os03g0659800,127.689866683348,23
Os03g0780800,126.864129740498,24
Os06g0178900,126.733494336483,25
Os03g0162200,126.203238214229,26
Os02g0264800,125.911240241983,27
Os05g0555100,124.094338966558,28
Os03g0301800,123.952365945123,29
Os10g0498900,123.54679129674,30
Os07g0529700,123.129981533994,31
Os05g0535900,122.669276714647,32
Os10g0563700,122.470716311458,33
Os03g0174200,121.580496484446,34
Os04g0563700,121.0862156565,35
Os01g0605500,121.063402812919,36
Os02g0258250,120.980748582513,37
Os02g0714200,120.494938525458,38
Os11g0169800,120.296904816467,39
Os02g0109100,120.291034120619,40
Os03g0114000,119.792614837888,41
Os03g0736500,119.670988800642,42
Os07g0501800,119.519841900279,43
Os08g0327400,119.193596439791,44
Os04g0467901,118.461115207879,45
Os03g0851000,118.373410239924,46
Os10g0418000,118.30313933287,47
Os02g0829100,117.871959961452,48
Os09g0560000,117.017781187212,49
Os01g0896300,116.764024422973,50
Os12g0590500,116.281051289083,51
Os05g0235800,116.089244816411,52
Os01g0544450,115.981542246481,53
Os09g0556800,115.970695102991,54
Os01g0805600,115.83095942747,55
Os04g0375900,115.693265604928,56
Os11g0580000,115.501888915465,57
Os06g0104300,115.480296807436,58
Os12g0616000,115.411673926479,59
Os03g0424800,114.972683122992,60
Os01g0259400,114.873937359041,61
Os09g0442700,114.736252817033,62
Os02g0699466,114.472487835766,63
Os12g0621700,114.460616330906,64
Os03g0212600,114.332962870986,65
Os04g0640700,113.9075070962,66
Os12g0263100,113.487757647769,67
Os02g0699433,113.24968709081,68
Os01g0108800,113.174324273541,69
Os08g0421800,112.782792123304,70
Os07g0645000,112.70890181114,71
Os07g0408500,112.615928084519,72
Os02g0810200,112.190267692322,73
Os02g0699500,112.132502155812,74
Os03g0651950,112.041019799766,75
Os02g0700100,111.974098791303,76
Os07g0616600,111.9606885917,77
Os01g0756900,111.128123279702,78
Os02g0797400,111.032826309485,79
Os04g0433800,110.786148998902,80
Os06g0308300,110.401058951897,81
Os10g0169200,110.044001977306,82
Os10g0504600,109.573076195117,83
Os07g0600700,109.328186980683,84
Os03g0166000,109.049167847888,85
Os01g0226300,108.767847025072,86
Os02g0717800,108.696488146289,87
Os11g0302500,108.375644971228,88
Os11g0104400,107.957225473853,89
Os02g0739700,107.655033456428,90
Os03g0138500,107.370904532719,91
Os04g0228100,107.173038897427,92
Os03g0297100,105.728811747428,93
Os01g0282800,105.189910230283,94
Os05g0541900,104.988175521073,95
Os08g0117300,104.675649319328,96
Os09g0533900,104.416103401009,97
Os03g0214100,104.355438829084,98
Os01g0273100,104.068497874345,99
Os06g0187000,103.511130243708,100
Os04g0598200,103.171267339746,101
Os03g0339700,102.915701816087,102
Os01g0897000,102.905675303456,103
Os04g0649700,102.198584840892,104
Os01g0514600,102.160736669581,105
Os05g0406800,102.14195669126,106
Os08g0225000,101.678520835195,107
Os03g0721300,101.270694226806,108
Os03g0703100,100.483509266993,109
Os03g0770900,100.469065705649,110
Os03g0758500,100.225906679464,111
Os01g0931200,100.08567930675,112
Os06g0127800,100.067357833078,113
Os04g0350300,99.9561546079184,114
Os08g0420600,99.408037879246,115
Os01g0668100,99.352861671192,116
Os05g0556400,99.1492097399621,117
Os03g0672400,98.8424289946582,118
Os02g0321900,98.7223328559612,119
Os10g0402200,98.5481576020292,120
