Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.203614248,0.526718674,,-0.341669603,0.176314748,,-0.130273639,0.655462082,,0.029321603,0.926837732,,-0.55213268,0.020411675,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-0.764466734,0.172196849,,-2.400908401,3.26E-07,Down,-2.438420248,1.06E-06,Down,-2.180637492,2.19E-06,Down,-2.859801405,3.91E-08,Down
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,-0.843952991,0.000185219,,-0.819166561,0.000140467,,-0.514428616,0.023963159,,-0.368407491,0.110487307,,-1.403912543,4.49E-11,Down
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,0.675771829,0.000335301,,1.087786023,2.49E-10,Up,1.053863192,1.11E-09,Up,1.120394107,5.24E-11,Up,0.970553852,2.07E-08,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-1.091223615,0.196043831,,-2.61477247,0.000393312,Down,-2.433334827,0.002103109,Down,-2.292044587,0.00131645,Down,-1.585551863,0.032382601,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,0.772734636,4.75E-05,,0.418427337,0.033425405,,0.322699468,0.117331983,,0.281671438,0.166850386,,0.311930569,0.118597275,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,0.336241254,0.587688352,,0.409054656,0.413670965,,0.619623805,0.193617879,,0.929624742,0.028351599,,0.301298877,0.556165642,
Os01g0102000,['lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'],LOC_Os01g01190,0.058188975,0.965799991,,-1.094805576,0.210132495,,-1.377571273,0.128295271,,-1.861517977,0.025782326,Down,-2.106446747,0.021760776,Down
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,0.591177447,0.345155276,,0.902841573,0.067725763,,0.538245,0.353873755,,1.360890252,0.002493746,Up,3.681992801,5.26E-20,Up
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.413873439,0.258478742,,0.838137274,0.003487862,,0.130427577,0.734815988,,0.057528947,0.885199032,,1.237918054,6.00E-06,Up
