Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day,FC_3day,pval_3day,REG_3day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.381723185894645,0.395096306071812,,0.017502683785271,0.979109719020328,,-0.202214217865684,0.620736653729219,,-0.33249264862003,0.297193950221374,,-0.344110634437398,0.269359046183565,,-0.040270993994244,0.91958767295769,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,0.093474455522545,0.971129615349757,,0.260946707300566,0.793775019096541,,0.195977892797571,0.826698394946094,,0.329178009742706,0.628101968817835,,0.622880627528352,0.267157259161306,,0.39625669243246,0.507887869652554,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,0.236406583577785,0.848104641525409,,-0.563895078565778,0.281415761034761,,-0.523217436075027,0.284638171597959,,-0.309211256879456,0.542612882188638,,-0.83953385877238,0.03612889576504,,-0.685370984071709,0.090613332853054,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-0.006329062916933,0.997075347765987,,0.232513166545378,0.669740989812101,,0.195051408393331,0.693475970576,,-0.153324604876943,0.733085088930384,,-0.006361748731384,0.98948210295573,,-0.007916869858032,0.98698764038788,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,0.121258068559758,0.97486780453947,,-0.747741478298052,0.551600880501861,,-1.07548605247387,0.278487454190878,,-1.24577890362266,0.16492332711815,,0.439609326294222,NA,,0.39520759251478,NA,
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,0.105862018621137,0.917229558370179,,0.243799168416791,0.559068540019438,,0.339610630199015,0.295681950233,,0.497450220417979,0.064326360508422,,0.657987854597481,0.008466959524573,,0.560555763106408,0.027575034729681,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-1.15660327602765,0.074292436754297,,1.70331474949411,NA,,1.81095781539694,NA,,2.40003090535068,NA,,-1.25536610572585,0.459256061125417,,-0.774225141662825,NA,
Os01g0102000,['lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'],LOC_Os01g01190,0.555769689935963,0.878865283848261,,-1.2572373271094,0.475931725218217,,-2.14453679909713,0.13842055266249,,-0.626069896821644,NA,,0.242825924780804,0.931247795794345,,0.240021742656687,NA,
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,0.976063388036669,0.491577449023251,,-0.244511777412973,0.90144446968914,,0.299269152859385,0.840552422307422,,1.2387666857239,0.144535636443402,,0.901050236205562,0.327336873310784,,-1.47410188868058,NA,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,-0.052215350282901,0.980459463473524,,-0.86413837164238,0.053859618353321,,-0.489358075443549,0.318633125638284,,-0.528269080330117,0.227218660857845,,-0.266500379843228,0.588643485678469,,-0.378273371822149,0.389561235092227,
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-1.57515802701234,0.002629833799793,Down,0.210654531984548,0.937063832102184,,0.509240276289656,0.786388958384153,,1.3533279133648,0.258952641794839,,-0.867936898266321,0.603164593159336,,-2.79224641651767,NA,
Os01g0102700,['not assigned.unknown'],LOC_Os01g01307,-0.1054161329224,0.929712037397987,,-0.360074719041053,0.383386712118299,,-0.398956355237927,0.265469254395328,,-0.708347808763138,0.014641965945076,,-0.771718693534931,0.007057316966857,,-0.716041994366728,0.011931404156124,
Os01g0102850,NA,None,0.080690670538232,0.986818196379103,,0.342161186027188,0.839970480526993,,0.725236763390645,0.516001458179775,,0.664119047328254,0.513393784751014,,0.579427550612074,0.57135226969409,,0.833908884791742,0.347366969127083,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,0.225603063946156,0.940060511570368,,-0.505244444099734,0.695578670018593,,-0.571200414098061,0.591068986601231,,-0.244572089320947,0.819529977117787,,-1.24824679816408,0.12653484260486,,-1.34553141474922,0.087279595604319,
Os01g0103600,['hormone metabolism.brassinosteroid.synthesis-degradation.sterols.HYD1'],LOC_Os01g01369,0.071844548937578,0.937234974301407,,0.072064973546705,0.871249583411802,,-0.029355522344755,0.946413077979622,,-0.270252892774729,0.268153468038032,,-0.408563379171447,0.063546575849547,,-0.422373179119445,0.048043878875176,
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,0.058199317424844,0.975005160613946,,-0.116793653469395,0.878888267285682,,-0.547556935898905,0.208407782873284,,-0.384364642802711,0.374685981907118,,-0.636851618093714,0.102389322013405,,-0.684467070545555,0.067682269634919,
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,0.38390093950049,0.929043017243847,,-0.444047856377061,0.844957602191896,,-0.625755559043658,0.724813823184941,,-1.30585805782848,0.34754726499103,,-2.61719279874652,0.073465419341349,,-0.849478768748005,0.001292233629258,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,-0.271482336827076,0.677196923389822,,-0.228940631624131,0.644051220421657,,-0.060220235381597,0.911694487497141,,-0.002308237512743,0.996171852189203,,-0.065866219296137,0.878404437208538,,0.191649541980601,0.580563480539746,
Os01g0104200,['development.unspecified'],LOC_Os01g01430,0.334317912089156,0.882634426680076,,0.082562032619378,0.957372138696368,,0.138815165092603,0.911899460772635,,-0.014261121864274,0.989461515385879,,0.440078939875897,0.600856142032229,,-0.969614655523544,0.201205903764054,
Os01g0104350,NA,None,-0.606675590442387,0.785817819235633,,-0.707362772121748,0.618371058819997,,-0.3039915273505,0.83068770429681,,0.681017142729514,0.466254331197541,,0.314628693932654,0.771750487064604,,0.352805457119529,0.723540824906837,
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,-0.34692477109917,0.557148821356834,,-0.465879180265978,0.239297728899997,,-0.596129409927731,0.076403365849098,,-0.901623565333719,0.002260328302325,,-1.0595371574203,0.000269847323406,Down,-1.25302671856565,1.15E-05,Down
Os01g0104800,['not assigned.unknown'],LOC_Os01g01510,-0.363372260889425,0.530650826359712,,-0.343691174250815,0.457510819778894,,-0.24599599432337,0.585588437706536,,0.101907199049709,0.824559764037184,,-0.394012357983114,0.258383652729428,,0.146016536395164,0.711154067331841,
Os01g0104900,"['secondary metabolism.phenylpropanoids', 'stress.biotic']",LOC_Os01g01520,0.497739278124255,0.379037071737831,,0.838615383018842,0.025601567563683,,0.741657119396945,0.046822507902775,,1.03922912146328,0.001708925477957,Up,1.2877373040434,5.12E-05,Up,-1.32232071576006,NA,
