Source,Target,k,pcc
0,65,38,0.670203027745835
0,94,44,0.804597645660373
0,101,8,0.802902339788999
0,200,15,0.755589745500995
0,244,36,0.812208990058085
0,286,3,0.874787884575232
0,327,97,0.681664535522069
0,471,44,0.742544906208588
0,563,48,0.803215779636942
0,584,40,0.808982450376661
0,698,10,0.846556569546094
0,714,79,0.701760402267406
0,817,5,0.873354132553092
0,833,40,0.775936504462006
0,903,95,0.773611135215062
0,925,27,0.809864302434751
0,966,65,0.678674031767404
0,976,68,0.760539827575759
0,1025,77,0.763034282350712
0,1040,96,0.772762366139809
0,1073,60,0.467252133137879
0,1087,100,0.770696638803649
0,1201,6,0.786758211053373
0,1306,6,0.852583658560282
0,1356,22,0.802435453953613
0,1373,33,0.695207927793561
0,1424,59,0.727266121858123
0,1446,95,0.72565605038486
0,1462,62,0.75222954346818
0,1558,93,0.776326822652209
0,1673,98,0.672713372580773
0,1838,71,0.769725374523511
0,1841,78,0.73808724727369
0,1901,48,0.802778625356278
0,1989,24,0.803210742317654
0,2025,73,0.785303385510082
0,2183,58,0.799027328616815
0,2215,39,0.741537899798465
0,2231,15,0.81411571597265
1,6,86,0.762570876423121
1,57,59,0.781685172471433
1,67,57,0.627819304143704
1,92,93,0.760489563845063
1,272,89,0.761654208770169
1,291,9,0.857921365977782
1,338,22,0.821970858377578
1,351,67,0.772707638601562
1,402,34,0.808779488260024
1,438,12,0.839562003976639
1,472,2,0.805372799075077
1,484,72,0.771442377824261
1,649,40,0.714896598141658
1,683,34,0.809083265027116
1,695,6,0.867552244634928
1,712,44,0.738535000041173
1,732,86,0.762967079110537
1,801,31,0.811549803271785
1,807,20,0.680493680315282
1,978,34,0.8093983726386
1,1019,96,0.759490235646375
1,1103,74,0.769115332730816
1,1195,42,0.783821368254384
1,1262,50,0.763447860771895
1,1366,32,0.809539134907952
1,1480,19,0.829102611539128
1,1499,47,0.680738271068974
1,1553,26,0.789940048833184
1,1657,19,0.654967018640701
1,1695,61,0.780920159187672
1,1777,40,0.796682636433544
1,1781,96,0.759423954114942
1,1783,24,0.820265736611672
1,1865,38,0.717605765235635
1,1933,65,0.775464784607574
1,1983,79,0.766252030249938
1,2102,42,0.796929323722734
1,2123,69,0.752952785375592
1,2190,17,0.832112003179523
1,2244,42,0.699716777204537
2,84,20,0.850462110447329
2,223,78,0.73481785378414
2,261,5,0.896773568070369
2,321,39,0.831606380578974
2,348,57,0.815965025406186
2,377,65,0.821102658991415
2,397,65,0.635721795759655
2,425,66,0.796911520610717
2,478,30,0.835735396855505
2,608,3,0.90020415785685
2,657,29,0.824535378008658
2,819,10,0.872948577337009
2,891,6,0.887712931690052
2,933,26,0.852656828854289
2,994,74,0.780143517950495
2,1022,77,0.781854378587816
2,1084,42,0.754589581185342
2,1239,96,0.789474822621586
2,1267,17,0.86565045551536
2,1345,71,0.653379102217015
2,1364,32,0.789300172718012
2,1513,70,0.769354791186386
2,1572,1,0.919103177902319
2,1621,76,0.645338155898563
2,1663,77,0.792605970060673
2,1807,79,0.680129836894754
2,1842,53,0.690472939334636
2,1848,50,0.811358856293511
2,1903,63,0.811194272120613
2,1973,98,0.793564814406802
2,2009,47,0.767673795607258
2,2038,33,0.84604616584277
2,2117,27,0.834162313595975
2,2141,38,0.836949351909703
2,2176,99,0.7521639826722
2,2280,88,0.758273915555538
2,2281,37,0.800716083465237
3,6,16,0.818892238590884
3,43,36,0.61213566954079
3,51,78,0.744283372718635
3,57,79,0.765987328972683
3,67,65,0.623166752443935
3,86,100,0.748544885570534
3,128,43,0.789708749558734
3,144,50,0.783459031742054
3,193,40,0.791715164584422
3,208,9,0.75093602000684
3,276,40,0.792253327926663
3,284,22,0.810277296867803
3,308,27,0.804505484969707
3,323,89,0.662490351750072
3,324,15,0.820342729833018
3,326,10,0.828562080689429
3,335,27,0.805053197425511
3,353,8,0.830219954231437
3,423,50,0.783328441701283
3,502,38,0.742968007186565
3,544,43,0.729847430123559
3,557,98,0.577970766314737
3,562,34,0.780349864025691
3,575,43,0.718413499450161
3,588,81,0.763743473991472
3,613,95,0.751666251444638
3,625,57,0.755197147952008
3,710,64,0.773939006001077
3,734,70,0.52451956044424
3,750,2,0.826653247023454
3,764,16,0.669833900519962
3,767,83,0.763345030692879
3,777,4,0.856541432642918
3,838,74,0.725255576605045
3,840,30,0.764524344066664
3,848,21,0.811013675650514
3,855,40,0.792134654835286
3,858,4,0.806657016191267
3,864,13,0.822307174487746
3,873,23,0.809083690826182
3,877,95,0.751622431260929
3,951,31,0.714275425154709
3,955,12,0.824157577068012
3,958,68,0.702851299740344
3,1062,30,0.802004316362704
3,1068,56,0.739104764702511
3,1106,66,0.669434855477632
3,1115,77,0.768456741047508
3,1180,44,0.745327896662231
3,1181,37,0.793603913277372
3,1203,85,0.668687180977631
3,1207,18,0.815811227844215
3,1240,67,0.762393014509568
3,1253,37,0.775409368984911
3,1300,6,0.836906511241798
3,1320,25,0.807946296592835
3,1360,76,0.650653495046149
3,1368,100,0.749633980279355
3,1384,1,0.894428439780913
3,1395,69,0.769904721842804
3,1406,14,0.699916259982294
3,1412,81,0.58087367516603
3,1435,72,0.737037787438734
3,1510,38,0.714703299017188
3,1515,37,0.79367449305042
3,1583,3,0.859798686710611
3,1624,74,0.769187619120818
3,1649,37,0.794231648577446
3,1650,39,0.653708301549485
3,1675,56,0.777874690636503
3,1679,53,0.722568842933445
3,1740,35,0.797173727004272
3,1781,64,0.774326962077973
3,1789,14,0.820901623833523
3,1797,45,0.789299711141487
3,1869,69,0.770240960888395
3,1878,61,0.774768513941223
3,1888,100,0.750186211400377
3,1892,17,0.817984095020465
3,1992,43,0.755649063313214
3,1996,41,0.701782147485053
3,2000,47,0.785746399611546
3,2180,34,0.79826677839749
3,2216,17,0.774883451172856
3,2250,20,0.814173786750008
3,2255,97,0.598878964226643
