Gene,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-0.713648017860294,0.110814744121863,,-1.05973042893086,0.007564753733052,Down,-0.610107494907043,0.137063997319397,,2.53461089199515,5.47E-11,Up
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,0.464795470085434,0.559774807510337,,-0.89271678525234,0.185290140135849,,-0.679282233127566,0.281196804844915,,-0.943906528789792,0.12608418086709,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,-0.153159120454761,0.839457219853676,,-0.694561044601677,0.145152201254196,,-0.706633753881709,0.123732479495471,,-0.770397980933794,0.088159601950961,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,-0.356343966759107,0.501288565755534,,0.407944218745174,0.337218986736829,,0.781434220997814,0.036862775767592,,1.05082720585555,0.003155572730991,Up
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-0.942314362645208,0.366439186144547,,-1.92079624112279,0.046327219314296,Down,-2.2282965369815,0.00893117523862,Down,3.61047816215077,6.59E-10,Up
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.569077013259122,0.264396634546999,,-0.54201228866447,0.230354607982607,,-0.352241653601938,0.453681350427918,,-0.215457746635709,0.669220055094453,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-1.40014724069907,0.007778159691565,Down,-2.736158809247,8.54E-06,Down,4.44085046808972,3.48E-07,Up,-3.57610159260539,0.000186406789406,Down
Os01g0102000,['lipid metabolism.lipid degradation.lysophospholipases.phosphoinositide phospholipase C'],LOC_Os01g01190,-0.844470785149234,0.576840323755422,,-0.172065379139528,0.907444330563929,,-1.26818442461471,0.27123643443426,,-2.11678786526375,0.072066340373795,
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-0.390343084257769,0.825980050094631,,0.579631778514291,0.655434977655585,,-0.30901569381495,0.817158542281879,,-1.64356280503842,0.190897411139899,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,1.79177631579604,1.06E-08,Up,1.17206349048861,0.00051692268104,Up,0.362585436302453,0.422583618242189,,1.88115302372913,0.003070764742187,Up
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,0.261132506200623,0.736181901607494,,-0.76051144004904,0.183370271429505,,-1.13823658685326,0.02433638679611,Down,-1.56542713182504,0.002157307672745,Down
Os01g0102700,['not assigned.unknown'],LOC_Os01g01307,-0.27696917871984,0.423736871324033,,-0.613299409842952,0.019916829798826,,-0.771806130160488,0.001604807188704,,-0.705261283222377,0.00452473243024,
Os01g0102850,NA,None,0.036691814355684,0.984247126458191,,-0.062525561660711,0.961218902149249,,0.459484153622472,0.645417327549226,,-0.119309528036652,0.919974941036592,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.533858672503416,0.594351227461183,,-1.43580382277554,0.071492367597653,,-0.486838129373448,0.541493766941618,,-0.87962075634321,0.240955133595742,
Os01g0103600,['hormone metabolism.brassinosteroid.synthesis-degradation.sterols.HYD1'],LOC_Os01g01369,-0.434155313948136,0.13063202128174,,-0.954868238115126,6.30E-05,,-1.26197060702941,2.33E-08,Down,-1.11644948732952,1.01E-06,Down
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,-1.00898587906999,0.007793566391892,Down,-0.533550427578067,0.194682563055549,,3.62482228623799,2.04E-30,Up,3.3586447806914,3.77E-26,Up
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,-0.138952506967917,0.924472666313163,,0.552230666251635,0.553634612038982,,0.70992342712693,0.381210865370741,,0.28511849948437,0.76489821031981,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,-0.777609973612161,0.018190374237908,,-0.03384228520992,0.940958953828391,,0.099428642005849,0.800228611873114,,0.127464802663123,0.743277379029104,
Os01g0104200,['development.unspecified'],LOC_Os01g01430,-0.766833037107381,0.327230067076711,,-1.05402395349953,0.136116996232469,,0.260379647122909,0.715691802933175,,0.473128271443116,0.473051954149287,
Os01g0104350,NA,None,-0.971207500312489,0.363651888140842,,-0.235373188716018,0.833288285069219,,0.067274733083272,0.948814069054868,,0.444381271808046,0.619746976646348,
Os01g0104400,['not assigned.unknown'],LOC_Os01g01450,-0.703689372950869,0.045486404899626,,-0.627102170928671,0.065867190580775,,-1.28588668256523,1.91E-05,Down,-1.83422937347625,7.33E-10,Down
Os01g0104800,['not assigned.unknown'],LOC_Os01g01510,-0.089120420096646,0.890732077486705,,-0.338123221753613,0.422748638589,,-0.135355468402317,0.762376576273299,,-0.247051585757148,0.556804537337593,
Os01g0104900,"['secondary metabolism.phenylpropanoids', 'stress.biotic']",LOC_Os01g01520,-2.24753695203481,1.09E-10,Down,-1.69869555103962,2.64E-06,Down,3.25407939949913,0.156231756641823,,3.37264735882865,8.36E-11,Up
Os01g0105400,['not assigned.unknown'],LOC_Os01g01570,0.21656753029839,0.757176988134528,,0.191772428923759,0.736502880478098,,0.344343256725034,0.488166960834698,,0.086720580429886,0.881546361583564,
Os01g0105800,['Co-factor and vitamine metabolism.iron-sulphur clusters'],LOC_Os01g01610,0.057688610966543,0.974401557379781,,0.56663087447038,0.591441155445295,,0.566781613595904,0.555973428195073,,1.17048704150759,0.162037236399616,
Os01g0105900,['minor CHO metabolism.others'],LOC_Os01g01620,0.623862900988416,0.032188074698625,,1.43051529037784,4.60E-09,Up,1.04056967080124,3.20E-05,Up,1.18942545724946,0.000582223983941,Up
Os01g0106300,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01650,0.933585694785084,0.731534616729794,,-0.830309196279022,0.739852769080516,,-4.86028256313154,0.045278334300166,Down,-3.17309722757168,0.21227455661818,
Os01g0106400,['secondary metabolism.flavonoids.isoflavones.isoflavone reductase'],LOC_Os01g01660,-0.602239917613365,0.717443345978805,,-0.932265763521608,0.486246052859261,,-1.96442894478036,0.095131189880742,,-3.81182517631836,0.013897179675997,Down
Os01g0106500,['not assigned.unknown'],LOC_Os01g01670,0.466207492018635,0.48769657010261,,-0.132547081317783,0.853097140362572,,0.010519765469039,0.988126552975836,,-0.197142116129138,0.755887954842661,
Os01g0106600,['not assigned.unknown'],LOC_Os01g01680,-0.889174350242618,0.464179450641503,,-2.33822489205796,0.04037877646921,Down,-2.66160704749127,0.007700066218543,Down,5.32680641780626,0.000297649440846,Up
Os01g0106750,['protein.postranslational modification.kinase'],LOC_Os01g01689,-0.095472650260947,0.945858486381031,,-1.23401317397992,0.145533940624028,,-0.816147393671642,0.305382295031287,,-0.497396237925985,0.558713846516075,
Os01g0106900,['secondary metabolism.isoprenoids.non-mevalonate pathway.DXR'],LOC_Os01g01710,1.56869480873791,0.002743831944572,Up,0.415808697545463,0.515569125044907,,0.546816860726571,0.553417569007101,,0.142656821156305,0.895428013639061,
Os01g0107000,['protein.targeting.peroxisomes'],LOC_Os01g01720,0.774997757478318,0.03803353064684,,0.714699263779634,0.048146531219568,,0.797440416404734,0.020157555512038,,0.779109468371019,0.023638196896192,
Os01g0107400,['protein.postranslational modification'],LOC_Os01g01740,-0.879158586759493,0.40225776124367,,-1.68840757980992,0.065004631724963,,-1.22093566095764,0.143022155927967,,-0.704059988302986,0.426075030261412,
Os01g0107900,['not assigned.unknown'],LOC_Os01g01790,-0.002355824172824,0.997978752582613,,0.556559822726658,0.143332602939749,,0.692623577716787,0.052935935180941,,0.668613149280869,0.061890242304368,
Os01g0108000,['not assigned.unknown'],LOC_Os01g01800,-0.080334073080508,0.90627834424357,,0.599055132945358,0.118645501096625,,1.02184097999343,0.0027503268816,Up,1.38182093208333,2.42E-05,Up
Os01g0108800,['not assigned.unknown'],LOC_Os01g01890,0.262539206114105,0.860174297130474,,-1.30299587067506,0.21025159922993,,-1.54397966986466,0.09981932191519,,-2.39887364646696,0.014430680700399,Down
Os01g0109700,['RNA.regulation of transcription.unclassified'],LOC_Os01g01960,0.226337553864518,0.710145372039798,,1.09924128580128,0.002865448468129,Up,0.99309008513907,0.007367901832664,,0.747611189955633,0.015214292086894,
Os01g0109750,['not assigned.unknown'],LOC_Os01g01970,-0.117778438823715,0.849889693555285,,0.876931460539831,0.011244020777244,,0.741379535153153,0.029752150820313,,0.636002238899914,0.070337611994646,
Os01g0110100,['transport.phosphate'],LOC_Os01g02000,-1.99168230873854,0.010603879679478,Down,-2.17004258008554,0.008539866132728,Down,5.54492728530843,2.93E-31,Up,-2.79709172851089,0.000550036892001,Down
Os01g0110200,['not assigned.unknown'],LOC_Os01g02010,-0.689625174847334,0.501526697345961,,-3.32926692028741,0.0003799905433,Down,-3.46931847239791,2.06E-05,Down,-0.678489227659058,0.438601551914469,
