Source,Target,k
62,60,14
62,16,62
62,44,8
62,14,2
62,2,50
62,15,58
62,31,24
62,95,30
62,4,3
62,66,89
62,34,71
62,76,25
62,54,58
62,26,6
62,28,1
62,20,12
62,46,80
62,39,5
62,79,16
62,50,74
62,65,41
62,22,35
62,1,88
62,27,11
62,25,12
62,19,95
62,77,43
62,30,58
62,18,18
62,3,76
62,0,23
62,36,98
62,6,6
62,10,10
62,85,9
62,92,43
62,29,97
62,40,36
62,98,53
62,35,76
62,11,52
62,49,79
43,16,15
43,2,65
43,69,94
43,23,2
43,5,38
43,4,85
43,93,2
43,76,10
43,26,9
43,28,45
43,33,49
43,58,3
43,74,58
43,27,44
43,32,73
43,47,19
43,21,33
43,84,6
43,18,36
43,96,29
43,29,80
43,40,8
43,87,60
43,37,52
43,64,6
60,16,40
60,44,32
60,14,4
60,97,25
60,56,56
60,2,63
60,15,49
60,31,15
60,80,28
60,95,59
60,4,22
60,66,74
60,54,5
60,83,73
60,26,100
60,53,25
60,28,49
60,78,26
60,39,21
60,79,66
60,50,25
60,22,7
60,1,50
60,27,7
60,59,13
60,25,1
60,21,50
60,77,1
60,3,66
60,0,37
60,36,18
60,6,14
60,10,6
60,92,10
60,13,54
60,98,6
60,11,23
60,61,67
60,49,41
60,48,35
89,56,38
89,7,50
89,51,76
89,45,95
89,88,66
89,41,83
89,24,25
89,1,36
89,70,36
89,12,89
89,55,96
89,52,89
89,19,2
89,18,68
89,9,5
89,68,2
89,3,58
89,99,81
89,6,53
89,13,14
89,75,4
89,37,71
89,35,46
89,11,92
89,90,7
81,16,93
81,56,62
81,7,8
81,23,66
81,45,16
81,38,62
81,71,42
81,66,59
81,34,11
81,26,80
81,63,28
81,28,60
81,20,97
81,33,20
81,46,31
81,39,96
81,22,41
81,1,79
81,59,7
81,12,13
81,32,1
81,52,37
81,84,71
81,9,55
81,68,96
81,3,88
81,99,44
81,6,69
81,91,44
81,29,22
81,11,3
81,17,34
81,49,22
81,48,2
16,44,46
16,14,53
16,56,59
16,2,2
16,69,18
16,82,60
16,15,8
16,23,7
16,45,21
16,31,82
16,80,20
16,38,74
16,5,3
16,71,53
16,4,61
16,93,65
16,76,18
16,54,97
16,83,85
16,26,62
16,86,62
16,28,12
16,67,67
16,20,78
16,33,10
16,8,23
16,58,3
16,39,57
16,50,13
16,65,97
16,22,38
16,1,85
16,27,1
16,59,30
16,12,51
16,32,57
16,94,77
16,25,46
16,47,3
16,21,12
16,77,27
16,84,18
16,18,78
16,3,46
16,0,22
16,36,8
16,6,56
16,96,56
16,10,9
16,13,44
16,29,31
16,40,54
16,98,28
16,87,22
16,37,74
16,35,90
16,11,65
16,17,6
16,61,55
16,49,9
16,48,31
16,57,8
44,14,7
44,97,69
44,56,30
44,31,6
44,88,71
44,95,26
44,4,73
44,41,90
44,34,78
44,76,97
44,26,24
44,86,92
44,28,1
44,67,41
44,20,1
44,58,64
