Source,Target,k
44,45,72
44,10,20
44,19,68
44,85,94
44,4,8
44,69,31
44,65,8
44,83,70
44,88,40
44,94,37
44,0,6
44,39,68
44,61,76
44,16,78
44,50,7
44,18,95
44,14,90
44,68,1
44,3,29
44,34,24
44,60,11
44,25,17
44,28,38
44,8,52
44,29,24
44,21,95
44,17,56
44,47,50
44,9,31
44,55,14
44,87,57
44,78,51
44,6,4
44,7,52
44,22,23
44,48,34
44,70,41
44,56,75
44,11,38
44,54,29
44,26,34
44,66,91
44,73,50
44,59,15
44,2,11
44,23,31
44,5,46
44,32,34
44,97,61
44,36,46
44,51,38
44,41,46
44,37,10
44,15,84
44,12,17
44,62,70
44,77,84
44,63,56
44,72,75
44,1,2
44,76,1
44,46,82
44,96,20
45,10,5
45,69,14
45,67,38
45,65,71
45,83,17
45,88,5
45,74,11
45,94,96
45,0,35
45,71,40
45,39,26
45,61,91
45,16,73
45,50,23
45,38,1
45,18,73
45,68,73
45,34,14
45,25,29
45,64,62
45,28,35
45,89,6
45,8,54
45,29,11
45,58,65
45,21,4
45,17,46
45,47,33
45,9,65
45,55,79
45,90,40
45,30,29
45,87,68
45,92,42
45,78,20
45,6,2
45,7,6
45,22,19
45,48,45
45,40,14
45,70,14
45,31,100
45,56,19
45,11,79
45,54,98
45,57,74
45,66,6
45,73,45
45,2,11
45,23,28
45,99,74
45,5,60
45,32,6
45,24,73
45,43,33
45,97,16
45,51,73
45,41,40
45,37,29
45,27,62
45,15,26
45,20,100
45,13,40
45,12,73
45,84,34
45,62,76
45,77,65
45,72,59
45,1,2
45,35,72
45,52,46
45,46,12
45,42,59
45,96,50
10,4,35
10,69,31
10,67,3
10,65,35
10,83,35
10,88,11
10,74,19
10,91,91
10,94,47
10,0,2
10,39,1
10,61,9
10,50,3
10,38,9
10,18,35
10,14,21
10,68,9
10,3,69
10,34,54
10,60,33
10,25,52
10,53,90
10,28,17
10,89,6
10,8,53
10,29,4
10,33,58
10,58,56
10,21,8
10,17,45
10,47,26
10,9,31
10,55,25
10,90,55
10,30,22
10,75,76
10,92,55
10,78,42
10,6,3
10,7,8
10,86,64
10,22,26
10,48,32
10,40,31
10,70,9
10,56,1
10,11,74
10,54,79
10,57,91
10,26,13
10,66,16
10,73,45
10,59,41
10,2,8
10,23,14
10,99,97
10,80,60
10,5,26
10,32,6
10,24,65
10,43,35
10,97,50
10,36,81
10,51,22
10,41,7
10,37,18
10,27,62
10,13,63
10,12,24
10,84,25
10,62,4
10,72,25
10,1,8
10,35,26
10,52,2
10,76,68
10,46,5
10,42,60
10,96,44
19,85,12
19,4,86
19,65,81
19,74,19
19,91,20
19,94,41
19,0,44
19,71,12
19,16,5
19,50,81
19,38,87
19,18,21
19,14,43
19,3,4
19,34,47
19,60,88
19,95,1
19,25,3
19,53,6
19,64,5
19,28,42
19,8,13
19,33,52
19,58,35
19,21,89
19,17,10
19,9,30
19,55,73
19,90,46
19,30,43
19,87,34
19,75,79
19,92,93
19,78,25
19,6,76
19,7,56
19,49,17
19,86,27
19,48,77
19,40,67
19,31,2
19,11,13
19,54,20
19,57,11
19,79,10
19,66,57
19,73,84
19,2,40
19,81,8
19,99,7
19,80,55
19,5,59
19,24,50
19,43,51
19,97,65
19,36,18
19,82,14
19,27,5
19,15,2
19,98,18
19,20,1
19,13,5
19,12,84
19,62,79
19,77,2
19,63,15
19,93,27
19,1,4
19,52,33
19,76,27
19,46,61
19,42,17
85,4,19
85,67,47
85,74,58
85,91,91
85,94,26
85,0,5
85,61,43
85,16,14
85,50,94
85,18,91
85,14,3
85,3,6
85,60,40
85,95,66
85,25,10
85,53,26
85,64,94
85,28,66
85,8,15
85,33,8
85,58,61
85,17,61
85,9,83
85,30,38
85,75,77
85,78,90
85,7,58
85,49,43
85,86,70
85,40,61
85,31,17
85,11,52
85,54,6
85,57,1
85,79,94
85,26,77
85,73,38
85,59,94
85,2,12
85,81,70
85,99,43
85,5,2
85,24,94
85,36,33
85,82,52
85,27,43
85,15,4
85,98,40
85,20,47
85,13,52
85,12,61
85,84,17
85,62,70
85,77,29
85,63,66
85,93,29
85,1,15
85,35,66
85,76,94
85,42,77
4,69,22
4,67,54
4,65,3
4,88,49
4,74,94
4,94,18
4,0,1
4,39,19
4,61,1
4,16,50
4,50,34
4,38,69
4,18,68
4,14,6
4,68,55
4,3,6
4,34,30
4,60,1
4,25,25
4,53,74
4,28,52
4,89,49
4,8,15
4,29,15
4,33,7
4,58,46
4,21,31
4,17,63
4,47,100
4,9,9
4,55,28
4,30,36
4,87,60
4,75,9
4,92,79
4,78,55
4,6,37
4,7,46
4,49,89
4,86,83
4,22,50
4,48,9
4,70,31
4,31,86
4,56,42
4,11,18
4,54,15
4,57,28
4,26,1
4,73,84
4,59,59
4,2,6
4,81,86
4,23,25
4,80,81
4,5,4
4,32,61
4,24,24
4,97,39
4,36,7
4,51,74
4,41,5
4,37,27
4,82,19
4,15,68
4,98,82
4,20,77
4,13,68
4,12,3
4,84,43
4,62,10
4,63,44
4,93,13
4,72,8
4,1,10
4,35,18
4,52,94
4,76,13
4,46,69
4,96,91
69,65,10
69,83,74
69,88,62
69,0,19
69,39,10
69,38,65
69,14,97
69,68,38
69,3,89
69,34,7
69,60,30
69,25,57
69,28,57
69,89,20
69,8,28
69,29,26
69,21,12
69,47,10
69,9,22
69,55,33
69,30,27
69,6,28
69,7,49
69,22,8
69,48,1
69,40,65
69,70,1
69,56,67
69,11,79
69,54,40
69,26,33
69,59,49
69,2,5
69,23,1
69,80,79
69,5,79
69,32,31
69,24,47
69,43,38
69,97,1
69,51,62
69,41,41
69,37,7
69,13,89
69,12,8
69,62,48
69,63,38
69,72,12
69,1,12
69,35,54
69,76,82
69,46,79
69,96,70
67,83,88
67,88,28
67,74,88
67,94,28
67,0,3
67,39,45
67,61,9
67,16,100
67,50,45
67,38,80
67,18,100
67,14,11
67,68,44
67,3,54
67,25,88
67,53,65
67,28,88
67,89,21
67,8,71
67,29,18
67,33,15
67,21,88
67,47,38
67,9,100
67,55,74
67,30,45
67,78,36
67,6,26
67,7,16
67,22,50
67,40,16
67,56,1
67,11,65
