Source,Target,k
90,19,69
90,2,5
90,58,43
90,28,7
90,12,58
90,22,81
90,9,34
90,80,23
90,66,76
90,70,84
90,59,71
90,15,3
90,8,90
90,60,25
90,37,32
90,52,90
90,3,2
90,68,45
90,81,95
90,4,45
90,41,10
90,32,74
90,44,40
90,65,17
90,17,13
90,5,10
90,62,21
90,21,71
90,26,49
90,51,96
90,79,28
90,40,10
90,18,28
90,78,15
90,11,21
90,13,42
90,85,49
90,77,62
90,55,5
90,16,20
90,7,32
90,10,38
90,27,23
90,99,52
90,20,96
90,48,17
90,30,37
90,42,21
90,71,62
90,88,9
90,38,1
90,31,48
90,43,52
90,73,66
90,54,58
90,1,4
90,56,69
90,47,81
90,63,26
90,49,84
90,95,15
90,14,14
90,0,8
90,94,84
90,24,26
90,6,44
90,45,38
82,19,32
82,61,19
82,50,2
82,2,12
82,58,95
82,28,84
82,12,11
82,22,60
82,9,1
82,64,19
82,72,48
82,66,36
82,70,50
82,84,95
82,87,7
82,29,41
82,23,5
82,15,65
82,8,10
82,37,65
82,52,56
82,3,25
82,4,53
82,33,36
82,32,48
82,44,89
82,35,19
82,96,56
82,5,19
82,21,2
82,26,81
82,51,60
82,18,72
82,11,41
82,13,18
82,75,72
82,55,72
82,16,29
82,83,100
82,7,2
82,10,29
82,27,32
82,99,36
82,74,45
82,25,25
82,30,13
82,42,60
82,38,72
82,31,89
82,93,65
82,76,70
82,36,25
82,54,89
82,1,9
82,57,7
82,47,95
82,34,5
82,0,15
82,6,19
82,45,81
19,61,67
19,53,98
19,50,4
19,2,24
19,12,11
19,22,24
19,9,80
19,64,25
19,80,44
19,72,25
19,66,68
19,29,23
19,23,49
19,15,68
19,8,10
19,60,59
19,37,39
19,98,75
19,46,53
19,52,17
19,3,24
19,4,3
19,33,5
19,32,44
19,44,68
19,69,49
19,65,61
19,35,14
19,96,3
19,5,2
19,62,63
19,21,11
19,26,10
19,51,22
19,18,11
19,78,12
19,11,17
19,13,18
19,75,37
19,77,18
19,16,34
19,83,78
19,7,6
19,10,18
19,27,92
19,99,36
19,74,35
19,25,1
19,30,42
19,42,48
19,91,11
19,38,22
19,31,54
19,93,90
19,76,24
19,36,29
19,73,12
19,39,32
19,1,7
19,57,3
19,47,96
19,49,28
19,34,32
19,0,54
19,24,84
19,6,4
61,53,67
61,50,67
61,2,1
61,28,88
61,12,15
61,22,54
61,9,10
61,64,3
61,92,41
61,72,88
61,66,86
61,70,9
61,84,27
61,87,19
61,29,2
61,23,10
61,15,57
61,8,5
61,37,86
61,98,91
61,86,79
61,46,81
61,52,41
61,3,34
61,81,64
61,4,37
61,33,27
61,41,81
61,32,88
61,69,12
61,35,5
61,17,48
61,5,30
61,62,78
61,21,44
61,26,57
61,51,81
61,18,57
61,11,35
61,13,23
61,55,95
61,16,53
61,89,92
61,83,95
61,7,16
61,10,23
61,74,21
61,25,76
61,20,9
61,30,67
61,42,57
61,91,68
61,31,30
61,43,37
61,36,16
61,39,81
61,54,32
61,1,19
61,67,51
61,57,48
61,47,12
61,34,8
61,14,37
61,0,7
61,24,4
61,6,35
61,45,23
53,2,13
53,58,33
53,12,98
53,22,7
53,92,15
53,66,87
53,84,31
53,29,29
53,23,36
53,15,87
53,8,46
53,60,66
53,98,1
53,86,34
53,46,10
53,52,90
53,81,19
53,4,2
53,33,94
53,41,46
53,32,59
53,44,18
53,69,32
53,35,24
53,17,49
53,5,49
53,26,36
53,51,64
53,18,29
53,11,74
53,13,23
53,77,40
53,89,15
53,83,10
53,7,47
53,10,29
53,25,66
53,20,29
53,42,85
53,91,44
53,31,52
53,93,11
53,76,64
53,36,27
53,39,1
53,1,83
53,67,3
53,47,35
53,49,16
53,14,10
53,0,59
53,24,13
53,6,69
50,2,51
50,12,8
50,9,19
50,64,3
50,72,8
50,66,57
50,70,34
50,87,17
50,29,35
50,23,75
50,8,17
50,37,25
50,52,33
50,3,33
50,4,88
50,33,6
50,32,99
50,35,84
50,96,8
50,5,19
50,62,68
50,21,27
50,51,88
50,18,53
50,78,40
50,11,57
50,13,68
50,75,37
50,85,68
50,55,74
50,16,13
50,7,6
50,10,99
50,27,40
50,99,45
50,74,63
50,25,5
50,30,24
50,42,99
50,91,41
50,38,40
50,31,96
50,73,29
50,1,11
50,57,1
50,34,15
50,0,42
50,6,29
50,45,82
2,58,8
2,28,7
2,12,6
2,22,5
2,9,3
2,64,8
2,80,11
2,92,2
2,72,28
2,66,8
2,70,15
2,84,42
2,87,20
2,29,5
2,59,81
2,23,3
2,15,5
2,8,2
2,60,15
2,37,6
2,98,12
2,86,26
2,46,10
2,52,2
2,3,4
2,68,51
2,81,16
2,4,11
2,33,21
2,41,3
2,32,8
2,44,10
2,69,30
2,65,13
2,35,10
2,17,1
2,96,64
2,5,3
2,62,10
2,21,13
2,26,3
2,51,13
2,79,8
2,40,20
2,18,1
2,78,8
2,11,3
2,13,6
2,75,47
2,85,12
2,77,4
2,55,7
2,16,9
2,89,22
2,83,34
2,7,3
2,10,1
2,27,16
2,99,16
2,74,26
2,25,34
2,20,13
2,48,16
2,30,9
2,42,1
2,71,99
2,88,16
2,91,9
2,38,5
2,31,3
2,93,8
2,76,27
2,43,9
2,36,5
2,73,60
2,39,57
2,54,4
2,1,1
2,56,72
2,67,17
2,57,49
2,47,8
2,63,60
2,49,32
2,34,8
2,95,9
2,14,1
2,0,2
2,24,1
2,6,11
2,45,4
58,28,58
58,12,56
58,22,49
58,9,30
58,80,38
58,92,89
58,66,63
58,59,82
58,23,49
58,15,9
58,8,89
58,60,38
58,98,23
58,86,27
58,46,13
58,3,30
58,68,82
58,81,59
58,4,6
58,41,43
58,32,45
58,44,5
58,69,96
58,65,30
58,17,9
58,5,25
58,62,78
58,21,49
58,26,6
58,51,38
58,79,68
58,40,38
58,18,79
58,78,50
58,11,27
58,13,25
58,85,96
58,77,56
58,55,82
58,89,2
58,7,15
58,10,2
58,99,92
58,25,89
58,20,20
58,48,33
58,42,18
58,71,23
58,88,45
58,91,76
58,31,49
58,93,33
58,43,79
58,36,43
58,39,79
58,54,64
58,1,15
58,56,68
58,67,18
58,47,4
58,49,12
58,95,71
58,14,1
58,0,13
58,24,33
58,6,61
28,12,94
28,22,67
28,9,17
28,64,75
28,80,39
28,66,39
28,70,50
28,87,72
28,59,38
28,23,62
28,15,27
28,8,62
28,60,30
28,37,33
28,86,40
28,52,52
28,3,8
28,68,16
28,81,52
28,4,52
28,41,2
28,32,67
28,44,46
28,65,15
28,97,96
28,17,5
28,5,13
28,62,28
28,21,55
28,26,55
28,79,1
28,40,25
28,18,34
28,78,24
28,11,38
28,13,23
28,75,41
28,85,43
28,77,23
28,55,4
28,16,11
28,7,46
28,10,43
28,27,8
28,99,49
28,20,78
28,48,9
28,30,18
28,42,44
28,71,72
28,88,18
28,91,95
28,38,19
28,31,58
28,43,8
28,36,90
28,73,49
28,54,30
28,1,2
28,56,32
28,67,95
28,47,82
28,63,3
28,95,25
28,14,23
28,0,2
28,94,68
28,24,60
28,6,13
28,45,23
12,22,40
12,9,9
12,64,9
12,80,17
12,92,39
12,72,5
12,66,68
12,70,9
12,84,36
12,87,24
12,29,8
12,23,22
12,15,15
12,8,13
12,60,83
12,37,17
12,46,35
12,52,2
12,3,9
12,81,92
12,4,34
12,33,14
12,32,34
12,44,44
12,69,10
12,65,31
12,35,35
12,17,50
12,96,20
12,5,3
12,62,54
12,21,4
12,26,74
12,51,21
12,18,9
12,78,24
12,11,1
12,13,12
12,75,59
12,85,7
12,77,35
12,55,59
12,16,19
12,89,71
12,83,81
12,7,12
12,10,5
12,27,40
12,99,4
12,74,8
12,25,19
12,48,58
12,30,34
12,42,12
12,88,48
12,91,26
12,38,29
12,31,31
12,93,83
12,76,16
12,43,11
12,36,33
12,73,25
12,54,9
12,1,2
12,57,5
12,47,20
12,49,60
12,34,2
12,95,85
12,14,29
12,0,11
12,24,39
12,6,6
12,45,7
22,9,60
22,80,31
22,92,15
22,72,41
22,66,6
22,84,94
22,29,28
22,23,13
22,15,52
22,8,40
22,60,18
22,37,82
22,98,30
22,86,83
22,46,21
22,52,23
22,3,31
22,81,88
22,4,2
22,33,41
22,41,38
22,32,6
22,44,9
22,69,96
22,65,63
22,35,26
22,17,39
22,96,33
22,5,9
22,21,18
22,26,17
22,51,4
22,79,51
22,18,14
22,78,68
22,11,22
22,13,1
22,75,31
22,85,36
22,77,13
22,55,59
22,16,28
22,89,55
22,83,1
22,7,24
22,10,11
22,27,31
22,99,68
22,74,84
22,25,25
22,30,36
22,42,26
22,91,52
22,38,28
22,31,8
22,93,4
22,76,8
22,36,18
22,39,6
22,1,13
22,67,29
22,57,55
22,47,92
22,49,8
22,34,39
22,14,40
22,0,37
22,24,24
22,6,3
9,64,7
9,80,31
9,72,5
9,66,15
9,70,2
9,87,2
9,29,80
9,59,47
9,23,34
9,15,10
9,8,10
9,60,29
9,37,25
9,86,74
9,52,45
9,3,4
9,68,39
9,4,38
9,41,33
9,32,36
9,44,67
9,65,31
9,97,92
9,17,34
9,96,40
9,5,7
9,62,23
9,21,17
9,26,61
9,51,44
9,79,11
9,40,39
9,18,40
9,78,13
9,11,27
9,13,22
9,75,22
9,85,12
9,77,10
9,55,14
9,16,5
9,89,71
9,7,7
9,10,30
9,27,7
9,99,3
9,74,72
9,25,74
9,20,78
9,48,14
9,30,9
9,42,39
9,71,59
9,88,23
9,91,21
9,38,16
9,31,31
9,93,91
9,43,3
9,36,97
9,73,25
9,54,8
9,1,1
9,56,39
9,57,18
9,47,30
9,63,52
9,34,25
9,95,43
9,14,37
9,0,2
9,94,77
9,24,59
9,6,12
9,45,2
64,72,30
64,70,5
64,87,9
64,29,2
64,23,42
64,15,92
64,8,1
64,37,16
64,52,16
64,3,34
64,4,75
64,33,27
64,69,82
64,97,87
64,35,37
64,17,87
64,96,82
64,5,21
64,62,68
64,21,82
64,18,16
64,78,88
64,11,37
64,13,94
64,55,68
64,16,37
64,7,12
64,27,73
64,99,76
64,74,37
64,25,56
64,20,30
64,48,94
64,30,37
64,91,39
64,38,82
64,31,75
64,43,27
64,36,56
64,73,56
64,54,6
64,1,9
64,56,48
64,57,13
64,47,45
64,34,15
64,0,13
64,94,75
64,24,61
64,6,30
64,45,16
80,72,61
80,66,41
80,23,29
80,15,24
80,8,87
80,60,28
80,46,34
80,52,52
80,3,24
80,4,24
80,41,57
80,32,19
80,44,3
80,65,3
80,17,15
80,96,68
80,5,4
