Source,Target,k
74,99,16
74,46,21
74,39,88
74,86,81
74,0,28
74,7,21
74,41,60
74,59,10
74,87,61
74,17,3
74,58,98
74,63,93
74,12,36
74,19,34
74,3,31
74,13,41
74,16,5
74,6,75
74,18,18
74,65,12
74,8,81
74,15,77
74,56,8
74,37,18
74,5,54
74,21,90
74,81,80
74,75,86
74,25,75
74,50,73
74,73,55
74,51,51
74,10,32
74,29,38
74,1,70
74,28,6
74,9,11
74,40,2
74,24,55
74,11,13
74,27,18
74,4,55
74,36,97
74,30,17
74,60,46
74,64,35
74,80,82
74,34,29
74,94,35
74,35,58
74,26,15
74,90,60
74,2,6
74,69,91
74,66,16
74,47,83
74,85,34
74,48,68
74,23,24
74,22,40
74,88,1
74,62,4
74,91,7
74,33,92
74,43,41
99,46,77
99,7,53
99,89,79
99,41,35
99,59,27
99,17,3
99,58,55
99,12,49
99,3,91
99,18,15
99,65,24
99,71,19
99,56,22
99,37,6
99,75,37
99,73,33
99,51,44
99,10,64
99,28,7
99,9,10
99,40,1
99,11,13
99,27,37
99,60,56
99,64,30
99,80,37
99,34,59
99,26,28
99,2,59
99,84,80
99,69,75
99,66,40
99,48,72
99,23,30
99,97,50
99,62,13
99,33,99
99,43,8
54,31,30
54,57,61
54,39,58
54,98,93
54,0,3
54,7,22
54,89,36
54,41,4
54,78,95
54,87,84
54,17,54
54,76,71
54,20,18
54,58,78
54,63,47
54,12,1
54,19,20
54,77,66
54,3,8
54,67,67
54,83,59
54,13,2
54,16,24
54,6,9
54,38,45
54,18,72
54,65,92
54,8,15
54,15,28
54,42,53
54,55,39
54,44,32
54,32,19
54,37,53
54,5,9
54,21,27
54,25,20
54,50,38
54,51,46
54,10,5
54,29,62
54,1,12
54,28,25
54,9,29
54,24,41
54,11,17
54,27,25
54,4,16
54,36,7
54,30,69
54,34,72
54,49,62
54,72,17
54,35,50
54,26,81
54,90,69
54,2,12
54,84,40
54,82,38
54,61,78
54,45,47
54,69,67
54,66,99
54,47,44
54,48,50
54,23,14
54,22,9
54,14,23
54,52,85
54,33,62
54,43,35
31,57,9
31,39,38
31,0,10
31,68,58
31,7,18
31,89,25
31,41,38
31,59,72
31,78,91
31,87,53
31,17,29
31,76,17
31,20,11
31,58,33
31,63,66
31,12,16
31,19,41
31,77,85
31,3,7
31,67,21
31,83,23
31,13,5
31,16,32
31,6,12
31,38,42
31,18,22
31,65,84
31,8,6
31,15,18
31,42,27
31,71,93
31,56,79
31,55,55
31,44,38
31,32,1
31,37,65
31,5,1
31,21,7
31,81,92
31,25,4
31,50,46
31,73,67
31,51,18
31,10,21
31,29,25
31,1,3
31,28,40
31,9,17
31,53,32
31,40,63
31,24,23
31,11,20
31,27,39
31,4,9
31,36,43
31,79,95
31,30,54
31,70,78
31,60,88
31,64,50
31,34,29
31,49,20
31,72,39
31,94,94
31,35,55
31,26,44
31,90,55
31,2,27
31,82,3
31,61,20
31,45,5
31,69,79
31,66,70
31,47,14
31,85,25
31,96,73
31,48,25
31,23,23
31,22,25
31,14,15
31,52,69
31,33,10
31,43,61
93,57,29
93,89,66
93,59,95
93,17,52
93,58,9
93,3,61
93,83,1
93,18,13
93,8,34
93,71,3
93,56,93
93,32,28
93,75,15
93,73,16
93,51,95
93,9,38
93,40,59
93,11,64
93,60,31
93,34,48
93,72,100
93,84,60
93,45,67
93,96,3
93,62,50
93,33,6
93,43,42
46,39,48
46,0,94
46,68,8
46,7,22
46,59,10
46,17,27
46,58,45
46,63,90
46,12,64
46,19,13
46,3,16
46,13,46
46,16,17
46,18,5
46,65,18
46,8,65
46,15,80
46,42,75
46,56,46
46,32,77
46,37,6
46,5,75
46,21,64
46,81,10
46,25,70
46,50,20
46,51,78
46,10,43
46,29,85
46,1,84
46,28,15
46,9,3
46,53,87
46,40,21
46,24,58
46,11,23
46,27,1
46,4,70
46,30,2
46,60,76
46,64,18
46,80,3
46,34,49
46,72,76
46,35,30
46,26,9
46,90,21
46,2,7
46,69,20
46,47,34
46,48,98
46,23,51
46,88,12
46,97,47
46,62,25
46,91,1
46,33,75
46,43,36
57,39,61
57,0,52
57,7,72
57,41,76
57,17,49
57,20,82
57,58,71
57,12,45
57,19,99
57,3,1
57,67,65
57,83,10
57,13,20
57,16,40
57,6,47
57,18,10
57,8,16
57,15,78
57,42,99
57,71,51
57,56,94
57,32,8
57,37,85
57,5,7
57,21,59
57,25,6
57,51,24
57,10,38
57,29,68
57,1,61
57,28,28
57,9,13
57,53,68
57,40,28
57,24,34
57,11,14
57,27,57
57,4,46
57,79,4
57,30,89
57,60,22
57,64,71
57,34,50
57,49,58
57,72,88
57,35,93
57,26,31
57,2,43
57,45,4
57,69,11
57,47,38
57,85,70
57,96,80
57,23,20
57,97,24
57,14,92
57,33,5
57,43,57
39,0,11
39,68,19
39,7,3
39,41,71
39,59,79
39,87,36
39,17,45
39,76,68
39,20,17
39,58,74
39,63,10
