Source,Target,k
46,53,5
46,99,21
46,34,59
46,43,64
46,0,32
46,7,12
46,27,1
46,14,23
46,8,40
46,3,9
46,67,15
46,28,51
46,10,26
46,79,38
46,5,39
46,69,9
46,19,69
46,78,39
46,18,80
46,33,30
46,4,11
46,82,39
46,38,86
46,56,74
46,40,30
46,45,4
46,32,25
46,85,50
46,49,32
46,75,3
46,42,55
46,59,50
46,48,40
46,37,14
46,41,80
46,84,30
46,31,62
46,96,8
46,29,10
46,63,29
46,13,36
46,83,30
46,17,56
46,36,36
46,52,46
46,77,16
46,9,32
46,1,51
46,11,36
46,70,12
46,35,59
46,15,40
46,16,49
46,25,69
46,58,76
46,30,100
46,50,1
46,6,56
46,57,47
46,68,42
46,55,87
46,88,64
46,21,14
46,2,77
46,22,89
46,12,7
46,20,25
46,90,98
53,95,41
53,99,36
53,26,80
53,34,82
53,43,74
53,65,71
53,0,16
53,7,47
53,27,3
53,14,34
53,8,17
53,3,14
53,67,8
53,28,34
53,10,66
53,79,69
53,5,63
53,69,40
53,19,47
53,78,75
53,18,41
53,33,56
53,4,24
53,82,14
53,56,93
53,40,29
53,45,44
53,32,90
53,85,24
53,49,84
53,75,4
53,42,32
53,59,14
53,48,31
53,37,56
53,84,82
53,31,13
53,96,7
53,29,36
53,63,90
53,13,61
53,83,68
53,17,41
53,36,75
53,52,5
53,77,89
53,9,10
53,92,81
53,71,25
53,1,33
53,11,15
53,70,8
53,24,97
53,15,56
53,16,10
53,58,50
53,50,1
53,6,86
53,68,2
53,86,84
53,55,33
53,61,80
53,88,13
53,21,21
53,2,38
53,22,25
53,12,2
53,20,7
53,73,88
53,90,78
53,93,74
95,99,31
95,62,70
95,34,9
95,65,60
95,39,93
95,0,83
95,7,49
95,94,56
95,8,60
95,66,70
95,67,75
95,28,28
95,10,46
95,76,56
95,5,23
95,19,46
95,18,85
95,4,26
95,81,31
95,32,80
95,49,15
95,75,23
95,42,5
95,23,74
95,48,11
95,37,41
95,31,26
95,29,46
95,13,53
95,83,19
95,87,34
95,52,4
95,9,3
95,1,40
95,24,14
95,60,1
95,16,70
95,25,60
95,30,56
95,50,85
95,55,92
95,61,80
95,21,15
95,54,56
95,22,18
95,12,7
99,43,73
99,65,30
99,7,95
99,27,32
99,3,52
99,66,81
99,28,52
99,10,27
99,79,2
99,33,76
99,4,5
99,81,76
99,56,63
99,32,14
99,85,32
99,49,27
99,75,3
99,48,54
99,37,1
99,31,46
99,13,35
99,17,37
99,87,44
99,52,36
99,9,73
99,1,66
99,70,98
99,24,100
99,60,21
99,16,52
99,25,39
99,30,41
99,50,16
99,57,67
99,68,50
99,74,44
99,54,100
99,22,41
99,12,46
26,97,19
26,0,2
26,91,92
26,80,55
26,7,50
26,14,41
26,89,2
26,8,28
26,3,7
26,67,17
26,28,90
26,10,65
26,79,75
26,5,55
26,19,43
26,78,74
26,18,60
26,4,68
26,82,8
26,38,55
26,56,81
26,85,65
26,47,59
26,23,72
26,59,27
26,48,23
26,41,99
26,29,68
26,63,5
26,13,95
26,36,33
26,52,42
26,44,32
26,9,90
26,92,2
26,71,25
26,1,12
26,11,1
26,70,41
26,24,65
26,35,36
26,15,3
26,64,2
26,16,15
26,58,48
26,51,17
26,72,33
26,6,28
26,55,10
26,88,20
26,98,3
26,2,7
26,22,77
26,12,95
26,20,18
26,90,41
26,93,2
62,34,62
62,43,73
62,97,28
62,65,4
62,39,9
62,0,7
62,80,55
62,7,69
62,94,19
62,89,99
62,8,50
62,3,60
62,66,14
62,28,58
62,10,22
62,79,38
62,76,65
62,5,40
62,19,18
62,18,22
62,4,26
62,81,73
62,56,83
62,32,83
62,85,56
62,47,1
62,42,60
62,23,12
62,48,73
62,37,73
62,41,83
62,31,26
62,13,33
62,17,9
62,87,95
62,52,42
62,44,8
62,9,15
62,71,34
62,1,13
62,24,4
62,60,33
62,16,21
62,25,44
62,30,16
62,72,19
62,6,19
62,57,52
62,68,47
62,86,17
62,55,24
62,61,98
62,88,98
62,74,62
62,98,87
62,2,4
62,54,22
62,22,3
62,12,83
62,73,83
34,97,44
34,65,81
34,39,35
34,0,27
34,91,90
34,7,11
34,94,66
34,27,75
34,14,5
34,3,53
34,66,58
34,67,48
34,28,42
34,10,40
34,76,98
34,5,1
34,69,32
34,18,18
34,33,83
34,4,8
34,81,58
34,38,91
34,56,56
34,45,27
34,32,18
34,49,3
34,75,43
34,42,16
34,23,14
34,59,98
34,48,20
34,37,27
34,41,55
34,29,2
34,63,46
34,13,4
34,83,8
34,17,88
34,87,35
34,36,23
34,52,36
34,44,72
34,77,54
34,9,11
34,71,20
34,1,11
34,11,79
34,24,27
34,35,17
34,15,35
34,60,21
34,16,56
34,25,21
34,51,3
34,30,27
34,72,65
34,50,43
34,6,7
34,57,79
34,55,70
34,61,67
34,88,74
34,74,97
34,98,15
34,21,27
34,2,67
34,54,77
34,22,85
34,12,5
34,20,64
34,90,63
43,97,64
43,0,62
43,80,18
43,7,6
43,27,44
43,8,14
43,3,11
43,67,63
43,28,31
43,10,62
43,79,28
43,76,77
43,5,85
43,19,19
