Source,Target,k
26,50,14
26,11,1
26,21,10
26,68,71
26,32,15
26,40,68
26,4,59
26,14,7
26,77,6
26,83,67
26,78,4
26,23,98
26,59,5
26,41,67
26,73,11
26,89,39
26,38,18
26,64,45
26,37,46
26,98,65
26,49,36
26,29,18
26,30,80
26,69,18
26,24,91
26,47,26
26,56,16
26,2,3
26,55,46
26,3,38
26,6,27
26,15,18
26,17,92
26,75,70
26,13,48
26,61,37
26,95,38
26,25,23
26,60,11
26,53,13
26,57,2
26,0,91
26,31,57
26,80,13
26,66,10
26,46,15
26,91,39
26,93,12
26,18,4
26,72,32
26,42,47
26,52,58
26,36,39
33,50,93
33,11,65
33,21,43
33,5,3
33,85,15
33,4,4
33,12,10
33,14,43
33,96,32
33,77,68
33,51,2
33,22,58
33,23,94
33,34,50
33,59,20
33,41,6
33,16,31
33,64,30
33,37,69
33,49,43
33,63,34
33,7,74
33,84,15
33,30,77
33,24,17
33,87,58
33,47,82
33,10,25
33,79,61
33,2,21
33,3,24
33,6,50
33,19,5
33,15,41
33,62,61
33,39,17
33,17,29
33,97,54
33,13,76
33,82,75
33,25,27
33,90,68
33,76,55
33,0,15
33,66,76
33,46,88
33,71,98
33,20,11
33,93,54
33,1,16
33,65,4
33,42,84
33,36,7
50,11,21
50,21,100
50,5,19
50,32,30
50,12,47
50,14,1
50,78,78
50,23,42
50,59,89
50,41,11
50,73,28
50,89,7
50,38,51
50,92,2
50,64,19
50,63,77
50,7,74
50,29,6
50,69,81
50,47,83
50,2,8
50,55,9
50,3,91
50,15,11
50,39,30
50,17,26
50,75,37
50,95,17
50,82,86
50,25,93
50,53,64
50,57,20
50,31,51
50,80,87
50,66,26
50,93,3
50,18,3
50,72,5
50,70,41
50,42,4
50,52,3
11,21,14
11,27,94
11,5,90
11,68,97
11,32,5
11,40,46
11,4,69
11,12,90
11,14,5
11,77,2
11,83,61
11,78,8
11,23,66
11,34,39
11,59,6
11,41,42
11,73,11
11,89,40
11,38,2
11,92,56
11,64,29
11,49,18
11,29,11
11,54,26
11,30,49
11,69,10
11,24,36
11,47,11
11,67,46
11,56,4
11,2,2
11,55,38
11,3,34
11,6,24
11,15,12
11,62,83
11,39,47
11,17,46
11,97,76
11,75,93
11,13,29
11,61,34
11,95,38
11,25,18
11,60,10
11,53,6
11,57,2
11,0,33
11,31,31
11,80,4
11,66,8
11,46,3
11,20,46
11,91,31
11,93,8
11,18,3
11,72,30
11,42,39
11,52,55
11,36,68
21,27,88
21,5,57
21,8,41
21,68,84
21,32,54
21,40,31
21,4,95
21,14,27
21,77,17
21,83,22
21,78,7
21,23,99
21,34,40
21,59,8
21,41,54
21,73,53
21,38,39
21,92,63
21,64,86
21,37,34
21,98,57
21,49,3
21,84,68
21,54,1
21,30,99
21,69,72
21,24,16
21,47,27
21,67,9
21,56,21
21,2,55
21,9,72
21,3,9
21,6,3
21,15,38
21,94,88
21,39,93
21,97,36
21,13,71
21,61,4
21,25,5
21,60,6
21,53,88
21,57,41
21,0,80
21,80,26
21,66,76
21,46,18
21,71,87
21,20,28
21,91,34
21,93,27
21,1,88
21,65,61
21,81,11
21,36,21
27,5,88
27,58,7
27,8,5
27,68,98
27,40,1
27,4,31
27,12,55
27,88,78
27,96,41
27,35,3
27,51,80
27,83,61
27,22,49
27,34,76
27,41,68
27,38,2
27,16,62
27,37,37
27,45,14
27,98,24
27,48,59
27,7,43
27,30,18
27,69,48
27,24,5
27,67,52
27,10,9
27,79,89
27,9,40
27,3,81
27,6,9
27,19,5
27,94,40
27,62,46
27,99,4
27,44,65
27,13,1
27,61,52
27,28,16
27,25,93
27,60,14
27,76,40
27,0,6
27,31,29
27,80,36
27,46,80
27,20,12
27,91,2
27,1,2
27,86,65
27,65,22
27,43,53
27,81,29
5,58,67
5,8,65
5,85,8
5,40,20
5,4,35
5,12,2
5,88,41
5,14,32
5,96,16
5,35,96
5,51,9
5,83,17
5,22,57
5,23,29
5,59,86
5,41,2
5,92,5
5,16,20
5,64,6
5,45,38
5,63,1
5,48,90
5,7,1
5,29,78
5,84,3
5,30,5
5,69,68
5,24,74
5,87,1
5,47,61
5,10,61
5,79,60
5,2,12
5,55,64
5,9,78
5,3,10
5,6,88
5,19,27
5,15,50
5,62,21
5,39,1
5,44,82
5,17,1
5,97,92
5,75,12
5,13,50
5,61,64
5,82,25
5,25,20
5,53,81
5,90,3
5,76,51
5,57,88
5,0,12
5,31,24
5,80,23
5,66,39
5,71,42
5,20,76
5,93,30
5,1,17
5,74,4
5,72,54
5,86,100
5,70,12
5,65,20
5,43,20
5,42,45
5,52,16
5,36,30
58,8,25
58,68,65
58,40,81
58,4,25
58,12,82
58,88,69
58,96,85
58,35,18
58,22,59
58,16,49
58,37,77
58,45,21
58,48,23
58,7,28
58,30,49
58,10,1
58,79,74
58,9,17
58,3,90
58,6,48
58,19,59
58,94,24
58,62,9
58,99,49
58,44,6
58,13,37
58,28,18
58,76,36
58,0,2
58,20,18
58,1,5
58,86,77
58,65,22
58,43,20
8,85,23
8,68,2
8,40,35
8,4,12
8,12,79
8,88,77
8,96,36
8,35,1
8,83,35
8,22,19
8,34,53
8,16,9
8,37,11
8,45,27
8,63,29
8,48,4
8,7,16
8,84,48
8,54,71
8,30,9
8,24,14
8,87,71
8,47,94
8,67,3
8,10,17
8,79,39
8,9,5
8,3,8
8,6,3
8,19,56
8,94,4
8,62,13
8,99,10
8,44,11
8,17,71
8,97,85
8,75,61
8,13,14
8,61,9
8,28,4
8,25,30
8,60,20
8,90,40
8,76,34
8,0,6
8,31,31
8,80,38
8,20,51
8,91,23
8,1,1
8,74,25
8,86,2
8,65,9
8,43,9
8,81,5
8,36,16
85,68,32
85,4,59
85,12,11
85,88,94
85,51,79
85,83,20
85,22,62
85,23,12
85,34,20
85,16,81
85,64,49
85,37,100
85,63,59
85,48,10
85,7,8
85,84,5
85,54,53
85,24,96
85,87,44
85,47,55
85,2,47
85,9,35
85,3,1
85,6,51
85,39,7
85,17,17
85,97,23
85,75,69
85,61,3
85,82,32
85,25,55
85,53,66
85,90,69
85,0,2
85,71,19
85,1,16
85,74,17
85,86,55
85,65,69
85,43,81
85,36,49
68,4,10
68,35,32
68,22,16
68,23,65
68,16,47
68,37,13
68,45,42
68,48,30
68,7,24
68,24,58
68,47,90
68,67,31
68,10,59
68,9,3
68,3,6
68,6,1
68,94,65
68,44,61
68,97,52
68,13,47
68,61,25
68,28,9
68,25,30
68,60,86
68,53,7
68,0,5
68,31,26
68,20,34
68,1,19
68,74,98
68,86,91
68,43,42
68,81,65
68,36,71
32,12,71
32,14,8
32,77,57
32,83,8
32,22,89
32,23,6
32,34,3
32,59,42
32,73,54
32,89,26
32,38,6
32,92,56
32,64,8
32,29,3
32,54,45
32,47,7
32,56,31
32,2,1
32,55,54
32,3,29
32,6,52
32,15,2
32,39,60
32,17,24
32,97,25
32,75,42
32,13,83
32,61,50
32,95,11
32,82,89
32,25,58
32,53,1
32,57,24
32,0,97
32,31,62
32,80,6
32,66,8
32,46,34
32,93,53
32,18,7
32,72,44
32,42,25
32,52,27
40,4,46
40,12,31
40,88,55
40,35,44
40,83,67
40,22,73
40,59,57
40,41,12
40,38,2
40,92,35
40,16,9
40,45,12
40,98,10
40,63,41
40,7,31
40,30,13
40,69,12
40,24,39
40,67,88
40,10,39
40,9,78
40,3,76
40,6,7
40,19,16
40,62,55
40,99,8
40,39,72
40,44,85
40,17,99
40,13,2
40,28,13
40,25,46
40,60,37
40,90,84
40,0,24
40,31,4
40,80,7
40,46,38
40,20,26
40,91,18
40,93,46
40,1,17
40,70,72
40,65,29
40,43,31
40,81,46
4,12,20
4,88,22
4,14,90
4,96,12
4,35,44
4,77,46
4,51,7
4,83,46
4,22,11
4,23,40
4,34,76
4,59,94
4,41,26
4,38,30
4,16,5
4,64,41
4,37,80
4,45,31
4,63,13
4,48,31
4,7,47
4,30,76
4,69,35
4,24,17
4,47,14
4,67,34
4,10,1
4,79,24
4,2,67
4,9,4
4,3,25
4,6,33
4,19,11
4,94,49
4,62,1
4,99,26
4,44,6
4,17,54
4,97,30
4,75,13
4,13,4
4,61,87
4,28,24
4,82,21
4,25,84
4,60,12
4,53,25
4,76,3
4,0,4
4,31,4
4,80,22
4,66,58
4,46,71
4,20,14
4,91,34
4,1,3
4,74,53
4,86,13
4,70,85
4,65,8
4,43,1
4,42,77
4,36,16
12,88,75
12,14,34
12,51,18
12,83,14
12,22,34
12,23,5
12,34,36
12,59,62
12,41,4
12,38,39
12,92,12
12,16,15
12,64,13
12,45,23
12,63,16
12,48,86
12,7,7
12,30,82
12,69,66
12,24,61
12,87,56
12,47,46
12,10,43
12,79,42
12,2,19
12,9,14
12,3,9
12,6,89
12,19,97
12,15,26
12,62,10
12,39,3
12,44,93
12,17,1
12,97,30
12,75,29
12,13,48
12,61,69
12,28,23
12,25,2
12,53,30
12,90,84
12,76,73
12,0,4
12,31,13
12,80,30
12,66,70
12,71,97
12,20,11
12,93,85
12,1,10
12,74,47
12,86,62
12,70,13
12,65,86
12,43,9
12,42,39
12,52,46
12,36,48
88,96,23
88,83,30
88,22,24
88,23,44
88,41,73
88,38,24
88,16,72
88,45,97
88,63,61
88,48,32
88,7,16
88,10,13
88,2,56
88,9,7
88,6,85
88,39,81
88,44,55
88,17,37
88,97,68
88,75,63
88,13,27
88,82,75
88,76,10
88,0,2
88,31,49
88,80,91
88,20,88
88,1,72
88,74,83
88,86,65
88,70,59
14,77,40
14,83,28
14,78,30
14,23,16
14,34,90
14,59,11
14,41,19
14,73,7
14,89,12
14,38,66
14,92,8
14,64,7
14,49,42
14,63,75
14,29,4
14,54,94
14,69,25
14,47,18
14,56,25
14,2,3
14,55,9
14,3,39
14,15,1
14,39,14
14,17,11
14,75,46
14,95,10
14,25,30
14,53,13
14,57,5
14,31,62
14,80,26
14,66,11
14,46,53
14,93,1
14,18,4
14,72,8
14,42,2
14,52,15
14,36,76
96,35,46
96,51,24
96,22,52
96,41,62
96,38,52
96,16,6
96,45,61
96,7,13
96,30,7
96,24,9
96,87,29
96,10,8
96,9,61
96,6,61
96,19,2
96,17,88
96,97,91
96,13,76
96,76,50
96,0,3
96,31,28
96,20,29
96,91,54
96,1,39
96,74,24
96,86,65
96,70,91
96,65,35
96,43,79
35,51,99
35,83,88
35,22,45
35,59,73
35,16,83
35,37,2
35,98,36
35,48,63
35,7,72
35,84,9
35,30,7
35,24,21
35,87,47
35,47,65
35,67,14
35,10,24
35,79,66
35,9,83
35,3,21
35,6,5
35,19,7
35,94,10
35,62,40
35,99,32
35,44,90
35,13,13
35,61,20
35,28,69
35,25,79
35,60,67
35,90,91
35,76,77
35,0,14
35,31,98
35,71,64
35,20,99
35,91,11
35,1,14
35,86,51
35,65,6
35,81,6
35,36,13
77,78,52
77,34,42
77,59,1
77,73,9
77,37,100
