Source,Target,k
60,73,20
60,66,59
60,77,49
60,75,1
60,21,21
60,58,91
60,98,75
60,81,23
60,33,13
60,4,19
60,5,4
60,67,36
60,15,65
60,35,95
60,3,68
60,17,59
60,57,24
60,19,28
60,90,44
60,97,36
60,53,3
60,39,92
60,48,20
60,72,23
60,59,51
60,69,1
60,29,46
60,11,18
60,95,20
60,0,5
73,23,96
73,66,33
73,1,73
73,71,52
73,75,36
73,21,36
73,54,89
73,58,99
73,98,33
73,81,66
73,28,24
73,4,63
73,3,9
73,57,2
73,19,57
73,24,20
73,56,22
73,25,4
73,97,6
73,16,24
73,53,53
73,39,1
73,48,8
73,72,36
73,59,59
73,69,17
73,29,7
73,99,42
73,6,77
73,52,6
73,10,59
73,0,15
23,84,97
23,70,56
23,1,22
23,71,5
23,21,18
23,54,1
23,58,4
23,96,36
23,81,48
23,28,1
23,9,14
23,44,59
23,33,37
23,26,55
23,5,45
23,50,99
23,62,17
23,93,73
23,74,39
23,38,74
23,15,97
23,35,21
23,3,28
23,17,45
23,57,82
23,43,53
23,19,78
23,37,40
23,91,11
23,24,15
23,56,55
23,2,11
23,25,21
23,20,25
23,16,4
23,45,37
23,42,24
23,36,89
23,39,38
23,48,85
23,72,86
23,59,58
23,30,9
23,29,21
23,64,19
23,99,47
23,11,40
23,94,38
23,12,31
23,52,80
23,78,60
23,32,29
23,10,38
23,0,31
23,89,95
23,80,24
23,7,1
84,70,18
84,1,29
84,41,1
84,18,13
84,28,39
84,9,35
84,47,54
84,44,31
84,4,81
84,26,45
84,85,25
84,38,17
84,15,67
84,35,35
84,3,60
84,17,49
84,65,58
84,92,83
84,43,77
84,34,71
84,19,94
84,37,6
84,8,9
84,24,69
84,14,8
84,2,2
84,22,38
84,16,49
84,45,65
84,42,2
84,51,4
84,31,25
84,13,45
84,30,54
84,79,27
84,6,35
84,12,16
84,52,88
84,27,15
84,55,85
84,10,11
84,0,32
84,89,58
66,77,11
66,1,21
66,75,66
66,21,14
66,4,76
66,67,49
66,85,92
66,3,88
66,17,70
66,57,1
66,19,32
66,8,84
66,90,52
66,25,97
66,97,28
66,49,20
66,53,38
66,39,29
66,48,8
66,59,84
66,31,65
66,83,95
66,69,7
66,29,63
66,94,60
66,6,11
66,52,28
66,78,40
66,10,91
66,0,6
77,1,26
77,75,57
77,9,30
77,76,60
77,61,35
77,4,9
77,50,68
77,38,36
77,35,73
77,3,55
77,57,49
77,19,47
77,8,3
77,14,94
77,90,14
77,25,33
77,49,73
77,36,24
77,53,6
77,39,56
77,48,46
77,72,69
77,31,5
77,13,40
77,83,88
77,69,34
77,29,41
77,94,6
77,6,17
77,12,81
77,52,19
77,55,63
77,10,43
77,0,2
77,68,8
70,1,7
70,41,12
70,18,22
70,96,6
70,46,39
70,9,56
70,44,15
70,26,11
70,74,33
70,85,80
70,38,56
70,65,84
70,34,29
70,37,30
70,40,19
70,88,40
70,8,27
70,91,68
70,24,48
70,14,45
70,2,2
70,22,9
70,20,19
70,45,33
70,42,13
70,51,5
70,31,52
70,30,96
70,83,52
70,79,60
70,64,16
70,11,86
70,6,74
70,78,70
70,27,1
70,82,30
70,0,81
70,89,18
70,7,27
1,71,92
1,41,17
1,18,2
1,21,46
1,54,46
1,58,39
1,98,75
1,96,78
1,46,28
1,28,28
1,9,7
1,47,93
1,63,2
1,44,24
1,61,30
1,33,70
1,4,6
1,26,4
1,5,44
1,50,27
1,93,90
1,67,65
1,74,13
1,85,5
1,38,23
1,15,40
1,35,42
1,3,17
1,17,14
1,65,14
1,57,92
1,43,39
1,34,4
1,19,18
1,37,29
1,40,25
1,88,26
1,8,1
1,91,25
1,24,8
1,56,33
1,14,1
1,2,16
1,25,29
1,86,47
1,22,3
1,20,5
1,16,7
1,45,47
1,49,6
1,42,10
1,51,20
1,36,4
1,53,58
1,39,45
1,59,72
1,31,20
1,13,16
1,30,43
1,83,6
1,79,8
1,29,19
1,64,29
1,11,21
1,94,47
1,6,3
1,95,93
1,12,30
1,52,57
1,78,13
1,27,17
1,55,60
1,82,66
1,32,58
1,10,6
