Source,Target,k
77,54,3
77,51,95
77,3,40
77,18,78
77,76,21
77,9,67
77,42,72
77,29,60
77,14,19
77,87,13
77,28,43
77,59,41
77,15,68
77,11,31
77,6,31
77,45,9
77,46,15
77,38,78
77,95,14
77,74,59
77,35,58
77,5,23
77,90,46
77,0,11
77,80,30
77,1,26
77,92,92
77,25,8
77,7,9
77,43,50
77,13,39
77,40,5
77,22,13
77,2,54
77,26,51
77,16,57
77,36,94
77,21,2
77,81,23
77,8,1
77,32,62
77,4,3
77,39,36
77,12,11
77,62,98
77,75,62
77,10,19
77,27,47
77,19,18
54,51,51
54,17,34
54,3,9
54,48,44
54,18,27
54,76,44
54,9,12
54,66,73
54,55,79
54,42,91
54,29,33
54,14,23
54,85,66
54,20,87
54,28,28
54,37,55
54,33,47
54,59,76
54,98,88
54,23,54
54,15,7
54,11,13
54,6,15
54,45,58
54,46,67
54,38,46
54,95,71
54,30,98
54,35,38
54,5,10
54,47,65
54,90,23
54,0,6
54,80,49
54,1,17
54,99,92
54,92,7
54,24,51
54,25,14
54,7,5
54,43,51
54,13,37
54,40,35
54,22,26
54,2,16
54,56,93
54,26,22
54,16,30
54,36,40
54,21,4
54,81,12
54,8,1
54,49,89
54,32,42
54,4,2
54,39,23
54,12,3
54,41,74
54,75,12
54,10,8
54,27,23
54,94,21
54,19,11
51,17,18
51,72,25
51,3,5
51,48,60
51,18,27
51,52,75
51,76,50
51,9,2
51,66,23
51,55,62
51,96,26
51,29,29
51,31,59
51,14,71
51,58,81
51,20,100
51,37,3
51,59,25
51,98,42
51,23,58
51,15,20
51,11,14
51,6,15
51,46,36
51,30,92
51,35,66
51,88,82
51,5,15
51,0,13
51,1,11
51,92,92
51,24,8
51,25,33
51,7,12
51,43,74
51,34,78
51,13,25
51,68,30
51,40,46
51,22,44
51,2,23
51,56,16
51,26,65
51,16,52
51,63,57
51,36,49
51,21,50
51,81,79
51,8,4
51,49,34
51,32,42
51,4,22
51,39,66
51,12,21
51,41,46
51,75,68
51,10,1
51,27,15
51,19,6
17,3,7
17,48,82
17,18,55
17,52,35
17,9,5
17,66,16
17,55,60
17,96,87
17,42,26
17,29,64
17,31,13
17,14,31
17,85,29
17,58,38
17,20,8
17,53,99
17,28,64
17,86,95
17,84,8
17,37,38
17,33,33
17,59,1
