Source,Target,k
28,42,63
28,0,95
28,57,20
28,30,1
28,21,35
28,1,54
28,40,1
28,5,73
28,44,40
28,8,84
28,32,7
28,38,30
28,36,52
28,46,7
28,33,41
28,35,35
17,53,16
17,52,18
17,19,58
17,56,6
17,0,3
17,61,4
17,12,27
17,60,28
17,21,43
17,14,93
17,6,7
17,43,55
17,37,49
17,62,17
17,1,2
17,7,19
17,22,81
17,5,87
17,34,61
17,48,7
17,2,13
17,49,33
17,47,40
17,55,59
17,9,38
17,15,15
17,41,17
17,44,27
17,63,70
17,4,45
17,20,18
17,26,68
17,65,32
17,36,12
17,10,24
17,16,29
17,29,28
17,39,17
17,13,18
17,11,92
17,31,16
17,3,19
17,18,51
53,19,75
53,56,78
53,0,50
53,12,41
53,60,43
53,6,4
53,50,12
53,1,11
53,23,26
53,2,38
53,47,32
53,9,10
53,15,9
53,41,55
53,27,72
53,63,1
53,4,83
53,26,83
53,16,27
53,29,44
53,11,85
53,31,98
53,3,44
52,19,57
52,42,46
52,0,3
52,61,24
52,12,26
52,30,64
52,14,12
52,43,60
52,37,20
52,25,90
52,1,2
52,7,1
52,22,42
52,34,5
52,48,61
52,2,21
52,49,93
52,9,6
52,41,16
52,44,57
52,8,21
52,4,8
52,26,66
52,38,45
52,65,24
52,36,41
52,10,21
52,16,4
52,29,14
52,64,96
52,13,9
52,31,57
52,3,40
52,35,38
19,42,54
19,56,29
19,0,20
19,61,66
19,12,7
19,60,84
19,14,24
19,6,44
19,59,87
19,58,11
19,37,65
19,25,90
19,62,59
19,1,3
19,5,56
19,23,1
19,2,37
19,47,6
19,9,15
19,15,26
19,51,52
19,44,38
19,63,24
19,8,91
19,32,81
19,4,46
19,26,45
19,38,11
19,36,5
19,46,64
19,10,46
19,16,65
19,29,42
19,13,51
19,11,47
19,3,64
19,33,7
19,35,98
24,42,61
24,0,13
24,12,21
24,60,42
24,14,40
24,59,8
24,50,100
24,25,4
24,1,32
24,7,55
24,22,25
24,5,14
24,2,25
24,9,71
24,15,37
24,4,44
24,20,4
24,65,46
24,10,27
24,39,31
24,64,99
24,13,44
24,11,91
24,31,65
24,3,2
24,18,64
42,0,2
42,12,32
42,30,12
42,21,58
42,14,32
42,6,10
42,37,35
42,1,4
42,7,26
42,40,80
42,22,75
42,5,17
42,34,57
42,23,80
42,2,11
42,49,48
42,9,6
42,15,38
42,44,16
42,27,84
42,8,3
42,32,54
42,4,1
42,26,23
42,46,51
42,10,5
42,16,40
42,29,75
42,13,68
42,11,27
42,31,30
42,3,24
42,18,66
56,0,51
56,12,92
56,66,60
56,6,2
56,58,59
56,37,10
56,1,19
56,23,10
56,2,49
56,49,35
56,9,5
56,15,42
56,41,66
56,44,7
56,32,56
56,4,33
56,38,62
56,36,45
56,46,69
56,10,12
56,29,92
56,11,46
56,31,42
56,3,29
0,61,43
0,12,3
0,60,73
0,66,67
0,30,18
0,21,4
0,14,7
0,6,2
0,59,18
0,50,12
0,43,18
0,37,10
0,25,8
0,62,59
0,1,1
0,7,3
0,22,2
0,5,3
0,34,13
0,23,54
0,48,15
0,2,1
0,49,12
0,47,18
0,55,16
0,9,2
0,45,5
0,15,9
0,51,44
0,41,40
0,44,13
0,27,9
0,8,2
0,4,1
0,20,5
0,26,13
0,38,31
0,65,23
0,36,22
0,46,83
0,10,2
0,16,5
0,29,2
0,39,2
0,64,30
0,13,2
0,11,3
0,31,5
0,3,1
0,18,10
0,33,34
0,35,3
0,54,2
61,14,54
61,1,20
61,7,76
61,40,97
61,9,95
61,20,32
61,36,3
57,30,44
57,21,3
57,14,10
57,40,1
57,34,74
57,32,92
57,26,25
57,38,70
57,36,19
57,46,74
57,33,2
12,60,73
12,66,52
12,14,37
12,6,18
12,59,9
12,50,29
12,25,40
12,62,100
12,1,1
12,7,36
12,22,62
12,5,26
12,23,16
12,48,68
12,2,4
12,47,2
12,9,8
12,45,48
12,15,6
12,51,88
12,27,57
12,63,35
12,8,50
12,4,17
12,20,5
12,26,39
12,38,36
12,65,56
12,36,23
12,10,19
12,16,24
12,29,10
12,39,87
12,64,64
12,13,13
12,11,57
12,31,29
12,3,12
12,18,100
12,33,38
12,54,73
60,14,12
60,6,51
60,25,18
60,62,52
60,1,38
60,2,85
60,9,69
60,15,24
60,63,60
60,4,16
60,20,6
60,26,35
60,10,92
60,29,97
60,13,63
60,11,63
60,3,50
60,33,10
66,6,37
66,58,7
66,7,36
66,22,28
66,23,25
66,2,19
66,9,69
66,45,69
66,4,22
66,10,14
66,16,86
66,39,78
66,64,10
66,13,2
66,11,27
66,31,32
