Source,Target,k
92,30,89
92,18,44
92,10,94
92,70,82
92,25,29
92,6,49
92,57,63
92,11,84
92,49,6
92,93,55
92,78,59
92,33,10
92,5,2
92,24,54
92,15,10
92,66,16
92,9,12
92,28,66
92,87,48
92,4,77
92,51,19
92,52,97
92,3,20
92,39,45
92,96,55
92,41,31
92,35,75
92,45,22
92,81,71
92,50,31
92,0,5
92,12,77
92,16,8
92,55,40
92,61,68
92,80,66
92,68,4
92,44,41
92,75,84
92,73,3
92,13,20
92,23,77
92,1,15
92,98,81
92,58,6
92,27,51
92,42,49
92,17,1
92,65,89
92,7,84
92,89,46
92,63,12
92,37,51
92,38,68
92,19,8
92,56,72
92,76,37
92,21,41
92,22,24
92,40,75
92,8,18
92,36,57
92,2,16
92,84,51
92,79,94
92,46,12
92,95,27
92,29,37
30,18,7
30,14,9
30,91,67
30,10,4
30,31,10
30,70,22
30,25,74
30,6,38
30,11,2
30,34,2
30,20,16
30,5,29
30,24,1
30,15,18
30,66,92
30,9,13
30,28,45
30,26,44
30,4,4
30,51,77
30,88,71
30,52,1
30,3,15
30,39,47
30,96,86
30,41,46
30,35,19
30,45,34
30,81,71
30,50,27
30,60,79
30,0,6
30,59,9
30,12,8
30,16,51
30,97,67
30,55,62
30,61,69
30,82,78
30,80,10
30,64,54
30,44,46
30,85,9
30,43,23
30,13,55
30,23,78
30,1,3
30,53,99
30,27,89
30,42,50
30,17,38
30,94,13
30,90,75
30,83,86
30,47,16
30,67,40
30,7,18
30,62,41
30,63,39
30,37,100
30,38,30
30,19,88
30,56,14
30,32,61
30,76,32
30,21,34
30,22,80
30,74,24
30,54,43
30,40,77
30,71,76
30,86,27
30,8,11
30,99,31
30,2,20
30,79,39
30,46,37
30,95,76
30,48,60
30,29,28
30,72,87
30,77,39
18,14,20
18,91,51
18,10,30
18,31,43
18,70,40
18,25,24
18,6,32
18,57,16
18,11,11
18,49,61
18,34,10
18,20,23
18,33,69
18,5,6
18,24,6
18,15,64
18,66,22
18,9,9
18,28,54
18,87,53
18,26,33
18,4,2
18,51,24
18,88,50
18,52,3
18,3,20
18,39,39
18,96,62
18,41,14
18,35,4
18,45,2
18,50,16
18,60,10
18,0,9
18,59,22
18,12,27
18,16,3
18,55,54
18,61,82
18,82,54
18,80,18
18,68,45
18,64,67
18,44,40
18,75,26
18,85,26
18,43,47
18,73,23
18,13,22
18,23,73
18,1,1
18,53,75
18,58,84
18,27,42
18,42,16
18,17,34
18,94,27
18,65,51
18,90,75
18,83,55
18,47,11
18,67,12
18,7,7
18,89,97
18,62,72
18,63,82
18,37,16
18,38,34
18,19,64
18,56,2
18,32,84
18,76,15
18,21,5
18,22,16
18,74,44
18,54,73
18,40,78
18,71,23
18,86,16
18,8,25
18,36,44
18,2,3
18,84,66
18,79,10
18,46,13
18,95,53
18,48,28
18,29,45
18,72,43
18,77,78
14,91,4
14,10,4
14,31,8
14,70,61
14,25,40
14,6,14
14,57,9
14,11,3
14,34,21
14,20,14
14,33,47
14,5,24
14,24,13
14,15,40
14,66,62
14,9,1
14,28,1
14,87,51
14,26,48
14,4,1
14,51,23
14,88,35
14,52,8
14,3,8
14,39,2
14,96,11
14,41,76
14,35,24
14,45,55
14,81,80
14,50,37
14,60,21
14,0,5
14,59,30
14,12,15
14,16,45
14,55,54
14,61,20
14,82,31
14,80,5
14,64,6
14,75,48
14,85,15
14,43,18
14,73,76
14,69,34
14,13,6
14,23,48
14,1,8
14,53,21
14,58,17
14,27,4
14,42,53
14,17,34
14,94,61
14,65,28
14,90,26
14,83,20
14,47,54
14,67,11
14,7,24
14,62,66
14,63,5
14,37,68
14,38,21
14,19,32
14,56,18
14,32,74
14,21,11
14,22,57
14,74,20
14,54,4
14,40,14
14,71,21
14,86,4
14,8,15
14,36,86
14,99,46
14,2,35
14,84,34
14,79,21
14,46,48
14,48,10
14,29,58
14,72,94
14,77,97
91,10,1
91,31,48
91,6,35
91,57,76
91,11,69
91,34,31
91,20,1
91,33,11
91,5,51
91,24,46
91,15,87
91,9,30
91,28,33
91,87,91
91,4,8
91,51,99
91,52,98
91,3,5
91,39,43
91,96,51
91,35,19
91,81,100
91,60,56
91,0,48
91,12,20
91,55,63
91,61,46
91,82,12
91,80,45
91,64,16
91,85,43
91,43,24
91,69,56
91,13,14
91,23,9
91,1,40
91,53,43
91,58,59
91,27,32
91,17,28
91,65,94
91,90,10
91,83,5
91,67,77
91,7,26
91,62,37
91,63,37
91,38,59
91,56,100
91,32,87
91,21,37
91,22,94
91,74,3
91,54,14
91,40,42
91,86,20
91,8,20
91,2,91
91,48,11
91,77,75
10,31,2
10,70,19
10,25,44
10,6,29
10,57,86
10,11,12
10,34,2
10,93,45
10,20,3
10,78,58
10,33,22
10,5,41
10,24,9
10,15,5
10,9,4
10,28,12
10,26,29
10,4,7
10,51,55
10,88,35
10,52,17
10,3,2
10,39,19
10,96,36
10,35,17
10,45,55
10,81,34
10,50,79
10,60,40
10,0,6
10,59,3
10,12,1
10,16,86
10,97,76
10,55,8
10,61,41
10,82,11
10,80,14
10,68,84
10,64,21
10,44,59
10,85,4
10,43,8
10,69,65
10,13,35
10,23,17
10,1,16
10,53,25
10,98,84
10,58,40
10,27,63
10,42,50
10,17,25
10,94,44
10,65,50
10,90,38
10,83,32
10,47,53
10,67,59
10,7,17
10,62,2
10,63,1
10,37,77
10,38,4
10,19,71
10,56,23
10,32,37
10,76,59
10,21,52
10,22,45
10,74,3
10,54,7
10,40,27
10,71,48
10,86,21
10,8,3
10,99,9
10,2,23
10,84,18
10,79,24
10,46,25
