Source,Target,k
74,72,75
74,45,14
74,61,90
74,88,54
74,44,23
74,54,2
74,6,83
74,24,6
74,10,27
74,23,1
74,38,91
74,20,60
74,60,55
74,96,70
74,17,50
74,42,27
74,21,5
74,69,42
74,67,80
74,68,18
74,84,66
74,85,25
74,49,3
74,71,48
74,18,8
74,79,61
74,76,38
74,50,16
72,82,2
72,45,34
72,6,42
72,98,66
72,27,47
72,24,67
72,2,81
72,14,42
72,23,24
72,20,4
72,81,58
72,56,38
72,1,27
72,59,12
72,21,3
72,78,99
72,7,95
72,65,6
72,9,62
72,85,9
72,11,30
72,8,91
72,62,1
72,31,51
72,76,3
72,50,57
72,39,57
72,33,26
72,29,8
70,88,63
70,34,28
70,48,91
70,24,85
70,10,16
70,86,60
70,38,24
70,64,99
70,53,32
70,75,23
70,46,14
70,51,59
70,47,36
70,16,33
70,97,1
70,66,19
70,22,17
70,0,49
70,99,69
70,8,9
70,3,97
70,18,8
70,32,79
70,91,19
70,30,30
70,58,61
70,73,37
70,35,51
70,25,19
70,43,5
83,45,17
83,87,67
83,15,20
83,6,79
83,48,35
83,2,89
83,40,37
83,80,23
83,20,55
83,41,19
83,81,88
83,51,63
83,47,6
83,56,2
83,1,14
83,59,76
83,21,41
83,57,69
83,78,55
83,65,46
83,9,76
83,4,98
83,84,92
83,93,46
83,22,60
83,11,7
83,8,13
83,31,31
83,76,23
83,30,37
83,29,1
82,45,43
82,98,19
82,48,100
82,24,84
82,2,92
82,20,90
82,60,87
82,81,50
82,1,38
82,59,3
82,21,14
82,78,63
82,65,7
82,93,20
82,85,53
82,11,33
82,8,77
82,62,1
82,79,26
82,31,58
82,76,9
82,33,45
82,29,4
45,44,44
45,54,13
45,87,37
45,15,61
45,98,15
45,48,49
45,24,32
45,2,52
45,40,54
45,14,97
45,23,15
45,80,18
45,20,30
45,60,9
45,56,3
45,1,22
45,59,19
45,21,8
45,68,63
45,65,97
45,93,43
45,0,70
45,11,46
45,8,56
45,18,21
45,79,33
45,31,46
45,76,1
45,5,60
45,50,44
45,33,67
45,43,64
45,29,2
52,92,58
52,34,69
52,15,12
52,6,2
52,89,18
52,27,22
52,2,32
52,28,26
52,10,41
52,14,85
52,23,100
52,90,38
52,20,36
52,41,58
52,46,33
52,55,6
52,51,29
52,17,31
52,16,12
52,1,27
52,42,9
52,57,40
52,26,30
52,67,54
52,7,7
52,9,8
52,4,1
52,12,42
52,22,18
52,0,10
52,11,44
52,8,34
52,37,12
52,19,4
52,3,16
52,18,79
52,32,24
52,31,16
52,30,15
52,5,67
52,50,100
52,13,2
52,35,40
52,39,10
52,25,36
92,34,56
92,48,79
92,10,63
92,38,22
92,64,96
92,53,93
92,46,1
92,16,83
92,57,48
92,9,77
92,66,91
92,22,51
92,11,95
92,8,34
92,37,65
92,19,84
92,3,42
92,18,42
92,32,20
92,31,7
92,30,2
92,5,86
92,13,42
92,35,6
92,25,37
92,43,39
61,88,22
61,34,61
61,44,94
61,6,28
61,89,71
61,24,24
61,10,1
61,23,33
61,38,17
61,53,27
61,75,3
61,55,37
61,51,100
61,96,40
61,17,67
61,16,52
61,97,36
61,42,6
61,69,5
61,67,78
61,68,19
61,7,90
61,4,59
61,12,28
61,0,10
61,49,12
61,8,62
61,71,39
61,19,98
61,3,8
61,32,44
61,5,67
61,77,22
61,58,77
61,13,72
61,33,84
88,34,3
88,44,11
88,54,9
88,87,86
88,15,48
88,6,90
88,24,19
88,2,57
88,10,4
88,23,38
88,38,7
88,64,11
88,36,40
88,20,72
88,60,67
88,75,34
88,51,25
88,96,16
88,17,6
88,16,20
88,97,37
88,1,79
88,42,30
88,69,33
88,67,99
88,68,77
88,4,29
88,66,64
88,12,28
88,0,11
88,49,27
88,8,57
88,19,40
88,3,14
88,18,1
88,79,93
88,5,9
88,77,82
88,58,51
88,13,47
88,25,2
88,43,21
63,15,39
63,6,35
63,89,3
63,24,95
63,10,100
63,23,79
63,20,93
63,41,67
63,55,40
63,47,35
63,42,29
63,21,79
63,57,82
63,68,6
63,4,96
63,93,58
63,12,67
63,49,76
63,11,84
63,8,70
63,71,2
63,37,62
63,3,64
63,18,75
63,79,20
63,50,79
63,95,17
63,43,38
63,94,12
34,44,5
34,48,99
34,24,47
34,10,13
34,23,66
34,86,30
34,38,20
34,80,96
34,64,2
34,53,20
34,75,64
34,46,22
34,55,100
34,51,14
34,96,56
34,17,16
34,16,2
34,97,76
34,42,84
34,69,80
34,57,99
34,67,17
34,4,9
34,12,62
34,22,8
34,0,31
34,49,59
34,99,69
34,8,26
34,19,35
34,3,1
34,18,4
34,32,11
34,91,8
34,5,63
34,77,52
34,58,59
34,95,51
34,13,17
34,35,94
34,33,94
34,25,26
34,43,65
34,94,87
44,54,73
44,98,15
44,48,59
44,24,1
44,10,10
44,23,3
44,38,4
44,64,96
44,53,42
44,20,46
44,60,61
44,75,80
44,46,86
44,51,77
44,96,53
44,17,100
44,16,71
44,97,41
44,42,97
44,69,19
44,67,47
44,68,41
44,4,27
44,22,43
44,49,26
44,8,13
44,71,86
44,3,8
44,18,12
44,79,48
44,32,18
44,31,59
44,76,34
44,50,82
44,95,39
44,33,8
44,43,65
54,24,4
54,10,99
54,23,3
54,80,3
54,64,66
54,96,30
54,17,23
54,97,69
54,21,33
54,67,15
54,85,47
54,49,26
54,18,5
54,79,37
54,76,78
54,50,6
54,58,50
54,25,58
54,43,98
87,15,52
87,48,23
87,27,13
87,2,17
87,40,1
87,28,98
87,14,27
87,80,73
87,36,89
87,20,73
87,60,63
87,51,88
87,17,31
87,56,58
87,1,4
87,26,15
87,78,20
87,7,16
87,9,11
87,4,40
87,93,70
87,12,80
87,0,6
87,19,9
87,3,83
87,18,77
87,31,29
87,5,35
87,95,28
15,6,13
15,89,44
15,27,65
15,2,7
15,40,86
15,28,16
15,10,28
15,14,40
15,80,26
15,36,3
15,20,37
15,41,1
15,55,87
15,81,22
15,51,24
15,17,46
15,47,39
15,16,96
15,1,3
15,59,39
15,42,96
15,21,15
15,57,17
15,67,58
15,68,68
15,7,32
15,9,17
15,4,18
15,93,13
15,66,12
15,12,10
15,22,91
15,0,22
15,11,1
15,8,87
15,37,1
15,19,57
15,3,14
15,18,38
15,79,57
15,31,99
15,76,89
15,30,94
15,5,6
15,50,26
15,58,86
15,95,46
15,13,50
15,35,40
15,39,9
15,25,26
15,94,50
15,29,61
6,89,15
6,27,21
6,2,15
6,40,65
6,28,13
6,10,15
6,14,15
6,23,35
6,90,23
6,80,55
6,64,87
6,36,40
6,20,1
6,41,37
6,60,38
6,75,31
6,55,7
6,81,84
6,51,17
6,17,8
6,16,13
6,56,82
6,1,16
6,42,3
6,21,17
6,57,20
6,26,21
6,67,16
6,68,39
6,7,6
6,9,13
6,4,1
6,84,4
6,85,45
6,12,9
6,22,56
6,0,2
6,49,97
6,11,28
6,99,77
6,8,87
6,71,79
6,37,22
6,19,9
6,3,4
6,32,62
6,5,18
6,50,13
6,58,3
6,13,6
6,35,89
6,39,1
6,33,35
6,25,79
6,94,24
98,48,75
98,27,85
98,24,52
98,40,45
98,14,47
98,23,54
98,20,9
98,60,27
98,56,17
98,1,55
98,59,24
98,21,40
98,78,80
98,7,93
98,65,32
98,4,34
98,0,85
98,8,83
98,3,80
98,62,67
98,31,48
98,76,22
98,50,95
98,95,48
98,33,2
98,29,7
89,2,66
89,28,69
89,10,13
89,23,79
89,86,88
89,38,60
89,41,56
89,46,50
89,55,2
89,17,98
89,16,49
89,1,91
89,42,1
89,21,94
89,67,94
89,68,26
89,7,50
89,9,74
89,4,19
89,12,19
89,22,38
89,0,28
89,49,9
89,11,71
89,8,28
89,71,5
89,37,17
89,3,26
89,18,15
89,32,54
89,31,81
89,30,74
89,5,78
89,77,13
89,50,63
89,58,46
89,73,74
89,13,24
89,35,22
89,39,98
89,43,46
89,94,33
48,24,47
48,2,44
48,40,56
48,23,31
48,38,59
48,80,77
48,60,30
48,46,15
48,51,44
48,47,19
48,56,97
48,1,40
48,26,44
48,78,18
48,7,44
48,9,62
48,4,82
48,84,95
48,93,76
48,12,97
48,22,8
48,0,15
48,8,3
48,3,85
48,18,29
48,79,14
48,32,80
48,31,2
48,76,59
48,91,48
48,30,64
48,5,49
48,95,7
48,33,24
48,43,19
48,29,27
27,2,13
27,40,23
27,28,12
27,14,14
27,90,2
27,80,48
27,36,13
27,20,56
27,60,17
27,75,53
27,55,18
27,51,96
27,17,3
27,56,76
27,1,11
27,26,35
27,67,76
27,78,15
27,7,5
27,65,42
27,9,2
27,4,11
27,84,30
27,85,21
27,12,37
27,22,51
27,0,5
27,11,68
27,37,91
27,19,1
27,3,71
27,76,92
27,5,47
27,50,93
27,58,28
27,13,59
27,39,19
27,25,89
24,2,81
24,10,16
24,23,1
24,38,12
24,80,98
24,64,61
24,53,71
24,20,58
24,60,98
24,75,38
24,96,26
24,47,73
24,97,68
24,59,94
24,42,90
24,21,11
24,69,27
24,67,19
24,68,4
24,4,86
24,85,39
24,12,97
24,22,64
24,0,51
24,49,7
24,99,46
24,8,4
24,71,12
24,3,22
24,18,16
24,79,2
24,32,45
24,76,37
24,5,61
24,50,9
24,73,83
24,95,87
24,33,3
24,25,65
24,43,26
24,94,94
24,29,81
2,40,10
2,28,3
2,10,78
2,14,3
2,80,69
2,36,2
2,20,31
2,41,10
2,60,5
2,75,14
2,55,24
2,81,2
2,51,34
2,17,36
2,47,73
2,16,93
2,97,74
2,1,1
2,59,11
2,21,22
2,57,70
2,26,17
2,68,75
2,78,33
2,7,3
2,65,47
2,9,2
2,4,26
2,84,46
2,93,11
2,85,24
2,66,2
2,12,2
2,22,25
2,0,1
2,11,5
2,8,70
2,37,26
2,19,11
2,3,29
2,18,58
2,31,72
2,76,89
2,5,1
2,50,28
2,58,46
2,95,56
2,13,75
2,39,17
2,33,46
2,25,21
2,43,98
2,29,40
40,28,14
40,14,6
40,90,60
40,80,77
40,36,34
40,20,45
40,60,10
40,81,55
40,51,81
40,17,100
40,56,18
40,1,5
40,59,90
40,26,72
40,78,2
40,7,15
40,65,72
40,9,17
40,4,38
40,84,22
40,85,89
40,12,35
40,0,11
40,19,43
40,5,24
40,39,57
40,29,85
28,14,4
28,36,7
28,20,57
28,41,39
28,60,29
28,55,32
28,81,15
28,17,58
28,16,100
28,1,1
28,26,9
28,78,60
28,7,4
28,65,70
28,9,2
28,4,18
28,66,35
28,12,6
28,22,71
28,0,7
28,11,27
28,37,43
28,19,23
28,3,76
28,31,100
28,5,8
28,13,42
28,39,6
10,23,70
10,86,23
10,38,3
10,80,33
10,64,7
10,53,14
10,36,97
10,20,29
10,41,76
10,75,12
10,46,60
10,55,16
10,51,10
10,96,43
10,17,12
10,47,41
10,16,4
10,97,3
10,42,4
10,21,88
10,69,15
10,57,9
10,67,14
10,68,33
10,9,95
10,4,13
10,66,46
10,12,31
10,22,72
10,0,27
10,49,6
10,11,45
10,99,17
10,8,9
10,71,52
10,37,11
10,19,33
10,3,1
10,18,5
10,79,66
10,32,18
10,31,88
10,91,37
10,30,52
10,5,35
10,77,16
10,58,7
10,73,20
10,13,6
10,35,2
10,33,41
10,25,8
10,43,43
10,94,15
14,36,16
14,20,12
14,60,3
14,75,38
14,55,15
14,81,4
14,96,93
14,17,87
14,1,2
14,59,34
14,21,78
14,26,4
14,78,37
14,7,1
14,65,3
14,9,7
14,4,23
14,84,84
14,93,77
14,85,15
14,66,97
14,12,8
14,0,5
14,11,47
14,19,22
14,62,47
14,5,16
14,50,58
14,58,93
14,95,59
14,39,3
14,33,77
23,38,60
23,80,31
23,64,48
23,20,25
23,60,26
23,75,73
23,55,57
23,96,27
23,17,42
23,56,28
23,42,12
23,21,15
23,69,10
23,67,9
23,68,14
23,7,84
23,4,89
23,84,2
23,85,31
23,22,77
23,0,51
23,49,5
23,8,33
23,71,13
23,19,91
23,3,75
23,62,44
23,18,24
23,79,15
23,32,31
23,76,31
23,50,4
23,58,60
23,39,96
23,33,21
90,80,19
90,20,78
90,17,6
90,7,92
90,9,20
90,4,9
90,0,73
90,19,9
90,3,44
90,13,44
90,39,48
86,38,61
86,64,40
86,53,34
86,46,3
86,47,65
86,16,34
86,42,27
86,67,98
86,22,30
86,49,90
86,8,11
86,3,50
86,18,25
86,32,3
86,91,12
86,30,86
86,77,81
86,35,34
86,43,13
86,94,79
38,64,74
38,53,50
38,75,26
38,46,36
38,55,78
38,51,69
38,17,91
38,97,82
38,42,72
38,69,3
38,57,82
38,67,28
38,68,75
38,49,1
38,8,26
38,3,21
38,18,7
38,79,8
38,32,42
38,31,44
38,30,55
38,77,15
38,73,44
38,35,39
38,33,19
38,43,26
80,64,33
80,20,50
80,41,50
80,17,33
80,56,2
80,1,33
80,21,21
80,9,41
80,11,77
80,8,46
80,19,69
80,3,33
80,18,5
80,76,64
80,5,58
80,25,58
80,43,73
80,29,15
64,53,91
64,46,78
64,51,39
64,17,96
64,47,52
64,16,44
64,97,51
64,67,94
64,4,40
64,84,61
64,22,68
64,0,52
64,49,81
64,8,3
64,3,5
64,18,9
64,32,12
64,91,8
64,5,78
64,25,34
64,43,10
64,94,47
53,75,52
53,46,20
53,55,92
53,51,66
53,47,70
53,16,2
53,97,20
53,69,61
53,57,63
53,26,79
53,4,43
53,22,20
53,0,80
53,99,4
53,8,16
53,37,66
53,3,3
53,32,1
53,31,56
53,91,65
53,30,39
53,73,29
53,13,26
53,35,8
53,33,20
53,25,100
53,94,76
36,20,62
36,41,22
36,60,21
36,75,33
36,55,72
36,81,40
36,96,89
36,17,27
36,97,86
36,1,1
36,59,59
36,21,36
36,7,26
36,9,10
36,4,48
36,93,42
36,85,22
36,66,4
36,12,9
36,0,11
36,11,19
36,37,18
36,19,53
36,3,63
36,5,4
36,50,76
36,58,29
36,39,25
36,25,23
20,41,79
20,60,22
20,81,50
20,51,17
20,17,90
20,47,68
20,56,10
20,1,9
20,59,80
20,42,82
20,21,1
20,57,28
20,26,35
20,78,85
20,7,30
20,65,28
20,9,13
20,4,3
20,84,2
20,85,71
20,12,47
20,0,11
20,11,25
20,8,38
20,71,97
20,37,49
20,19,55
20,3,4
20,62,26
20,32,92
20,31,78
20,76,25
20,5,33
20,50,55
20,13,95
20,39,3
20,33,8
20,94,26
20,29,64
41,81,14
41,51,32
41,47,33
41,1,4
41,59,64
41,21,13
41,57,15
41,9,29
41,4,89
41,93,9
41,66,17
41,12,26
41,22,87
