Source,Target,k
25,11,45
25,54,57
25,45,57
25,1,11
25,72,44
25,74,71
25,90,36
25,16,8
25,71,47
25,6,64
25,29,61
25,80,74
25,18,24
25,51,6
25,28,56
25,78,65
25,48,10
25,63,40
25,68,31
25,44,70
25,97,79
25,13,29
25,79,1
25,60,89
25,21,77
25,88,36
25,30,64
25,52,78
25,47,85
25,38,15
25,81,35
25,92,16
25,31,94
25,95,50
25,15,96
25,34,3
25,56,75
25,46,13
25,14,29
25,37,74
25,87,26
25,76,8
25,98,98
25,67,93
25,26,25
25,61,49
25,12,60
25,4,27
25,10,52
25,8,5
25,27,57
25,75,20
25,66,7
25,94,22
25,23,39
25,82,20
25,62,23
25,85,26
25,5,6
25,70,4
25,89,1
25,2,33
25,36,43
25,35,27
25,93,86
25,59,2
25,40,1
25,99,32
25,73,88
25,24,33
25,55,57
25,0,18
11,54,17
11,45,15
11,32,39
11,1,5
11,3,43
11,74,2
11,90,13
11,16,4
11,20,32
11,6,2
11,29,37
11,77,53
11,57,79
11,9,6
11,18,44
11,28,38
11,78,4
11,63,98
11,22,3
11,68,5
11,97,41
11,13,1
11,79,16
11,60,24
11,21,20
11,88,23
11,30,9
11,52,19
11,47,52
11,38,34
11,81,83
11,95,3
11,69,2
11,17,62
11,15,26
11,39,42
11,34,75
11,56,18
11,46,39
11,33,61
11,14,21
11,98,75
11,86,84
11,67,63
11,26,17
11,61,32
11,50,37
11,64,21
11,12,30
11,4,40
11,10,68
11,49,30
11,96,68
11,8,17
11,42,36
11,27,25
11,19,76
11,75,3
11,66,42
11,23,69
11,91,15
11,62,28
11,65,36
11,5,8
11,58,6
11,41,70
11,70,76
11,89,71
11,2,8
11,36,64
11,7,13
11,35,48
11,93,36
11,59,63
11,53,49
11,40,83
11,99,40
11,73,81
11,24,49
11,55,54
11,0,25
54,45,29
54,32,52
54,1,16
54,3,9
54,90,91
54,16,13
54,20,45
54,6,23
54,80,21
54,77,16
54,57,63
54,9,2
54,18,9
54,28,6
54,78,97
54,48,67
54,22,38
54,44,29
54,13,41
54,79,66
54,60,77
54,21,27
54,88,20
54,30,36
54,52,44
54,47,1
54,31,23
54,95,92
54,17,50
54,15,57
54,39,67
54,34,40
54,33,47
54,43,13
54,14,46
54,37,69
54,86,29
54,26,60
54,61,100
54,50,59
54,64,62
54,12,32
54,84,51
54,4,11
54,10,19
54,49,8
54,96,10
54,8,57
54,42,99
54,19,12
54,75,73
54,66,62
54,23,23
54,62,92
54,85,37
54,65,78
54,5,4
54,58,63
54,41,17
54,2,2
54,36,32
54,7,5
54,35,33
54,83,80
54,93,57
54,59,80
54,53,27
54,40,84
54,24,7
54,55,23
54,0,41
45,1,7
45,72,77
45,3,72
45,74,56
45,16,2
45,20,54
45,6,27
45,29,65
45,80,76
45,77,87
45,57,77
45,9,13
45,18,5
45,51,91
45,28,42
45,78,19
45,48,42
45,63,98
45,22,54
45,68,23
45,97,10
45,13,48
45,79,74
45,60,27
45,21,33
45,30,8
45,52,19
45,47,6
45,38,41
45,31,60
45,95,24
45,69,100
45,17,90
45,15,78
45,39,52
45,34,27
45,46,86
45,33,67
45,43,86
45,14,16
45,86,5
45,67,52
45,26,3
45,50,47
45,64,37
45,12,24
45,4,60
45,10,22
45,49,95
45,96,14
45,8,4
45,27,23
45,19,78
45,75,63
45,66,16
45,23,36
45,91,8
45,85,92
45,65,20
45,5,1
45,58,12
45,41,65
45,2,10
45,36,72
45,7,33
45,35,82
45,59,91
45,53,85
45,99,89
45,24,67
45,55,20
45,0,41
32,1,31
32,72,65
32,3,1
32,74,91
32,90,41
32,16,97
32,71,83
32,20,9
32,6,18
32,29,82
32,80,71
32,77,9
32,57,57
32,9,4
32,18,41
32,28,61
32,22,5
32,68,85
32,44,44
32,13,48
32,60,59
32,21,8
32,88,69
32,30,27
32,52,27
32,47,35
32,31,45
32,69,38
32,17,27
32,15,18
32,39,23
32,56,8
32,33,17
32,43,5
32,14,16
32,37,36
32,98,88
32,86,93
32,26,32
32,61,55
32,50,62
32,64,23
32,12,13
32,84,9
32,4,27
32,10,13
32,49,33
32,96,40
32,8,66
32,42,4
32,19,7
32,75,54
32,23,27
32,91,96
32,62,37
32,85,37
32,65,97
32,5,39
32,58,68
32,41,19
32,89,96
32,2,2
32,36,13
32,7,12
32,35,80
32,83,46
32,93,46
32,53,5
32,99,26
32,73,11
32,24,80
32,55,73
32,0,3
1,72,33
1,3,29
1,74,4
1,90,72
1,16,6
1,71,31
1,20,11
1,6,1
1,29,1
1,80,87
1,77,55
1,9,9
1,18,34
1,51,50
1,28,54
1,78,18
1,48,30
1,63,59
1,22,38
1,68,2
1,97,11
1,13,3
1,79,4
1,60,2
1,21,4
1,88,28
1,30,14
1,52,7
1,47,22
1,38,4
1,81,39
1,92,28
1,95,18
1,69,9
1,17,18
1,15,24
1,39,67
1,34,25
1,56,16
1,46,8
1,33,80
1,43,86
1,14,4
1,37,64
1,87,88
1,76,73
1,98,9
1,86,66
1,67,41
1,26,8
1,61,44
1,50,18
1,64,12
1,12,37
1,4,38
1,10,6
1,96,93
1,8,1
1,42,24
1,27,7
1,75,5
1,66,32
1,94,24
1,23,9
1,91,19
1,62,48
1,85,18
1,65,35
1,5,3
1,58,15
1,41,44
1,89,11
1,2,3
1,36,29
1,7,64
1,35,78
1,59,55
1,53,50
1,40,16
1,99,3
1,73,55
1,24,89
1,55,46
1,0,6
72,3,54
72,16,36
72,71,18
72,20,15
72,6,32
72,29,24
72,9,65
72,18,25
72,51,12
72,28,4
72,48,34
72,63,14
72,97,69
72,13,90
72,79,26
72,47,72
72,38,77
72,81,86
72,92,67
72,31,47
72,17,1
72,15,19
72,34,57
72,56,44
72,46,54
72,43,60
72,14,37
72,37,38
72,87,26
72,76,42
72,98,58
72,67,20
72,26,16
72,61,24
72,50,3
72,12,83
72,4,2
72,10,4
72,8,47
72,42,62
72,27,11
72,94,51
72,23,9
72,85,55
72,65,35
72,5,64
72,2,94
72,36,38
72,7,77
72,35,7
72,93,19
72,59,94
72,40,86
72,99,6
72,73,18
72,24,10
72,55,81
72,0,6
3,74,77
3,90,7
3,16,48
3,20,10
3,6,14
3,29,92
3,80,3
3,77,2
3,57,12
3,9,1
3,18,22
3,51,88
3,28,27
3,48,83
3,22,3
3,44,8
3,13,31
3,60,32
3,21,9
3,88,3
3,30,8
3,52,20
3,47,7
3,31,8
3,69,32
3,17,43
3,15,15
3,39,6
3,34,12
3,56,3
3,33,2
3,43,1
3,14,24
3,37,11
3,87,84
3,86,20
3,26,20
3,61,29
3,50,49
3,64,19
3,12,5
3,84,2
3,4,21
3,10,20
3,49,4
3,96,5
3,8,73
3,42,4
3,19,1
3,75,24
3,23,33
3,91,64
3,62,18
3,85,14
3,65,38
3,5,25
3,58,92
3,41,2
3,70,89
3,89,76
3,2,2
3,36,6
3,7,1
3,35,22
3,83,11
3,93,15
3,53,1
3,99,32
3,73,10
3,24,22
3,55,7
3,0,5
74,16,35
74,20,17
74,6,3
74,29,8
74,77,95
74,9,33
74,28,97
74,78,10
74,22,32
74,68,30
74,97,27
74,13,1
74,79,37
74,60,5
74,21,23
74,30,69
74,52,41
74,38,28
74,95,7
74,69,8
74,17,49
74,15,16
74,39,48
74,34,82
74,56,44
74,46,20
74,14,9
74,98,20
74,67,46
74,26,55
74,61,85
74,50,64
74,64,33
74,4,77
74,10,65
74,8,6
74,42,43
74,27,10
74,75,36
74,66,82
74,94,98
74,23,61
74,91,25
74,62,77
74,65,88
74,5,20
74,58,7
74,2,28
74,7,49
74,99,75
74,0,14
90,16,30
90,20,98
90,6,53
90,57,9
90,9,36
90,18,35
90,78,65
90,22,9
90,68,57
90,44,9
90,13,13
90,79,91
90,21,44
90,88,8
90,30,4
90,47,93
90,95,50
90,69,20
90,15,25
90,39,46
90,34,46
90,33,18
90,43,66
90,14,50
90,26,64
90,64,46
90,12,5
90,84,85
90,49,58
90,8,36
90,42,63
90,19,58
90,75,53
90,66,25
90,91,64
90,62,24
90,5,3
90,41,1
90,70,15
90,2,6
90,36,82
90,7,2
90,59,64
90,53,66
90,40,51
90,55,44
90,0,40
16,20,55
16,6,6
16,29,41
16,80,35
16,77,68
16,9,24
16,18,4
16,51,33
16,28,17
16,78,13
16,48,34
16,63,62
16,22,46
16,68,11
16,44,78
16,97,25
16,13,13
16,79,5
16,60,26
16,21,28
16,88,53
16,30,17
16,52,22
16,47,12
16,38,18
16,92,24
16,31,58
16,95,14
16,69,57
16,17,67
16,15,43
16,39,74
16,34,9
16,56,89
16,46,28
16,43,92
16,14,20
16,98,77
16,86,50
16,67,37
16,26,20
16,61,74
16,50,42
16,64,22
16,12,30
16,4,33
16,10,23
16,49,70
16,96,42
16,8,2
16,27,9
16,19,82
16,75,30
16,66,12
16,23,11
16,91,6
16,62,28
16,85,58
16,65,52
16,5,1
16,58,16
16,41,70
16,70,85
16,2,10
16,36,67
16,7,26
16,35,31
16,93,54
16,59,48
16,40,61
16,99,20
16,73,58
16,24,16
16,55,40
16,0,33
71,20,42
71,6,70
71,29,10
71,18,63
71,51,17
71,28,67
71,48,52
71,63,2
71,79,54
71,38,61
71,81,1
71,92,33
71,17,2
71,15,57
71,56,70
71,46,44
71,14,57
71,37,11
71,87,6
71,76,5
71,98,19
71,67,57
71,61,31
71,50,25
71,4,11
71,10,4
71,8,75
71,42,88
71,27,70
71,94,4
71,23,20
71,85,5
71,65,90
71,89,25
71,36,31
71,35,67
71,40,20
71,99,26
71,73,37
71,24,77
71,0,6
20,6,7
20,29,17
20,80,17
20,77,28
20,57,83
20,9,2
20,18,54
20,51,39
20,28,21
20,78,81
20,48,38
20,63,69
20,22,25
20,68,61
20,44,99
20,97,65
20,13,20
20,79,79
20,60,17
20,21,7
20,30,38
20,52,16
20,47,24
20,92,85
20,31,47
20,95,86
20,69,65
20,17,4
20,15,12
20,39,15
20,34,59
20,56,5
20,46,52
20,33,51
20,43,42
20,14,4
20,37,24
20,87,74
20,98,23
20,86,50
20,67,39
20,26,33
20,61,16
20,50,17
20,64,34
20,12,22
20,84,46
20,4,3
20,10,4
20,49,58
20,96,56
20,8,32
20,42,14
20,27,38
20,19,32
20,75,21
20,94,52
20,23,19
20,91,77
20,62,69
20,85,48
20,65,7
20,5,30
20,58,27
20,41,55
20,2,12
20,36,9
20,7,26
20,35,19
20,93,25
20,53,30
20,99,44
20,73,51
20,24,47
20,0,1
6,29,7
6,80,69
6,77,20
6,9,3
6,18,42
6,51,92
6,28,38
6,78,22
6,63,65
6,22,6
6,68,9
6,97,13
6,13,1
6,79,12
6,60,1
6,21,5
6,88,20
6,30,11
6,52,6
6,47,27
6,38,25
6,81,83
6,31,77
6,95,16
6,69,7
6,17,23
6,15,23
6,39,12
6,34,68
6,56,12
6,46,28
6,33,46
6,43,68
6,14,7
6,37,61
6,98,23
6,86,72
6,67,44
6,26,14
6,61,27
6,50,9
6,64,2
6,12,24
6,84,62
6,4,29
6,10,12
6,49,87
6,96,77
6,8,7
6,42,7
6,27,14
6,19,39
6,75,9
6,23,28
6,91,9
6,62,41
6,85,40
6,65,10
6,5,20
6,58,7
6,41,41
6,89,41
6,2,4
6,36,32
6,7,30
6,35,55
6,93,38
6,53,22
6,40,97
6,99,5
6,73,63
6,24,61
6,55,40
6,0,5
29,9,45
29,18,75
29,51,23
29,28,70
29,78,56
29,48,62
29,63,13
29,68,39
29,97,1
29,13,30
29,79,21
29,60,18
29,21,33
29,52,39
29,38,6
29,81,10
29,92,5
29,95,86
29,17,11
29,15,28
29,34,77
29,56,36
29,46,5
29,14,4
29,37,68
29,87,77
29,76,85
29,98,1
29,67,5
29,26,68
29,61,32
29,50,4
29,64,51
29,4,30
29,10,9
29,8,7
29,42,70
29,27,2
29,75,80
29,66,95
29,94,10
29,23,12
29,91,72
29,85,32
29,65,27
29,5,46
29,58,17
29,89,90
29,2,40
29,36,85
29,35,79
29,40,63
29,99,18
29,24,95
29,0,4
80,77,29
80,57,8
80,9,60
80,18,38
80,51,27
80,28,32
80,48,46
80,22,79
80,44,20
80,13,74
80,60,70
80,21,53
80,88,34
80,30,46
80,52,66
80,47,67
80,31,6
80,15,36
80,39,6
80,34,2
80,56,91
80,33,38
80,43,14
80,14,46
80,37,28
80,86,44
80,26,79
80,61,94
80,64,92
80,12,14
80,84,42
80,4,12
80,10,53
80,49,10
80,96,29
80,19,9
80,66,62
80,23,79
80,82,25
80,62,16
80,85,83
80,65,79
80,5,49
80,41,36
80,70,96
80,2,18
80,36,63
80,7,10
80,35,21
80,83,55
80,53,18
80,40,86
80,24,25
80,55,63
80,0,4
77,57,32
77,9,12
77,18,63
77,28,49
77,22,5
77,44,58
77,13,50
77,60,50
77,21,13
77,88,87
77,30,30
77,52,18
77,47,42
77,31,14
77,69,73
77,17,62
77,15,39
77,39,10
77,34,98
77,56,72
77,33,5
77,43,6
77,14,25
77,37,64
77,86,34
77,26,42
77,50,83
77,64,26
77,12,21
77,84,29
77,4,53
77,10,38
77,49,22
77,96,18
77,42,24
77,19,2
77,23,45
77,62,85
77,65,61
77,5,50
77,58,95
77,41,14
77,2,11
77,36,40
77,7,8
77,35,82
77,83,34
77,93,61
77,53,1
