Source,Target,k
65,2,36
65,62,88
65,86,97
65,42,66
65,48,13
65,5,19
65,94,33
65,91,66
65,73,45
65,20,21
65,19,23
65,15,88
65,6,1
65,84,11
65,92,43
65,39,2
65,90,2
65,4,18
65,83,8
65,0,64
65,22,24
65,97,30
65,1,66
65,68,7
65,41,15
65,3,51
65,67,24
65,60,48
65,53,46
65,50,26
65,43,72
65,8,90
65,9,22
65,78,9
65,96,42
65,52,2
65,49,33
65,75,48
65,77,42
65,74,80
65,31,57
65,76,49
65,14,17
10,2,30
10,57,54
10,82,46
10,29,20
10,95,66
10,48,32
10,17,89
10,5,13
10,44,4
10,63,25
10,79,11
10,45,46
10,20,36
10,15,40
10,66,77
10,47,13
10,13,2
10,26,19
10,92,28
10,39,48
10,90,18
10,4,34
10,0,3
10,22,6
10,97,42
10,1,11
10,68,48
10,98,38
10,51,24
10,3,70
10,12,18
10,23,37
10,18,10
10,24,4
10,11,8
10,36,32
10,46,32
10,7,26
10,43,2
10,93,63
10,99,74
10,35,22
10,8,36
10,87,38
10,9,14
10,89,29
10,33,7
10,78,88
10,58,42
10,52,70
10,75,96
10,77,24
10,69,1
10,32,36
10,74,8
10,76,14
10,14,70
10,34,1
10,27,46
10,16,4
10,59,1
2,70,49
2,55,23
2,88,37
2,62,36
2,37,23
2,80,16
2,86,94
2,95,10
2,42,48
2,48,75
2,54,1
2,30,13
2,5,21
2,44,18
2,28,4
2,40,16
2,94,8
2,91,22
2,63,38
2,73,32
2,79,71
2,20,5
2,19,30
2,15,45
2,72,29
2,6,5
2,13,67
2,84,25
2,92,1
2,56,23
2,39,24
2,90,25
2,4,1
2,83,31
2,61,17
2,25,15
2,0,60
2,22,4
2,97,86
2,1,52
2,68,14
2,41,8
2,98,22
2,71,30
2,3,3
2,67,32
2,18,70
2,60,37
2,53,37
2,11,80
2,50,78
2,7,30
2,43,49
2,99,94
2,35,3
2,8,4
2,9,3
2,85,4
2,78,30
2,96,69
2,38,27
2,52,15
2,49,14
2,75,30
2,69,56
2,32,7
2,74,75
2,21,18
2,31,12
2,76,25
2,14,7
2,34,95
2,27,22
2,16,43
2,59,31
70,57,29
70,82,7
70,29,82
70,81,72
70,86,59
70,42,2
70,48,69
70,17,29
70,5,65
70,91,9
70,73,16
70,79,78
70,19,27
70,15,11
70,72,13
70,66,37
70,13,31
70,26,54
70,84,52
70,39,12
70,0,15
70,22,42
70,1,35
70,98,22
70,3,97
70,12,88
70,23,46
70,60,27
70,11,24
70,50,87
70,7,1
70,99,14
70,35,89
70,87,54
70,9,3
70,89,40
70,78,29
70,58,94
70,49,84
70,75,23
70,76,74
70,14,8
70,16,16
57,82,3
57,29,28
57,81,18
57,42,59
57,48,90
57,17,9
57,5,66
57,63,84
57,79,57
57,45,86
57,15,35
57,72,50
57,66,7
57,47,37
57,13,5
57,26,22
57,0,14
57,1,21
57,98,54
57,12,3
57,23,1
57,18,70
57,24,39
57,11,12
57,64,8
57,36,25
57,46,43
57,7,19
57,99,4
57,87,1
57,9,72
57,89,27
57,33,34
57,78,65
57,58,4
57,69,69
57,76,89
57,14,98
57,34,78
57,16,23
57,59,57
55,88,8
55,62,60
55,37,5
55,80,9
55,54,15
55,30,4
55,28,7
55,40,23
55,94,78
55,91,81
55,20,57
55,6,5
55,84,84
55,92,75
55,56,5
55,4,51
55,83,68
55,61,1
55,25,23
55,71,8
55,3,18
55,67,40
55,60,29
55,53,35
55,8,62
55,85,45
55,96,45
55,38,15
55,49,43
55,32,43
55,21,3
55,31,20
55,27,64
88,37,3
88,80,72
88,54,28
88,30,2
88,28,33
88,40,44
88,94,69
88,20,52
88,6,6
88,84,42
88,92,97
88,56,15
88,4,27
88,61,11
88,25,17
88,71,7
88,3,8
88,67,25
88,60,55
88,53,50
88,8,92
88,9,87
88,85,66
88,96,59
88,38,30
88,49,28
88,32,42
88,21,1
88,31,17
88,27,84
82,29,72
82,81,52
82,42,28
82,48,30
82,17,16
82,5,99
82,45,76
82,15,83
82,66,33
82,47,12
82,13,2
82,26,70
82,39,73
82,90,69
82,0,1
82,22,96
82,97,99
82,1,31
82,51,92
82,12,14
82,23,8
82,24,31
82,11,27
82,64,76
82,36,86
82,7,4
82,93,88
82,99,7
82,87,16
82,9,49
82,89,10
82,78,99
82,58,9
82,75,46
82,14,52
82,34,88
82,16,58
82,59,80
29,81,18
29,42,68
29,17,9
29,5,13
29,44,47
29,63,7
29,79,99
29,45,17
29,15,9
29,66,46
29,47,28
29,13,39
29,26,1
29,92,90
29,0,15
29,22,18
29,1,8
29,98,34
29,51,75
29,12,3
29,23,5
29,18,22
29,24,11
29,11,2
29,64,9
29,36,4
29,50,11
29,46,4
29,7,42
29,43,68
29,35,51
29,8,76
29,87,16
29,9,96
29,89,36
29,33,11
29,58,10
29,52,86
29,77,20
29,69,5
29,74,26
29,76,29
29,34,21
29,27,54
29,16,16
29,59,32
62,37,45
62,80,40
62,95,5
62,54,13
62,44,62
62,28,57
62,40,22
62,94,59
62,63,74
62,73,88
62,20,2
62,6,40
62,84,72
62,92,75
62,4,10
62,83,9
62,61,40
62,25,3
62,68,55
62,41,49
62,3,15
62,67,5
62,53,4
62,43,79
62,8,37
62,85,9
62,96,32
62,38,93
62,52,61
62,49,38
62,32,90
62,21,55
62,31,2
62,27,25
81,42,25
