Source,Target,k
34,48,33
34,97,11
34,2,33
34,33,62
34,26,72
34,96,3
34,8,51
34,81,33
34,59,72
34,60,96
34,91,52
34,23,11
34,19,79
34,44,28
34,7,1
34,18,26
34,75,28
34,89,39
34,17,22
34,12,26
34,92,52
34,9,4
34,98,48
34,70,58
34,54,44
34,14,35
34,28,48
34,43,57
34,10,11
34,11,58
34,32,37
34,29,42
34,78,13
34,57,90
34,24,10
34,61,99
34,55,49
34,72,58
34,47,66
34,3,8
34,41,1
34,50,53
34,64,24
34,15,16
34,1,15
34,42,51
34,16,36
34,82,67
34,71,4
34,49,26
34,35,20
34,65,35
34,20,78
34,67,2
34,51,41
34,30,19
34,27,60
34,21,72
34,38,84
34,13,56
34,66,54
34,86,40
34,53,56
34,22,29
34,40,26
34,85,15
34,95,16
34,36,35
34,0,1
34,62,100
48,99,64
48,2,38
48,39,79
48,26,85
48,96,6
48,68,17
48,81,52
48,73,50
48,91,22
48,7,4
48,18,60
48,74,64
48,31,9
48,89,64
48,90,85
48,12,19
48,92,81
48,9,41
48,54,68
48,14,93
48,10,56
48,4,50
48,11,68
48,32,90
48,94,9
48,78,79
48,24,81
48,61,36
48,72,16
48,77,5
48,3,71
48,41,40
48,6,81
48,50,59
48,64,30
48,1,25
48,42,47
48,16,63
48,82,4
48,5,45
48,71,10
48,49,1
48,20,84
48,67,97
48,30,19
48,66,12
48,86,86
48,25,6
48,85,86
48,95,54
48,0,41
97,2,41
97,33,21
97,8,43
97,81,94
97,59,22
97,52,10
97,23,4
97,19,46
97,44,15
97,7,37
97,18,18
97,75,76
97,87,92
97,17,25
97,12,32
97,9,34
97,98,13
97,14,29
97,28,2
97,43,39
97,10,5
97,4,97
97,11,67
97,32,75
97,29,45
97,78,57
97,57,86
97,24,40
97,3,16
97,41,69
97,15,22
97,1,13
97,42,51
97,16,51
97,5,72
97,69,63
97,71,46
97,35,5
97,65,35
97,63,72
97,67,3
97,51,49
97,76,86
97,27,61
97,21,5
97,38,86
97,13,26
97,86,38
97,53,70
97,22,8
97,40,72
97,85,29
97,36,76
97,0,1
99,2,72
99,33,55
99,39,26
99,26,12
99,96,60
99,93,51
99,60,99
99,19,77
99,7,81
99,37,14
99,18,3
99,74,60
99,31,13
99,12,57
99,98,64
99,70,85
99,28,25
99,4,4
99,11,99
99,32,10
99,45,43
99,72,82
99,77,17
99,3,72
99,6,18
99,50,5
99,1,32
99,16,20
99,82,8
99,5,9
99,76,53
99,30,66
99,21,19
99,84,97
99,25,27
99,0,32
99,62,43
2,33,9
2,39,4
2,26,9
2,96,33
2,68,20
2,8,1
2,93,9
2,81,16
2,73,5
2,58,3
2,59,16
2,52,17
2,60,12
2,23,26
2,19,5
2,44,15
2,7,16
2,37,17
2,18,47
2,75,18
