Source,Target,k
0,91,25
0,26,83
0,47,46
0,57,61
0,38,7
0,51,56
0,7,12
0,52,13
0,54,10
0,55,9
0,93,24
0,31,8
0,84,11
0,19,23
0,8,25
0,66,17
0,20,2
0,73,39
0,80,17
0,98,12
0,67,3
0,45,6
0,49,6
0,83,66
0,12,6
0,48,2
0,25,28
0,40,5
0,27,9
0,30,97
0,15,24
0,92,23
0,11,24
0,36,50
0,24,5
0,70,9
0,42,2
0,62,3
0,5,18
0,16,56
0,1,32
0,85,7
0,21,8
0,99,1
0,29,47
0,50,42
0,14,18
0,3,7
0,56,97
0,34,39
0,4,13
0,79,41
0,9,4
0,35,4
0,18,19
0,94,83
0,46,75
0,60,2
0,17,44
0,32,15
0,43,70
0,69,2
0,28,11
0,89,35
0,88,21
0,71,15
0,72,91
0,59,66
0,13,43
0,68,12
0,33,7
0,22,12
0,90,8
0,87,73
0,44,9
0,58,4
0,76,27
0,78,49
0,41,79
0,95,18
0,23,11
0,6,4
0,82,13
0,63,24
0,2,1
0,10,2
0,77,8
91,51,47
91,7,27
91,52,18
91,97,76
91,54,72
91,93,31
91,84,3
91,8,31
91,66,35
91,20,24
91,45,14
91,48,8
91,25,2
91,40,64
91,30,58
91,15,35
91,11,10
91,24,56
91,42,12
91,5,23
91,16,52
91,1,59
91,85,17
91,21,33
91,29,61
91,14,22
91,86,28
91,3,29
91,56,70
91,4,26
91,9,91
91,94,40
91,17,63
91,32,76
91,43,98
91,28,7
91,75,35
91,81,35
91,71,1
91,72,11
91,59,49
91,13,72
91,68,89
91,22,18
91,90,48
91,58,20
91,76,94
91,74,12
91,53,94
91,6,76
91,2,45
91,10,42
26,47,80
26,57,3
26,7,10
26,97,59
26,19,10
26,8,34
26,67,10
26,45,87
26,49,85
26,12,78
26,48,73
26,25,52
26,27,49
26,30,58
26,15,30
26,92,72
26,11,6
26,36,3
26,24,49
26,70,28
26,62,59
26,5,77
26,16,1
26,1,41
26,21,45
26,50,30
26,96,41
26,14,41
26,86,16
26,3,24
26,56,2
26,34,34
26,4,45
26,9,30
26,18,14
26,17,6
26,43,69
26,28,53
26,81,11
26,59,37
26,64,64
26,13,7
26,22,17
26,87,85
26,44,29
26,78,17
26,41,68
26,74,20
26,53,52
26,23,66
26,6,45
26,2,60
26,39,1
26,10,33
26,37,2
47,57,75
47,7,68
47,31,76
47,19,5
47,73,68
47,80,46
47,67,90
47,49,24
47,12,28
47,61,20
47,15,52
47,36,45
47,24,24
47,5,46
47,1,65
47,99,36
47,50,17
47,3,58
47,56,98
47,34,70
47,79,18
47,9,1
47,35,1
47,46,64
47,43,89
47,89,46
47,88,22
47,64,43
47,13,39
47,33,4
47,22,79
47,87,67
47,78,10
47,41,6
47,23,9
47,6,42
47,63,59
47,2,99
47,77,14
57,7,31
57,8,35
57,12,90
57,48,26
57,25,73
57,40,78
57,65,100
57,30,49
57,15,12
57,24,91
57,62,88
57,5,10
57,16,20
57,1,18
57,21,71
57,99,41
57,29,87
57,50,78
57,14,3
57,86,44
57,3,1
57,56,2
57,9,49
57,35,92
57,18,15
57,17,7
57,43,71
57,28,72
57,72,34
57,59,71
57,13,12
57,22,35
57,44,47
57,74,81
57,6,58
57,82,50
57,39,7
57,10,94
57,37,24
38,51,11
38,7,80
38,52,74
38,97,98
38,54,6
38,31,20
38,84,31
38,8,10
38,20,3
38,80,56
38,98,12
38,45,78
38,49,73
38,83,19
38,12,4
38,48,52
38,25,43
38,40,32
38,27,46
38,65,46
38,30,26
38,15,62
38,11,56
38,24,52
38,70,50
38,42,12
38,62,47
38,5,23
38,16,80
38,1,12
38,85,50
38,21,13
38,99,66
38,29,35
38,14,20
38,3,40
38,34,84
38,4,5
38,35,70
38,18,38
38,94,33
38,46,73
38,17,59
38,32,6
38,43,48
38,69,31
38,28,41
38,75,92
38,89,35
38,88,87
38,71,58
38,13,98
38,68,12
38,33,73
38,22,70
38,90,38
38,87,90
38,44,36
38,76,5
38,95,93
38,53,32
38,23,61
38,6,18
38,82,57
38,63,29
38,2,14
38,10,62
38,77,97
38,37,85
51,7,52
51,52,3
51,97,3
51,54,71
51,84,17
51,8,13
51,20,18
51,12,66
51,48,9
51,25,22
51,40,70
51,65,43
51,30,18
51,15,58
51,11,98
51,42,26
51,62,65
51,5,6
51,1,20
51,85,61
51,99,31
51,29,28
51,14,17
51,3,44
51,4,4
51,18,46
51,94,1
51,46,36
51,17,25
51,32,8
51,43,54
51,69,48
51,28,41
51,75,1
51,71,87
51,72,6
51,59,58
51,68,18
51,22,54
51,90,60
51,58,46
51,76,27
51,74,72
51,53,19
51,82,1
51,2,49
51,37,76
7,52,9
7,97,7
7,54,79
7,55,71
7,93,72
7,31,39
7,84,41
7,19,5
7,8,6
7,66,52
7,20,35
7,67,71
7,45,10
7,49,55
7,12,19
7,48,13
7,25,8
7,27,12
7,30,81
7,15,11
7,92,60
7,11,1
7,36,19
7,24,63
7,42,42
7,62,12
7,5,9
7,16,23
7,1,26
7,85,87
7,99,10
7,50,50
7,14,41
7,86,80
7,3,18
7,56,24
7,34,73
7,4,4
7,9,3
7,35,36
7,18,11
7,94,58
7,17,1
7,32,46
7,43,58
7,69,74
7,28,10
7,75,72
7,81,47
7,71,37
7,72,41
7,59,68
7,13,10
7,68,91
7,33,88
7,22,1
7,90,19
7,58,50
7,78,47
7,74,4
7,95,44
7,53,49
7,23,76
7,6,14
7,82,24
7,2,6
7,39,12
7,10,6
7,77,67
7,37,22
52,97,58
52,54,93
52,84,25
52,19,76
52,8,8
52,20,22
52,45,82
52,12,51
52,48,32
52,25,5
52,30,24
52,15,32
52,11,36
52,42,57
52,5,2
52,16,63
52,1,14
52,85,58
52,99,5
52,29,50
52,14,30
52,3,26
52,56,56
52,4,1
