Source,Target,k
8,17,7
8,13,39
8,97,51
8,62,93
8,11,75
8,4,14
8,28,85
8,46,60
8,42,31
8,12,22
8,26,39
8,78,8
8,1,44
8,7,10
8,27,2
8,16,77
8,69,31
8,25,77
8,90,2
8,29,28
8,94,4
8,99,44
8,23,34
8,44,19
8,15,14
8,93,67
8,73,1
8,9,21
8,21,47
8,52,10
8,34,2
8,14,9
8,38,55
8,86,77
8,35,10
8,0,34
8,76,19
8,95,7
8,45,28
8,79,2
8,50,2
8,19,1
8,2,25
8,43,55
70,64,77
70,49,42
70,11,45
70,4,83
70,46,98
70,48,91
70,81,61
70,78,31
70,1,1
70,40,68
70,54,9
70,16,6
70,25,9
70,29,7
70,18,37
70,23,43
70,9,16
70,61,12
70,65,81
70,38,44
70,55,15
70,30,77
70,89,10
70,0,7
70,83,98
70,76,99
70,77,45
70,91,5
70,74,52
70,43,43
64,87,19
64,51,56
64,71,56
64,49,94
64,66,15
64,4,7
64,28,30
64,5,58
64,48,1
64,39,89
64,81,70
64,47,56
64,1,18
64,27,45
64,96,46
64,40,10
64,16,45
64,63,85
64,3,8
64,69,20
64,37,73
64,94,55
64,18,23
64,60,73
64,44,70
64,10,12
64,31,14
64,9,35
64,65,75
64,38,14
64,30,3
64,89,85
64,53,97
64,20,1
64,0,5
64,83,92
64,76,14
64,77,90
64,79,35
64,6,17
64,56,8
64,2,83
64,59,63
64,74,27
64,43,64
87,51,50
87,71,11
87,41,5
87,4,47
87,28,11
87,5,4
87,48,10
87,39,22
87,72,3
87,26,67
87,81,94
87,47,24
87,1,55
87,32,38
87,40,83
87,63,64
87,3,72
87,37,16
87,18,17
87,10,26
87,24,73
87,31,98
87,65,31
87,67,8
87,30,13
87,53,33
87,0,30
87,6,1
87,88,36
57,17,62
57,13,31
57,98,46
57,46,8
57,42,11
57,12,67
57,26,46
57,1,100
57,54,11
57,16,31
57,69,74
57,25,34
57,36,77
57,23,28
57,15,17
57,9,58
57,21,77
57,55,14
57,58,18
57,89,69
57,84,70
57,0,96
57,83,42
57,95,7
57,77,7
57,45,11
57,2,27
57,33,70
57,43,23
51,71,19
51,49,52
51,13,47
51,41,92
51,75,45
51,66,79
51,62,7
51,4,33
51,28,16
51,5,3
51,48,38
51,39,27
51,72,22
51,81,69
51,47,12
51,1,87
51,7,47
51,32,27
51,27,27
51,40,9
51,63,19
51,3,12
51,85,62
51,37,24
51,94,59
51,18,31
51,60,61
51,10,19
51,24,2
51,31,14
51,93,71
51,65,74
51,38,52
51,67,61
51,30,56
51,68,3
51,53,1
51,20,9
51,0,5
51,6,4
51,56,20
51,19,96
51,88,28
51,22,8
51,59,48
51,33,22
51,74,13
17,92,65
17,80,27
17,13,100
17,97,62
17,98,69
17,11,5
17,4,13
17,12,6
17,1,30
17,7,2
17,16,21
17,3,47
17,69,16
17,25,32
17,90,15
17,29,20
17,94,26
17,99,3
17,23,40
