Source,Target,k
18,15,20
18,2,78
18,6,20
18,58,5
18,78,52
18,81,74
18,40,66
18,61,56
18,7,1
18,60,95
18,43,40
18,88,39
18,67,28
18,79,66
18,8,30
18,14,63
18,11,38
18,29,64
18,12,23
18,65,11
18,97,9
18,75,71
18,45,37
18,52,23
18,47,61
18,16,8
18,70,61
18,13,2
18,91,41
18,56,66
18,22,78
18,39,79
18,17,82
18,53,33
18,82,21
18,25,87
18,63,81
18,5,75
18,72,44
18,89,6
18,9,17
18,68,63
18,0,9
18,30,82
18,28,30
18,1,7
18,41,40
18,27,2
18,99,16
18,10,48
18,32,56
18,4,42
18,38,4
18,51,90
18,3,3
18,20,10
18,33,27
18,74,35
15,2,36
15,58,85
15,73,14
15,78,2
15,81,51
15,50,46
15,40,44
15,7,10
15,60,15
15,43,4
15,88,1
15,67,37
15,8,99
15,49,57
15,97,47
15,75,3
15,45,12
15,52,59
15,47,56
15,16,85
15,70,17
15,13,20
15,91,48
15,48,72
15,22,36
15,39,29
15,82,63
15,63,74
15,31,14
15,5,18
15,72,16
15,89,23
15,9,60
15,26,43
15,55,64
15,0,18
15,28,47
15,77,37
15,41,16
15,27,99
15,99,1
15,32,68
15,84,86
15,44,28
15,4,55
15,38,4
15,3,47
15,20,1
15,33,78
87,6,5
87,93,16
87,76,52
87,81,12
87,57,7
87,62,3
87,19,11
87,92,51
87,21,57
87,88,99
87,83,78
87,98,55
87,79,56
87,8,6
87,14,66
87,29,13
87,12,39
87,65,69
87,45,66
87,52,62
87,86,28
87,16,49
87,23,59
87,56,65
87,22,96
87,17,1
87,82,90
87,9,66
87,36,59
87,59,3
87,55,98
87,0,52
87,1,14
87,41,28
87,99,97
87,32,1
87,74,10
2,6,32
2,58,66
2,73,18
2,78,58
2,35,80
2,24,77
2,40,89
2,90,42
2,19,94
2,92,49
2,69,22
2,60,6
2,21,11
2,43,38
2,88,81
2,83,32
2,98,80
2,79,29
2,8,62
2,11,13
2,49,99
2,65,51
2,97,65
2,75,63
2,45,83
2,52,19
2,47,20
2,23,6
2,42,49
2,56,34
2,48,37
2,22,1
2,17,72
2,25,52
2,63,26
2,31,13
2,5,1
2,71,13
2,72,43
2,89,55
2,9,57
2,26,39
2,36,16
2,55,2
2,95,4
2,68,11
2,0,13
2,54,34
2,28,79
2,77,2
2,1,45
2,41,19
2,99,91
2,84,1
2,44,1
2,4,3
2,38,95
2,3,72
2,20,51
2,33,52
6,93,33
6,58,70
6,76,27
6,81,60
6,24,100
6,40,55
6,57,30
6,62,27
6,61,2
6,90,83
6,19,5
