Source,Target,k
47,19,7
47,68,62
47,84,7
47,59,30
47,8,23
47,75,47
47,70,73
47,44,42
47,10,10
47,98,3
47,67,21
47,16,11
47,91,31
47,81,47
47,46,20
47,62,53
47,87,29
47,11,17
47,43,1
47,7,29
47,45,2
47,38,18
47,34,39
47,56,13
47,3,18
47,86,32
47,4,18
47,26,15
47,37,95
47,89,39
47,9,92
47,92,86
47,33,14
47,72,23
47,66,83
47,6,37
47,0,52
47,54,53
47,31,5
47,69,62
47,28,49
47,82,85
47,1,37
47,61,45
47,95,59
47,88,61
47,2,4
47,58,62
47,48,20
47,53,4
47,80,54
47,5,42
47,18,99
47,32,32
47,71,3
47,93,8
47,13,44
47,17,92
47,49,15
47,50,24
47,14,71
60,64,51
60,52,67
60,76,1
60,36,42
60,79,3
60,23,7
60,55,87
60,22,13
60,78,3
60,37,65
60,63,47
60,9,89
60,65,24
60,41,34
60,85,36
60,30,35
60,35,27
60,12,60
60,83,41
60,27,1
60,73,16
42,64,90
42,19,29
42,68,30
42,97,7
42,20,20
42,59,72
42,8,6
42,75,14
42,70,7
42,96,33
42,24,2
42,39,9
42,44,42
42,10,44
42,16,60
42,91,79
42,74,98
42,46,72
42,52,45
42,11,8
42,7,5
42,38,89
42,34,34
42,3,42
42,55,32
42,4,80
42,26,69
42,37,52
42,77,65
42,9,39
42,40,86
42,33,32
42,57,81
42,15,24
42,41,88
42,6,36
42,0,48
42,85,87
42,54,18
42,28,21
42,82,11
42,1,2
42,29,14
42,61,44
42,95,61
42,2,1
42,58,74
42,12,74
42,90,50
42,94,13
42,80,45
42,5,30
42,25,8
42,18,15
42,32,54
42,21,8
42,17,35
42,51,5
42,50,52
42,14,45
64,75,23
64,70,87
64,39,20
64,10,39
64,74,55
64,52,4
64,11,28
64,76,46
64,36,77
64,7,78
64,79,2
64,23,24
64,34,18
64,3,9
64,55,26
64,22,24
64,78,70
64,4,51
64,37,3
64,99,68
64,9,36
64,40,8
64,65,22
64,66,31
64,57,6
64,15,11
64,41,46
64,6,20
64,0,72
64,85,22
64,30,60
64,35,48
64,28,34
64,1,16
64,95,44
64,12,13
64,90,65
64,94,54
64,53,78
64,5,96
64,18,4
64,83,90
64,21,36
64,13,13
64,27,55
64,51,83
64,73,79
64,14,15
19,68,11
19,84,29
19,97,55
19,20,69
19,59,52
19,8,20
19,75,16
19,70,53
19,96,15
19,24,7
19,44,6
19,10,47
19,98,34
19,67,48
19,16,26
19,91,38
19,81,9
19,46,47
19,62,17
19,87,35
19,11,2
19,43,62
19,7,7
19,45,69
19,38,30
19,34,13
19,56,9
19,86,37
19,4,85
19,26,41
19,77,35
19,89,32
19,92,15
19,33,2
19,15,63
19,6,28
19,0,66
19,54,2
19,31,47
19,69,21
19,28,26
19,82,7
19,1,7
19,29,15
19,61,21
19,95,14
19,88,8
19,2,1
19,58,13
19,48,16
19,90,40
19,53,54
19,80,2
19,5,3
19,25,31
19,18,78
19,32,1
19,71,70
19,21,45
19,93,25
19,13,86
19,17,6
19,51,21
19,49,77
19,50,4
19,14,74
68,84,61
68,97,61
68,20,8
68,8,14
68,70,30
68,96,78
68,24,23
68,44,97
68,10,52
68,98,25
68,16,85
68,91,68
68,81,12
68,74,79
68,46,39
68,62,85
68,11,2
68,7,12
68,34,59
68,56,62
68,3,70
68,86,12
68,4,15
68,26,25
68,77,94
68,99,61
68,89,9
68,92,31
68,33,93
68,66,14
68,15,95
68,6,70
68,0,49
68,54,28
68,31,36
68,69,52
68,28,3
68,82,69
68,1,4
68,29,39
68,95,80
68,88,36
68,2,21
68,80,31
68,5,1
68,25,39
68,18,27
68,32,6
68,21,48
68,17,17
68,51,24
68,50,10
68,14,57
84,97,79
84,20,26
84,59,10
84,8,29
84,75,54
84,44,29
84,10,22
84,98,8
84,67,42
84,16,6
84,91,28
84,81,77
84,46,2
84,62,85
84,11,35
84,43,1
84,36,67
84,7,52
84,45,3
84,38,50
84,56,47
84,3,20
84,86,24
84,4,4
84,26,14
84,89,72
84,9,77
84,92,26
84,33,52
84,72,33
84,66,87
84,6,16
84,0,17
84,30,83
84,54,47
84,31,5
84,28,39
84,1,19
84,29,72
84,95,87
84,2,18
84,58,11
84,48,29
84,12,90
84,94,94
84,53,69
84,80,89
84,5,11
84,25,52
84,18,98
84,32,33
84,71,9
84,93,47
84,17,86
84,49,24
84,50,93
84,14,72
97,20,4
97,8,2
97,96,13
97,24,19
97,39,75
97,44,16
97,10,65
97,16,43
97,81,58
97,74,67
97,46,64
97,62,41
97,11,39
97,7,15
97,56,19
97,3,58
97,4,29
97,26,38
97,77,30
97,99,92
97,89,30
97,9,86
97,92,40
97,33,80
97,72,63
97,6,10
97,0,27
97,54,43
97,31,7
97,69,98
97,28,80
97,82,16
97,1,5
97,29,1
97,88,54
97,2,24
97,58,13
97,12,84
97,80,55
97,5,21
97,25,9
97,18,37
97,32,75
97,21,45
97,17,3
97,51,89
97,50,25
97,14,94
20,8,10
20,75,75
20,70,81
20,96,19
20,24,12
20,39,48
20,98,74
20,67,100
20,16,81
20,91,73
20,74,6
20,46,72
20,11,30
20,43,95
20,36,29
20,7,52
20,45,100
20,38,7
20,56,91
20,3,11
20,86,13
20,4,4
20,26,18
20,77,4
20,99,2
20,63,71
20,89,37
20,9,88
20,40,60
20,92,13
20,72,28
20,66,72
20,41,54
20,6,22
20,0,2
20,85,97
20,35,93
20,31,33
20,69,48
20,28,66
20,82,17
20,1,25
20,29,3
20,2,62
20,58,42
20,12,29
20,94,63
20,5,5
20,25,1
20,18,72
20,32,27
20,83,70
20,21,58
20,13,83
20,17,6
20,51,46
20,73,97
20,50,41
20,14,58
59,8,94
59,70,37
59,24,56
