Gene,kTotal,Rank
Os03g0244000,261.611091542723,1
Os03g0611200,261.095724654625,2
Os07g0512200,254.834532931356,3
Os03g0265200,254.141553668585,4
Os04g0459500,251.460423962341,5
Os01g0938100,246.592794630267,6
Os06g0705100,246.590346704227,7
Os02g0285800,240.048122913423,8
Os05g0390100,238.428505645112,9
Os01g0618800,238.145687751342,10
Os05g0401100,238.096020569247,11
Os04g0234600,237.83589197615,12
Os05g0463900,237.046044429069,13
Os11g0242400,235.75500137811,14
Os03g0136900,234.980459445951,15
Os02g0117100,234.675145009091,16
Os08g0553800,233.767391513196,17
Os07g0513000,233.562488181628,18
Os05g0131100,233.410126633131,19
Os04g0602100,232.206915354144,20
Os05g0496200,231.78220355798,21
Os08g0558100,230.362397996831,22
Os01g0958100,229.029147061941,23
Os07g0195100,228.680750489037,24
Os03g0563300,228.185742894963,25
Os03g0861700,227.951015934594,26
Os03g0765900,227.75644852592,27
Os03g0358100,227.711350163092,28
Os05g0455600,227.649013363679,29
Os02g0586400,225.569129330467,30
Os06g0259000,225.335352776376,31
Os11g0588300,225.283322760463,32
Os01g0706600,224.891461543482,33
Os09g0512900,222.771151861789,34
Os02g0168600,222.103440436592,35
Os03g0129300,221.525193624917,36
Os08g0288200,220.945395452302,37
Os11g0160100,220.517279081737,38
Os01g0761000,220.277555633316,39
Os05g0292800,219.942106735451,40
Os04g0679800,218.953418541449,41
Os06g0146300,218.89853684146,42
Os04g0165300,218.327180374239,43
Os10g0389000,217.792028074966,44
Os04g0507100,217.479358266977,45
Os01g0205300,217.013093110854,46
Os06g0132400,216.402484673816,47
Os08g0332700,216.254813751175,48
Os07g0418000,215.624682511362,49
Os06g0245800,215.493995472873,50
Os07g0693500,214.883814714439,51
Os11g0153700,214.352751794277,52
Os06g0154900,213.780622222583,53
Os02g0707900,213.67503213431,54
Os01g0762300,213.342704812551,55
Os02g0753800,212.988155302403,56
Os04g0470100,212.881281309773,57
Os05g0516600,212.631991029616,58
Os03g0314800,212.608644272387,59
Os04g0589800,212.272564151559,60
Os03g0844900,212.114749060533,61
Os04g0422000,211.927084304388,62
Os01g0966100,211.83486783879,63
Os07g0464600,211.637968541871,64
Os10g0516100,211.387442837567,65
Os06g0246500,211.104419856727,66
Os03g0374600,210.726608671967,67
Os05g0480000,210.694628465752,68
Os01g0783500,210.436401317219,69
Os12g0292400,210.288637714924,70
Os01g0221700,210.133494900787,71
Os08g0191600,210.12438141507,72
Os02g0537700,209.91759516349,73
Os02g0196800,209.821076550902,74
Os01g0734600,208.830709545414,75
Os01g0719700,208.52740738685,76
Os02g0717500,208.417473407374,77
Os02g0739000,208.22173259757,78
Os03g0803700,207.488932538495,79
Os10g0184300,207.365805531333,80
Os12g0271700,206.600213513159,81
Os05g0481000,206.152990474365,82
Os05g0568100,205.872125969416,83
Os09g0481800,205.771658235705,84
Os02g0325100,205.589357826348,85
Os11g0171300,205.475926683261,86
Os01g0719800,205.218922728284,87
Os09g0513600,205.176827098037,88
Os05g0348100,204.746711224867,89
Os07g0655900,204.669979061672,90
Os12g0291100,204.504069528668,91
Os03g0337600,204.293808061673,92
Os03g0356414,204.142200821392,93
Os01g0151200,204.126363990538,94
Os02g0805800,204.100818299678,95
Os05g0388500,204.053801917608,96
Os10g0100300,203.529540648605,97
Os07g0196200,203.436037658556,98
Os10g0394100,203.416416676768,99
Os04g0485800,203.278129363711,100
Os07g0655300,203.276249714017,101
Os01g0358300,202.959789485096,102
Os03g0410700,202.869942913646,103
Os03g0767900,202.864214912033,104
Os10g0135600,202.756676528852,105
Os02g0761700,202.729304549981,106
Os05g0163400,202.6876200108,107
Os03g0595300,202.42174383011,108
Os02g0261100,202.413064068992,109
Os03g0315800,202.308086304592,110
Os07g0693800,202.238970912164,111
Os03g0767800,202.013758495171,112
Os03g0738400,201.785784303953,113
Os03g0178066,201.550720741231,114
Os04g0591000,201.528213240568,115
Os05g0404400,201.490674382915,116
Os02g0690200,201.4271339237,117
Os02g0725200,201.297123476692,118
Os02g0259600,201.155593543459,119
Os12g0189700,201.046513847514,120
Os06g0698300,200.755405485086,121
Os02g0157700,200.573210452934,122
Os01g0548600,199.905288616003,123
Os05g0529200,199.680737928025,124
Os03g0685000,199.627641718607,125
Os02g0304900,199.376813609738,126
Os12g0291400,199.345335974395,127
Os05g0574600,198.886972930894,128
Os02g0473200,198.490798778473,129
Os03g0311300,198.276505059628,130
Os01g0798500,198.082815493963,131
Os01g0268800,198.036752689518,132
Os02g0600200,197.943711361411,133
Os12g0274700,197.942157075982,134
Os03g0146000,197.666925543067,135
Os01g0278900,197.601623530656,136
Os02g0595700,197.535090473109,137
Os11g0549650,197.528290125924,138
Os10g0563200,197.456003907023,139
Os07g0243150,197.225107362149,140
Os08g0119800,197.102122784904,141
Os04g0658300,197.004071436576,142
Os04g0511200,196.902075970654,143
Os08g0162600,196.721661612623,144
Os08g0440900,196.421543464303,145
Os01g0904200,196.418517028308,146
Os01g0589800,196.240143537721,147
Os08g0345800,196.20720119994,148
Os01g0772400,196.053629831158,149
Os10g0530500,196.010609604945,150
Os02g0750200,195.76686459474,151
Os06g0308100,195.543296896698,152
Os06g0196700,195.420640602068,153
Os04g0391900,195.293140457052,154
Os12g0635400,195.220673566536,155
Os11g0621400,195.212257852542,156
Os07g0534100,195.185798383111,157
Os01g0321300,194.800792607102,158
Os12g0292900,194.712381029547,159
Os01g0862200,194.694930929729,160
Os03g0263900,194.646328578248,161
Os08g0152600,194.5776023048,162
Os05g0406000,194.377744512662,163
Os04g0607000,194.067741027934,164
Os12g0609500,193.990753747316,165
Os01g0958700,193.876058824725,166
Os03g0795800,193.766128984281,167
Os02g0794400,193.175227783092,168
Os02g0533000,192.876808326078,169
Os07g0294800,192.139880366379,170
Os05g0529400,191.568354252507,171
Os02g0678400,191.533862712514,172
Os12g0615400,191.373530772039,173
Os02g0736400,190.594371294411,174
Os05g0466800,189.820529697005,175
Os12g0566200,189.626073737515,176
