Gene,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-1.12705530037582,1.92E-07,Down,-0.508163646811054,0.023879592495125,,-0.334751851003973,0.160941963786735,,-0.299942096099744,0.201584139468716,,-0.503966096421035,0.029764460198504,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-0.804787979450999,0.456789915049581,,0.336716774695997,0.764272469563085,,0.598296229687383,0.523770382284681,,1.20574139644316,0.122180526653733,,0.188251374140823,0.885890534799552,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,-0.371107454577338,0.201094615671036,,-0.12725036534738,0.709708084242544,,-0.098715080637671,0.767770687633306,,0.509852663652528,0.032780808552954,,-0.665051767105135,0.008749254508707,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,0.467661299888445,0.004079051075031,,0.781050710469524,9.60E-08,,0.739939726186223,4.62E-07,,0.854173211434002,2.87E-09,,0.731705346243548,9.80E-07,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-1.20693376888367,1.66E-07,Down,-2.58705537326878,1.86E-30,Down,-2.87650341025082,5.85E-36,Down,-3.2601590215893,1.89E-44,Down,-2.5166492928843,1.60E-28,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.169475302854032,0.409349648207345,,-0.781222741031783,2.08E-07,,-0.801013926076008,8.95E-08,,-0.822394616431133,3.03E-08,,-0.419359444408849,0.011698058230552,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-1.30351619288838,5.14E-09,Down,-2.15493111460241,5.77E-23,Down,-2.84272370720956,4.02E-35,Down,-3.83902279324388,5.68E-52,Down,-1.47698749145952,1.25E-11,Down
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-1.44012161767015,0.0006655934391,Down,-1.57084581488312,9.77E-05,Down,-1.80884185526514,6.75E-06,Down,-0.905718376554233,0.028574579252586,,-0.474910326100273,0.355817867398115,
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,-0.299603656020852,0.530981146856346,,-0.578325808650362,0.144485143501079,,-0.649063338320672,0.088148548240664,,-0.707452868638135,0.053296896140868,,-0.533823179276199,0.205328093671518,
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-0.743935226103405,0.001429289978722,,-1.93289869394781,8.62E-20,Down,-2.4293097768287,8.05E-30,Down,-2.42095571006854,5.42E-30,Down,-1.43710434072067,2.83E-11,Down
