Gene,MapMan,LOC_IDs,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr,FC_1day,pval_1day,REG_1day,FC_3day,pval_3day,REG_3day
Os01g0100100,['signalling.G-proteins'],LOC_Os01g01010,-1.03433315825003,8.09E-08,Down,-0.380743975808314,0.079695529816359,,-0.379951097579506,0.070092702376922,,-0.361869217842877,0.088283931845872,,-0.481942553980688,0.005774304264393,,-0.457282531041617,0.03154214732869,
Os01g0100400,"['misc.oxidases - copper, flavone etc.']",LOC_Os01g01030,-1.26662799181275,0.030021646795235,Down,-0.193695268525557,0.798500663414132,,0.090950592656616,0.899402911856416,,0.682993145221419,0.193749044605234,,0.383842109743186,0.480094547573622,,0.353442623679255,0.604631693914728,
Os01g0100700,['protein.synthesis.ribosomal protein.eukaryotic.40S subunit.S5'],LOC_Os01g01060,0.755506761812152,0.003535778943557,,0.435587273880249,0.142224481405136,,0.273209442990571,0.382850094362629,,0.910385253671989,0.000307855801244,,0.365729905467455,0.175051851000179,,0.137765409208265,0.741702282424222,
Os01g0100900,"[""lipid metabolism.''exotics'' (steroids, squalene etc).sphingolipids""]",LOC_Os01g01080,0.137983514582402,0.568197643094103,,0.160273056799118,0.517387669444397,,0.320138420963678,0.127284429797976,,0.167120555038928,0.487719649614335,,0.368679893086086,0.048593584424309,,0.417353752202626,0.050368935604457,
Os01g0101200,['minor CHO metabolism.others'],LOC_Os01g01120,-1.97540318654603,7.00E-11,Down,-2.17308863309012,2.90E-12,Down,-2.57953081957199,8.65E-17,Down,-2.49730104187999,3.52E-16,Down,-2.09976529969339,3.54E-16,Down,-2.22405655211567,2.48E-13,Down
Os01g0101600,['RNA.RNA binding'],LOC_Os01g01150,-0.278117707505772,0.23608166800348,,-0.597461770235788,0.005139810501428,,-0.723552926077055,0.000427973092479,,-0.712285307076981,0.000572060076483,,-0.327455685250174,0.122624313552021,,-0.463537301469268,0.044439569964579,
Os01g0101700,['stress.abiotic.heat'],LOC_Os01g01160,-2.38943866390648,1.46E-15,Down,-3.11949354364973,5.87E-21,Down,-3.10442217141812,2.07E-22,Down,-4.02045519211861,1.23E-30,Down,-1.9776147503917,2.29E-15,Down,-2.00903521807084,1.02E-11,Down
Os01g0102300,['not assigned.unknown'],LOC_Os01g01280,-1.55229520477177,5.30E-06,Down,-2.43672583361467,4.55E-10,Down,-2.51143800054189,1.94E-11,Down,-0.951715137956225,0.005864608960215,,-1.1511212753276,5.77E-05,Down,-1.36897459499987,6.53E-05,Down
Os01g0102500,['not assigned.unknown'],LOC_Os01g01295,0.404496698606039,0.178760296433914,,-0.226533713968592,0.553763486188498,,-0.278754337062182,0.420988140374114,,-0.264034918943178,0.454258555273052,,-0.005459355264296,0.989738506659978,,-0.007436434503716,0.990369628580503,
Os01g0102600,['amino acid metabolism.synthesis.aromatic aa.chorismate.shikimate kinase'],LOC_Os01g01302,-0.932278130517096,0.03025087297206,,-2.27969083287134,1.20E-08,Down,-3.10754755855319,4.71E-15,Down,-1.90483343401922,1.88E-06,Down,-1.3127272903514,0.000374172447779,Down,-1.64625011103407,6.93E-05,Down
Os01g0102850,NA,None,-0.535906908270112,0.408568043557561,,0.960051379989468,0.073211516500479,,1.42145221859772,0.002428949108215,Up,1.29705911539619,0.006753103996327,Up,-0.455806873093788,0.435345629784947,,-0.335432818723265,0.677508360796596,
Os01g0103000,['RNA.regulation of transcription.SNF7'],LOC_Os01g01350,-0.565707186115913,0.574726980392601,,2.20362791334644,0.00049576221284,Up,2.67377123536314,5.99E-06,Up,3.40781724817431,1.60E-09,Up,0.912890407936042,0.186946018885922,,0.410154105048513,0.707567672801345,
Os01g0103100,['transport.peptides and oligopeptides'],LOC_Os01g01360,1.82236278672497,0.004315254017488,Up,0.860213155405885,0.305979306046117,,0.7172631829266,0.385239488185394,,0.551959432797011,0.534243342506366,,1.4376895540347,0.017343380484626,Up,0.691705358689986,0.450373915355905,
Os01g0103400,NA,None,1.11563357433129,0.025092807556344,Up,0.546673412099278,0.396357641738011,,0.492708934847108,0.423423842314256,,-0.058576568104732,0.941102328980366,,0.461143593072402,0.41221465998926,,0.433530991582081,0.539890616180676,
Os01g0103700,['not assigned.unknown'],LOC_Os01g01380,0.341326660580851,0.429357026788533,,0.179309497382404,0.730740203061243,,0.162637269780982,0.741595233863931,,0.353406886877399,0.425460775297129,,-0.052416552642576,0.923358488173993,,0.032399818611379,0.964680557273834,
Os01g0103800,['not assigned.unknown'],LOC_Os01g01390,0.164457440075209,0.577832237591508,,0.075353526721985,0.831114750713693,,0.178351489959776,0.544592246507498,,0.052142772340126,0.879708910052375,,0.009349843364641,0.978629897322551,,-0.020331836535755,0.965999147549219,
Os01g0103900,['not assigned.unknown'],LOC_Os01g01400,0.796001543898522,0.460165222176891,,0.7136656199953,0.559161672210123,,-0.111274090037824,0.941296986722329,,-0.273639233181872,0.851236888604058,,0.811699861751013,0.422572465207349,,0.560031684593895,0.685087705685113,
Os01g0104000,['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII'],LOC_Os01g01410,0.144208851405962,0.517252454182579,,0.161237486726653,0.493428141632336,,0.259681443287034,0.201157769103244,,0.050854445887097,0.847525318945047,,0.072180789948141,0.765819012511589,,0.235224556440387,0.300888309852567,
