Gene,KEGG
Os03g0712700 ,"Glycolysis / Gluconeogenesis, Pentose phosphate pathway, Galactose metabolism, Purine metabolism, Starch and sucrose metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0704900 ,Oxidative phosphorylation
Os11g0256000 ,"Valine, leucine and isoleucine biosynthesis, Butanoate metabolism, C5-Branched dibasic acid metabolism, Pantothenate and CoA biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, 2-Oxocarboxylic acid metabolism, Biosynthesis of amino acids"
Os08g0135900 ,"Glycine, serine and threonine metabolism, Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os05g0144900 ,Starch and sucrose metabolism
Os01g0749200 ,Ribosome
Os01g0959800 ,"Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0782500 ,Plant hormone signal transduction
Os08g0301500 ,"Starch and sucrose metabolism, Metabolic pathways"
Os02g0800100 ,Proteasome
Os04g0486600 ,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os04g0520000 ,RNA degradation
Os01g0269000 ,"Synthesis and degradation of ketone bodies, Valine, leucine and isoleucine degradation, Butanoate metabolism, Metabolic pathways, Peroxisome"
Os01g0199900 ,"Purine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os04g0504000 ,"Purine metabolism, Metabolic pathways"
Os02g0652600 ,Ribosome
Os09g0511900 ,"Cyanoamino acid metabolism, Starch and sucrose metabolism, Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os08g0556200 ,"Folate biosynthesis, Metabolic pathways"
Os01g0180600 ,Mismatch repair
Os07g0409900 ,Plant-pathogen interaction
Os10g0563700 ,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, MAPK signaling pathway - plant"
Os08g0224800 ,"Phosphonate and phosphinate metabolism, Glycerophospholipid metabolism, Metabolic pathways"
Os05g0513500 ,Ribosome
Os02g0776800 ,"DNA replication, Nucleotide excision repair, Mismatch repair, Homologous recombination"
Os09g0565700 ,"Phenylalanine, tyrosine and tryptophan biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os08g0557900 ,"Pyrimidine metabolism, Nicotinate and nicotinamide metabolism"
Os02g0802200 ,"Glycosaminoglycan degradation, Metabolic pathways"
Os07g0163000 ,Pyruvate metabolism
Os05g0312600 ,Plant-pathogen interaction
Os04g0488700 ,MAPK signaling pathway - plant
Os06g0600100 ,Proteasome
Os02g0601300 ,"Glycolysis / Gluconeogenesis, Carbon fixation in photosynthetic organisms, Metabolic pathways, Biosynthesis of secondary metabolites, Carbon metabolism, Biosynthesis of amino acids"
Os12g0100100 ,"RNA transport, mRNA surveillance pathway, Spliceosome"
Os08g0320000 ,Aminoacyl-tRNA biosynthesis
Os05g0460800 ,"Fatty acid elongation, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism"
Os02g0592300 ,Mismatch repair
Os12g0559934 ,"Linoleic acid metabolism, alpha-Linolenic acid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os05g0208550 ,"Diterpenoid biosynthesis, Biosynthesis of secondary metabolites"
Os06g0103500 ,"Fatty acid degradation, alpha-Linolenic acid metabolism, Biosynthesis of unsaturated fatty acids, Metabolic pathways, Biosynthesis of secondary metabolites, Fatty acid metabolism, Peroxisome"
Os03g0235000 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0741500 ,RNA transport
Os11g0679700 ,"Glycerolipid metabolism, Glycerophospholipid metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os10g0417600 ,"Ascorbate and aldarate metabolism, Amino sugar and nucleotide sugar metabolism, Metabolic pathways, Biosynthesis of secondary metabolites"
Os03g0811700 ,Spliceosome
Os01g0663300 ,Fructose and mannose metabolism
Os12g0137500 ,Autophagy - other
Os01g0848200 ,"Arginine and proline metabolism, Metabolic pathways, Biosynthesis of secondary metabolites, Biosynthesis of amino acids"
Os01g0881900 ,Ubiquitin mediated proteolysis
Os09g0514400 ,Terpenoid backbone biosynthesis
Os11g0311300 ,RNA degradation
Os04g0507800 ,"Ubiquinone and other terpenoid-quinone biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0927000 ,Lysine degradation
Os05g0149500 ,Other types of O-glycan biosynthesis
Os07g0568600 ,Plant-pathogen interaction
Os04g0603000 ,"Glycolysis / Gluconeogenesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os01g0866300 ,SNARE interactions in vesicular transport
Os03g0751400 ,Ribosome
Os12g0530100 ,"Phenylpropanoid biosynthesis, Metabolic pathways, Biosynthesis of secondary metabolites"
Os02g0578400 ,"Photosynthesis, Metabolic pathways"
