Source,Target,k,pcc
0,9,70,0.828510411249371
0,12,67,0.847151169061935
0,84,81,0.816641682143111
0,88,3,0.880911065075611
0,98,55,0.855932953834478
0,107,76,0.821447967882536
0,120,54,0.788806722348052
0,123,40,0.866019576865938
0,126,42,0.769217516534988
0,228,60,0.854818843605629
0,249,30,0.856486328244608
0,263,55,0.777952892149174
0,279,9,0.871724051467281
0,391,49,0.784275258448554
0,397,31,0.875965507120535
0,500,36,0.85167621723829
0,558,7,0.907965654195053
0,651,60,0.620806638623555
0,655,80,0.766146893316488
0,678,23,0.855005199097969
0,684,55,0.831914003877546
0,694,38,0.852429043640301
0,703,62,0.688357614638886
0,727,20,0.878607493636483
0,806,14,0.838689417076554
0,866,47,0.862181645152208
0,872,75,0.817410904684348
0,899,44,0.813149828481441
0,992,14,0.897518891252479
0,1042,47,0.861741269847085
0,1079,98,0.834728135558198
0,1133,35,0.860368808346842
0,1157,23,0.860547075670412
0,1198,31,0.835365133262384
0,1206,1,0.921331999208287
0,1231,44,0.86493146124907
0,1290,78,0.84484056506835
0,1332,10,0.878958900724817
0,1349,55,0.855823030370351
0,1356,16,0.787055753747588
0,1394,98,0.720374676096108
0,1403,98,0.834518366460433
0,1465,64,0.836805211421828
0,1492,19,0.876568902853659
0,1509,21,0.887432536095533
0,1557,73,0.765819190492999
0,1566,19,0.889223265513647
0,1616,98,0.773053174509591
0,1663,29,0.828368968183246
0,1699,4,0.915058905610197
0,1701,22,0.847763210479683
0,1752,80,0.772209767011695
0,1763,12,0.898561467606032
0,1779,35,0.841148923764196
0,1805,91,0.743931901388974
0,1833,4,0.915409636354527
0,1898,12,0.85050309933417
0,1929,53,0.787332239993833
0,1935,82,0.841417371460741
0,1974,36,0.871405399690993
0,2018,93,0.835851214178738
0,2052,53,0.857083193291566
0,2115,65,0.83537753832144
0,2198,42,0.806602816336307
0,2208,84,0.78950962370402
0,2284,49,0.826202408261408
0,2292,15,0.884881650415225
0,2389,43,0.857155850059651
0,2394,70,0.78700430369426
0,2422,75,0.807473095091854
0,2459,80,0.781409210605281
0,2499,58,0.830546499940387
0,2502,32,0.850616549360837
0,2545,63,0.739548449296708
0,2547,40,0.86560149311397
0,2656,89,0.80417128464252
0,2671,12,0.89895722845894
0,2678,22,0.884542932637731
