id,Label,TF,KEGG,kTotal,Rank,WGCNA_Modules, IntraModular Connectivity,Description,GO,MapMan,MSU_LOC,FC_1hr,pval_1hr,REG_1hr,FC_3hr,pval_3hr,REG_3hr,FC_6hr,pval_6hr,REG_6hr,FC_12hr,pval_12hr,REG_12hr
0,Os03g0367200,,,10.9122854997785,5965,Yellow,3.0310261414823,"Similar to Flavonoid 3', 5'-hydroxylase (EC 1.14.13.88) (F3'5'H) (Cytochrome P450 75A2) (CYPLXXVA2) (P-450EG1).",,['misc.cytochrome P450'],LOC_Os03g25150,-1.73014268506876,0.092063772919516,,-1.96147401403989,0.056635465403745,,-2.04925473564244,0.02553866243088,Down,-2.44410349950561,0.010840466312467,Down
1,Os01g0204000,,"Purine metabolism, Pyrimidine metabolism, Metabolic pathways, DNA replication, Base excision repair, Nucleotide excision repair, Mismatch repair, Homologous recombination",1.16616950412339,12392,Blue,0.759538954138035,"DNA polymerase subunit Cdc27 domain containing protein., Hypothetical conserved gene.","Biological Process: DNA replication (GO:0006260), Cellular Component: nucleus (GO:0005634)",['not assigned.unknown'],LOC_Os01g10690,0.230620586413435,0.751928051625929,,1.68668938904974,2.77E-05,Up,1.50434940378472,0.000167208232065,Up,0.896809548302011,0.441258134776291,
2,Os03g0113900,,,8.69659722194615,6858,Blue,6.90214878279536,Protein of unknown function DUF584 family protein.,,['not assigned.unknown'],LOC_Os03g02280,0.027337546454419,0.991443243239715,,3.23889441986237,0.000151562842676,Up,3.58892755675058,1.13E-05,Up,-2.60158358543663,4.90E-08,Down
3,Os05g0104900,,"Ubiquitin mediated proteolysis, Protein processing in endoplasmic reticulum",49.3007067934779,815,Blue,34.8077179286248,Similar to STIP1 homology and U box-containing protein 1.,"Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os05g01460,1.03506399765499,0.012308851034715,Up,2.36649442352703,2.00E-11,Up,3.54012061962646,6.59E-10,Up,2.00436264109049,0.008791813507956,Up
4,Os01g0220100,,"Starch and sucrose metabolism, Metabolic pathways",21.0584766297817,3213,Turquoise,17.3354158509076,Similar to Cellulase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Cellular Component: extracellular region (GO:0005576), Molecular Function: catalytic activity (GO:0003824), Molecular Function: hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553), Molecular Function: carbohydrate binding (GO:0030246)","['misc.gluco-, galacto- and mannosidases.endoglucanase']",LOC_Os01g12070,-0.82762962033335,0.677920651762587,,-3.00339989000411,0.030831141573947,Down,-5.49747971445126,0.000201973268036,Down,3.89237375010995,0.095114909860755,
5,Os05g0119300,,,26.5813497233661,2382,Black,14.7853503837402,Similar to ESTs AA754121.,,['not assigned.unknown'],LOC_Os05g02780,2.20682067688305,1.84E-14,Up,2.83427312664296,1.59E-23,Up,2.02110120411328,6.78E-10,Up,-1.07677872214302,0.015099211754798,Down
6,Os01g0145600,,,4.28183886510354,9459,Brown,2.38475524812392,Conserved hypothetical protein.,,,None,-0.964048814604999,0.152317776788414,,-1.71829773680997,0.006557103970022,Down,-1.55641314305941,0.006364214595154,Down,4.30304715665359,6.47E-17,Up
7,Os07g0603800,,,2.37798660879661,11094,Brown,1.78820157384694,"TGF-beta receptor, type I/II extracellular region family protein., Similar to peptide transporter PTR2.","Biological Process: oligopeptide transport (GO:0006857), Cellular Component: membrane (GO:0016020), Molecular Function: transporter activity (GO:0005215)",['transport.peptides and oligopeptides'],LOC_Os07g41250,-0.467836547114655,0.260423568417256,,-1.48135060257111,4.69E-06,Down,-1.6334956419401,1.13E-07,Down,3.54761106973676,7.68E-14,Up
8,Os09g0487600,,,18.1803518223004,3786,Blue,13.9966966492534,Similar to polygalacturonase.,"Biological Process: carbohydrate metabolic process (GO:0005975), Molecular Function: polygalacturonase activity (GO:0004650)",['cell wall.degradation.pectate lyases and polygalacturonases'],LOC_Os09g31270,-0.77005980676777,0.209233759908068,,0.551632473161658,0.324019491843344,,1.13613099892797,0.016300507202074,Up,1.86447456989242,2.08E-05,Up
9,Os01g0785700,,,5.78675868785127,8419,Purple,3.45946683147159,Pentatricopeptide repeat domain containing protein.,Molecular Function: binding (GO:0005488),['RNA.regulation of transcription'],LOC_Os01g57630,-0.587088170489491,0.266237884940265,,-1.13503931835687,0.01403515064742,Down,-0.581728372072484,0.19470806179665,,1.88483159237273,0.020110456351787,Up
10,Os05g0218400,,,6.90056313679209,7761,royalBlue,1.77578233528909,Similar to Somatic embryogenesis receptor kinase-like protein.,"Biological Process: protein phosphorylation (GO:0006468), Molecular Function: protein kinase activity (GO:0004672), Molecular Function: protein serine/threonine kinase activity (GO:0004674), Molecular Function: protein tyrosine kinase activity (GO:0004713), Molecular Function: ATP binding (GO:0005524), Molecular Function: transferase activity, transferring phosphorus-containing groups (GO:0016772)","['protein.postranslational modification.kinase.receptor like cytoplasmatic kinase VII', 'signalling.receptor kinases.proline extensin like']",LOC_Os05g12680,1.59934294504153,0.000203818732397,Up,1.22203931958318,0.006039628634958,Up,2.60597221402979,1.97E-06,Up,0.68885598156807,0.066067511465652,
11,Os03g0324900,,,49.4203478685153,812,Blue,42.7548549608957,"Zinc finger, RING/FYVE/PHD-type domain containing protein.","Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",['protein.degradation.ubiquitin.E3.RING'],LOC_Os03g20870,0.354761456878618,0.604754267988347,,1.74307118884906,3.52E-05,Up,1.71553470223078,3.82E-05,Up,1.35931397692881,0.010962030857434,Up
12,Os04g0169100,,"MAPK signaling pathway - plant, Plant hormone signal transduction",15.4152247346715,4504,Brown,11.5323095026172,"Similar to Ethylene receptor-like protein 1., Ethylene receptor, Ethylene response, Floral transition and starch accumulation","Biological Process: signal transduction (GO:0007165), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524), Biological Process: two-component signal transduction system (phosphorelay) (GO:0000160), Biological Process: regulation of transcription, DNA-dependent (GO:0006355), Biological Process: signal transduction (GO:0007165), Biological Process: ethylene mediated signaling pathway (GO:0009873), Biological Process: peptidyl-histidine phosphorylation (GO:0018106), Cellular Component: endoplasmic reticulum membrane (GO:0005789), Molecular Function: two-component sensor activity (GO:0000155), Molecular Function: two-component response regulator activity (GO:0000156), Molecular Function: protein histidine kinase activity (GO:0004673), Molecular Function: signal transducer activity (GO:0004871), Molecular Function: protein binding (GO:0005515), Molecular Function: ATP binding (GO:0005524)",['hormone metabolism.ethylene.signal transduction'],LOC_Os04g08740,-1.56362083942732,0.000234907177793,Down,-1.33043276344993,0.001870924742157,Down,4.78995182238443,1.89E-05,Up,2.44009399924497,1.38E-06,Up
13,Os03g0250000,,,23.8470706416699,2771,GreenYellow,10.9474943238155,Conserved hypothetical protein.,,['signalling.calcium'],LOC_Os03g14590,3.19919048738397,1.44E-10,Up,2.75460238229336,4.82E-08,Up,1.37986621412976,0.000484274484847,Up,-1.13383650704503,0.004876035425803,Down
14,Os03g0192550,,,10.6297539750859,6076,MidnightBlue,8.42117508203023,Hypothetical gene.,,,None,2.06060138051435,0.100674962461827,,2.17231627353914,0.064410570749761,,2.50074344652667,0.019770939924855,Up,2.35679492205661,0.030689761258355,Up
15,Os04g0692400,,,5.02842266071625,8893,Brown,1.97185475228368,Similar to ankyrin-like protein.,Molecular Function: methyltransferase activity (GO:0008168),['stress.abiotic.drought/salt'],LOC_Os04g59590,-0.902876398124411,0.082174450941002,,-1.02478668616731,0.037321811003656,Down,-1.01680281186576,0.027815060274628,Down,-0.688823364266214,0.23032121680058,
16,Os02g0755900,,,34.0880563695331,1645,Blue,20.6847418861464,UDP-glucuronosyl/UDP-glucosyltransferase domain containing protein.,"Biological Process: metabolic process (GO:0008152), Molecular Function: transferase activity, transferring hexosyl groups (GO:0016758)",['misc.UDP glucosyl and glucoronyl transferases'],LOC_Os02g51930,3.19612346835481,3.86E-06,Up,4.103406057816,7.07E-10,Up,0.456204284576636,0.579984241121513,,-2.0113892787732,0.000660770669411,Down
17,Os01g0807800,,,3.0882288123654,10432,Black,1.13720379543261,Conserved hypothetical protein.,,['not assigned.unknown'],LOC_Os01g59320,1.21815757379241,0.011742391984646,Up,1.35071861168786,0.003317304319345,Up,3.22046086047448,0.000758124897143,Up,1.12169732431494,0.004162295576795,Up
18,Os05g0456500,,,2.6296836469357,10837,Yellow,0.666429995657721,"Uncharacterised protein family UPF0497, trans-membrane plant domain containing protein., Similar to predicted protein.",,['not assigned.unknown'],LOC_Os05g38250,-0.795855723866777,0.120906706178118,,-1.24322302608064,0.010063408409187,Down,-1.05341462849936,0.017266830637263,Down,2.81182131089936,0.003094343415402,Up
19,Os01g0839100,C2H2,,45.9669091630118,952,Magenta,18.2657509886196,"Zinc finger, C2H2 domain containing protein.","Cellular Component: intracellular (GO:0005622), Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270)",['RNA.regulation of transcription.C2H2 zinc finger family'],LOC_Os01g62190,4.07831132587798,1.25E-23,Up,4.16058239679297,2.59E-24,Up,-1.4545122984355,0.000725993754353,Down,-2.22773224951152,3.34E-05,Down
