id,Label,Description,GO,Symbol,KEGG,MapMan,MSU_LOC,TF,kTotal,Rank,WGCNA_Modules,IntraModular Connectivity
0,Os02g0644100,"Similar to Heat shock protein STI (Stress inducible protein) (GmSTI)., Similar to heat shock protein STI.","Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515),",,,['stress'],LOC_Os02g43020,,37.2782653545324,4354,LightGreen,8.41588366302338
1,Os07g0486500,RhoGAP domain containing protein.,"Biological Process: signal transduction (GO:0007165), Cellular Component: intracellular (GO:0005622)",,,['signalling.G-proteins'],LOC_Os07g30300,,41.0338558693994,4012,LightGreen,7.41887042690217
2,Os01g0834700,"Zinc finger, CCCH-type domain containing protein., Similar to nucleic acid binding protein.","Molecular Function: nucleic acid binding (GO:0003676), Molecular Function: zinc ion binding (GO:0008270),",C3H11,,['RNA.regulation of transcription.unclassified'],LOC_Os01g61830,,31.8492260979276,4907,LightGreen,6.96125581041884
3,Os08g0500800,WLM domain containing protein.,Molecular Function: protein binding (GO:0005515),,,['protein.degradation.metalloprotease'],LOC_Os08g39150,,27.950084410426,5365,LightGreen,5.29122739036984
4,Os03g0381300,CS domain domain containing protein.,,,,['not assigned.unknown'],LOC_Os03g26460,,15.2414407957742,7467,LightGreen,5.18820775349067
5,Os06g0231300,CS domain domain containing protein.,,ROX3,,['cell.organisation'],LOC_Os06g12530,,78.5355888767469,2098,LightGreen,4.83093711440342
6,Os07g0498800,Similar to Calreticulin interacted protein.,Molecular Function: protein binding (GO:0005515),"CRTintP, CRTintP1",,['protein.synthesis.initiation'],LOC_Os07g31540,,22.042132798404,6205,LightGreen,4.26216768319937
7,Os08g0500700,Similar to Heat shock protein 82.,"Biological Process: protein folding (GO:0006457), Biological Process: response to stress (GO:0006950), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)",hsp82A,"Protein processing in endoplasmic reticulum, Plant-pathogen interaction",['stress.abiotic.heat'],LOC_Os08g39140,,8.41841371920579,9203,LightGreen,4.23778963952694
8,Os07g0186400,Similar to SHL1.,"Molecular Function: DNA binding (GO:0003677), Molecular Function: protein binding (GO:0005515), Molecular Function: zinc ion binding (GO:0008270)",OsSHL1,,"['RNA.regulation of transcription.Chromatin Remodeling Factors', 'RNA.regulation of transcription.unclassified']",LOC_Os07g08880,,26.2709392526267,5570,LightGreen,4.12496705725178
9,Os09g0510200,Protein of unknown function DUF667 family protein.,,,,,None,,16.7192490996305,7149,LightGreen,4.09818481524694
10,Os08g0196700,"HAP2 subunit of HAP complex, Nuclear Factor Y (NF-YA) transcription factor, Drought stress tolerance","Biological Process: regulation of transcription, DNA-templated (GO:0006355), Molecular Function: transcription factor activity, sequence-specific DNA binding (GO:0003700)","HAP2A, OsHAP2A, NF-YA, CBF-B, NF-YA7, OsNF-YA7",,"['RNA.regulation of transcription.CCAAT box binding factor family, HAP2']",LOC_Os08g09690,NF-YA,11.0985177444332,8421,LightGreen,4.07133918060504
11,Os03g0113700,"Similar to Heat shock 70 kDa protein, mitochondrial precursor.","Biological Process: protein folding (GO:0006457), Molecular Function: ATP binding (GO:0005524), Molecular Function: unfolded protein binding (GO:0051082)",ISC24,RNA degradation,['stress.abiotic.heat'],LOC_Os03g02260,,21.2163875805454,6348,LightGreen,3.68668375442069
12,Os05g0187800,"DERLIN-like protein, ER-associated protein degradation factor, Response to ER stress",,OsDER1,Protein processing in endoplasmic reticulum,['mitochondrial electron transport / ATP synthesis.NADH-DH.localisation not clear'],LOC_Os05g09550,,22.7165057164242,6099,LightGreen,3.67965984055131
13,Os08g0525600,Similar to Peptidylprolyl isomerase; FK506-binding protein.,"Biological Process: protein folding (GO:0006457), Molecular Function: binding (GO:0005488), Molecular Function: protein binding (GO:0005515)",rFKBP64,,['cell.cycle.peptidylprolyl isomerase'],LOC_Os08g41390,,7.66310111522646,9449,LightGreen,3.61599365832676
14,Os01g0148500,"Protein of unknown function DUF1677, Oryza sativa family protein.",,,,['not assigned.unknown'],LOC_Os01g05540,,17.9416362027113,6916,LightGreen,3.29104236411351
15,Os09g0514900,"Basic helix-loop-helix, Nulp1-type domain containing protein.",,,,['not assigned.unknown'],LOC_Os09g33970,,30.2073468957044,5088,LightGreen,3.25836421363429
16,Os11g0264600,Conserved hypothetical protein.,,,,['not assigned.unknown'],LOC_Os11g16320,,10.2840609363251,8637,LightGreen,3.0129788111737
